extreme poverty,極端貧窮、赤貧
poverty alleviation,扶貧
poverty eradication,消除貧窮
poverty reduction,減少貧窮
international poverty line,國際貧窮線
financial aid,財務補助
poverty,貧窮
financial aid,財務補助
poor,貧窮的
financial aid,財務補助
north-south divide,南北分歧
financial development,財政發展
poverty,貧窮
financial empowerment,經濟賦權
distributional effect,分配效應
distributional effects,分配效應(複數)
child labor,童工
child labour,童工
development aid,發展輔助
social protection,社會保障
social protection system,社會保障制度
social protection,社會保障
resilience of the poor,貧窮者的韌性
safety net,安全網
poor,貧窮的
vulnerable,脆弱的
economic resource,經濟資助
economic resources,經濟資助(複數)
food bank,食物銀行
food banks,食物銀行(複數)
