economic reform policy ,經濟改革政策
economic reform policies ,經濟改革政策(複數)
political inclusion ,政治參與
social protection policy ,社會保護政策
social protection policies ,社會保護政策(複數)
foreign direct investment ,國外直接投資
development gap ,發展差距
development gaps ,發展差距(複數)
migrant remittance ,移民匯款
responsible migration ,責任移民
migration policy ,移民政策
migration policies ,移民政策(複數)
north-south divide,南北分歧
tariffs ,關稅(複數)
tariff ,關稅
zero-tariff ,零關稅
duty-free access,免稅途徑
social exclusion ,社會排斥
economic marginali?ation ,經濟邊緣化
income inequality ,收入不平等
discriminatory law,具歧視性的法律
discriminatory policies ,具歧視性的政策(複數)
discriminatory policy,具歧視性的政策
economic empowerment ,經濟賦權
economic transformation,經濟轉型
global market,全球市場
empowerment,賦權
