human settlement ,人類住居
human settlements,人類住居(複數)
public transport,公共運輸
sendai framework ,仙台綱領
Disaster Risk Reduction ,降低災害風險
DRR ,降低災害風險
smart city ,智慧城市
smart cities ,智慧城市(複數)
resilient building ,有韌性的建築
resilient buildings ,有韌性的建築(複數)
sustainable building ,永續性建築
sustainable buildings ,永續性建築(複數)
building design ,建築設計
buildings design,建築設計(複數)
zero energy building ,零耗能建築
zero energy buildings ,零耗能建築(複數)
zero-energy building ,零耗能建築
zero-energy buildings ,零耗能建築(複數)
basic service ,基本服務
basic services ,基本服務(複數)
governance ,治理
citizen participation ,公民參與
collaborative planning ,協同規劃
participatory planning ,參與式計劃
inclusiveness ,包容性
cultural heritage ,文化遺產
natural heritage ,自然遺產
UNESCO ,聯合國教科文組織
disaster ,災害
ecological footprint ,生態足跡
environmental footprint ,環境足跡
waste ,廢棄物
pollution ,汙染
pollutant* ,汙染物
waste water ,廢水
recycling ,回收
circular economy ,循環經濟
air quality ,空氣品質
green space ,綠地
green spaces ,綠地(複數)
nature inclusive ,包容大自然的
nature inclusive building ,包容大自然的建築
nature inclusive buildings,包容大自然的建築(複數)
