environmental pollution ,環境汙染
hazardous waste ,有害汙染物
hazardous chemical ,有害化學物質
hazardous chemicals ,有害化學物質(複數)
toxic chemical ,有毒化學物質
toxic chemicals ,有毒化學物質(複數)
chemical pollution ,化學汙染
ozone depletion ,臭氧破壞
pesticide pollution ,農藥汙染
pesticide stress ,農藥(對植物所產生的)壓力
pesticide reduction ,農藥減量
life cycle assessment ,生命週期評估
life cycle analysis ,生命週期分析
life cycle analyses ,生命週期分析(複數)
life-cycle analysis ,生命週期分析
life-cycle analyses ,生命週期分析(複數)
low carbon economy ,低碳經濟
low-carbon economy ,低碳經濟
environmental footprint ,環境足跡
material footprint ,原料足跡
life cycle assessment ,生命週期評估
solid waste ,固體廢物
waste generation ,廢物產生
corporate social responsibility ,企業社會責任
corporate sustainability ,企業永續
consumer behavior ,消費者行為
consumer behaviors ,消費者行為(複數)
consumer behaviour ,消費者行為
consumer behaviours ,消費者行為(複數)
waste recycling ,廢棄物再循環
resource recycling ,資源回收
resource reuse ,資源再利用
biobased economy ,生物經濟
zero waste ,零汙染
sustainability label ,永續性標籤
sustainability labelling ,永續性標籤
global resource extraction ,全球資源提取
material flow accounting ,物質流會計
societal metabolism ,社會新陳代謝
food spill ,糧食溢出量
resource spill ,資源溢出量
resource efficiency ,資源效率
sustainable food consumption ,可持續的糧食消耗
green consumption ,綠能消耗
sustainable supply chain ,永續供應鏈
circular economy ,循環式經濟
cradle to cradle ,搖籃到搖籃
sustainable procurement ,可持續的採購
sustainable tourism ,永續觀光業
fossil-fuel subsidies ,化石燃料補貼
fossil-fuel expenditure ,化石燃料耗費
sustainability label ,永續性標籤
sustainability labelling,永續性標籤
resource use,資源使用
resource use,資源使用
wireless sensor network ,無線感測網路
wireless sensor networks wireless network ,無線感測網路
wireless networks ,無線網路(複數)
wireless ,無線的
disease ,疾病
astrophysics,天體物理學
