species richness ,物種豐富度
biological production,生物生產率
earth system ,地球系統
ecological resilience,生態包容
trophic cascade ,營養瀑布、營養潟流
trophic level ,營養階層
trophic web ,營養網
threatened species ,受威脅物種
endangered species ,瀕危物種
extinction risk ,絕種危機
extinction risks,絕種危機(複數)
wildlife product ,野生生物相關產品
wildlife products ,野生生物相關產品(複數)
wildlife traffic ,野生生物運輸量
wildlife market ,野生生物市場
wildlife markets ,野生生物市場(複數)
wildlife trafficking ,野生生物販賣
invasive species ,入侵物種
alien species ,外來入侵種
land uses ,土地利用(複數)
land use ,土地利用
land uses ,土地利用(複數)
land degradation ,土地退化
soil degradation ,土壤退化
LULUCF,土地利用、土地利用變化及林業
land conservation,土地保育
mountainous cover ,多山覆蓋
protected area ,保護區
protected areas ,保護區(複數)
REDD ,減少森林砍伐和森林退化造成的排放以及保護
forest management ,森林管理
silviculture ,造林學、育林學
timber harvest ,木材採集
illegal logging ,非法砍伐
slash-and-burn ,刀耕火種
fire-fallow cultivation ,刀耕火種
tree cover ,被樹所覆蓋
soil restoration ,土壤復育
land restoration ,土地復育
drought ,乾旱
sustainable land management ,永續土地管理
mountain vegetation ,山地植被
habitat restoration ,棲息地復育
Red List species ,紅皮書物種
Red List Index ,紅皮書指標
extinction wave ,絕種潮
habitat fragmentation ,棲地碎裂
habitat loss ,棲地喪失
Nagoya Protocol on Access to Genetic Resources ,名古屋議定書
genetic resources ,遺傳資源
biological invasion ,生物入侵
biodiversity-inclusive ,生態多樣性包容
forest stewardship council ,森林管理委員會
rainforest alliance ,熱帶雨林保育聯盟
forest certification ,森林認證
forest auditing ,森林審核
ecotourism ,生態觀光業
community-based conservation ,社區保育
community based conservation ,社區保育
human-wildlife conflict,人與野生生物的衝突
