actual innocence ,清白的罪犯(書名)
false confession ,錯誤承認
armed conflict ,武裝衝突
armed conflicts ,武裝衝突(複數)
civil conflict ,內戰
civil conflicts ,內戰(複數)
Geneva Convention,日內瓦公約
peacekeeping ,維持和平
institution ,機構
public official ,公務員
government ,政府
bribery ,賄賂
conflict,衝突
democratic deficit ,民主逆差、民主赤字
financial aid,經濟援助
ethnic conflict ,種族衝突
ethnic conflicts,種族衝突(複數)
human trafficking ,人口販賣
criminal justice system ,刑事司法系統
justice system ,司法系統
arbitrary justice,專制正義
effective rule of law ,有效的依法而治
arms flow ,武器流通
transparent institution ,透明制度
transparent institutions ,透明制度(複數)
good governance ,好的治理
legal identity for all ,所有人的合法身分
freedom of information ,信息自由
human rights institution ,人權機構
human rights activists ,倡導人權的積極分子
fundamental freedom ,基本自由
fundamental freedoms ,基本自由(複數)
violent conflict ,暴力衝突
violent conflicts ,暴力衝突(複數)
peaceful society ,和平社會
effective institution ,供人們和平且有效率合作的制度
effective institutions ,供人們和平且有效率合作的制度(複數)
accountable institution ,負責任的制度
accountable institutions ,負責任的制度(複數)
inclusive institution ,有包容性的制度
inclusive institutions ,有包容性的制度(複數)
child abuse ,虐待兒童
arbitrary detention ,無理拘禁
unsentenced detention ,無期徒刑
judicial system ,司法系統
criminal tribunal ,刑事法庭
inclusive society ,具包容心的社會
inclusive societies ,具包容心的社會(複數)
responsive institution ,有效的制度
responsive institutions ,有效的制度(複數)
fair society ,公平社會
fair societies ,公平社會(複數)
legal remedy ,法律救濟
legal remedies ,法律救濟(複數)
independence of judiciary ,司法獨立
independent judiciary ,司法獨立
separation of powers,權力分立
war crime ,戰爭罪
peaceful society ,和平社會
organized crime ,有組織的犯罪
illicit transfer ,非法轉移
illicit money ,非法錢財
arms trafficking ,武器販賣
cybercrime ,網路犯罪
insurgence ,叛亂
democratic institution ,民主制度
political instability,政治不穩定
political decision-making,政治決策
Aarhus Convention ,奧爾胡斯公約
press freedom ,媒體自由
freedom of speech,言論自由
disease ,疾病
genetics,遺傳
