land tenure rights,土地使用權
food producer,食物生產者
food producers,食物生產者(複數)
undernutrition,營養不良
agricultural production,農業生產
agricultural productivity,農業生產率
agricultural practices,農業規範
agricultural management,農業管理
food production,食物生產
food productivity,食物生產效率
food security,糧食安全
food insecurity,糧食不安全
land right,地權
land rights,地權(複數)
land reform,土地改革
land reforms,土地改革(複數)
resilient agricultural practices,有彈性的農業規範
{food nutrition improvement,食品營養改良
hidden hunger,隱性飢餓
genetically modified food,基因改造食品
agroforestry practices,混農林業規範
agroforestry management,混農林業管理
agricultural innovation,農業創新
food security,糧食安全
genetic diversity,基因多樣性
food market,超市
north south divide,南北分歧
development governance ,發展管理體系
food governance ,糧食管理體系
food supply chain ,糧食供應鏈
food value chain ,糧食價值鏈
food commodity market,糧食市場
disease,疾病
