battered child syndrome,受虐待兒童綜合症
cardiovascular disease,心血管疾病
cardiovascular diseases,心血管疾病(複數)
chagas,白樺茸
child abuse,虐待兒童
child neglect,疏忽兒童
child well-being index,兒童幸福指數
youth well-being index,青年幸福指數
child wellbeing index,兒童幸福指數
youth wellbeing index,青年幸福指數
water-borne disease ,水媒病
water-borne diseases,水媒病(複數)
water borne disease,水媒病
water borne diseases,水媒病(複數)
tropical disease,熱帶疾病
tropical diseases,熱帶疾病(複數)
chronic respiratory disease,慢性呼吸疾病
chronic respiratory diseases ,慢性呼吸疾病(複數)
infectious disease ,傳染性疾病
infectious diseases ,傳染性疾病(複數)
sexually-transmitted disease,性傳染病
sexually transmitted disease,性傳染病
sexually-transmitted diseases,性傳染病(複數)
sexually transmitted diseases,性傳染病
communicable disease,傳染病
communicable diseases,傳染病(複數)
human immunodeficiency virus,人類免疫缺乏病毒
maternal mortality,產婦死亡
child mortality,兒童死亡
childbirth complications,分娩併發症
neonatal mortality,嬰兒死亡率
neo-natal mortality,嬰兒死亡率
premature mortality ,早產死亡
infant mortality,幼兒死亡
quality adjusted life year,質量調整壽命年
maternal health,孕婦死亡
preventable death,可預防的死亡
preventable deaths,可預防的死亡(複數)
tobacco control,菸草管制
substance abuse,物質濫用
drug abuse,藥物濫用
tobacco use,菸草使用
alcohol use,酒精使用
substance addiction ,物質成癮
drug addiction,藥物成癮
tobacco addiction,菸草成癮
postnatal depression,產後憂鬱症
post-natal depression,產後憂鬱症
zika virus,茲卡病毒
sleeping sickness,嗜睡病
mental health,心理健康
mental disorder,精神障礙
mental illness,精神疾病
mental illnesses,精神疾病(複數)
measles,麻疹
neglected disease,被忽視的疾病
neglected diseases,被忽視的疾病(複數)
typhoid fever,傷寒
traffic accident,交通事故
traffic accidents,交通事故(複數)
healthy lifestyle,健康的生活方式
life expectancy,平均餘命
life expectancies,平均餘命(複數)
health policy,衛生政策
health system,衛生制度
health risk,健康風險
health risks,健康風險(複數)
inclusive health,總體健康
social determinants of health,健康的社會決定因素
psychological harm,心理傷害
psychological wellbeing,心理幸福感
psychological well-being,心理幸福感
psychological well being,心理幸福感
public health,公共衛生
