gender inequality ,性別不平等
gender equality ,性別平等
employment equity ,就業平等
gender wage gap ,性別工資差距
female labor force participation ,女性勞動力參與
female labour force participation ,女性勞動力參與
women labor force participation ,女性勞動力參與
women labour force participation ,女性勞動力參與
womens' employment ,女性就業率
female employment ,女性就業率
women's unemployment ,女性失業率
female unemployment,女性失業率
family planning services,家庭計畫服務
forced marriage ,強迫婚姻
child marriage ,童婚
forced marriages ,強迫婚姻(複數)
child marriages ,童婚(複數)
occupational segregation ,職業隔離
women's empowerment ,女性賦權
girls' empowerment ,女性賦權
female empowerment ,女性賦權
female genital mutilation ,女性割禮
female genital cutting ,女性割禮
domestic violence ,家庭暴力
women AND violence ,婦女與暴力
girl* AND violence ,女性與暴力
sexual violence,性暴力
unpaid work,無償工作
gender inequality,性別不平等
unpaid care work,無償照護工作
gender inequality,性別不平等
women's political participation ,女性政治參與
female political participation ,女性政治參與
female managers ,女性經理(複數)
women in leadership ,女性領導
female leadership ,女性領導
intra-household allocation,家庭內部分配
reproductive healthcare,生育保健
honour killing ,榮譽處決
honor killing ,榮譽處決
honour killings ,榮譽處決(複數)
honor killings ,榮譽處決(複數)
antiwomen ,反女性的
anti-women ,反女性的
feminism ,女性主義
misogyny ,厭女症
female infanticide ,殺女嬰
female infanticides ,殺女嬰(複數)
human trafficking ,人口販賣
forced prostitution ,強迫賣淫
sexual rights ,性權
reproductive rights ,生殖權利
divorce rights,離婚權利
women's rights ,女性權利
gender injustice ,性別不義
gender injustices ,性別不義(複數)
gender discrimination ,性別歧視
gender disparities ,性別不平等
gender gap ,性別差距
female exploitation ,剝削女性
household equity ,家庭平等
female political participation ,女性政治參與
women's underrepresentation ,女性代表性不足
female entrepreneurship ,女性企業家
female ownership ,女性業主
women's economic development ,女性經濟發展
women's power ,女性權力
gender-responsive budgeting ,促進兩性平等的預算編制
gender quota,性別配額
foreign aid,國外援助
women's empowerment,女性賦權
gender segregation ,性別隔離
gender-based violence ,性別霸凌
gender participation ,性別參與
female politician ,女性政治家
female leader ,女性領導者
contraceptive behaviour ,避孕行為
women's autonomy ,女性自主權
agrarian feminism ,農村女性主義
microfinance ,微型貸款
women's livelihood ,女性生計來源
women's ownership ,女性所有權
female smallholder ,女性小農
gender mainstreaming,性別主流
