Safe ,安全的
water access ,取水
drinking water ,飲用水
clean ,乾淨的
drinking water ,飲用水
water source ,水源
water ,水
sanitation and hygiene ,環境衛生
sanitation & hygiene ,環境衛生
quality ,品質
resource ,源頭
water availability ,可利用的水
water-use efficiency ,水分利用效率
water supply ,供水
water supplies ,供水(複數)
clean water ,乾淨的水
hygienic toilet ,衛生廁所
hygienic toilets ,衛生廁所(複數)
antifouling membrane ,抗沾黏薄膜
antifouling membranes ,抗沾黏薄膜(複數)
anti-fouling membrane ,抗沾黏薄膜(複數)
anti-fouling membranes ,抗沾黏薄膜(複數)
water management ,水管理
aquatic toxicology ,水中毒物學
water toxicology ,水中毒物學
aquatic ecotoxicology ,水中環境毒物學
water ecotoxicology ,水中環境毒物學
freshwater ,淡水
fresh water ,淡水
water quality ,水質
pollutant ,汙染物
pollution,汙染物
freshwater ,淡水
water security ,水資源安全
water shortage,水資源短缺
waste water,廢水
wastewater,廢水
water conservation ,水資源保護
water footprint ,水足跡
water infrastructure ,水利基礎設施
water pollution ,水質汙染
water purification ,水資源淨化
water use ,水資源消耗
water uses,水資源消耗(複數)
water ,水
ecosystem ,生態系統
eco-system ,生態系統
protection of ,…的保護
endocrine disruptor ,內分泌干擾素
endocrine disruptors,內分泌干擾素(複數)
marine,海洋的
water,水
water management,水資源管理
pollution remediation ,汙染整治
pollutant removal,汙染物移除
groundwater ,地下水
ground water ,地下水
ground-water,地下水
freshwater,淡水
water pollution ,水質汙染
water pollutant,水質汙染
waste water,廢水
wastewater,廢水
freshwater availability ,淡水可取得性
fresh water availability ,淡水可取得性
water scarcity ,水資源缺乏
open defecation ,在廁所以外的地方便溺
blue water ,藍水
green water ,覆浪
grey water ,灰水
black water,汙水
global burden of disease study,全球疾病負擔研究
