energy efficiency ,能源效率
energy consumption ,能源消耗
energy transition ,能量過渡
clean energy technology ,清潔能源科技
energy equity ,能源公平
energy justice ,能源正義
energy poverty ,能源貧窮
energy policy,能源政策
2000 Watt society ,2000瓦社會
smart micro-grid ,智慧微電網
smart grid ,智慧電網
smart microgrid ,智慧微電網
smart micro-grids ,智慧微電網
smart grids ,智慧電網
smart microgrids ,智慧微電網
smart meter ,智慧型電錶
smart meters ,智慧型電錶(複數)
affordable electricity ,可負擔的電力
electricity consumption ,電力消耗
reliable electricity ,可靠的電力
clean fuel ,乾淨的燃料
clean cooking fuel ,乾淨、供烹調時使用的燃料
fuel poverty,燃料貧窮
life-cycle assessment ,生命週期評估
life cycle assessment ,生命週期評估
life-cycle assessments ,生命週期評估(複數)
life cycle assessments,生命週期評估(複數)
photochemistry,光化學
renewable energy,可再生能源
photocatalytic water splitting ,光化學水分解
hydrogen production ,氫產出
water splitting ,水分解
lithium-ion batteries ,鋰離子電池(複數)
lithium-ion battery ,鋰離子電池
heat network ,熱網
district heat ,地區熱
district heating ,地區加熱
residential energy consumption ,住宅能源消耗
domestic energy consumption ,家庭能源消耗
energy security ,能源安全
rural electrification ,農村電氣化
energy ladder ,能源梯
energy access ,能源獲取
energy conservation ,能源保存
low-carbon society ,低碳社會
hybrid renewable energy system ,油電混合可再生能源系統
hybrid renewable energy systems ,油電混合可再生能源系統(複數)
fuel switching,燃油轉換
foreign development aid,國外發展援助
renewable energy,可再生能源
energy governance,能源管理
official development assistance,官方發展援助
electricity,電力
energy development,能源發展
developing countries,開發中國家
wireless sensor network ,無線感測網路
wireless sensor networks,無線感測網路(複數)
