economic growth ,經濟發展
economic development policy ,經濟發展政策
employment policy ,就業政策
inclusive economic growth ,包容性經濟成長
sustainable growth ,可持續成長
economic development ,經濟發展
economic globalization ,經濟全球化
economic globalisation ,經濟全球化
economic productivity ,經濟生產率
low-carbon economy ,低碳經濟
inclusive growth,包容性成長
equal income ,收入平等
equal wages ,薪資平等
decent job ,合宜工作
decent jobs ,合宜工作(複數)
quality job ,優質工作
quality jobs ,優質工作(複數)
job creation ,創造就業
full employment ,充分就業
employment protection ,就業保障
informal employment ,非正式就業
precarious employment ,不穩定就業
unemployment ,失業
precarious job ,不穩定工作
precarious jobs,不穩定工作(複數)
small enterprise ,小型企業
medium enterprise ,中型企業
small enterprises ,小型企業(複數)
medium enterprises ,中型企業(複數)
small entrepreneur ,小型創業家
starting entrepreneur ,創業家
medium entrepreneur ,中型創業家
small entrepreneurs ,小型創業家(複數)
medium entrepreneurs ,中型創業家(複數)
starting entrepreneurs ,創業家(複數)
social entrepreneurship ,社會創業家精神
safe working environment ,安全工作環境
labor market institution ,勞動市場機構
labor market institutions ,勞動市場機構(複數)
labour market institution ,勞動市場機構
labour market institutions ,勞動市場機構(複數)
forced labour ,強迫勞動
forced labor ,強迫勞動
child labour ,童工
child labor ,童工
labour right ,勞工權利
labor right ,勞工權利
labour rights ,勞工權利(複數)
labor rights ,勞工權利(複數)
modern slavery ,現代奴役
human trafficking ,人口販賣
child soldier ,童兵
child soldiers ,童兵(複數)
global jobs ,全球性工作
living wage ,維生工資
minimum wage ,最低薪資
circular economy ,循環經濟
inclusive economy ,包容性經濟
rural economy ,鄉村經濟
Foreign Development Investment ,國外發展投資
Aid for Trade ,貿易援助
trade unions ,工會(複數)
trade union ,工會
working poor ,工作貧窮
"Not in Education, Employment, or Training ",尼特族
carbon offset ,碳補償
carbon offsetting ,碳補償
carbon offsets ,碳補償(複數)
offset project ,補償計畫
offset projects ,補償計畫(複數)
economic diversification ,經濟多元化
material footprint ,原料足跡
resource efficiency,資源效率
cradle to cradle,從搖籃到搖籃
economy ,經濟
economic decoupling ,經濟解耦
labour market disparities ,勞動市場不平等
sustainable tourism ,永續旅遊
ecotourism ,生態旅遊
community-based tourism ,社區旅遊
tourism employment ,旅遊業就業
sustainable tourism policy ,永續旅遊政策
financial access ,金融途徑
financial inclusion ,普惠金融
access to banking,銀行帳戶使用權利
health,健康
