industrial growth ,產業成長
industrial diversification ,產業多元化
infrastructural development ,基礎建設發展
infrastructural investment ,基礎建設投資
infrastructure investment ,基礎建設投資
public infrastructure ,公共基礎建設
resilient infrastructure ,韌性基礎建設
transborder infrastructure ,跨境基礎建設
public infrastructures ,公共基礎建設
resilient infrastructures ,跨境基礎建設(複數)
transborder infrastructures ,跨境基礎建設(複數)
industrial emissions,工業排放
industrial waste management ,工業廢棄物管理
industrial waste treatment ,工業廢棄物處理
traffic congestion,交通壅塞
small enterprise ,小型企業
medium enterprise ,中型企業
small enterprises ,小型企業(複數)
medium enterprises ,中型企業(複數)
small entrepreneur ,小型創業
medium entrepreneur ,中型創業
small entrepreneurs ,小型創業
medium entrepreneurs ,中型創業(複數)
value chain management ,價值鏈管理
broadband access,寬頻接取
developing countries,開發中國家
manufacturing innovation ,製造業創新
manufacturing investment ,製造業投資
sustainable transportation ,永續交通系統
accessible transportation ,無障礙交通系統
transportation services ,交通服務
inclusive transportation ,廣泛的交通系統
R&D investment ,研究開發投資
green product ,綠能產品
green products ,綠能產品(複數)
sustainable manufacturing ,永續製造
cradle to cradle,搖籃到搖籃
closed loop supply chain,閉環供應鏈
process innovation,程序創新
product innovation,產品創新
inclusive innovation,廣泛創新
