"文獻名稱.","年份","摘要","索引關鍵字"
"A possible role of biogenic silica in esophageal cancer in North China?",2019,"Certain areas in North China have the highest incidence of esophageal squamous cell carcinoma (ESCC) in the world, which has not seen convincing explanation by any risk factor yet. Biogenic silica in millet bran was linked to ESCC in the early 1980s but the hypothesis was largely dismissed because of the lack of geographic correlation between millet consumption and ESCC. Later epidemiological studies disclosed the linkage of wheat consumption in North China to ESCC instead. Now, we hypothesize silica phytoliths (silicified bodies that have definite shapes) from wheat chaff are a major etiologic factor of ESCC in this region. This hypothesis is supported by the potentially high abundance of silica phytoliths on the bracts of wheat (Triticum aestivum) in North China due to favorable Si-accumulation genotype, arid climate, and siallitic soil with bioavailable Si. These silica phytoliths can contaminate wheat flour and cause repeated local injuries in the esophagus and stimulate proliferation by providing anchorage. ? 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","aridity; biogenic material; cancer; crop residue; epidemiology; geochemistry; phytolith; silica; China; Triticum aestivum; silicon dioxide; chemically induced; chemistry; China; dietary exposure; esophageal squamous cell carcinoma; esophagus tumor; genetics; genotype; human; incidence; risk factor; soil; wheat; China; Dietary Exposure; Esophageal Neoplasms; Esophageal Squamous Cell Carcinoma; Genotype; Humans; Incidence; Risk Factors; Silicon Dioxide; Soil; Triticum"
"Early childhood caries among 3- to 5-year-old children in Hong Kong",2019,"Objective: The aim of this study was to describe the prevalence of dental caries among 3- to 5-year-old children in Hong Kong and to investigate the factors associated with their dental caries status. Methods: Seven kindergartens in Hong Kong were selected using stratified random sampling. The 3- to 5-year-old kindergarten children were invited to join the study. The participants’ parents were asked to complete a questionnaire regarding their children's demographic and socio-economic backgrounds, their dental habits and their own dental knowledge. Dental caries experience was measured using the decayed, missing and filled primary teeth (dmft) index. The visible plaque index was adopted for recording oral hygiene. The relationships between caries experience and children's demographic backgrounds, dental habits, oral hygiene and parental dental knowledge were studied using a zero-inflated negative binomial (ZINB) regression analysis. Results: Among the 1,204 participating preschool children, the overall prevalence of dental caries (dmft > 0) was 46%. The mean dmft score was 2.1 ± 3.4. The prevalences of dental caries among the 3-, 4- and 5-year-old children were 38%, 43% and 55%, respectively. ZINB regression analysis revealed that the study children who were boys, came from families with lower incomes, had dental visit experiences, had higher plaque scores and had parents with lower levels of dental knowledge, had higher dmft scores (P < 0.05). Conclusions: Dental caries is prevalent among preschool children in Hong Kong. The caries experiences of the study children are associated with gender, family income, parental dental knowledge, dental visit experience and oral hygiene. ? 2018 FDI World Dental Federation","child; cross-sectional study; deciduous tooth; dental caries; DMF index; Hong Kong; human; male; mouth hygiene; preschool child; prevalence; Child; Child, Preschool; Cross-Sectional Studies; Dental Caries; DMF Index; Hong Kong; Humans; Male; Oral Hygiene; Prevalence; Tooth, Deciduous"
"Influenza-associated excess respiratory mortality in China, 2010–15: a population-based study",2019,"Background: The estimation of influenza-associated excess mortality in countries can help to improve estimates of the global mortality burden attributable to influenza virus infections. We did a study to estimate the influenza-associated excess respiratory mortality in mainland China for the 2010–11 through 2014–15 seasons. Methods: We obtained provincial weekly influenza surveillance data and population mortality data for 161 disease surveillance points in 31 provinces in mainland China from the Chinese Center for Disease Control and Prevention for the years 2005–15. Disease surveillance points with an annual average mortality rate of less than 0·4% between 2005 and 2015 or an annual mortality rate of less than 0·3% in any given years were excluded. We extracted data for respiratory deaths based on codes J00-J99 under the tenth edition of the International Classification of Diseases. Data on respiratory mortality and population were stratified by age group (age <60 years and ?60 years) and aggregated by province. The overall annual population data of each province and national annual respiratory mortality data were compiled from the China Statistical Yearbook. Influenza surveillance data on weekly proportion of samples testing positive for influenza virus by type or subtype for 31 provinces were extracted from the National Sentinel Hospital-based Influenza Surveillance Network. We estimated influenza-associated excess respiratory mortality rates between the 2010–11 and 2014–15 seasons for 22 provinces with valid data in the country using linear regression models. Extrapolation of excess respiratory mortality rates was done using random-effect meta-regression models for nine provinces without valid data for a direct estimation of the rates. Findings: We fitted the linear regression model with the data from 22 of 31 provinces in mainland China, representing 83·0% of the total population. We estimated that an annual mean of 88 100 (95% CI 84 200–92 000) influenza-associated excess respiratory deaths occurred in China in the 5 years studied, corresponding to 8·2% (95% CI 7·9–8·6) of respiratory deaths. The mean excess respiratory mortality rates per 100 000 person-seasons for influenza A(H1N1)pdm09, A(H3N2), and B viruses were 1·6 (95% CI 1·5–1·7), 2·6 (2·4–2·8), and 2·3 (2·1–2·5), respectively. Estimated excess respiratory mortality rates per 100 000 person-seasons were 1·5 (95% CI 1·1–1·9) for individuals younger than 60 years and 38·5 (36·8–40·2) for individuals aged 60 years or older. Approximately 71 000 (95% CI 67 800–74 100) influenza-associated excess respiratory deaths occurred in individuals aged 60 years or older, corresponding to 80% of such deaths. Interpretation: Influenza was associated with substantial excess respiratory mortality in China between 2010–11 and 2014–15 seasons, especially in older adults aged at least 60 years. Continuous and high-quality surveillance data across China are needed to improve the estimation of the disease burden attributable to influenza and the best public health interventions are needed to curb this burden. Funding: National Science Fund for Distinguished Young Scholars, National Science and Technology Major Project of China, National Institute of Health Research, the Harvard Center for Communicable Disease Dynamics from the National Institute of General Medical Sciences, and the China-US Collaborative Program on Emerging and Re-emerging Infectious Disease. ? 2019 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license","adult; aged; Article; China; disease control; disease surveillance; female; human; influenza; Influenza A virus (H1N1); Influenza A virus (H3N8); Influenza virus; major clinical study; male; mortality; mortality rate; population density; population research; priority journal; sensitivity analysis; vaccination; virus transmission"
"Cellular energy stress induces AMPK-mediated regulation of glioblastoma cell proliferation by PIKE-A phosphorylation",2019,"Phosphoinositide 3-kinase enhancer-activating Akt (PIKE-A), which associates with and potentiates Akt activity, is a pro-oncogenic factor that play vital role in cancer cell survival and growth. However, PIKE-A physiological functions under energy/nutrient deficiency are poorly understood. The AMP-activated protein kinase (AMPK) is an evolutionarily conserved serine/threonine kinase that is a principal regulator of energy homeostasis and has a critical role in metabolic disorders and cancers. In this present study, we show that cellular energy stress induces PIKE-A phosphorylation mediated by AMPK activation, thereby preventing its carcinogenic action. Moreover, AMPK directly phosphorylates PIKE-A Ser-351 and Ser-377, which become accessible for the interaction with 14-3-3β, and in turn stimulates nuclear translocation of PIKE-A. Nuclear PIKE-A associates with CDK4 and then disrupts CDK4-cyclinD1 complex and inhibits the Rb pathway, resulting in cancer cell cycle arrest. Our data uncover a molecular mechanism and functional significance of PIKE-A phosphorylation response to cellular energy status mediated by AMPK. ? 2019, The Author(s).","cyclin D1; cyclin dependent kinase 4; hydroxymethylglutaryl coenzyme A reductase kinase; serine; Article; cell cycle arrest; cell energy; cell proliferation; cell stress; cellular distribution; enzyme activation; enzyme phosphorylation; feedback system; glioblastoma; glioblastoma cell line; human; human cell; in vitro study; pike a proto oncogene; priority journal; protein function; proto oncogene; signal transduction"
"Chinese Medicine in Cancer Treatment – How is it Practised in the East and the West?",2019,"Chinese medicine therapies in cancer treatment are very common in the East. Although it is usually classified as a form of complementary and alternative therapy in the West, Chinese medicine is an independent medical profession in Hong Kong and mainland China. It has a different perspective in understanding health and diseases compared with Western medicine. In oncology practice, whereas Western medicine focuses on direct tumour eradication by surgery, radiation therapy and systemic therapies, Chinese medicine focuses on restoring body balance and enhancing the body's defences (immunity), in addition to some cytotoxic herbal therapies. Most often patients, especially those in the East, receive both treatments. Chinese medicine is also commonly used to reduce side-effects from chemotherapy or radiation therapy, to aid recovery after an operation, to palliate symptoms and to address survivorship issues. However, this raises concerns of drug–herb interactions and toxicity in combination therapies. Commonly used Chinese medicine treatment modalities include acupuncture, moxibustion, diet therapy, prescribed Chinese medicine herbal decoction, single Chinese medicine herbs or supplements and tai chi. Although there is an increasing trend of Chinese medicine use in cancer patients in both the East and the West, the scientific evidence of safety and efficacy is often questioned by oncologists. This article reviews the current evidence in different Chinese medicine therapies in cancer management in both the East and the West. ? 2019 The Royal College of Radiologists","antineoplastic agent; Chinese drug; herbaceous agent; placebo; acupuncture; Article; cancer chemotherapy; Chinese medicine; human; malignant neoplasm; oriental medicine; priority journal; unspecified side effect; western medicine"
"Risk of viral reactivation in patients with occult hepatitis B virus infection during ruxolitinib treatment",2019,"[無可用摘要]","alanine aminotransferase; entecavir; hepatitis B antibody; hepatitis B core antibody; hepatitis B surface antigen; ruxolitinib; virus DNA; pyrazole derivative; ruxolitinib; adult; aged; alanine aminotransferase blood level; clinical article; cohort analysis; disease course; drug efficacy; drug safety; female; follow up; hepatitis B; human; immunochemistry; incidence; infection prevention; infection risk; Letter; limit of detection; male; myeloproliferative neoplasm; occult hepatitis B virus infection; outcome assessment; patient monitoring; priority journal; prospective study; serology; virus reactivation; chemically induced; drug effect; hematologic disease; hepatitis B; Hepatitis B virus; metabolism; middle aged; myeloproliferative disorder; physiology; risk factor; virus activation; Adult; Aged; Female; Hematologic Neoplasms; Hepatitis B; Hepatitis B virus; Humans; Male; Middle Aged; Myeloproliferative Disorders; Prospective Studies; Pyrazoles; Risk Factors; Virus Activation"
"Deferred treatment with a fixed-dose combination of sofosbuvir-velpatasvir for chronic hepatitis C virus genotype 1, 2, 4 and 6 infection",2019,"Sofosbuvir-velpatasvir is approved for the treatment of chronic hepatitis C virus (HCV) infection. In this single-arm, open-label, phase 3, deferred treatment study, we investigated the efficacy and safety of sofosbuvir-velpatasvir among patients randomized to the placebo group in the ASTRAL-1 study. Patients received sofosbuvir-velpatasvir (400/100?mg) once daily for 12?weeks. The primary efficacy endpoint was the proportion of patients with sustained virologic response 12?weeks after the end of therapy (SVR12). The primary safety endpoint was any adverse events (AEs) leading to the permanent discontinuation of study drug. Overall, 108/111 (97%, 95% confidence interval [CI], 92%-99%) achieved SVR12, and only one patient had virological failure. SVR12 was achieved by 61/63 (97%, 95%CI, 89%-100%) genotype 1 patients, 20/20 (100%; 95%CI, 83%-100%) with genotype 2, 19/19 (100%; 95%CI, 82%-100%) with genotype 4 and 8/9 (89%; 95% CI, 52%-100%) with genotype 6. All (19/19; 95%CI, 82-100) patients with cirrhosis and all (31/31, 95%CI, 89-100) with prior treatment experience achieved SVR12. The safety profile during treatment was similar to that observed in patients receiving placebo treatment. The most common AEs were headache, fatigue and nausea. One patient (1%) discontinued treatment due to an AE of gallbladder carcinoma, which was not considered related to treatment. Of five reported serious AEs, none were considered related to study drug. Sofosbuvir-velpatasvir for 12?weeks was effective and well tolerated among untreated and previously treated patients with HCV genotype 1, 2, 4 or 6 infection, including those with compensated cirrhosis (ClinicalTrials.gov NCT02346721). ? 2019 John Wiley & Sons Ltd","creatine kinase; nonstructural protein 5A; nonstructural protein 5B; sofosbuvir plus velpatasvir; Article; coughing; creatine kinase blood level; diarrhea; drug efficacy; drug response; drug safety; drug tolerability; drug withdrawal; fatigue; female; headache; hepatitis C; Hepatitis C virus genotype 1; Hepatitis C virus genotype 2; Hepatitis C virus genotype 4; Hepatitis C virus genotype 6; human; hyperbilirubinemia; hyperglycemia; lack of drug effect; major clinical study; male; nausea; outcome assessment; phase 3 clinical trial; priority journal; relapse; side effect; sustained virologic response; treatment duration; treatment outcome"
"High risk Epstein-Barr virus variants characterized by distinct polymorphisms in the EBER locus are strongly associated with nasopharyngeal carcinoma",2019,"Whether certain variants of Epstein–Barr virus (EBV) are linked to the pathogenesis of nasopharyngeal carcinoma (NPC), which shows a marked geographic restriction, remains an unresolved issue. We performed a case–control study comparing genomic sequences of EBV isolated from saliva samples of 142 population carriers with those from primary tumour biopsies derived from 62 patients with NPC of Hong Kong. Cluster analysis discovered five EBV subgroups 1A-C and 2A-B amongst the population carriers in contrast to the predominance of 1A and -B in the majority of NPC. Genome-wide association study (GWAS) identified a panel of NPC-associated single nucleotide polymorphisms (SNPs) and indels in the EBER locus. The most significant polymorphism, which can be found in 96.8% NPC cases and 40.1% population carriers of Hong Kong, is a four-base-deletion polymorphism downstream of EBER2 (EBER-del) from coordinates 7188–7191 (p = 1.91 × 10 ?7 ). In addition, the predicted secondary structure of EBER2 is altered with likely functional consequence in nearly all NPC cases. Using the SNPs and indels associated with NPC, genetic risk score is assigned for each EBV variant. EBV variants with high genetic risk score are found to be much more prevalent in Hong Kong Chinese than individuals of other geographic regions and in NPC than other EBV-associated cancers. We conclude that high risk EBV variants with polymorphisms in the EBER locus, designated as HKNPC-EBERvar, are strongly associated with NPC. Further investigation of the biological function and potential clinical application of these newly identified polymorphisms in NPC and other EBV-associated cancers is warranted. ? 2018 UICC","virus RNA; virus DNA; virus RNA; Article; carcinogenesis; case control study; Chinese; cluster analysis; controlled study; disease association; Epstein Barr virus; female; gene deletion; gene locus; gene sequence; genetic polymorphism; genetic risk; genetic variability; genome-wide association study; geography; haplotype; Hong Kong; human; indel mutation; major clinical study; male; nasopharynx carcinoma; nucleotide sequence; phylogeny; polymerase chain reaction; prediction; prevalence; priority journal; protein secondary structure; risk assessment; saliva analysis; single nucleotide polymorphism; tumor biopsy; virus carrier; virus isolation; virus load; classification; Epstein Barr virus; Epstein Barr virus infection; genetics; heterozygote; isolation and purification; nasopharynx carcinoma; nasopharynx tumor; principal component analysis; saliva; virology; virus genome; Carrier State; Case-Control Studies; DNA, Viral; Epstein-Barr Virus Infections; Genetic Loci; Genome, Viral; Genome-Wide Association Study; Haplotypes; Herpesvirus 4, Human; Hong Kong; Humans; Nasopharyngeal Carcinoma; Nasopharyngeal Neoplasms; Polymorphism, Single Nucleotide; Principal Component Analysis; RNA, Viral; Saliva"
"Enhancing tetrandrine cytotoxicity in human lung carcinoma A549 cells by suppressing mitochondrial ATP production",2019,"ATP depletion induced by inhibiting glycolysis or mitochondrial ATP production has been demonstrated to cause cancer cell death. Whether ATP depletion can enhance the efficacy and potency of anti-cancer effects of herbal compounds is so far unknown. We examined the enhancing effect of ATP depletion on anti-cancer actions of tetrandrine (TET) in human lung carcinoma A549 cells. A 24-h incubation of A549 cells with tetrandrine caused a concentration-dependent cytotoxic effect (LC 50 = 66.1?μM). Co-incubation with 20?mM 2-deoxyglucose (2-DG, glycolysis inhibitor) caused only a very slight enhancement of tetrandrine cytotoxicity. By contrast, inhibiting mitochondrial ATP production with oligomycin (10?μM, ATP synthase inhibitor) and FCCP (30?μM, uncoupling agent) (thus, oligo-FCCP) on its own caused only slight cell cytotoxicity but strongly potentiated tetrandrine cytotoxicity (tetrandrine LC 50 = 15.6?μM). The stronger enhancing effect of oligo-FCCP than 2-DG on TET toxicity did not result from more severe overall ATP depletion, since both treatments caused a similar ATP level suppression. Neither oligo-FCCP nor 2-DG synergized with tetrandrine in decreasing mitochondrial membrane potential. TET on its own triggered reactive oxygen species (ROS) production, and oligo-FCCP, but not 2-DG, potentiated TET in causing ROS production. Taken together, our results suggest that inhibiting ATP production from mitochondria, but not from glycolysis, appears to be a very effective means in augmenting TET-triggered ROS production and hence toxicity in A549 cells. ? 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","adenosine triphosphate; carbonyl cyanide 4 (trifluoromethoxy)phenylhydrazone; deoxyglucose; oligomycin; proton transporting adenosine triphosphate synthase; reactive oxygen metabolite; tetrandrine; A-549 cell line; antineoplastic activity; Article; cell viability; concentration response; controlled study; cytotoxicity; glycolysis; human; human cell; lung carcinoma; mitochondrial membrane potential"
"A network pharmacology-based study on the anti-hepatoma effect of Radix Salviae Miltiorrhizae",2019,"Background: Radix Salviae Miltiorrhizae (RSM), a well-known traditional Chinese medicine, has been shown to inhibit tumorigenesis in various human cancers. However, the anticancer effects of RSM on human hepatocellular carcinoma (HCC) and the underlying mechanisms of action remain to be fully elucidated. Methods: In this study, we aimed to elucidate the underlying molecular mechanisms of RSM in the treatment of HCC using a network pharmacology approach. In vivo and in vitro experiments were also performed to validate the therapeutic effects of RSM on HCC. Results: In total, 62 active compounds from RSM and 72 HCC-related targets were identified through network pharmacological analysis. RSM was found to play a critical role in HCC via multiple targets and pathways, especially the EGFR and PI3K/AKT signaling pathways. In addition, RSM was found to suppress HCC cell proliferation, and impair cancer cell migration and invasion in vitro. Flow cytometry analysis revealed that RSM induced cell cycle G2/M arrest and apoptosis, and western blot analysis showed that RSM up-regulated the expression of BAX and down-regulated the expression of Bcl-2 in MHCC97-H and HepG2 cells. Furthermore, RSM administration down-regulated the expression of EGFR, PI3K, and p-AKT proteins, whereas the total AKT level was not altered. Finally, the results of our in vivo experiments confirmed the therapeutic effects of RSM on HCC in nude mice. Conclusions: We provide an integrative network pharmacology approach, in combination with in vitro and in vivo experiments, to illustrate the underlying therapeutic mechanisms of RSM action on HCC. ? 2019 The Author(s).","antineoplastic agent; Chinese drug; cryptotanshinone; epidermal growth factor receptor; glycogen synthase kinase 3beta; liver protective agent; phosphatidylinositol 3 kinase; protein Bax; protein kinase B; Radix Salviae Miltiorrhizae extract; tanshinone IIA; unclassified drug; animal cell; animal experiment; antineoplastic activity; apoptosis; Article; cancer growth; cancer inhibition; cell cycle G2 phase; cell migration; cell proliferation; cell viability; chemical composition; Chinese medicine; controlled study; down regulation; drug efficacy; drug mechanism; drug megadose; flow cytometry; G2 phase cell cycle checkpoint; gene ontology; Hep-G2 cell line; high performance liquid chromatography; human; human cell; in vitro study; in vivo study; liver cell carcinoma; liver protection; low drug dose; male; MHCC97-H cell line; mouse; nonhuman; nude mouse; Pi3K/Akt signaling; plant root; protein binding; protein expression level; protein protein interaction; protein targeting; tumor invasion; upregulation; Western blotting"
