作者,作者身分,"文獻名稱	",年份,連結,摘要,作者,索引關鍵字,EID
"Fei Z., Hu M., Baum L., Kwan P., Hong T., Zhang C.",57209364959;57209363047;7103310839;7004369601;57209367705;55762705500;,The potential role of human multidrug resistance protein 1 (MDR1) and multidrug resistance-associated protein 2 (MRP2) in the transport of Huperzine A in vitro,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067576553&doi=10.1080%2f00498254.2019.1623935&partnerID=40&md5=a6c9b0e171b4686b16782e77d4318dcc,"1. More than 30% of epilepsy patients suffer pharmacoresistance. Transport of antileptic drugs by P-glycoprotein (P-gp) and MRP2 plays an important role in drug-resistant epilepsy. Huperzine A (Hup-A) is a natural compound, which might have potential in treating neurological disorders including epilepsy and Alzheimer’s disease. In this study, we investigated whether human P-gp and MRP2 transport Hup-A. 2. LLC-PK1 and MDCKII cells transfected with human P-gp or MRP2 were used to establish concentration equilibrium transport assays (CETAs) and determine the transport profile of Hup-A. The expression of P-gp and MRP2 was detected by qPCR and western blotting. The transport function of P-gp and MRP2 was measured by Rho123 and CDFDA cell uptake assay. 3. In CETAs, Hup-A at concentrations of 10 ng/mL or 2??g/mL was transported by MDR1 and MRP2 from basolateral to apical sides of the cell monolayers. P-gp and MRP2 inhibitors completely blocked the efflux of Hup-A. There was no efflux of Hup-A in LLC-PK1 or MDCKII wild-type (WT) cells. 4. We demonstrate that Hup-A is a substrate of P-gp and MRP2. These results imply the efflux of Hup-A across the blood-brain barrier (BBB) in vivo, suggesting potential drug resistance of Hup-A. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",cell monolayer; drug transporter; drug-resistant epilepsy; Hup-A; P-glycoprotein,huperzine A; multidrug resistance associated protein 2; multidrug resistance protein 1; animal cell; Article; controlled study; drug transport; genetic transfection; human; human cell; in vitro study; LLC-PK1 cell line; MDCK-II cell line; nonhuman; protein expression; protein function; real time polymerase chain reaction; transport assay; uptake assay; Western blotting,2-s2.0-85067576553
"Liu T., Luo H., Tang J.Y.M., Wong G.H.Y.",56131924500;56555619800;57212898552;24465754400;,Does lifestyle matter? Individual lifestyle factors and their additive effects associated with cognitive function in older men and women,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058174191&doi=10.1080%2f13607863.2018.1539833&partnerID=40&md5=eeefea7942bf789ff80ad45cae31546f,"Objectives: This study investigated the association between healthy lifestyle comprised of multiple domains, gender, and cognitive function in older Chinese people in Hong Kong. Methods: We conducted a cross-sectional analysis with data from 1,831 community-dwellers aged 65 years and above. Participants’ basic demographics, comorbidity, and six lifestyle factors: diet; smoking; alcohol drinking; and physical, mental, and social activities were surveyed. Cognitive function was assessed using the Cantonese Chinese Montreal Cognitive Assessment (CC-MoCA). Linear regressions were performed to examine the associations between lifestyle, gender, and cognitive performance. Results: There were gender differences in lifestyle: men smoked (χ2(1) = 159.4) and drank more (χ2(1) = 85.9) and were more active in mentally stimulating activities (χ2(1) = 14.3, all p&lt;.001); while women were more socially active (χ2(1) = 28.0). Age, gender and education explained the greatest variance in cognition (R2=.32). Being active/healthy in more domains further contributed to better cognitive function, although the effect was small (ΔR2=0.03 in women; ΔR2=0.01 in men, both p&lt;.05). Among the lifestyle domains, physical activity showed the strongest effects on cognitive function (ΔR2=0.004 in men and ΔR2=0.02 in women, both p&lt;.05). Conclusions: Naturalistically, a physically active lifestyle and being active/healthy in more domains is associated with better cognitive function in older people after controlling for non-modifiable and early-life factors. The effects are however small. There are gender differences in lifestyle and the impact of lifestyle on cognitive function. Preventive strategies targeting lifestyle domains for cognitive health in older people may consider these naturalistic associations. ? 2018, ? 2018 Informa UK Limited, trading as Taylor & Francis Group.",Cognitive functioning; gender difference; lifestyle,aged; alcohol consumption; article; case report; Chinese; clinical article; comorbidity; cross-sectional study; diet; education; female; healthy lifestyle; Hong Kong; human; linear regression analysis; male; mental performance; Montreal cognitive assessment; physical activity; sex difference; smoking; social behavior; additive effect; demography,2-s2.0-85058174191
"Ngai F.-W., Wong P.W.-C., Chung K.-F., Chau P.-H., Hui P.-W.",21735039700;13607861800;57194128409;57215449862;57210192135;,Effect of couple-based cognitive behavioural intervention on prevention of postnatal depression: multisite randomised controlled trial,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069847344&doi=10.1111%2f1471-0528.15862&partnerID=40&md5=97cad0457e080a50e789063dfc35e1ac,"Objective: To compare a couple-based cognitive behavioural intervention (CBI) for postnatal depression with CBI delivered to women alone and control (standard perinatal care). Design: Multisite randomised controlled trial. Setting: Antenatal clinics at three regional public hospitals in Hong Kong. Sample: 388 low-risk childbearing couples. Methods: Childbearing couples were randomly allocated to couple-based CBI (n?=?134), women-alone CBI (n?=?124) or control (n?=?130). The CBI consists of a 3-hour antenatal group session and two 30-minute postnatal telephone follow-up sessions. Main outcome measures: The primary outcome was depressive symptoms, measured on the Edinburgh Postnatal Depression Scale (EPDS). Assessments were collected at baseline (during pregnancy), 6?weeks, 6?months, and 12?months postpartum. Results: Depressive symptoms were significantly more improved at 6?weeks postpartum for mothers in couple-based CBI than in women-alone CBI (difference 1.46, 95% CI 0.11–2.81) or control groups (difference 1.71, 95% CI 0.29–3.13). The proportion of mothers with postnatal depression (EPDS score???10) was significantly lower at 6?weeks postpartum in couple-based CBI than in control (difference 17.8%, 95% CI 3.6–32.0). However, the treatment effect was not maintained at 6 and 12?months. There was no significant intervention effect among fathers. Conclusions: Couple-based CBI is more effective than CBI delivered to mothers alone and standard perinatal care in reducing the incidence of postnatal depression among Chinese mothers in the early postpartum period. Tweetable abstract: Couple-based cognitive behavioural intervention is effective in reducing postnatal depression among Chinese mothers in the early postpartum period. ? 2019 Royal College of Obstetricians and Gynaecologists",Couple-based cognitive behavioural intervention; postnatal depression,"adult; clinical trial; cognitive behavioral therapy; controlled study; female; Hong Kong; human; male; multicenter study; postnatal depression; prenatal care; procedures; psychology; randomized controlled trial; sexuality; Adult; Cognitive Behavioral Therapy; Depression, Postpartum; Female; Hong Kong; Humans; Male; Prenatal Care; Sexual Partners",2-s2.0-85069847344
"Wong J.Y.Y., Zhang H., Hsiung C.A., Shiraishi K., Yu K., Matsuo K., Wong M.P., Hong Y.-C., Wang J., Seow W.J., Wang Z., Song M., Kim H.N., Chang I.-S., Chatterjee N., Hu W., Wu C., Mitsudomi T., Zheng W., Kim J.H., Seow A., Caporaso N.E., Shin M.-H., Chung L.P., An S.-J., Wang P., Yang Y., Zheng H., Yatabe Y., Zhang X.-C., Kim Y.T., Cai Q., Yin Z., Kim Y.-C., Bassig B.A., Chang J., Ho J.C.M., Ji B.-T., Daigo Y., Ito H., Momozawa Y., Ashikawa K., Kamatani Y., Honda T., Hosgood H.D., Sakamoto H., Kunitoh H., Tsuta K., Watanabe S.-I., Kubo M., Miyagi Y., Nakayama H., Matsumoto S., Tsuboi M., Goto K., Shi J., Song L., Hua X., Takahashi A., Goto A., Minamiya Y., Shimizu K., Tanaka K., Wei F., Matsuda F., Su J., Kim Y.H., Oh I.-J., Song F., Su W.-C., Chen Y.-M., Chang G.-C., Chen K.-Y., Huang M.-S., Chien L.-H., Xiang Y.-B., Park J.Y., Kweon S.-S., Chen C.-J., Lee K.-M., Blechter B., Li H., Gao Y.-T., Qian B., Lu D., Liu J., Jeon H.-S., Hsiao C.-F., Sung J.S., Tsai Y.-H., Jung Y.J., Guo H., Hu Z., Wang W.-C., Chung C.C., Burdett L., Yeager M., Hutchinson A., Berndt S.I., Wu W., Pang H., Li Y., Choi J.E., Park K.H., Sung S.W., Liu L., Kang C.H., Zhu M., Chen C.-H., Yang T.-Y., Xu J., Guan P., Tan W., Wang C.-L., Hsin M., Sit K.-Y., Ho J., Chen Y., Choi Y.Y., Hung J.-Y., Kim J.S., Yoon H.I., Lin C.-C., Park I.K., Xu P., Wang Y., He Q., Perng R.-P., Chen C.-Y., Vermeulen R., Wu J., Lim W.-Y., Chen K.-C., Li Y.-J., Li J., Chen H., Yu C.-J., Jin L., Chen T.-Y., Jiang S.-S., Liu J., Yamaji T., Hicks B., Wyatt K., Li S.A., Dai J., Ma H., Jin G., Song B., Wang Z., Cheng S., Li X., Ren Y., Cui P., Iwasaki M., Shimazu T., Tsugane S., Zhu J., Yang K., Jiang G., Fei K., Wu G., Lin H.-C., Chen H.-L., Fang Y.-H., Tsai F.-Y., Hsieh W.-S., Yu J., Stevens V.L., Laird-Offringa I.A., Marconett C.N., Rieswijk L., Chao A., Yang P.-C., Shu X.-O., Wu T., Wu Y.L., Lin D., Chen K., Zhou B., Huang Y.-C., Kohno T., Shen H., Chanock S.J., Rothman N., Lan Q.",19336599300;55846804300;57202456495;7202509586;7403385290;57213117864;7403907887;7403393231;7701314889;55511075900;35346086300;56723259300;7410134504;7201742359;7004286059;56452009900;16231904800;7006672879;57208199854;56239913400;56153247800;35376837100;7401537616;24315879100;9736350600;35325529200;57201950965;56440556100;57204348084;57207319301;55584791536;7201853606;35335594700;35201246200;36700998400;55716798500;7402649981;7102566147;7004496677;57210389555;8628928100;26530752000;23018337900;57207342950;56353204400;57205251007;7003627919;8893451200;57204124452;57213544494;7103148659;7401579827;7404265569;55450411000;7403193692;57193324786;57125255900;55203061100;35371084400;7202295543;35519076100;7404959449;55523796200;7202453127;7202165578;26644540200;7410200877;7101831082;23089681700;57154874700;57209887986;7402308947;55683537600;56440518700;56742828600;7201979437;57202138479;7003824608;57211727554;56959574500;57202401910;23089120000;57211729080;22954132500;55675224349;57208523547;7201833632;7202806660;56543955700;7402627938;55446683300;35754492500;8392216300;57201282614;35338934200;22949983300;35379327500;35381552100;8551151700;57202196681;57205844638;36027570900;37107028100;7408065807;56575363700;56537191900;34770390200;55874242200;26025855000;35751039800;7407002243;7006168914;7401959984;35486120300;35299293600;23981459100;57214740157;56529016800;8547187300;7201963659;57209881175;7402990253;56642098700;56438531400;57214656722;56900123800;56003953300;7005713291;7501958115;7006012910;55713999100;35995422500;8674333600;35337355000;36523246000;55675224344;7404977466;57208007987;57209880712;7404452931;55279322700;7102897776;57210905802;57169985800;57169239600;26643801800;8624236700;12776973300;9044530900;8644310300;56468378900;35302872200;39362345600;56084964800;9233646600;56469917400;56481201800;57169003700;55478587600;15065253700;15727763400;55286446300;57213771347;57169107200;57209891172;26028474900;35168043900;57199158618;57201568161;7003781452;25936455500;55978568400;56048016800;7403932080;57211229380;7404815278;55569782000;55520003300;7410237668;7401906866;23976179000;7201820330;7404522651;57215507607;34572851700;56682598900;,Tuberculosis infection and lung adenocarcinoma: Mendelian randomization and pathway analysis of genome-wide association study data from never-smoking Asian women,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068966697&doi=10.1016%2fj.ygeno.2019.07.008&partnerID=40&md5=2f03da81363ca97dba6e57d733f19b1b,"We investigated whether genetic susceptibility to tuberculosis (TB) influences lung adenocarcinoma development among never-smokers using TB genome-wide association study (GWAS) results within the Female Lung Cancer Consortium in Asia. Pathway analysis with the adaptive rank truncated product method was used to assess the association between a TB-related gene-set and lung adenocarcinoma using GWAS data from 5512 lung adenocarcinoma cases and 6277 controls. The gene-set consisted of 31 genes containing known/suggestive associations with genetic variants from previous TB-GWAS. Subsequently, we followed-up with Mendelian Randomization to evaluate the association between TB and lung adenocarcinoma using three genome-wide significant variants from previous TB-GWAS in East Asians. The TB-related gene-set was associated with lung adenocarcinoma (p = 0.016). Additionally, the Mendelian Randomization showed an association between TB and lung adenocarcinoma (OR = 1.31, 95% CI: 1.03, 1.66, p = 0.027). Our findings support TB as a causal risk factor for lung cancer development among never-smoking Asian women. ? 2019",Lung adenocarcinoma; Lung cancer; Mendelian randomization; Pathway analysis; Tuberculosis,HLA DQA1 antigen; adult; Article; controlled study; DLG2 gene; East Asian; female; FHAD1 gene; gene; genetic association; genetic susceptibility; genetic variability; genome-wide association study; HLA DQA1 gene; human; LRRC69 gene; lung adenocarcinoma; major clinical study; MEIS2 gene; Mendelian randomization analysis; never smoker; observational study; pathway analysis; priority journal; single nucleotide polymorphism; statistical analysis; tuberculosis; ZFPM2 gene,2-s2.0-85068966697
"Xiu D., Fung Y.-L., Lau B.H.-P., Wong D.F.K., Chan C.H.Y., Ho R.T.H., So T.-H., Lam T.-C., Lee V.H.-F., Lee A.W.M., Chow S.F., Lim F.M., Tsang M.W., Chan C.L.W., Chow A.Y.M.",57209836291;57214704862;56262282100;35231716600;55999373100;8620896500;57193241827;36775821500;14035860900;17035384900;57200551969;57209829221;57209829137;35274549700;35733472800;,Comparing dyadic cognitive behavioral therapy (CBT) with dyadic integrative body-mind-spirit intervention (I-BMS) for Chinese family caregivers of lung cancer patients: a randomized controlled trial,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068877536&doi=10.1007%2fs00520-019-04974-z&partnerID=40&md5=b89440937034bd85e3345cc6a62406a4,"Purpose: The study adopted a randomized controlled trial to compare the effect of culturally compatible psychosocial interventions on multiple aspects of quality of life (QoL) for family caregivers of lung cancer patients. Methods: 157 Chinese informal caregivers of lung cancer patients were recruited together with the family members for whom they were providing care, and randomly assigned to either integrative body-mind-spirit intervention (I-BMS) or cognitive behavioral therapy (CBT). Patient-caregiver dyads attended the same arm of intervention in separate groups for 8?weeks. Assessments of generic QoL, anxiety, depression, perceived stress, insomnia, and caregiving burden were measured before intervention (T0), within 1-week (T1), 8-week (T2), and 16-week (T3) post-intervention. Results: Adopting the intention-to-treat analysis, family caregivers in receipt of both I-BMS and CBT exhibited a statistically significant improvement in generic QoL immediately following intervention and at follow-up assessments, with moderate effect size. Improvement of insomnia was found at T1 for both modes, which deteriorated at follow-up; both modes reduced anxiety and perceived stress at follow-up. No intervention effect was observed in depression and domains of caregiving burden. There was no significant interaction effect between intervention type and time. No main or interaction effect between sample background variables and intervention type was found to predict symptomatic changes at T1 and T3. Conclusions: Culturally attuned I-BMS and CBT exhibited equivalent effectiveness in improving psychological distress and generic QoL for family caregivers of lung cancer patients. To improve the evaluation of outcomes, future study could benefit from incorporating a usual care control. ? 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Chinese; Cognitive behavioral therapy; Family caregiver; Lung cancer; Mind-body intervention; Quality of life,adult; anxiety; Article; assessment of humans; cancer patient; care behavior; caregiver; caregiver burden; Caregiver Reaction Assessment; Chinese; cognitive behavioral therapy; controlled study; depression; distress syndrome; female; follow up; Hospital Anxiety and Depression Scale; human; insomnia; Insomnia Severity Index; integrative body mind spirit intervention; intention to treat analysis; lung cancer; major clinical study; male; mental stress; middle aged; outcome assessment; patient care; Perceived Stress Scale; prediction; priority journal; psychiatric treatment; quality of life; Quality of Life Index; randomized controlled trial; treatment duration,2-s2.0-85068877536
"Chiang C.L., So T.H., Lam T.C., Choi H.C.W.",56996614800;57193241827;36775821500;56459267100;,Cost-effectiveness analysis of Abiraterone Acetate versus Docetaxel in the management of metastatic castration-sensitive prostate cancer: Hong Kong’s perspective,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068866913&doi=10.1038%2fs41391-019-0161-2&partnerID=40&md5=44487b368ab0a3049e0301f180f78e42,"Background: Several randomized control trials (RCTs) have showed that adding either abiraterone acetate (AA) or docetaxel (D) to androgen-deprivation therapy (ADT) improves survival of metastatic castration-sensitive prostate cancer patients (mCSPC). Yet, the cost-effectiveness of these treatment options has not been fully compared under Hong Kong’s setting. This cost-effectiveness analysis (CEA) serves as the first study in Hong Kong to compare the economic value of these two combinations ADT + AA vs. ADT + D. Methods: A deterministic Markov model is used to project cost-effectiveness of each treatment until death. Survival curves for progression/death were extracted and digitized from the five RCTs (CHAARTED, LATITUDE, two STAMPEDE (2016/2017), and GETUG-AFU15). Clinically significant adverse events (AEs) were modeled; utility values were obtained from the literature. Primary outcomes were the quality-adjusted life years (QALYs) and incremental cost-effectiveness ratio (ICER). We used the societal perspective from Hong Kong and considered three times of local gross domestic product per capita (GDPpc) as the willingness-to-pay (WTP) threshold (i.e., US$138,649). We estimated the break-even cost of AA in case ADT + AA is not a cost-effective strategy under this WTP threshold. While considering the standard AA dosage (1000 mg) as the main analysis, we also examined the potential impact of the low-dose AA (250 mg) strategy. Results: Integrating simulations with probabilistic sensitivity analysis, ADT + D returns 0.79 (median; 95% credible interval 0.56–0.97) QALY with an ICER of US$14,397/QALY ($7824–22,632) compared to ADT-alone. A head-to-head comparison indicates that ADT + AA further gains 0.79 (0.45–1.17) QALY but with an ICER of $361,439/QALY ($260,615–599,683) when compared to ADT + D. Considering three times of GDPpc as WTP threshold, ADT + D is more cost-effective in all simulations; while ADT + AA is more cost-effective than ADT + D only if the cost of AA is reduced by at least 63%. The low-dose AA (250 mg) strategy is potentially cost-effective when it generates equivalent efficacy as the standard dosage (1000 mg). Conclusions: ADT + D is therefore shown to be a more cost-effective strategy than ADT + AA in metastatic castration-sensitive prostate cancer patients in developed economies. Addition of AA substantially improved QALY compared to D but at a significant cost. ? 2019, The Author(s), under exclusive licence to Springer Nature Limited.",,abiraterone acetate; docetaxel; prednisone; aged; androgen deprivation therapy; Article; cancer growth; cause of death; cohort analysis; controlled study; cost effectiveness analysis; failure free survival; gross domestic product per capita; gross national product; Hong Kong; human; low drug dose; male; metastatic castration sensitive prostate cancer; multiple cycle treatment; overall survival; phase 2 clinical trial; priority journal; progression free survival; prostate cancer; quality adjusted life year; quality of life; randomized controlled trial; treatment outcome; urogenital tract metastasis; Willingness To Pay,2-s2.0-85068866913
"Fan H.-J., Tan Z.-B., Wu Y.-T., Feng X.-R., Bi Y.-M., Xie L.-P., Zhang W.-T., Ming Z., Liu B., Zhou Y.-C.",57196467623;56844351300;57201019463;56755546700;57202006141;57202009213;57202010906;57205326287;56466145200;8528209100;,"The role of ginsenoside Rb1, a potential natural glutathione reductase agonist, in preventing oxidative stress-induced apoptosis of H9C2 cells",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059576473&doi=10.1016%2fj.jgr.2018.12.004&partnerID=40&md5=63471582d81e7945122f13417d6b5151,"Background: Oxidative stress-induced cardiomyocytes apoptosis is a key pathological process in ischemic heart disease. Glutathione reductase (GR) reduces glutathione disulfide to glutathione (GSH) to alleviate oxidative stress. Ginsenoside Rb1 (GRb1) prevents the apoptosis of cardiomyocytes; however, the role of GR in this process is unclear. Therefore, the effects of GRb1 on GR were investigated in this study. Methods: The antiapoptotic effects of GRb1 were evaluated in H9C2 cells by 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide, annexin V/propidium iodide staining, and Western blotting. The antioxidative effects were measured by a reactive oxygen species assay, and GSH levels and GR activity were examined in the presence and absence of the GR inhibitor 1,3-bis-(2-chloroethyl)-1-nitrosourea. Molecular docking and molecular dynamics simulations were used to investigate the binding of GRb1 to GR. The direct influence of GRb1 on GR was confirmed by recombinant human GR protein. Results: GRb1 pretreatment caused dose-dependent inhibition of tert-butyl hydroperoxide-induced cell apoptosis, at a level comparable to that of the positive control N-acetyl-L-cysteine. The binding energy between GRb1 and GR was positive (?6.426 kcal/mol), and the binding was stable. GRb1 significantly reduced reactive oxygen species production and increased GSH level and GR activity without altering GR protein expression in H9C2 cells. Moreover, GRb1 enhanced the recombinant human GR protein activity in vitro, with a half-maximal effective concentration of ?2.317 μM. Conversely, 1,3-bis-(2-chloroethyl)-1-nitrosourea co-treatment significantly abolished the GRb1's apoptotic and antioxidative effects of GRb1 in H9C2 cells. Conclusion: GRb1 is a potential natural GR agonist that protects against oxidative stress–induced apoptosis of H9C2 cells. ? 2019",Apoptosis; Ginsenoside Rb1; Glutathione reductase; H9C2; Oxidative stress,ginsenoside Rb 1; glutathione; protein Bax; protein bcl 2; reactive oxygen metabolite; animal cell; antiapoptotic activity; antioxidant activity; apoptosis; Article; controlled study; EC50; embryo; H9c2(2-1) cell line; heart protection; in vitro study; molecular docking; molecular dynamics; MTT assay; nonhuman; oxidative stress; priority journal; protein expression; rat; staining; upregulation; Western blotting,2-s2.0-85059576473
"Chen Y.-Y., Chen H., Song P.",56556644000;46161051400;57212619357;,Promises and pitfalls of integrating home-based health services into Shanghai's elder-care system,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052923794&doi=10.1017%2fS0144686X18001095&partnerID=40&md5=492f546e551d2ff2a35542bebacc01a2,"Faced with the dramatic pace of population ageing, the Shanghai municipal government launched a pilot programme in 2013 designed to address this and to strengthen ageing-in-place arrangements by providing basic in-home medical services for residents above the age of 80. Yet after a two-year trial run, the 'Home-Based Medical Care Scheme for the Oldest-Old' (HBMCSOO) policy remained significantly under-utilised despite the increasing demand for medical services. Our multi-disciplinary research team of social workers and anthropologists identified two key factors impeding the implementation of home-based medical care services: (a) the distortion of policy implementation and (b) the inadequate professionalisation of community-based elder-care workers. Based on our evaluation of the pilot programme, the Shanghai municipal government made several practical adjustments to improve the subsequent city-wide policy implemented in 2016. While these changes mostly focused on minor adjustments to improve in-home medical services for the oldest-old, they represent an encouraging first step towards our call for a holistic integrated care system whose design and delivery takes into account local political and social contexts, including existing institutional infrastructure and cultural expectations about care-giving responsibilities. The challenges of implementing Shanghai's HBMCSOO policy ultimately provide instructive lessons on best practices for integrating medical and social services in order to improve ageing-in-place measures in diverse local settings around the world. ? Copyright Cambridge University Press 2018.",ageing in place; anthropology; home health aide; integrated care model; oldest-old; social work,aging population; elderly care; governance approach; health services; holistic approach; policy implementation; service provision; social work; aged; anthropology; article; expectation; government; human; independent living; interdisciplinary research; medical care; medical service; resident; responsibility; social environment; social work; social worker; very elderly; China; Shanghai,2-s2.0-85052923794
"Dai Z., Fan K., Zhang L., Yang M., Yu Q., Liu L., Leung L.",57210429752;16312438400;57210425794;57210425469;57210434838;57210425310;7202048086;,Risk factors for influenza B virus–associated pneumonia in adults,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070675699&doi=10.1016%2fj.ajic.2019.07.010&partnerID=40&md5=0cd31cbc87ed425893ec511352b937bc,"Background: There is limited knowledge regarding the risk factors for influenza B virus–associated pneumonia in adults. This study aimed to determine the risk factors for influenza B virus–associated pneumonia in adults. Methods: We used viral surveillance data during the pandemic season between November 2017 and April 2018 from the University of Hong Kong-Shenzhen Hospital medical record database. The files of patients ages 18 years or older were reviewed for demographics, clinical characteristics, laboratory findings, and outcome. Multivariate logistic regression analysis was performed to identify risk factors associated with influenza B virus–associated pneumonia. Results: A total of 78 patients with influenza B, ages 20 to 87 years, were identified. Comparing cases with pneumonia vs cases without pneumonia, there were significant differences in the following: age in years (67.41 ± 16.63 vs 58.16 ± 17.65; P =. 028), age group (74.1% vs 51.0%; P =. 049), chronic respiratory diseases (70.4% vs 21.6%; P =. 000), shortness of breath (40.7% vs13.7%; P =. 007), abnormal breath sounds on auscultation (51.9% vs 21.6%; P =. 006), and serum alanine transaminase level (30.07 ± 10.73 vs 38.64 ± 21.68; P =. 022). Logistic regression models indicated that chronic respiratory diseases (odds ratio, 8.452; 95% confidence interval, 2.768-25.808; P =. 000) and shortness of breath (odds ratio, 1.261; 95% confidence interval, 1.015-1.566; P =. 036) were independent risk factors. Conclusions: This study suggests that chronic respiratory diseases and shortness of breath are independent risk factors for influenza B virus–associated pneumonia in adult patients. ? 2019 Association for Professionals in Infection Control and Epidemiology, Inc.",Chronic respiratory diseases; Influenza; Influenza B; Influenza B virus-associated pneumonia; Pneumonia; Risk factors,influenza vaccine; oseltamivir; abnormal respiratory sound; adult; aged; alanine aminotransferase blood level; Article; chronic respiratory tract disease; clinical feature; clinical outcome; controlled study; data base; demography; dyspnea; female; human; human cell; influenza; influenza B; Influenza B virus; influenza B virus associated pneumonia; laboratory test; lung auscultation; major clinical study; male; medical record review; multivariate logistic regression analysis; nonhuman; observational study; pandemic influenza; retrospective study; risk assessment; risk factor; university hospital; virus pneumonia,2-s2.0-85070675699
"Kwok C., Lee M.-J., Lee C.F.",9036761100;15124245000;57196253393;,Breast Cancer Perceptions and Screening Behaviours Among Korean Women in Australia,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065041690&doi=10.1007%2fs10903-019-00876-8&partnerID=40&md5=3e16b47d7588a5b9e537de63b7e3a48a,"Little is known about breast cancer screening behaviours among immigrant-Korean women in Australia. This study reported breast cancer screening status and whether demographic factors and cultural beliefs associated with their screening behaviours. A convenience sample of 258 Korean-Australian women completed the Korean version of the Breast Cancer Screening Beliefs Questionnaire. Only 16.9% paid special attention to their breasts monthly whereas 31.4% and 54.5% attended annual clinical breast examination and biannual mammograms respectively. Employment status and the length of stay in Australia are significant factors that affect women’s breast cancer screening behaviour. Women who engaged in regular breast awareness and clinical breast examination had significantly higher scores on Knowledge of breast cancer subscale, whereas, those who attended mammography has significantly higher scores on Attitudes toward health check-ups. The research highlights that certain cultural and attitudinal issues are detrimental factors for breast cancer screening behaviour among Korean-Australian women. ? 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Breast cancer screening; Korean women; Mammography,,2-s2.0-85065041690
