作者,作者身分,"文獻名稱	",年份,連結,摘要,作者,索引關鍵字,EID
"Jasirwan C.O.M., Hasan I., Sulaiman A.S., Lesmana C.R.A., Kurniawan J., Kalista K.F., Nababan S.H., Gani R.A.",55192478000;12776850800;56926804000;8977683000;57193251655;57200425631;57205443199;23495930300;,Risk factors of mortality in the patients with hepatocellular carcinoma: A multicenter study in Indonesia,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065903976&doi=10.1016%2fj.currproblcancer.2019.05.003&partnerID=40&md5=1d617024e535ae2b2fb0569d05df2f46,"Background and Aims: Hepatocellular carcinoma (HCC) is considered a significant burden, and its associated rate of mortality is increasing. Therefore, a population-based cancer registry is considered an essential element in the baseline and comprehensive analysis of the risk factors associated with HCC. We present a multicenter analysis of HCC registry from 2 hospitals in Indonesia. Methods: We performed a follow-up on patients with HCC who were admitted between January 2015 and November 2017 in Cipto Mangunkusumo National General Hospital and Dharmais Hospital, Jakarta, Indonesia. Patient's death was considered the primary outcome of the study. A multivariate analysis was conducted using logistic regression, and odds ratio (OR) with 95% confidence intervals (CIs) were calculated. Results: A total of 282 patients with HCC included. At the last follow-up, 136 (48.2%) patients had died. Mortality rate was not significantly affected by sex, age, etiology, the presence of cirrhosis, nor surveillance of HCC. Based on the Child-Pugh (CP) classification, the OR increased progressively in CP C patients (OR 1.95; 95% CI 1.08-3.53; P = 0.026). The progressive increase was also found in patients with a higher Barcelona Clinic Liver Cancer stage, and the OR for CP C and D patients were 3.50 (95% CI 1.18-10.38; P = 0.024) and 3.41 (95% CI 1.02-11.41; P = 0.047), respectively. Supportive treatment was the most common treatment modality with an OR of 2.17 (95% CI 1.14-4.16; P = 0.019), and it was associated with the mortality rate of HCC. Conclusions: The CP classification, Barcelona Clinic Liver Cancer staging system, and treatment modality might predict mortality in patients with HCC. Moreover, other parameters must be further evaluated. ? 2019 Elsevier Inc.",Cirrhosis; Hepatocellular carcinoma; Mortality; Risk factors,sorafenib; adult; age; Article; cancer mortality; cancer patient; cancer radiotherapy; cancer registry; cancer staging; cancer surgery; cell differentiation; chemoembolization; Child Pugh score; cohort analysis; computer assisted tomography; disease association; female; follow up; hepatitis C; human; Indonesia; liver cell carcinoma; liver cirrhosis; major clinical study; male; middle aged; mortality rate; multicenter study; nuclear magnetic resonance imaging; outcome assessment; population; radiofrequency ablation; risk factor,2-s2.0-85065903976
"Kumboyono K., Hamid A.Y.S., Sahar J., Bardosono S.",57191622203;57201498185;6508226729;21933841000;,Community response to the initiation of smoking in Indonesian early adolescents: a qualitative study,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065071378&doi=10.1080%2f02673843.2019.1608273&partnerID=40&md5=ea5809d6b6ba05fc2b9666de97e8b636,"This study aims to explore the nature of community response to the initiation of smoking among Indonesian early adolescents. The study was a qualitative survey involving 100 selected participants (early adolescents, parents, teachers of junior high schools, and school nurses with 25 participants in each category) through snowball sampling method. Participants were interviewed with semi-structured open-ended questions. Data analysis was accomplished by the triangulation of data source. Smoking initiation arises reactive and assertive community response in rejecting negative impact of smoking-leading situation. Community response to the initiation of smoking among early adolescents has certain complex characteristics. Health professionals need to actively participate in building smoke-free community by constructing a practical model of public health nursing which is comprehensive to protect Indonesian early adolescents from negative impacts of culturally allowed smoking. ? 2020, ? 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",adolescent; Community; qualitative survey; smoking prevention,adolescent; article; community health nursing; data analysis; female; high school; human; human tissue; major clinical study; male; qualitative research; sampling; school health nursing; smoking prevention; teacher,2-s2.0-85065071378
"Kajiki S., Mori K., Kobayashi Y., Hiraoka K., Fukai N., Uehara M., Adi N.P., Nakanishi S.",14627446200;35375268300;35431453800;57213718884;57201257047;8310973200;57023786200;57193048848;,Developing a global occupational health and safety management system model for Japanese companies,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070722048&doi=10.1002%2f1348-9585.12081&partnerID=40&md5=d514dc64956bf1d70d8debefd6f82d39,"Objectives: To develop and validate a global occupational health and safety management system (OHSMS) model for Japanese companies. Methods: In cooperation with a Japanese company, we established a research team and gathered information on occupational health and safety (OHS) practices in nine countries where the target company operated manufacturing sites. We then developed a model hypothesis via research team meeting. The model hypothesis was introduced to local factories in Indonesia and Thailand as trial sites. We evaluated the roles of the company headquarters, the implementation process, and any improvements in OHS practices at the sites. Based on the results, a global OHSMS model was formalized for global introduction. Results: The model consisted of both headquarters and site roles. These roles were well-functioning, and OHS at the sites improved. Two issues concerning the functioning of the headquarters were identified: the need to establish a reporting system to the headquarters and the need to support the improvement of specialized human resources. By improving the model hypothesis to address these issues, the model was formalized for global introduction. Conclusions: The global OHSMS model was based on the use of methods and specialized human resources relevant to each region and their common objectives, as well as evaluation indicators based on the minimum requirements of the company headquarters. To verify the effectiveness of this model, the experiment should be extended to other countries. ? 2019 The Authors. Journal of Occupational Health published by John Wiley & Sons Australia, Ltd on behalf of The Japan Society for Occupational Health",global OHSMS; Japanese companies; performance audit; reporting system; specialized human resources,article; human; Indonesia; occupational health; Thailand,2-s2.0-85070722048
"Azminah A., Erlina L., Radji M., Mun'im A., Syahdi R.R., Yanuar A.",55694668500;57190181680;23107540200;57200562136;57193830760;13807692900;,In silico and in vitro identification of candidate SIRT1 activators from Indonesian medicinal plants compounds database,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069931969&doi=10.1016%2fj.compbiolchem.2019.107096&partnerID=40&md5=4e194b5aa305618de24e2c1bc19d025e,"Sirtuin 1 (SIRT1) is a class III family of protein histone deacetylases involved in NAD+-dependent deacetylation reactions. It has been suggested that SIRT1 activators may have a protective role against type 2 diabetes, the aging process, and inflammation. This study aimed to explore and identify medicinal plant compounds from Indonesian Herbal Database (HerbalDB) that might potentially become a candidate for SIRT1 activators through a combination of in silico and in vitro methods. Two pharmacophore models were developed using co-crystalized ligands that allosterically bind with SIRT1 similar to the putative ligands used by SIRT1 activators. Then, these were used for the virtual screening of HerbalDB. The identified compounds were subjected to molecular docking and 50 ns molecular dynamics simulation. Molecular dynamics simulation was analyzed using MM-GB(PB)SA methods. The compounds identified by these methods were tested in an in vitro study using a SIRT-Glo? luminescence assay. Virtual screening using structure-based pharmacophores predicted that mulberrin as the best candidate SIRT1 activator. Virtual screening using ligand-based pharmacophores predicted that gartanin, quinidine, and quinine to be the best candidates as SIRT1 activators. The molecular docking studies showed the important residues involved were Ile223 and Ile227 at the allosteric region. The MM-GB(PB)SA calculations confirmed that mulberrin, gartanin, quinidine, quinine showed activity at allosteric region and their EC50 in vitro values are 2.10; 1.79; 1.71; 1.14 μM, respectively. Based on in silico and in vitro study results, mulberin, gartanin, quinidine, and quinine had good activity as SIRT1 activators. ? 2019 The Authors",Indonesia medicinal plants database (HerbalDB); Molecular dynamics simulation; Pharmacophore-based; SIRT1 activator; Virtual screening,"Acetylation; Database systems; Ligands; Molecular modeling; Pharmacodynamics; Plants (botany); Reaction kinetics; Medicinal plants; Molecular dynamics simulations; Pharmacophores; SIRT1 activator; Virtual Screening; Molecular dynamics; SIRT1 protein, human; sirtuin 1; chemistry; factual database; human; Indonesia; medicinal plant; metabolism; molecular docking; molecular dynamics; Databases, Factual; Humans; Indonesia; Molecular Docking Simulation; Molecular Dynamics Simulation; Plants, Medicinal; Sirtuin 1",2-s2.0-85069931969
"Rahmat R.S., Nurzaman M.S.",57210811161;57210812293;,"Assesment of zakat distribution: A case study on zakat community development in Bringinsari village, Sukorejo district, Kendal",2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071604870&doi=10.1108%2fIMEFM-12-2018-0412&partnerID=40&md5=b968038946a62ae28778d277ab68029c,"Purpose: This study aims to assess the feasibility of zakat distribution conducted by zakat community development program, one of the BAZNAS programs in Bringinsari village, Sukorejo subdistrict, Kendal Regency, Central Java using the zakat village index (IDZ). Design/methodology/approach: IDZ has five components in measuring the effectiveness of charity for the welfare of the community is the economic dimension, the dimension of education, dimension of health, social dimension of humanity and dimensions of da’wah. The economic dimension consists of four variables, namely, the presence of productive economic activities, trade centers and access to transportation and logistics services and the presence of access to financial institutions. Findings: Based on IDZ measurement in Bringinsari village, it is found that IDZ of this village is 0.47. It showed that the condition of the village is good enough. As the result of this calculation, Bringinsari village is under consideration to receive zakat funding. Research limitations/implications: This research will be done in Bringinsari village Sukorejo district, Kendal regency from April 1, 2018 until July 2, 2018. Practical implications: Based on the result of IDZ result done in Bringinsari Sukorejo district, Kendal regency, it is gained index calculation result for about 0.47. Therefore, the conclusion is drawn that the village deserves to get zakat funding. Economic dimension is still low, 0.32. Therefore, in this case, a motivation to help villagers is needed. The exact program in improving the people in Bringinsari based on priority is economic, health, education program in accordance with IDZ calculation. Social implications: The welfare measurement of zakat receiver or mustahiq adopts welfare index (CIBEST). CIBEST model combines material and spiritual fulfillment of human needs quadrants. This index is split into four categories, namely, welfare, material poverty, spiritual poverty and absolute poverty (Puskas BAZNAS, 2016). Originality/value: Based on measurement result that has been obtained, the authors can recommend some program activities to help improving their welfare. There are three dimensions, which IDZ prioritized or considered to be assisted, such as economic dimension, activity program for housewives. If Bringinsari has got an indicator as a good village and the impact is good as well, therefore, it can try to move zakat fund distribution to other villages. ? 2019, Emerald Publishing Limited.",Assessment; Evaluation; Zakat; Zakat village index,,2-s2.0-85071604870
"Komatsu S., Oike T., Komatsu Y., Kubota Y., Sakai M., Matsui T., Nuryadi E., Permata T.B.M., Sato H., Kawamura H., Okamoto M., Kaminuma T., Murata K., Okano N., Hirota Y., Ohno T., Saitoh J.-I., Shibata A., Nakano T.",57200960930;36453136000;57210366700;8608652700;35320526300;57210433164;57197806814;57197808751;55697961900;12239381000;55737181500;23994005700;36103294900;56921778700;56688161400;35395665700;7005437445;8323572900;57191501505;,Deep learning-assisted literature mining for in vitro radiosensitivity data,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070721005&doi=10.1016%2fj.radonc.2019.07.003&partnerID=40&md5=c442e3fffcc862279cd524479330af23,"Background and purpose: Integrated analysis of existing radiosensitivity data obtained by the gold-standard clonogenic assay has the potential to improve our understanding of cancer cell radioresistance. However, extraction of radiosensitivity data from the literature is highly labor-intensive. To aid in this task, using deep convolutional neural networks (CNNs) and other computer technologies, we developed an analysis pipeline that extracts radiosensitivity data derived from clonogenic assays from the literature. Materials and methods: Three classifiers (C1–3) were developed to identify publications containing radiosensitivity data derived from clonogenic assays. C1 uses Faster Regions CNN with Inception Resnet v2 (fRCNN-IRv2), VGG-16, and Optical Character Recognition (OCR) to identify publications that contain semi-logarithmic graphs showing radiosensitivity data derived from clonogenic assays. C2 uses fRCNN-IRv2 and OCR to identify publications that contain bar graphs showing radiosensitivity data derived from clonogenic assays. C3 is a program that identifies publications containing keywords related to radiosensitivity data derived from clonogenic assays. A program (iSF2) was developed using Mask RCNN and OCR to extract surviving fraction after 2-Gy irradiation (SF2) as assessed by clonogenic assays, presented in semi-logarithmic graphs. The efficacy of C1–3 and iSF2 was tested using seven datasets (1805 and 222 publications in total, respectively). Results: C1–3 yielded sensitivity of 91.2% ± 3.4% and specificity of 90.7% ± 3.6%. iSF2 returned SF2 values that were within 2.9% ± 2.6% of the SF2 values determined by radiation oncologists. Conclusion: Our analysis pipeline is potentially useful to acquire radiosensitivity data derived from clonogenic assays from the literature. ? 2019 The Authors",Clonogenic assays; Convolutional neural networks; Deep learning; Radiation oncology; Radiosensitivity,article; classifier; clonogenic assay; controlled study; deep learning; diagnostic test accuracy study; drug efficacy; human; human cell; in vitro study; mining; molecular recognition; pipeline; publication; radiation oncologist; radiation oncology; radiosensitivity; sensitivity and specificity; convolutional neural network,2-s2.0-85070721005
"Kamal A.F., Luthfi A.P.W.Y.",56648996700;57210337345;,Diagnosis and treatment of Langerhans Cell Histiocytosis with bone lesion in pediatric patient: A case report,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070412283&doi=10.1016%2fj.amsu.2019.07.030&partnerID=40&md5=e516bb9565ccf2d9af5680283690ef8d,"Background: Langerhans cell histiocytosis (LCH) is a rare group of disorders without a well understood etiology. Known formerly as histiocytosis X, the disease has a wide spectrum of clinical presentations, including eosinophilic granuloma (solitary bone lesion), diabetes insipidus, and exophthalmos. Many of these patients initially present to orthopaedic surgeons, and misdiagnosis is frequent. Methods: We deliver a case of a 10-month-old boy who consulted to our department. Previously misdiagnosed as a Kawasaki syndrome, TORCH, and osteomyelitis. He had undergone several examinations and had been discussed in clinocipathological conference (CPC) to narrow down the diagnosis. Result: After serial examinations, the diagnosis of Langerhans Cell Histiocytosis was confirmed and chemotherapy was initiated. And after 6 cycles of chemotherapy, with 1-week interval of each therapy, the clinical appearance of this patient significantly improved. Conclusion: Despite major advances in our understanding and management of LCH, it remains one of the most challenging diagnoses for the orthopedic surgeon. By doing a comprehensive examination, it is possible to narrowing down the diagnosis and planning the accurate treatment. ? 2019 The Author(s)",Bone lesion; Case report; Langerhans cell hystiocytosis,etoposide; vinblastine; Article; bone lesion; bone radiography; case report; clinical article; cortical bone; echography; femur; fever; hemoptysis; human; human tissue; immunohistochemistry; infant; Langerhans cell histiocytosis; lymphadenopathy; male; multiple cycle treatment; nuclear magnetic resonance imaging; pediatric patient; rectum hemorrhage; soft tissue; thigh; throat irritation,2-s2.0-85070412283
"Wakatsuki M., Kato S., Ohno T., Banu P.A., Hoang N.C., Yadamsuren E., Supriana N., Cao J., Devi C.R.B., Calaguas M.J., Chansilpa Y., Cho C.-K., Adylkhanov T., Okonogi N., Nakano T., Tsujii H.",15069667900;57208644395;35395665700;57156404600;57209691734;57209694011;8438653200;7403354675;36518357700;8452403700;6603351348;24782144200;56907027200;36453127400;57191501505;7006202764;,Multi-institutional Observational Study of Prophylactic Extended-Field Concurrent Chemoradiation Therapy Using Weekly Cisplatin for Patients With Pelvic Node-Positive Cervical Cancer in East and Southeast Asia,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068438634&doi=10.1016%2fj.ijrobp.2019.04.039&partnerID=40&md5=a584abb7bbe3a48f6eaad520f4a93df3,"Purpose: This multi-institutional observational study conducted among 11 countries in East and Southeast Asia aimed to assess the clinical outcomes of prophylactic extended-field concurrent chemoradiation therapy using weekly cisplatin for patients with locally advanced cervical cancer. Methods and Materials: Between October 2007 and May 2016, 106 patients with untreated squamous cell carcinoma of the cervix were enrolled in the present study. Radiation therapy consisted of pelvic irradiation (total dose, 50 Gy in 25 fractions including central shielding), prophylactic paraortic regional irradiation (36-40 Gy in 20 fractions), and either high- or low-dose-rate intracavitary brachytherapy (ICBT) according to institutional practice. The planned point A dose was 21 to 28 Gy in 3 to 4 fractions for high-dose-rate ICBT and 40 to 41 Gy in 1 to 2 fractions for low-dose-rate ICBT. Five cycles of weekly cisplatin (40 mg/m2) were administered during the radiation therapy course. Results: A total of 106 patients were enrolled. Of these, 9 had major protocol violations and 2 did not receive treatment because of worsened general condition. Thus, 95 patients were evaluable. The median follow-up was 56 months. Of the 95 patients, 76 (80%) received 4 or 5 cycles of chemotherapy. Acute grade 3 leukopenia was observed in 20 of the patients (21%), and late grade 3 gastrointestinal toxicity was observed in 3%. The 2-year local control, progression-free survival, and overall survival rate for all patients were 96%, 78%, and 90%, respectively. Conclusions: The results indicated that prophylactic extended-field concurrent chemoradiation therapy using weekly cisplatin is feasible and effective for patients with locally advanced cervical cancer in East and Southeast Asia. ? 2019 Elsevier Inc.",,"Chemoradiotherapy; Chemotherapy; Diseases; Irradiation; Radiation shielding; Concurrent chemoradiation; Gastrointestinal toxicities; Methods and materials; Observational study; Overall survival rates; Pelvic irradiation; Progression free survival; Squamous cell carcinoma; Radiotherapy; cisplatin; creatinine; antineoplastic agent; cisplatin; adult; advanced cancer; aged; anemia; Article; Bangladesh; bladder disease; blood toxicity; body weight loss; brachytherapy; cancer chemotherapy; cancer control; cancer size; cancer staging; chemoradiotherapy; China; clinical outcome; colon disease; distant metastasis; external beam radiotherapy; fatigue; female; follow up; gastrointestinal toxicity; human; Indonesia; Japan; Kazakhstan; leukopenia; lymph node metastasis; major clinical study; Malaysia; Mongolia; multiple cycle treatment; nausea; neutropenia; observational study; overall survival; pelvis lymph node; Philippines; priority journal; progression free survival; prophylaxis; radiation field; radiation injury; radiotherapy dosage; rectum disease; side effect; skin toxicity; small intestine disease; South Korea; Thailand; thrombocytopenia; uterine cervix carcinoma; Viet Nam; vomiting; chemoradiotherapy; clinical trial; drug administration; feasibility study; gastrointestinal disease; leukopenia; lymph node; middle aged; mortality; multicenter study; pathology; pelvis; procedures; prospective study; Southeast Asia; squamous cell carcinoma; survival rate; uterine cervix tumor; young adult; Adult; Aged; Antineoplastic Agents; Asia, Southeastern; Brachytherapy; Carcinoma, Squamous Cell; Chemoradiotherapy; Cisplatin; Dose Fractionation, Radiation; Drug Administration Schedule; Feasibility Studies; Female; Gastrointestinal Diseases; Humans; Leukopenia; Lymph Nodes; Middle Aged; Pelvis; Progression-Free Survival; Prospective Studies; Survival Rate; Uterine Cervical Neoplasms; Young Adult",2-s2.0-85068438634
"Hasanah U., Susanti H., Panjaitan R.U.",57193152836;57201494082;57209616935;,Family experience in facilitating adolescents during self-identity development in ex-localization in Indonesia,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071041671&doi=10.1186%2fs12912-019-0358-7&partnerID=40&md5=b094633288967da4d4499d4a145126b2,"Background: Self-identity is a personal reflection that is consistent and covers various individual aspects, such as job/career, spirituality, relations, intellectuality, sexuality, culture, interests, personality, and physical identity. The increasing level of juvenile delinquency worldwide, including in Indonesia, is a manifestation of unsuccessful identity development in adolescents. Self-identity development is inseparable from family influence. This study aimed to explore the experiences of families in facilitating their adolescents during self-identity development while living in ex-localization. Methods: This study used a descriptive qualitative design and involved 12 participants. Data were collected through in-depth interviews and analyzed using thematic analysis. Results: This study resulted in five themes: the identity achievement of adolescents living in ex-localization is similar to that of adolescents in general; the domination of external barriers during identity achievement; ex-localization as a stressor; families' efforts to facilitate their adolescents during identity achievement; and family expectations for the future. Conclucions: This study highlights the importance of improving family awareness of adolescents' identity achievement when living in ex-localization with the help of nursing mental health professionals. ? 2019 The Author(s).",Adolescents; Family experience; Localization; Self-identity,achievement; adolescent; article; awareness; clinical article; expectation; female; human; human experiment; identity; Indonesia; interview; juvenile delinquency; male; mental health care personnel; nursing; thematic analysis,2-s2.0-85071041671
"Mawardika T., Afiyanti Y., Rahmah H.",57210575850;55312075600;57201498114;,Gynecological cancer inpatients need more supportive nursing care than outpatients: A comparative study,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071030013&doi=10.1186%2fs12912-019-0355-x&partnerID=40&md5=691293352e4efa79fe5954ad202e0d70,"Background: Gynecological cancer inpatients and outpatients may have distinct supportive nursing care needs. This study aimed to compare the supportive care needs between these two patient cohorts. Methods: This cross-sectional comparison analytic study aimed to identify the differences between the supportive nursing care needs of the gynecological cancer inpatients and outpatients. Data were collected from 200 participants who were recruited through consecutive sampling method. Results: The results showed that gynecological cancer inpatients needed more supportive nursing care than the outpatients. The most reported supportive nursing care needs of the inpatients were in the domains of physical (80%) and the psychological (84%). Whilst, the outpatients needed more health information support (78%). There was a significant difference between the supportive nursing care needs of gynecological cancer inpatients and outpatients (p value = 0.001). Supportive nursing care needs of the inpatients were 44 times higher compared to those of the outpatients. Conclusions: The gynecological cancer inpatients and outpatients need supportive nursing care differently. Therefore, nurses should assess supportive care needs of their patients early during the care in each setting so that the intervention could be tailored to the patient's individual needs. Our study findings can help nurses navigate the supportive care needs for gynecological cancer patients receiving inpatient and outpatient care. ? 2019 The Author(s).",Gynecological cancer; Inpatient; Supportive nursing care needs,,2-s2.0-85071030013
