作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
Samsi K.,24779032000;,Negotiating Capacity and Consent in Substance Misuse,2014,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927799695&doi=10.1002%2f9781118430965.ch1&partnerID=40&md5=d50ded44e7c37129e4fa6b8d36cc3c38,"An individual's ability to make decisions for themselves is enshrined and safeguarded by the Mental Capacity Act 2005 in England and Wales, and similar legislation in other countries. The Act's presumption of capacity and its safeguarding the interests of 'unwise decisions' being made are perhaps its most relevant features for older people with problems of substance misuse. The Act also advocates setting out advance statements and decision making in advance, further protecting individuals who may be unable to make decisions for themselves in the future. Best interest decision making is another guiding principle of assessing whether or not an individual who is deemed as lacking capacity to make their own decisions is at risk of their needs remaining unmet. ? 2015 John Wiley & Sons, Ltd..",Capacity; Consent; Decision making capacity; Mental capacity; Mental Capacity Act 2005; Myopia; Substance abuse,,2-s2.0-84927799695
Rao R.T.,55146642900;,Integrated Treatment Models for Co-Morbid Disorders,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927792312&doi=10.1002%2f9781118430965.ch23&partnerID=40&md5=e6b30875b215d1d38cb74b97d4769f59,"Traditional service models for older people with substance misuse and co-morbid mental disorders (SMCD) have often involved systems that provide fragmented care. Such care is associated with treatment by more than one service at any one time or by one service after another. This has meant the lack of an overview and ineffective management of more than one group of disorders. Integrated services are relatively new to service delivery for older people, but considerable progress has been made in the past decade to address this unmet need. This chapter outlines service implications, current systems of service delivery and the development of integrated SMCD services for older people, drawing upon existing research and drawing out future direction in this expanding field of mental health. ? 2015 John Wiley & Sons, Ltd.",Elderly; Older People; Service integration; Substance Abuse,,2-s2.0-84927792312
"Millard C., Wessely S.",55370715800;7102849907;,Authors' reply to Timimi,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919933969&doi=10.1136%2fbmj.g7619&partnerID=40&md5=8dba2a13e8e78eaab553ee4fc852ced9,[無可用摘要],,"neuroleptic agent; drug safety; Letter; mental disease; obesity; ontology; attitude to health; economics; health care delivery; health insurance; human; legislation and jurisprudence; mental health service; Attitude to Health; Health Benefit Plans, Employee; Health Services Accessibility; Humans; Insurance, Health; Mental Health Services",2-s2.0-84919933969
"Bornstein S.R., Amiel S.A., Rubino F., Mingrone G., Kamvissi V., Solimena M., Bonifacio E., Jones P., Schwarz P., Birkenfeld A.L., Behrens A., Barthel A., Lechler R., Peakman M.",7102751718;7005763485;56677466000;7006575737;35074251700;7006817892;7005707386;36077498900;35389845200;8964314200;35480950900;56208430400;7103135937;7005867806;,Erratum: Creating a Transcampus in Diabetes Research between King's College London and the Technische Universit?t Dresden: Update on Islet Biology and Transplantation (Hormone and Metabolic Research (2015) 47),2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941791227&doi=10.1055%2fs-0034-1396842&partnerID=40&md5=54234056440f20f44608bb29a427c348,[無可用摘要],,Erratum; error,2-s2.0-84941791227
"Lambe S., Mogg A., Eranti S., Pluck G., Hastilow S., McLoughlin D.M.",56062305400;15728234300;6507399293;6506948010;6504522820;7005061686;,Trends in use of electroconvulsive therapy in south london from 1949 to 2006,2014,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928292585&doi=10.1097%2fYCT.0000000000000112&partnerID=40&md5=0188ba09bbb46bb4580d33ac47e7592d,"Objectives: Electroconvulsive therapy (ECT) remains the most acutely effective treatment for severe depression, but its use has declined since its introduction more than 70 years ago. To provide some historical perspective on changes in ECT practice, the objective of the present study was to identify trends in ECT practice in selected teaching hospitals in South London, UK, between 1949 and 2006.Methods: Annual rates of ECT for 1949-1970 were estimated from the contemporary hospital reports of the Maudsley and Bethlem Royal hospitals in South London, UK. Case notes were also retrospectively reviewed to calculate annual rates of ECT administration and extract demographic and clinical information for approximately every 5 years between 1987 and 2006.Results: The annual rate of ECT peaked at 35% of total admission in 1956 and declined gradually thereafter to 10.8% by 1970 and fell below 2.2% from 1991 onward. Depressed and female patients were more likely to receive ECT. Compared to previous years, patients were more severely ill and treatment resistant in 2006, whereas ethnic minorities made up 30% of patients receiving ECT compared to approximately 14% in the preceding years.Conclusions: Currently, ECT seems to be provided increasingly late in more severe illness episodes. The ethnicity of patients receiving ECT in South London may be becoming more representative of the background population, but ECT is being used relatively more frequently for nonaffective disorders in ethnic minorities. Copyright ? 2014 by Lippincott Williams & Wilkins.",Depression; ECT; Ethnicity; Historical; Trends,"adult; aged; amnesia; anesthesia complication; Article; confusion; death; depression; disease severity; DSM-IV; electroconvulsive therapy; female; human; major clinical study; male; retrospective study; teaching hospital; United Kingdom; Depressive Disorder, Major; electroconvulsive therapy; ethnic group; history; middle aged; socioeconomics; treatment outcome; trends; Adult; Aged; Depressive Disorder, Major; Electroconvulsive Therapy; Ethnic Groups; Female; History, 20th Century; History, 21st Century; Humans; London; Male; Middle Aged; Retrospective Studies; Socioeconomic Factors; Treatment Outcome",2-s2.0-84928292585
"Potter T., Chan W.L., Archer J.R.H., Barrett J., Dargan P.I., Wood D.M.",57196724248;55682562500;56233324600;57196745706;7004249431;55322365400;,Development of a ‘patient information leaflet’ for use following assessment of patients with reported or suspected paracetamol overdose in the UK,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033699522&doi=10.1002%2fprp2.75&partnerID=40&md5=f203730f309054512f2354c142ee9232,"The aim of this study was to design an information leaflet for patients with paracetamol overdose based on Medicines and Healthcare products Regulatory Agency guidance and to assess its readability. A two-sided one page information leaflet was designed for patients being discharged from hospital after a paracetamol overdose. Patients presenting with an acute paracetamol overdose, irrespective of whether they were treated or not, were recruited to read the leaflet and then answer a brief structured questionnaire based on the leaflet. The readability of the information leaflet was assessed using the Flesch reading ease score. Thirty patients (15 male, 12 female, 3 not recorded; mean age 38?±?13.0?years) were recruited, wherein 100% of patients reported the language used was understandable, 96.6% knew which symptoms would require urgent medical review after discharge and 100% of patients knew the liver was affected by paracetamol. The Flesch reading ease score was 67.6 (out of a maximum of 100), equivalent to a UK reading age of 10–11years old. Our information leaflet for all patients being discharged after paracetamol overdose was well received by patients, provided them with the required knowledge and had an appropriate reading age based on UK literacy rates. We would recommend that this leaflet could be used as a template on a national level, localized to individual hospitals, to improve patient knowledge of paracetamol toxicity, and facilitate early medical review in the event of deterioration following discharge from the hospital. ? 2014 The Authors. Pharmacology Research & Perspectives published by John Wiley & Sons Ltd, British Pharmacological Society and American Society for Pharmacology and Experimental Therapeutics.",outcome; overdose; Paracetamol; patient safety,acetylcysteine; paracetamol; adult; Article; clinical article; clinical outcome; drug overdose; female; hospital discharge; human; intoxication; male; patient assessment; patient information; patient safety; priority journal; reading; structured questionnaire; United Kingdom,2-s2.0-85033699522
Bewley S.,57202703231;,Letter to the editor: Legal scrutiny of the age extension breast screening trial is required,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989171964&doi=10.1177%2f0025817214558170&partnerID=40&md5=d1330fb2ccd46e478d53740a6b05fbb8,[無可用摘要],,age; Breast Neoplasms; female; human; mass screening; mortality; Age Factors; Breast Neoplasms; Female; Humans; Mass Screening,2-s2.0-84989171964
McGurk M.,55334602300;,Summary of: managing patients on bisphosphonates: the practice of primary care dentists before and after the publication of national guidance,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964314484&doi=10.1038%2fsj.bdj.2014.1122&partnerID=40&md5=200e50041354e324ebca79f825cb1b37,"BACKGROUND: In April 2011 the Scottish Dental Clinical Effectiveness Programme published the Oral health management of patients prescribed bisphosphonates guidance document. The aims of this study were to examine whether dentists' practice and beliefs changed after guidance publication to determine whether a knowledge translation intervention was required, and to inform its development.METHODS: Three postal surveys sent to three independent, random samples of dentists throughout Scotland pre- and post-guidance publication. The questionnaire, framed using the theoretical domains framework (TDF), assessed current practice and beliefs relating to recommended management of patients on bisphosphonates.RESULTS: The results (N = 420) suggest that any significant impact the guidance may have had on the recommended management of patients on bisphosphonates by primary care dentists, had reached its peak ten months post publication. A more positive attitude, greater perceived ability, and greater motivation were all associated with significantly more performing of all recommended behaviours at every time point.CONCLUSIONS: Prior to this study, there was little available information about how patients on bisphosphonates were being managed in primary dental care, or what beliefs may be influencing management decisions. This study was able to identify levels of compliance pre- and post-guidance publication and determine that further intervention was necessary to enable sustained uptake of recommendations. Using the TDF to identify beliefs associated with best practice made it possible to suggest theoretically informed strategies for service improvement. The next step is to test the intervention(s) in a randomised controlled trial.",,"bisphosphonic acid derivative; bone density conservation agent; clinical practice; female; human; male; practice guideline; statistics and numerical data; Bone Density Conservation Agents; Diphosphonates; Female; Guideline Adherence; Humans; Male; Practice Patterns, Dentists'",2-s2.0-84964314484
"Diachun L., Charise A., Goldszmidt M., Hui Y., Lingard L.",12763215000;34881414700;23568261100;57194868649;57203176526;,Exploring the realities of curriculum-by-random-opportunity: The case of geriatrics on the internal medicine clerkship rotation,2014,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936879167&doi=10.5770%2fcgj.17.133&partnerID=40&md5=6e8d523feff89c1e2932cef400063a91,"Background While major clerkship blocks may have objectives related to specialized areas such as geriatrics, gay and lesbian bisexual transgender health, and palliative care, there is concern that teaching activities may not attend sufficiently to these objectives. Rather, these objectives are assumed to be met ""by random opportunity"".(1) This study explored the case of geriatric learning opportunities on internal medicine clinical teaching units, to better understand the affordances and limitations of curriculum by random opportunity. Methods Using audio-recordings of morning case review discussions of 13 patients > 65 years old and the Canadian geriatric core competencies for medical students, we conducted a content analysis of each case for potential geriatric and non-geriatric learning opportunities. These learning opportunities were compared with attendings' case review teaching discussions. The 13 cases contained 40 geriatric-related and 110 non-geriatric-related issues. While many of the geriatric issues (e.g., delirium, falls) were directly relevant to the presenting illness, attendings' teaching discussions focused almost exclusively on non-geriatric medical issues, such as management of diabetes and anemia, many of which were less directly relevant to the reason for presenting to hospital. Results The authors found that the general medicine rotation provides opportunities to acquire geriatric competencies. However, the rare uptake of opportunities in this study suggests that, in curriculum-by-random-opportunity, presence of an opportunity does not justify the assumption that learning objectives will be met. Conclusions More studies are required to investigate whether these findings are transferrable to other vulnerable populations about which undergraduate students are expected to learn through curriculum by random opportunity. ? 2014 Author(s).",Clinical Clerkship; Core competencies; Curriculum-By-Random-Opportunity; Geriatrics,,2-s2.0-84936879167
"Mieli-Vergani G., Vergani D.",56606362300;7102811464;,Autoimmune hepatitis and sclerosing cholangitis,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929663716&doi=10.1007%2f978-1-4614-9005-0_16&partnerID=40&md5=47f1bebea6780a08ad3da9bbb42d8ffc,"Autoimmune hepatitis (AIH) and sclerosing cholangitis are major causes of liver disease in children and adolescents and should always be considered in the differential diagnosis of childhood hepatopathies. Both conditions have clinical and laboratory features, response to treatment and outcome different from their adult counterparts. A common form of sclerosing cholangitis in childhood has strong autoimmune features and is referred to as autoimmune sclerosing cholangitis (ASC). The presentation of AIH and sclerosing cholangitis is nonspecific and can mimic most other liver disorders. As prompt treatment, particularly in AIH, is life saving, it is imperative to suspect these conditions and perform appropriate investigations in all children who present with a cryptogenic liver disorder. ? 2014 Springer Science+Business Media New York. All rights reserved.",,,2-s2.0-84929663716
