作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Oh S.H., Kang J.H., Seo Y.-K., Kim J.H., Choi Y.-S., Hwang E.-H.",56109374100;56555516600;57195926713;57195931263;35204790900;55286169800;,Malignant transformation of fibrous dysplasia into angiosarcoma,2020,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070102441&doi=10.1007%2fs11282-019-00404-2&partnerID=40&md5=3ebcb5c74937e788cd5660b12c0f14ce,"Fibrous dysplasia (FD) is generally considered to be a benign disease that affects the bones, but it has potential to become malignant over time, generally several decades after its initial diagnosis. Radiation therapy can induce malignant transformation of FD; however, reports have indicated a few cases of malignant transformation of FD in the absence of radiation therapy. Angiosarcoma is a particularly rare type of cancer in the oral region, which accounts for less than 1% of all soft-tissue sarcomas. Herein, we reported a case of a 62-year-old man with monostotic FD of the left maxilla of over 50?years’ duration that underwent malignant transformation into an epithelioid-type angiosarcoma. To the best of our knowledge, this is the first report of such case. ? 2019, Japanese Society for Oral and Maxillofacial Radiology and Springer Nature Singapore Pte Ltd.",Angiosarcoma; Fibrous dysplasia; Malignancy; Maxilla,fluorodeoxyglucose f 18; gadolinium; adult; angiosarcoma; Article; case report; clinical article; clinical examination; computer assisted tomography; fibrous dysplasia; histology; human; human tissue; inflammation; male; malignant transformation; maxillary sinus; maximum standardized uptake value; middle aged; panoramic radiography; positron emission tomography-computed tomography; tooth extraction; wound healing impairment,2-s2.0-85070102441
"Lee N.-E., Park S.-D., Hwang H., Choi S.-H., Lee R.M., Nam S.M., Choi J.H., Rhim H., Cho I.-H., Kim H.-C., Hwang S.-H., Nah S.-Y.",57202604352;57192876184;57193834587;22133433200;57034602100;57194770574;56456827900;7006154214;7102561903;36065569300;57034594000;7005224178;,Effects of a gintonin-enriched fraction on hair growth: an in vitro and in vivo study,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068081880&doi=10.1016%2fj.jgr.2019.05.013&partnerID=40&md5=b90eb4f34525be6aa0beb816e896c2d6,"Background: Ginseng has been widely used as a health-promoting tonic. Gintonin present in ginseng acts as a lysophosphatidic acid (LPA) receptor ligand that activates six LPA receptor subtypes. The LPA6 subtype plays a key role in normal hair growth, and mutations in the LPA6 receptor impair normal human hair growth. Currently, human hair loss and alopecia are concerning issues that affect peoples' social and day-to-day lives. Objective: We investigated the in vitro and in vivo effects of a gintonin-enriched fraction (GEF) on mouse hair growth. Methods: Human hair follicle dermal papilla cells (HFDPCs) and six-week-old male C57BL/6 mice were used. The mice were divided into the four groups: control, 1% minoxidil, 0.75% GEF, and 1.5% GEF. The dorsal hair was removed to synchronize the telogen phase. Each group was treated topically, once a day, for 15 days. We analyzed hair growth activity and histological changes. Results: GEF induced transient [Ca2+]i, which stimulated HFDPC proliferation and caused 5-bromo-2′-deoxyuridine (BrdU) incorporation in a concentration-dependent manner. GEF-mediated HFDPC proliferation was blocked by the LPA receptor antagonist and Ca2+ chelator. HFDPC treatment with GEF stimulated vascular endothelial growth factor release. Topical application of GEF and minoxidil promoted hair growth in a dose-dependent manner. Histological analysis showed that GEF and minoxidil increased the number of hair follicles and hair weight. Conclusion: Topical application of GEF promotes mouse hair growth through HFDPC proliferation. GEF could be one of the main components of ginseng that promote hair growth and could be used to treat human alopecia. ? 2019",Ginseng; Gintonin-enriched fraction; Hair growth; Human hair follicle dermal papilla cells; Mouse,"1,2 bis(2 aminophenoxy)ethane n,n,n',n' tetraacetic acid tetrakis(acetoxymethyl ester); broxuridine; calcium chelating agent; ginseng saponin; gintonin enriched fraction; ki 16425; lysophosphatidic acid receptor; lysophospholipid receptor antagonist; minoxidil; unclassified drug; vasculotropin; animal experiment; anthropometric parameters; Article; C57BL 6 mouse; cell proliferation; controlled study; cutaneous parameters; drug effect; hair follicle; hair follicle cell; hair growth; hair weight; histopathology; human; human cell; human hair follicle dermal papilla cell; in vitro study; in vivo study; male; mouse; nonhuman; priority journal",2-s2.0-85068081880
"Nah H., Lee D., Heo M., Lee J.S., Lee S.J., Heo D.N., Seong J., Lim H.-N., Lee Y.-H., Moon H.-J., Hwang Y.-S., Kwon I.K.",57204672370;57202974848;57189587985;57203144507;57192514596;35074051500;57193269544;22953869600;57207015227;57202393803;14058339900;26643276900;,Vitamin D-conjugated gold nanoparticles as functional carriers to enhancing osteogenic differentiation,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070483192&doi=10.1080%2f14686996.2019.1644193&partnerID=40&md5=9d980bd44cec350caa730ca82fc7fe0d,"In an aging society, bone disorders such as osteopenia, osteoporosis, and degenerative arthritis cause serious public health problems. In order to solve these problems, researchers continue to develop therapeutic agents, increase the efficacy of developed therapeutic agents, and reduce side effects. Gold nanoparticles (GNPs) are widely used in tissue engineering applications as biosensors, drug delivery carriers, and bioactive materials. Their special surface property enables easy conjugation with ligands including functional groups such as thiols, phosphines, and amines. This creates an attractive advantage to GNPs for use in the bone tissue engineering field. However, GNPs alone are limited in their biological effects. In this study, we used thiol-PEG-vitamin D (SPVD) to conjugate vitamin D, an essential nutrient critical for maintaining normal skeletal homeostasis, to GNPs. To characterize vitamin D-conjugated GNPs (VGNPs), field emission transmission electron microscopy, energy dispersive X-ray spectroscopy, dynamic light scattering, and ultraviolet/visible absorption analysis were carried out. The developed VGNPs were well bound through the thiol groups between GNPs and vitamin D, and were fabricated in size of 60?nm. Moreover, to demonstrate VGNPs osteogenic differentiation effect, various assays were carried out through cell viability test, alkaline phosphatase assay, calcium deposition assay, real-time polymerase chain reaction, and immunofluorescence staining. As a result, the fabricated VGNPs were found to effectively enhance osteogenic differentiation of human adipose-derived stem cells (hADSCs) in vitro. Based on these results, VGNPs can be utilized as functional nanomaterials for bone regeneration in the tissue engineering field. ? 2019, ? 2019 The Author(s). Published by National Institute for Materials Science in partnership with Taylor & Francis Group.","106 Metallic materials; 211 Scaffold / Tissue engineering / Drug delivery; 30 Bio-inspired and biomedical materials; 503 TEM, STEM, SEM; bone tissue engineering; drug carrier; gold nanoparticles; osteogenic differentiation; Vitamin D",Amines; Bone; Controlled drug delivery; Diseases; Energy dispersive spectroscopy; Fiber optic sensors; Gold nanoparticles; High resolution transmission electron microscopy; Light scattering; Metal nanoparticles; Phosphatases; Phosphorus compounds; Polymerase chain reaction; Scaffolds; Scaffolds (biology); Stem cells; Targeted drug delivery; Tissue; Vitamins; 211 Scaffold/Tissue engineering/Drug delivery; Biomedical material; Bone tissue engineering; Drug carrier; Metallic material; Osteogenic differentiation; Vitamin-D; Tissue regeneration,2-s2.0-85070483192
"Kim H.J., Min K.H., Lee H.J., Hwang Y.-S., Lee S.C.",57210145471;23480345700;56484820600;14058339900;23086171500;,Fenton-like reaction performing mineralized nanocarriers as oxidative stress amplifying anticancer agents,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069748436&doi=10.1016%2fj.jiec.2019.07.004&partnerID=40&md5=9ca54ac3c68720714113707dd53123c7,"We developed Fenton-like reaction performing mineralized nanoparticles as novel oxidative stress amplifying anticancer agents. We fabricated Cu-doped superoxide dismutase (SOD)-loaded calcium carbonate (CaCO3)-mineralized nanoparticles (Cu/SOD-MNPs) that could simultaneously release hydrogen peroxide-generating SOD and Fenton-like reaction-inducing copper ions within cancer cells. The CaCO3 core of the Cu/SOD-MNPs effectively inhibited the release of the entrapped SOD and copper ions in physiological pH (7.4). In contrast, in acidic pH (5.0), the release of SOD and copper ions was facilitated by CaCO3 dissolution. We demonstrated that the Cu/SOD-MNPs elevated the level of highly toxic apoptosis-inducing hydroxyl radicals in the cancer cells. The Cu/SOD-MNPs showed specific toxicity for cancer cells (MCF-7 cells), whereas no or negligible toxicity was found for normal cells (NIH3T3 and HEK293 cells). This mineralized oxidative stress amplifying nanoparticle may serve as a novel cancer-specific anticancer agent. ? 2019 The Korean Society of Industrial and Engineering Chemistry",Calcium carbonate; Fenton reaction; Hydroxyl radical; Oxidative stress; Superoxide dismutase,Calcite; Calcium carbonate; Cell death; Diseases; Enzymes; Metal ions; Nanoparticles; Oxidation; Oxidative stress; pH; Toxicity; Anti-cancer agents; Fenton reactions; Fenton-like reactions; Hydroxyl radicals; Nano-carriers; Physiological pH; Super oxide dismutase; Superoxide dismutases; Copper compounds,2-s2.0-85069748436
"Choo S.H., Nishiyama H., Kitamura H., Chen C.-H., Pu Y.-S., Lee H.-L., Jeong B.C., Kim S.I.",56506584700;55337795400;36448431400;25921037500;16204243400;8081691200;57212056320;56701708500;,"Practice pattern of non-muscle invasive bladder cancer in Japan, Korea and Taiwan: A Web-based survey",2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072155412&doi=10.1111%2fiju.14105&partnerID=40&md5=5715a795e56f96c38ef6b360ab4ae7f3,"Objectives: To investigate the treatment pattern of non-muscle invasive bladder cancer patients among urologists in Japan, Korea and Taiwan, with emphasis on compliance with important treatment guidelines. Methods: A Web-based questionnaire survey was conceived by representative members of each country's urological oncology society and was open from June 2016 to February 2017 to each society's members. Descriptive statistics and multinomial logistic regression analysis were used. Results: A total of 2334 urologists were invited and 701 responded to the survey with a response rate of 30.0%. Instruments used during transurethral resection of bladder cancer varied significantly between countries and depended on their availability. The re-transurethral resection rate for pT1 or high-grade disease >50% of the time was significantly higher in Japan than in the other two countries, but the collective rate was just 49%. The frequency of intravesical therapy in intermediate- to high-risk disease was generally consistent across countries. However, the choice of agent between chemotherapy and bacillus Calmette–Gu?rin was significantly different between countries. Maintenance bacillus Calmette–Gu?rin was used <10% of the time by 45% of respondents, the most important reasons being fear of side-effects, followed by a lack of efficacy and shortage of drug supply. Conclusions: There are significant differences between Japan, Korea and Taiwan in the management of intermediate- to high-risk non-muscle invasive bladder cancer. The results of this survey can serve as the basis for joint efforts to develop common clinical guidelines. ? 2019 The Japanese Urological Association",bladder cancer; clinical practice pattern; East Asia; practice guideline; survey,cisplatin; doxorubicin; epirubicin; mitomycin; pirarubicin; Article; cancer chemotherapy; cancer therapy; health survey; high risk patient; human; Japan; Korea; major clinical study; multiple choice test; Mycobacterium bovis BCG; non muscle invasive bladder cancer; priority journal; questionnaire; Taiwan; transurethral resection; urologist; web browser,2-s2.0-85072155412
"Lee D., Lee Y.-R., Oh I.-H.",57212667625;56564346900;57204090669;,Cost-effectiveness of smoking cessation programs for hospitalized patients: a systematic review,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071459539&doi=10.1007%2fs10198-019-01105-7&partnerID=40&md5=2549e1c84e45fbcf99609f1148ba2b19,"Objective: This systematic review examined the characteristics of published cost-effectiveness analyses of inpatient smoking cessation programs and assessed the methodological quality of the selected studies, to provide policymakers with economic evidence for this type of program. Methods: A literature search was undertaken using a relevant database by three investigators. Only full economic evaluations with results in the form of the incremental cost-effectiveness ratio (ICER) were included. Costs were adjusted to 2016 US dollars using the Gross Domestic Product deflator and purchasing power parities. The British Medical Journal checklist was utilized to appraise the methodological quality of the included studies. Results: Nine articles were ultimately selected. The inpatient smoking cessation programs appeared to be a highly cost-effective intervention according to the recommended cost-effectiveness thresholds by the World Health Organization or individual studies. The highest ICERs among the selected studies were $5593 per additional quit, $10,550 per life year gained, and $5680 per quality-adjusted life year gained. Conclusions: This study provides robust evidence supporting the cost-effectiveness of smoking cessation programs for hospitalized patients. In addition, the results indicated that the degree of cost-effectiveness of the inpatient smoking cessation program might not be related to either the components of the program or methodological variations in the cost-effectiveness analysis. Policymakers should provide hospitals with resources and strong incentives to promote wider implementation of the smoking cessation program. ? 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Cost-effectiveness analysis; Hospitalized patients; Smoking cessation; Systematic review,adult; article; checklist; cost effectiveness analysis; female; gross national product; hospital patient; human; male; medical literature; parity; purchasing; quality adjusted life year; smoking cessation program; systematic review; World Health Organization,2-s2.0-85071459539
"Kondaveeti S., Kang E., Liu H., Min B.",55314053500;57210586995;57203436203;35240874800;,Continuous autotrophic denitrification process for treating ammonium-rich leachate wastewater in bioelectrochemical denitrification system (BEDS),2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070982047&doi=10.1016%2fj.bioelechem.2019.107340&partnerID=40&md5=3b5ce1768d02f828d40af8ac0801b69e,"The reduction of nitrogen compounds in aqueous solution is extremely important for sustainable management of ecosystem and human health. An autotrophic bioelectrochemical denitrification (BED) process was evaluated at various conditions for enhanced treatment of synthetic wastewater (SW) and ammonium-rich leachate. With SW, a decrease in hydraulic retention time (HRT: 41.6 to 8.3 h) resulted in a 370% increase in denitrification rate from 0.026 to 0.096 kg NO3 ?–N/m3. D. An increase in applied voltage (0.7 to 2 V) enhanced nitrate removal (81 to 97% removal), but coulombic efficiency decreased from 74% to 19%. With doubled cathode electrodes, the nitrate removal rate was doubled from 0.056 to 0.114 kg NO3 ?–N/m3. D. Moreover, leachate wastewater was successfully denitrified with the maximum removal rate of 0.121 kg NO3 ?–N/m3. D. These results point towards the practical potential for the combination of nitrification systems with BEDS for reduction of nitrogen for discharge purposes. ? 2019 Elsevier B.V.",Biocathodes; Bioelectrochemical denitrification; Leachate wastewater; Nitrates; Nitrogen removal,"Denitrification; Electrodes; Leachate treatment; Nitrates; Wastewater treatment; Autotrophic denitrification process; Bio-electrochemical; Biocathodes; Coulombic efficiency; Hydraulic retention time; Leachates; Sustainable management; Synthetic waste water; Nitrogen removal; ammonia; nitrate; ammonium derivative; acclimatization; analytic method; Article; autotrophy; bioelectrochemical denitrification system; chemical procedures; denitrification; electric potential; electrochemistry; energy consumption; human; hydraulic retention time; leaching; nitrification; reactor operation; retention time; surface area; waste component removal; waste water; waste water management; autotrophy; bacterium; bioreactor; bioremediation; denitrification; electrochemical analysis; isolation and purification; metabolism; microbiology; procedures; sewage; waste water; water management; water pollutant; Ammonium Compounds; Autotrophic Processes; Bacteria; Biodegradation, Environmental; Bioreactors; Denitrification; Electrochemical Techniques; Waste Disposal, Fluid; Waste Water; Water Pollutants, Chemical; Water Purification",2-s2.0-85070982047
"Choi S., Yu J., Park A., Dubon M.J., Do J., Kim Y., Nam D., Noh J., Park K.-S.",57138944200;57188706051;57210443845;56244853200;57210448293;57210446143;57210445021;57210447670;56164619400;,BMP-4 enhances epithelial mesenchymal transition and cancer stem cell properties of breast cancer cells via Notch signaling,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070783783&doi=10.1038%2fs41598-019-48190-5&partnerID=40&md5=c5db0199997330d06e5976021739c605,"Bone morphogenetic protein (BMP) signaling and Notch signaling play important roles in tumorigenesis in various organs and tissues, including the breast. BMP-4 enhanced epithelial mesenchymal transition (EMT) and stem cell properties in both mammary epithelial cell line and breast carcinoma cell line. BMP-4 increased the expression of EMT biomarkers, such as fibronectin, laminin, N-cadherin, and Slug. BMP-4 also activated Notch signaling in these cells and increased the sphere forming efficiency of the non-transformed mammary epithelial cell line MCF-10A. In addition, BMP-4 upregulated the sphere forming efficiency, colony formation efficiency, and the expression of cancer stem cell markers, such as Nanog and CD44, in the breast carcinoma cell line MDA-MB-231. Inhibition of Notch signaling downregulated EMT and stem cell properties induced by BMP-4. Down-regulation of Smad4 using siRNA impaired the BMP-4-induced activation of Notch signaling, as well as the BMP-4-mediated EMT. These results suggest that EMT and stem cell properties are increased in mammary epithelial cells and breast cancer cells through the activation of Notch signaling in a Smad4-dependent manner in response to BMP-4. ? 2019, The Author(s).",,,2-s2.0-85070783783
"Lee H.-J., Lee K.-E., Kim J.-K., Kim D.-H.",57192500598;57203883621;57200257313;55574225148;,Suppression of gut dysbiosis by Bifidobacterium longum alleviates cognitive decline in 5XFAD transgenic and aged mice,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070776765&doi=10.1038%2fs41598-019-48342-7&partnerID=40&md5=6cb771c6cc2099f1cf05bbb19daf8c56,"To understand the role of commensal gut bacteria on the progression of cognitive decline in Alzheimer’s disease via the microbiota-gut-brain axis, we isolated anti-inflammatory Bifidobacterium longum (NK46) from human gut microbiota, which potently inhibited gut microbiota endotoxin production and suppressed NF-κB activation in lipopolysaccharide (LPS)-stimulated BV-2 cells, and examined whether NK46 could simultaneously alleviate gut dysbiosis and cognitive decline in male 5xFAD-transgenic (5XFAD-Tg, 6 months-old) and aged (18 months-old) mice. Oral administration of NK46 (1 × 109 CFU/mouse/day for 1 and 2 months in aged and Tg mice, respectively) shifted gut microbiota composition, particularly Proteobacteria, reduced fecal and blood LPS levels, suppressed NF-κB activation and TNF-α expression, and increased tight junction protein expression in the colon of 5XFAD-Tg and aged mice. NK46 treatment also alleviated cognitive decline in 5XFAD-Tg and aged mice. Furthermore, NK46 treatment suppressed amyloid-β, β/γ-secretases, and caspase-3 expression and amyloid-β accumulation in the hippocampus of 5XFAD-Tg mice. NK46 treatment also reduced Iba1+, LPS+/CD11b+, and caspase-3+/NeuN+ cell populations and suppressed NF-κB activation in the hippocampus of 5XFAD-Tg and aged mice, while BDNF expression was increased. These findings suggest that the suppression of gut dysbiosis and LPS production by NK46 can mitigate cognitive decline through the regulation of microbiota LPS-mediated NF-κB activation. ? 2019, The Author(s).",,,2-s2.0-85070776765
"Choi S., Choi E., Cho Y.-J., Nam D., Lee J., Lee E.-J.",57207282402;35326467400;55472204400;36450731400;56763195300;57193257933;,The Salmonella virulence protein MgtC promotes phosphate uptake inside macrophages,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070629462&doi=10.1038%2fs41467-019-11318-2&partnerID=40&md5=66e449eeab69c58f59d0c375dc0d21f9,"The MgtC virulence protein from the intracellular pathogen Salmonella enterica is required for its intramacrophage survival and virulence in mice and this requirement of MgtC is conserved in several intracellular pathogens including Mycobacterium tuberculosis. Despite its critical role in survival within macrophages, only a few molecular targets of the MgtC protein have been identified. Here, we report that MgtC targets PhoR histidine kinase and activates phosphate transport independently of the available phosphate concentration. A single amino acid substitution in PhoR prevents its binding to MgtC, thus abrogating MgtC-mediated phosphate transport. Surprisingly, the removal of MgtC’s effect on the ability to transport phosphate renders Salmonella hypervirulent and decreases a non-replicating population inside macrophages, indicating that MgtC-mediated phosphate transport is required for normal Salmonella pathogenesis. This provides an example of a virulence protein directly activating a pathogen’s phosphate transport inside host. ? 2019, The Author(s).",,"ABC-type glycerol 3-phosphate transporter; adenylate cyclase; bacterial protein; beta galactosidase; messenger RNA; MgtC virulence protein; phosphate; protein histidine kinase; proton transporting adenosine triphosphate synthase; unclassified drug; virulence factor; bacterial protein; cation transport protein; MgtC protein, Salmonella typhimurium; PhoR protein, Bacteria; phosphate; amino acid; bacterium; cell; immune response; nutrient uptake; pathogenicity; phosphate; protein; rodent; virulence; amino acid substitution; animal cell; animal experiment; animal model; animal tissue; Article; autophosphorylation; bacterial strain; bacterial virulence; controlled study; enzyme activity; enzyme phosphorylation; female; gene overexpression; heterologous expression; macrophage; membrane vesicle; mouse; mRNA expression level; nonhuman; phosphate transport; protein function; protein protein interaction; protein structure; protein targeting; Salmonella enterica serovar Typhimurium; salmonellosis; signal transduction; animal; C3H mouse; gene expression regulation; genetics; human; macrophage; metabolism; microbiology; pathogenicity; Salmonella enterica serovar Typhimurium; transport at the cellular level; virulence; Mus; Mycobacterium tuberculosis; Salmonella; Salmonella enterica; Animals; Bacterial Proteins; Biological Transport; Cation Transport Proteins; Female; Gene Expression Regulation, Bacterial; Humans; Macrophages; Mice; Mice, Inbred C3H; Phosphates; Salmonella Infections; Salmonella typhimurium; Virulence",2-s2.0-85070629462
