"文獻名稱.","年份","摘要","索引關鍵字"
"Calpain Inhibition Restores Autophagy and Prevents Mitochondrial Fragmentation in a Human iPSC Model of Diabetic Endotheliopathy",2019,"The relationship between diabetes and endothelial dysfunction remains unclear, particularly the association with pathological activation of calpain, an intracellular cysteine protease. Here, we used human induced pluripotent stem cells-derived endothelial cells (iPSC-ECs) to investigate the effects of diabetes on vascular health. Our results indicate that iPSC-ECs exposed to hyperglycemia had impaired autophagy, increased mitochondria fragmentation, and was associated with increased calpain activity. In addition, hyperglycemic iPSC-ECs had increased susceptibility to cell death when subjected to a secondary insult—simulated ischemia-reperfusion injury (sIRI). Importantly, calpain inhibition restored autophagy and reduced mitochondrial fragmentation, concurrent with maintenance of ATP production, normalized reactive oxygen species levels and reduced susceptibility to sIRI. Using a human iPSC model of diabetic endotheliopathy, we demonstrated that restoration of autophagy and prevention of mitochondrial fragmentation via calpain inhibition improves vascular integrity. Our human iPSC-EC model thus represents a valuable platform to explore biological mechanisms and new treatments for diabetes-induced endothelial dysfunction. ? 2019 The Author(s)In this article, Ong and colleagues used human induced pluripotent stem cell-derived endothelial cells (iPSC-ECs) as a novel disease modeling platform to study the effects of diabetes on vascular dysfunction and provided the cause for calpain inhibitors as an anti-diabetic and cardioprotective drug. ? 2019 The Author(s)","adenosine triphosphate; calpain; caspase 3; caspase 7; reactive oxygen metabolite; aortic endothelial cell; apoptosis; Article; autophagosome; autophagy; cell differentiation; comparative study; controlled study; diabetic complication; diabetic patient; DNA fragmentation; endothelial dysfunction; enzyme activity; gene expression profiling; human; human cell; hyperglycemia; in vitro study; induced pluripotent stem cell; mitochondrial dynamics; mitochondrion; nuclear reprogramming; priority journal; reperfusion injury"
"Downstaging is more important than screening for asymptomatic breast cancer",2019,"[無可用摘要]","asymptomatic disease; awareness; Brazil; breast cancer; breast self examination; cancer mortality; cancer screening; cancer staging; cancer survival; clinical examination; early cancer diagnosis; health care system; high income country; human; low income country; mammography; middle income country; Note; priority journal; randomized controlled trial (topic); social psychology"
"The hemodynamic and pain impact of peripheral nerve block versus spinal anesthesia in diabetic patients undergoing diabetic foot surgery",2020,"Purpose: Comparison of hemodynamic profiles and pain scores in diabetic patients undergoing diabetic foot surgery receiving peripheral nerve block (PNB) or spinal anesthesia [subarachnoid block (SAB)]. Methods: This was a prospective, randomised controlled trial. We recruited diabetic patients aged?>?18?years, American Society of Anesthesiologists class II–III, who were scheduled for unilateral diabetic foot surgery below the knee. All patients were assessed for autonomic dysfunction using the Survey of Autonomic Symptoms score. Participants were randomly assigned to receive either PNB or SAB for the surgery. Hemodynamic data, including usage of vasopressors, were recorded at 5-min intervals for up to 1 h after the induction of anesthesia. Pain scores were recorded postoperatively, and follow-up was done via telephone 6?months later. Results: Compared to the PNB group, the SAB group had a larger number of patients with significant hypotension (14 vs. 1; p?=?0.001) and more patients who required vasopressor boluses (6 vs. 0 patients). Compared to SAB group, the patients in the PNB group had a longer postoperative pain-free duration (9 vs. 4.54?h; p?=?0.002) and lower pain scores 1?day after surgery (3.63 vs. 4.69; p?=?0.01). Conclusion: Peripheral nerve block should be considered, whenever possible, as the first option of anesthesia for lower limb surgery in diabetic patients as it provides hemodynamic stability and superior postoperative pain control compared to SAB. Trial registration: Clinical trial registry: ClinicalTrials.gov. ID NCT02727348. ? 2017, Springer-Verlag GmbH Germany, part of Springer Nature.","bupivacaine; ephedrine; fentanyl; paracetamol; phenylephrine; ropivacaine; tramadol; adult; anesthesia induction; anesthesiologist; Article; autonomic dysfunction; controlled study; diabetic foot; diabetic patient; diastolic blood pressure; female; follow up; heart rate; human; hypotension; major clinical study; male; mean arterial pressure; middle aged; nerve block; peripheral nerve block; postoperative pain; prospective study; randomized controlled trial; spinal anesthesia; systolic blood pressure"
"Techniques of monitoring blood glucose during pregnancy for women with pre-existing diabetes",2019,"Background There are a number of ways of monitoring blood glucose in women with diabetes during pregnancy, with self-monitoring of blood glucose (SMBG) recommended as a key component of the management plan. No existing systematic reviews consider the benefits/ effectiveness of different techniques of blood glucose monitoring on maternal and infant outcomes among pregnant women with pre-existing diabetes. The effectiveness of the various monitoring techniques is unclear. This review is an update of a review that was first published in 2014 and subsequently updated in 2017. Objectives To compare techniques of blood glucose monitoring and their impact on maternal and infant outcomes among pregnant women with pre-existing diabetes. Search methods For this update, we searched Cochrane Pregnancy and Childbirth’s Trials Register, ClinicalTrials.gov, the WHO International Clinical Trials Registry Platform (ICTRP) (1 November 2018), and reference lists of retrieved studies. Selection criteria Randomised controlled trials (RCTs) and quasi-RCTs comparing techniques of blood glucose monitoring including SMBG, continuous glucose monitoring (CGM), automated telemedicine monitoring or clinic monitoring among pregnant women with pre-existing diabetes mellitus (type 1 or type 2). Trials investigating timing and frequency of monitoring were also eligible for inclusion. RCTs using a cluster-randomised design were eligible for inclusion but none were identified. Data collection and analysis Two review authors independently assessed study eligibility, extracted data and assessed the risk of bias of included studies. Data were checked for accuracy. The quality of the evidence was assessed using the GRADE approach. Main results This review update includes a total of 12 trials (863) women (792 women with type 1 diabetes and 152 women with type 2 diabetes). The trials took place in Europe, the USA and Canada. Three of the 12 included studies are at low risk of bias, eight studies are at moderate risk of bias, and one study is at high risk of bias. Four trials reported that they were provided with the continuous glucose monitors free of charge or at a reduced cost by the manufacturer. Continuous glucose monitoring (CGM) versus intermittent glucose monitoring, (four studies, 609 women) CGM may reduce hypertensive disorders of pregnancy (pre-eclampsia and pregnancy-induced hypertension) (risk ratio (RR) 0.58, 95% confidence interval (CI) 0.39 to 0.85; 2 studies, 384 women; low-quality evidence), although it should be noted that only two of the four relevant studies reported data for this composite outcome. Conversely, this did not translate into a clear reduction for pre-eclampsia (RR 0.65, 95% CI 0.39 to 1.08; 4 studies, 609 women, moderate-quality evidence). There was also no clear reduction in caesarean section (average RR 0.94, 95% CI 0.75 to 1.18; 3 studies, 427 women; I2 = 41%; moderate-quality evidence) or large-for-gestational age (average RR 0.84, 95% CI 0.57 to 1.26; 3 studies, 421 women; I2 = 70%; low-quality evidence) with CGM. There was not enough evidence to assess perinatal mortality (RR 0.82, 95% CI 0.05 to 12.61, 71 infants, 1 study; low-quality evidence), or mortality or morbidity composite (RR 0.80, 95% CI 0.61 to 1.06; 1 study, 200 women) as the evidence was based on single studies of low quality. CGM appears to reduce neonatal hypoglycaemia (RR 0.66, 95% CI 0.48 to 0.93; 3 studies, 428 infants). Neurosensory disability was not reported. Other methods of glucose monitoring For the following five comparisons, self-monitoring versus a different type of self-monitoring (two studies, 43 women); self-monitoring at home versus hospitalisation (one study, 100 women), pre-prandial versus post-prandial glucose monitoring (one study, 61 women), automated telemedicine monitoring versus conventional system (three studies, 84 women), and constant CGM versus intermittent CGM (one study, 25 women), it is uncertain whether any of the interventions has any impact on any of our GRADE outcomes (hypertensive disorders of pregnancy, caesarean section, large-for-gestational age) because the quality of the evidence was found to be very low. This was due to evidence largely being derived from single trials, with design limitations and limitations with imprecision (wide CIs, small sample sizes, and few events). There was not enough evidence to assess perinatal mortality and neonatal mortality and morbidity composite. Other important outcomes, such as neurosensory disability, were not reported in any of these comparisons. Authors’ conclusions Two new studies (406 women) have been incorporated to one of the comparisons for this update. Although the evidence suggests that CGM in comparison to intermittent glucose monitoring may reduce hypertensive disorders of pregnancy, this did not translate into a clear reduction for pre-eclampsia, and so this result should be viewed with caution. No differences were observed for other primary outcomes for this comparison. The evidence base for the effectiveness of other monitoring techniques analysed in the other five comparisons is weak and based on mainly single studies with very low-quality evidence. Additional evidence from large well-designed randomised trials is required to inform choices of other glucose monitoring techniques and to confirm the effectiveness of CGM. ? 2019 The Cochrane Collaboration.","adiponectin; fatty acid; fructosamine; glucose; hemoglobin A1c; high density lipoprotein; insulin; low density lipoprotein; triacylglycerol; academic achievement; Apgar score; behavior change; birth injury; birth weight; blood glucose monitoring; blood pressure monitoring; body mass; breast feeding; cardiovascular disease; cesarean section; childhood obesity; diabetic ketoacidosis; eclampsia; educational status; fasting; feeding difficulty; fracture; gestational weight gain; glucose blood level; glycemic control; head circumference; health care cost; health service; hospitalization; human; hyperbilirubinemia; hypocalcemia; hypoglycemia; impaired glucose tolerance; insulin dependent diabetes mellitus; large for gestational age; macrosomia; maternal diabetes mellitus; maternal hypertension; metabolic syndrome X; nerve paralysis; neurologic disease; non insulin dependent diabetes mellitus; patient compliance; perinatal morbidity; perinatal mortality; perineum injury; physical well-being; polycythemia; postnatal depression; postpartum hemorrhage; preeclampsia; pregnancy outcome; pregnant woman; premature labor; prenatal care; priority journal; puerperal infection; quality of life; randomized controlled trial (topic); respiratory distress; respiratory distress syndrome; Review; sample size; self monitoring; shoulder dystocia; small for date infant; social status; solutio placentae; spontaneous abortion; systematic review; telemedicine; transient tachypnea of the newborn; treatment outcome; vaginal delivery; adult; blood; blood glucose monitoring; Canada; chemically induced; Europe; female; glucose blood level; hypertension; metabolism; newborn; preeclampsia; pregnancy; procedures; United States; Adult; Blood Glucose; Blood Glucose Self-Monitoring; Canada; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Europe; Female; Humans; Hypertension; Hypoglycemia; Infant, Newborn; Perinatal Mortality; Pre-Eclampsia; Pregnancy; United States"
"In-depth examination of issues surrounding the reasons for child marriage in Kelantan, Malaysia: A qualitative study",2019,"Objective To examine individual, familial, community and societal issues surrounding the reasons for child marriage in Kelantan, Malaysia. Design Qualitative study by means of semistructured interviews with women and key informants, using social-ecological model as a conceptual framework. Setting Interviews were conducted in Kota Bharu district, Kelantan, a northeast state in Peninsular Malaysia. Participants Eighteen women of reproductive age (18 to 44 years old) that experienced their first marriage below the age of 18, as well as five key informants, consisting of a government officer, a community leader, an officer from religious department and two mothers. The women were recruited from a reproductive health clinic. The key informants who had specialised knowledge related to child marriage were selectively chosen. Results Three themes emerged that aligned with the social-ecological model: immaturity in decision-making, family poverty and religious and cultural norms. Conclusions The findings imply that sex education and awareness-building activities regarding the consequences of child marriage must be implemented to eradicate child marriage in Malaysia. Such implementation must be coordinated as a team-based approach involving experts in such fields as law, religion, psychology, social-welfare and public health. In order to increase the awareness of child marriage consequences, the target for awareness must extend not only to the adolescent girls and their families, but also to the community and society at large by clearly communicating the negative consequences of and addressing the drivers for child marriage. ? Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","adolescent; adult; article; awareness; child; clinical article; decision making; female; government; health center; human; human experiment; Kelantan; leadership; marriage; mother; poverty; qualitative research; religion; reproductive health; sexual education; social welfare; young adult; conceptual framework; semi structured interview"
"School culture and instructional leadership: A comparison between high-performing and low-performing urban secondary schools",2019,"In the school setting, instructional leadership has been asserted as the most crucial type of leadership that is closely linked to professional culture in schools. The main reason is that instructional leadership pertains to the core functions of education, instruction, and learning in classrooms, which also directly constitute as the main components of school culture. The purpose of the study presented in this paper was to examine and analyze the patterns of differences and relationships between instructional leadership and school culture of some high-and low-performing secondary schools. This study found that the school culture and instructional leadership of high-performing schools were markedly different from that of the low-performing schools. In high-performing schools, the school heads maintained positive attitudes toward students, staff, and parents; created a school culture and climate conductive to learning; and predominantly emphasized teachers’ professional values and collegiality. The findings imply that a school head should establish clear school vision and mission, set professional goals for staff, and build a two-way communication channel with teachers. School heads also should set high expectations on teachers and students, and create a positive school culture and climate of learning. ? 2019, Indian Journal of Public Health Research and Development. All rights reserved.","article; climate; expectation; head; high school; human; human experiment; leadership; learning; student; teacher; vision"
"The role of transient receptor potential (TRP) channels in the transduction of dental pain",2019,"Dental pain is a common health problem that negatively impacts the activities of daily living. Dentine hypersensitivity and pulpitis-associated pain are among the most common types of dental pain. Patients with these conditions feel pain upon exposure of the affected tooth to various external stimuli. However, the molecular mechanisms underlying dental pain, especially the transduction of external stimuli to electrical signals in the nerve, remain unclear. Numerous ion channels and receptors localized in the dental primary afferent neurons (DPAs) and odontoblasts have been implicated in the transduction of dental pain, and functional expression of various polymodal transient receptor potential (TRP) channels has been detected in DPAs and odontoblasts. External stimuli-induced dentinal tubular fluid movement can activate TRP channels on DPAs and odontoblasts. The odontoblasts can in turn activate the DPAs by paracrine signaling through ATP and glutamate release. In pulpitis, inflammatory mediators may sensitize the DPAs. They could also induce post-translational modifications of TRP channels, increase trafficking of these channels to nerve terminals, and increase the sensitivity of these channels to stimuli. Additionally, in caries-induced pulpitis, bacterial products can directly activate TRP channels on DPAs. In this review, we provide an overview of the TRP channels expressed in the various tooth structures, and we discuss their involvement in the development of dental pain. ? 2019 by the authors. Licensee MDPI, Basel, Switzerland.","2 aminoethoxydiphenylborane; anandamide; calcitonin gene related peptide; cytokine; isolectin B4; messenger RNA; metabotropic receptor; neuropeptide; protein tyrosine kinase A; transient receptor potential channel; transient receptor potential channel M7; transient receptor potential channel M8; tumor necrosis factor; vanilloid receptor 1; vanilloid receptor 2; vanilloid receptor 3; vanilloid receptor agonist; adenosine triphosphate; glutamic acid; transient receptor potential channel; calcium balance; dendritic cell; dentin; gene expression; homeostasis; human; hyperalgesia; hypersensitivity; immune response; immunohistochemistry; immunoreactivity; macrophage; mechanoreceptor; myelin sheath; neurofilament; nociception; nonhuman; odontoblast; osmoreceptor; pain receptor; parasympathetic nerve; periodontal ligament; pulpitis; Review; signal transduction; tooth pain; tooth pulp; trigeminus ganglion; upregulation; complication; daily life activity; dentin sensitivity; metabolism; protein processing; sensory nerve cell; tooth pain; Activities of Daily Living; Adenosine Triphosphate; Dentin Sensitivity; Glutamic Acid; Humans; Neurons, Afferent; Odontoblasts; Protein Processing, Post-Translational; Pulpitis; Toothache; Transient Receptor Potential Channels"
"Consumer behaviour towards willingness to pay for Halal products: An assessment of demand for Halal certification in a Muslim country",2019,"Purpose: The purpose of this paper is to empirically analyze the factors affecting Muslim consumers’ willingness to pay (WTP) for Halal food, products and operations by employing theory of reasoned action. Design/methodology/approach: This study has used quantitative research methodology and collected data from 350 questionnaires from a densely populated city of Pakistan. Partial least squares-structural equation modeling was used to analyze the data. Findings: The results show that the concerns about Halal, religiosity, perception of usefulness of Halal and product ingredients have a significant impact on WTP for Halal foods, while attitude has an insignificant impact on WTP. Moreover, the extent of demand for Halal certification is significantly affected by WTP. Originality/value: The study highlighted the concerns of the Muslim consumers with respect to Halalness of the products and operations despite living in a Muslim country. It is recommended that the policy makers, food authorities and health institutions should conduct regular inspections of foods, products and producers’/manufacturers’ operations to ensure that all the procedures from manufacturing of the raw material till the finished goods follow Islamic principles to make them completely Halal. ? 2018, Emerald Publishing Limited.","article; certification; consumer attitude; human; human experiment; Muslim; Pakistan; partial least squares regression; perception; quantitative analysis; questionnaire; structural equation modeling; Theory of Reasoned Action"
"Application of nonlinear methods to discriminate fractionated electrograms in paroxysmal versus persistent atrial fibrillation",2019,"Background and Objective: Complex fractionated atrial electrograms (CFAE) may contain information concerning the electrophysiological substrate of atrial fibrillation (AF); therefore they are of interest to guide catheter ablation treatment of AF. Electrogram signals are shaped by activation events, which are dynamical in nature. This makes it difficult to establish those signal properties that can provide insight into the ablation site location. Nonlinear measures may improve information. To test this hypothesis, we used nonlinear measures to analyze CFAE. Methods: CFAE from several atrial sites, recorded for a duration of 16 s, were acquired from 10 patients with persistent and 9 patients with paroxysmal AF. These signals were appraised using non-overlapping windows of 1-, 2- and 4-s durations. The resulting data sets were analyzed with Recurrence Plots (RP) and Recurrence Quantification Analysis (RQA). The data was also quantified via entropy measures. Results: RQA exhibited unique plots for persistent versus paroxysmal AF. Similar patterns were observed to be repeated throughout the RPs. Trends were consistent for signal segments of 1 and 2 s as well as 4 s in duration. This was suggestive that the underlying signal generation process is also repetitive, and that repetitiveness can be detected even in 1-s sequences. The results also showed that most entropy metrics exhibited higher measurement values (closer to equilibrium) for persistent AF data. It was also found that Determinism (DET), Trapping Time (TT), and Modified Multiscale Entropy (MMSE), extracted from signals that were acquired from locations at the posterior atrial free wall, are highly discriminative of persistent versus paroxysmal AF data. Conclusions: Short data sequences are sufficient to provide information to discern persistent versus paroxysmal AF data with a significant difference, and can be useful to detect repeating patterns of atrial activation. ? 2019","Ablation; Chemical activation; Diseases; Electrophysiology; Entropy; Multivariable control systems; Atrial electrograms; Atrial fibrillation; Electrogram; Entropy measure; Information concerning; Multi-scale entropies; Recurrence plot; Recurrence quantification analysis; Nonlinear analysis; Article; clinical article; comparative study; complex fractionated atrial electrogram; controlled study; deep learning; diagonal line lengths entropy; electrocardiogram; electrography; entropy; fuzzy entropy; fuzzy system; heart electrophysiology; heart right atrium; human; multiscale entropy; nonlinear system; paroxysmal atrial fibrillation; persistent atrial fibrillation; pulmonary vein; radiofrequency catheter ablation; algorithm; atrial fibrillation; catheter ablation; fuzzy logic; heart function test; image processing; nonlinear system; procedures; signal processing; statistical analysis; Algorithms; Atrial Fibrillation; Catheter Ablation; Data Interpretation, Statistical; Electrophysiologic Techniques, Cardiac; Fuzzy Logic; Humans; Image Processing, Computer-Assisted; Nonlinear Dynamics; Signal Processing, Computer-Assisted"
"A Nationwide Study Comparing Knowledge and Beliefs about HPV among Female Students before and after HPV Vaccination",2019,"Study Objective: To assess the knowledge and beliefs regarding human papillomavirus (HPV) and the HPV vaccine among girls before and after vaccination in the Malaysian HPV Immunisation Programme. Design: A nationwide longitudinal survey. Setting: Thirty-two randomly selected schools from 13 states and 3 federal territories in Malaysia from February to March 2013, and October to November 2013. Participants: Form One female students (13 years old). Interventions: None. Main Outcome Measures: Mean knowledge score of HPV infection. Results: A total of 2644 students responded to the prevaccination survey, of whom 2005 (70%) completed the postvaccination survey. The mean knowledge score was 2.72 (SD ± 2.20) of a maximum score of 10 in the prevaccination survey, which increased significantly to 3.33 (SD ± 1.73) after the 3 doses of HPV vaccine (P = .001). Many answered incorrectly that, “Only girls can get HPV infection” (91.5%, n = 1841 prevaccination vs 96.1%, n = 1927 postvaccination), and only a few were aware that, “Vaccinating boys helps to protect girls against HPV infection” (11.4%, n = 229 for prevaccination vs 10.2%, n = 206 for postvaccination). The mean knowledge score was significantly higher postvaccination among higher-income families and those with parents of a higher occupational status. Regarding beliefs about the HPV vaccine, 89.4% in the prevaccination survey held the view that they would not get a HPV infection, and the percentage remained similar in the postvaccination survey. Perceived severity of HPV infection also remained low in the pre- and postintervention groups. Only 21.5% reported receiving health information about HPV along with the provision of the HPV vaccine; those who received health information showed higher levels of knowledge. Conclusion: Findings revealed a general lack of knowledge and erroneous beliefs about HPV and the HPV vaccine even after receiving vaccination. This suggests that imparting accurate knowledge about HPV along with vaccine administration is essential. Specifically, girls from lower socioeconomic groups should be a target of educational intervention. ? 2018 North American Society for Pediatric and Adolescent Gynecology","Wart virus vaccine; Wart virus vaccine; Article; comparative study; cross-sectional study; employment status; female; health belief; health survey; highest income group; household income; human; knowledge; longitudinal study; major clinical study; Malaysian; medical information; papillomavirus infection; parent; priority journal; religious group; vaccination; adolescent; attitude to health; Malaysia; male; Papillomaviridae; papillomavirus infection; school; statistics and numerical data; student; vaccination; Adolescent; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Longitudinal Studies; Malaysia; Male; Papillomaviridae; Papillomavirus Infections; Papillomavirus Vaccines; Schools; Students; Vaccination"
