作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Huynh J., Menezes H.T., Gerstein H., Sherifali D.",57210665596;57201485421;57202697001;57211129521;,Exploring the Experiences of Adults With Type 2 Diabetes on Sodium Glucose Cotransporter 2 Inhibitors,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071144215&doi=10.1016%2fj.jcjd.2019.06.004&partnerID=40&md5=a91bb86ff071ff9fab9201f0b939f418,"Objective: Diet-related quality of life has not been explored previously in patients with type 2 diabetes using sodium glucose cotransporter 2 (SGLT-2) inhibitors, the latest class of diabetes medications. In this study, we sought to describe the patient experience on SGLT-2 inhibitors and examine whether there have been improvements in dietary perception and satisfaction with these drugs. Methods: Adults ?40 years of age with type 2 diabetes and using SGLT-2 inhibitors for at least 1 month were recruited to take part in one-time 1-on-1 interviews. An interpretive descriptive methodology was used. Data collection and analysis occurred concurrently and a constant comparative analysis was used. Results: An overall positive response to SGLT-2 inhibitor use was observed. Interviews revealed 3 themes: Recognizing, Reckoning and Realizing. In Recognizing, all patients reported a significant relationship with food that was typically negative and included feelings of food restriction and deprivation. Positive side effects of the drug in Reckoning included better glycemic control, weight loss and improved energy. Some participants were motivated in Realizing to pursue additional behavioural changes to improve their diabetes management. Conclusions: An improved dietary-related quality of life was described by some participants. Although not all individuals were seen to move into the Realizing phase after initiating an SGLT-2 inhibitor, there appeared to be an opportunity to create a behaviour change after positive Reckoning experiences. ? 2019 Canadian Diabetes Association",interpretive description; patient experience; patient-reported outcomes; sodium glucose cotransporter 2; type 2 diabetes,dapagliflozin; empagliflozin; sodium glucose cotransporter 2 inhibitor; adult; aged; Article; behavior change; body weight loss; candidiasis; clinical article; descriptive research; diet restriction; drug safety; female; food deprivation; glycemic control; human; information processing; interview; male; non insulin dependent diabetes mellitus; patient satisfaction; perception; personal experience; polyuria; quality of life; treatment duration; treatment response; urinary tract infection; urogenital tract infection,2-s2.0-85071144215
"Bouhamed S.A., Kallel I.K., Yager R.R., Boss? ?., Solaiman B.",55884967200;57208850351;35618760400;35583649600;7005948109;,An intelligent quality-based approach to fusing multi-source possibilistic information,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070678217&doi=10.1016%2fj.inffus.2019.08.003&partnerID=40&md5=5c7555aabbf2b28536f9b9c6af2e60dc,"Recently, Yager and Petry were proposing a quality-based methodology to combine data provided by multiple probabilistic sources to improve the quality of information for decision-makers. This paper offers a sort of companion paper that adapts this methodology to possibilistic sources. Possibility theory is particularly well suited to cope with incomplete information from poor-data sources. The methodology and algorithms used for the probabilistic approach are adapted for the possibilistic case. Both approaches are then compared by the means of a numerical example and four experimental benchmark datasets: one, the IRIS data set, being data-poorer than the three other ones (Diabetes dataset, Glass dataset and Liver-disorder dataset). A vector representation is introduced for a possibility distribution as in the probabilistic case and, the Gini's formulation of entropy is being used. However, the Gini's entropy has to be used differently than with the probabilistic case. This has an impact on the selection of subsets. A fusion scheme is designed to select the best-quality subsets according to two information quality factors: quantity of information and source credibility. Results obtained from comparison of both approaches on the four experimental benchmarks confirm the superiority of the possibilistic approach in the presence of information scarcity or incompleteness. ? 2019 Elsevier B.V.",Gini entropy; Information fusion; Possibility theory; Quality of information; Source credibility; Uncertainty,Decision making; Entropy; Information fusion; Experimental benchmarks; Possibilistic informations; Possibility distributions; Possibility theory; Probabilistic approaches; Quality of information; Source credibilities; Uncertainty; Probability distributions,2-s2.0-85070678217
"Alaroui D.F., Johnston E.M., Farquharson M.J.",57208260761;57193157109;7004838707;,Comparison of two X-ray detection systems used to investigate properties of normal and malignant breast tissues,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064263203&doi=10.1016%2fj.nima.2019.02.027&partnerID=40&md5=85e1da09533f165918ae5c031fe46045,"The present study was implemented using two X-ray detection systems; a monochromatic X-ray system for X-ray Fluorescence (XRF) and Angular Dispersive X-ray Diffraction (ADXRD) techniques, and a combined Polarized Energy Dispersive X-ray Fluorescence (PEDXRF) and Energy Dispersive X-ray Diffraction (EDXRD) system. As both of these systems involve different techniques, the primary objective of this study was to evaluate the performance and accuracy of each system using results achieved from XRF measurements. The assessment of the two systems was carried out by investigating tissues samples containing invasive ductal carcinoma (IDC) of the breast and normal surrounding breast tissues. The results established from the two XRF systems are in a very good agreement with each other. The statistical analysis reveals a significant and measurable increase (p < 0.01) in the concentration of K, Ca, Zn, Rb and Fe (p < 0.05) in the tumorous tissue when compared with the healthy tissue. However, the levels of Cl, Cu and Br attained by both systems have not demonstrated a statistically significant difference between the normal and cancerous tissues. Investigating the structural components of the same breast tissues using each of the X-ray Diffraction (XRD) spectrometers incorporated in both systems indicated a statistically significant difference in the components of normal and malignant samples. Furthermore, the results have shown a significant increase in the fibrous and water contents of the tumour tissue at p < 0.01, and a significant increase in the adipose content of the normal tissue at (p < 0.01). The results acquired from both XRD approaches were shown to be statistically compatible with each other. Overall, the comparisons between the two X-ray detection systems have shown improved results for the combined PEDXRF and EDXRD system for the purpose of classifying normal and tumour breast tissues. ? 2019 Elsevier B.V.",Breast cancer; Breast margin assessment; Structural components; Trace elements; X-ray diffraction; X-ray fluorescence,Energy dispersive spectroscopy; Fluorescence; Trace elements; Tumors; X ray diffraction; Breast Cancer; Breast margin assessment; Energy dispersive x-ray diffractions; Energy dispersive X-ray fluorescence; Invasive ductal carcinomata; Statistically significant difference; Structural component; X ray fluorescence; Histology,2-s2.0-85064263203
"Ross A., Gillett J.",57189263370;7007085160;,Confronting Medicine’s Dichotomies: Older Adults’ Use of Interpretative Repertoires in Negotiating the Paradoxes of Polypharmacy and Deprescribing,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071621163&doi=10.1177%2f1049732319868981&partnerID=40&md5=9e3a6b528e1e229ac736a0bf618ee16a,"To address the risks associated with polypharmacy, health care providers are investigating the feasibility of deprescribing programs as part of routine medical care to reduce medication burden to older adults. As older adults are enrolled in these programs, they are confronted with two dominant and legitimate accounts of medications, labeled the medication paradox: medications keep you healthy but they might be making you sick. We investigated how the medication paradox operates in the lives of older adults. In-depth qualitative interviews were conducted and analyzed with older adults aged 70+ to identify the various paradoxes that seniors live through regarding their medications and the narratives that they engage to negotiate these contradictions. Older adults were found to have established interpretative repertoires to make sense of the incongruent narratives of the medication paradox. In this article, we demonstrate older adults’ efforts to carve out their unique place in the dichotomized institution of medicine. ? The Author(s) 2019.",deprescribing; Hamilton; interpretative repertoire; older adults; Ontario; paradox; polypharmacy; qualitative interviews,aged; article; human; interview; narrative; Ontario; polypharmacy,2-s2.0-85071621163
"Doumouras A.G., Lee Y., Babe G., Gmora S., Tarride J.-E., Hong D., Anvari M.",55173614900;57189716555;57209329155;6506508565;10143478600;55041068900;7006187763;,The hidden cost of an extensive preoperative work-up: predictors of attrition after referral for bariatric surgery in a universal healthcare system,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067413043&doi=10.1007%2fs00464-019-06894-9&partnerID=40&md5=f0283c38b84ca02e9bc096fe72730cfe,"Background: Bariatric surgery is in high demand and patients generally undergo an extensive work-up process to maximize the success of surgery, especially in universal healthcare systems. Although valuable, this work-up process can lead to attrition before surgery. Therefore, we aim to assess patient and health system factors associated with attrition after bariatric surgery referral in a universal healthcare system. Methods: This was a population-based study of all patients aged ? 18 referred for bariatric surgery in Ontario, Canada from 2009 to 2015. Primary outcome was patients who dropped out of bariatric surgery after referral. Predictors of attrition after referral included patient demographics, clinical, institutional, and socioeconomic variables. Odds ratios and 95% CIs were estimated by multilevel logistic regression models. Results: From 17,703 patients that were referred for bariatric surgery, 4122 patients dropped after the initial referral. Male patients, increasing age, and longer wait times for surgery were significantly (P < 0.0001) associated with higher odds of attrition. Additionally, smoker status, immigration status, unemployment, and disability were significant factors (P < 0.0001) predicting attrition. Patients who lived in lowest income quintile neighborhoods, when compared to those from the richest neighborhoods, had significantly higher odds of attrition (P = 0.02). Sleep apnea was associated with lower odds of attrition while diabetes and heart failure both with higher odds of attrition. Conclusion: Even in a universal healthcare system, there are various factors that could lead to increased odds of attrition before bariatric surgery. Clear disparities exist for certain marginalized populations. Further studies are warranted to ensure equitable utilization of bariatric surgery for all patients. ? 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Attrition; Bariatric surgery; Drop out; Universal Healthcare,adult; Article; bariatric surgery; Canada; clinical outcome; controlled study; disability; female; health care system; heart failure; human; immigration; major clinical study; male; neighborhood; obesity; patient referral; people by smoking status; priority journal; retrospective study; sleep disordered breathing; unemployment,2-s2.0-85067413043
"Li P., Constantinescu G.C., Nguyen N.-T.A., Jeffery C.C.",57207733252;8751501300;56194953100;57207901969;,Trends in Reporting of Swallowing Outcomes in Oropharyngeal Cancer Studies: A Systematic Review,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062799298&doi=10.1007%2fs00455-019-09996-7&partnerID=40&md5=415118e3417340951e9026f62c4754ad,"Over the last two decades, dysphagia is increasingly recognized as a significant short-term and long-term issue in oropharyngeal cancer patients. However, there remains a lack of standardization and agreement about reporting swallowing outcomes in studies that assess treatment outcomes in this population. A systematic review was performed following PRISMA Guidelines by searching Pubmed (MEDLINE) and Scopus. The inclusion criteria used included (1) prospective and retrospective clinical studies involving adult patients with oropharyngeal cancer, (2) reports swallowing outcomes, (3) English studies or studies with English translation, (4) full text retrievable and (5) publication between 1990 and 2016. 410 unique studies were identified, and 106 were analyzed. A majority (> 80%) of studies that reported swallowing outcomes were published after 2010. While 75.4% of studies reported subjective outcomes (e.g., patient-reported or clinician-reported outcome measures), only 30.2% of studies presented results of objective instrumental assessment of swallowing. The majority (61%) of studies reported short-term swallowing outcomes at 1?year or less, and only 10% of studies examined 5-year swallowing comes. One study examined late-dysphagia (> 10?years) in the oropharyngeal cancer population. Considerable heterogeneity remains in the reporting of swallowing outcomes after treatment of oropharyngeal cancer despite its importance for quality of life. Studies reporting long-term swallowing outcomes are lacking in the literature, and objective measures of swallowing function remain underutilized and nonstandardized. ? 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Deglutition and deglutition disorders; Dysphagia outcomes; Metrics; Oropharyngeal cancer,Article; cancer patient; cancer radiotherapy; cancer surgery; clinical outcome; clinician; disease association; dysphagia; evidence based medicine; human; oropharynx cancer; outcome assessment; patient-reported outcome; priority journal; prospective study; quality of life; surgical oncologist; systematic review; treatment response; trend study,2-s2.0-85062799298
"Holmes C., Owens M., Beach S.R.H., McCormick M., Hallowell E., Clark U.S., Barton A.W., Brody G.H., MacKillop J., Sweet L.H.",55828074300;55427748600;35497696000;56591682300;57163468500;15740714100;36954943000;7102638125;8855524600;7004535329;,"Peer influence, Frontostriatal connectivity, and delay discounting in African American emerging adults",2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055969549&doi=10.1007%2fs11682-018-9977-y&partnerID=40&md5=2b60fe1aa4704e3737c631eff7987446,"Prior research has demonstrated the importance of delay discounting in adverse health behaviors, such as addiction, attention deficit hyperactivity disorder, risk taking, and obesity. Nevertheless, the functional connectivity of neural circuitry associated with delay discounting and the ways in which the social environment may influence frontostriatal connectivity remain largely unknown, particularly in African Americans. Building on recent literature implicating frontostriatal connectivity during active delay discounting decision making and at rest, we used functional magnetic resonance imaging to assess the association between delay discounting and frontostriatal resting state connectivity (rsFC). We also examined the capacity of social relationships with parents and peers to longitudinally predict frontostriatal rsFC. The study cohort was composed of 91 rural African American emerging adults followed over a 6-year period. Greater (i.e., more positive) frontostriatal rsFC was associated with decreased delay discounting (i.e., less impulsive decision making). In addition, peer relationships at ages 20 and 21 significantly predicted frontostriatal rsFC at age 25 above and beyond parental influence. A significant indirect effect of peer affiliation on delay discounting through frontostriatal rsFC also emerged. These results indicate a role of frontostriatal connectivity in delay discounting decision making and highlight peers’ unique influence on decision making behaviors through frontostriatal rsFC during emerging adulthood. ? 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Delay discounting; Emerging adulthood; Frontostriatal connectivity; Parent influence; Peer influence,adult; adulthood; African American; article; cohort analysis; decision making; delay discounting; female; functional magnetic resonance imaging; human; major clinical study; male; peer group; peer pressure; rest; social interaction,2-s2.0-85055969549
"Miller K., Sheaves F., Maher L., Page J., Bridges-Webb I., Treloar C.",57207820126;57207830701;56611504600;57207834690;57207816996;6603868458;,‘C’ the potential: needle and syringe programs as hepatitis C treatment sites,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062956510&doi=10.1080%2f09687637.2019.1583170&partnerID=40&md5=0d4754de9966b6fb48235138526ac168,"Historic models of hepatitis C treatment have not been suitably adapted for people who inject drugs (PWIDs). With the availability of highly effective direct acting antivirals (DAAs) and the possibility to eliminate hepatitis C as a public health threat, there is an urgency to improve treatment provision and uptake among PWID. This commentary explores the role of needle and syringe programs (NSPs) in providing hepatitis C treatment to PWID through an exploration of Positively Hep, a peer-referral, incentive-based project in Sydney, Australia. Positively Hep uses peer-networks to engage clients and introduce them to hepatitis C education, screening, and treatment. Within the first 26?months of operation, Positively Hep has provided education about hepatitis C and DAA treatments to 326 individuals, and has tested 145 people, 44% (n = 64) of whom have tested positive. Of these individuals, 21 (33%) have begun treatment, and 18 (28%) have successfully completed treatment. Positively Hep highlights the benefits of having trustworthy, timely, convenient, and client-friendly services to engage PWID and support them throughout hepatitis C treatment. This commentary is intended to prompt discussion about incorporating hepatitis C treatment into NSP service delivery, which could increase treatment uptake among PWID and support progress toward elimination targets. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",Hepatitis C; needle and syringe programs; service delivery; treatment,,2-s2.0-85062956510
"Tuokko H., Griffith L.E., Simard M., Taler V., O’Connell M.E., Voll S., Kadlec H., Wolfson C., Kirkland S., Raina P.",7004477302;7102391450;7005681194;56251259800;7201811735;57194779297;6602389129;7007018695;7005787049;7005895614;,The Canadian longitudinal study on aging as a platform for exploring cognition in an aging population,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060054189&doi=10.1080%2f13854046.2018.1551575&partnerID=40&md5=5efdc9ca3359b10921dec639914bd38e,"Objective: We present descriptive information on the cognitive measures used in the Canadian Longitudinal Study on Aging (CLSA) Comprehensive Cohort, relate this to information on these measures in the extant literature, and identify key considerations for their use in research and clinical practice. Method: The CLSA Comprehensive Cohort is composed of 30,097 participants aged 45–85years at baseline who provided a broad range of sociodemographic, physical, social, and psychological health information via questionnaire and took part in detailed physical and cognitive assessments. Cognitive measures included: the Rey Auditory Verbal Learning Test–immediate and 5-min delayed recall, Animal Fluency, Mental Alternation Test (MAT), Controlled Oral Word Association Test (COWAT), Stroop Test–Victoria Version, Miami Prospective Memory Test (MPMT), and a Choice Reaction Time (CRT) task. Results: CLSA Comprehensive Cohort sample sizes were far larger than previous studies, and performances on the cognitive measures were similar to comparable groups. Within the CLSA Comprehensive Cohort, main effects of age were observed for all cognitive measures, and main effects of language were observed for all measures except the CRT. Interaction effects (language × age) were observed for the MAT, MPMT Event-based score, all time scores on the Stroop Test, and most COWAT scores. Main effects of education were observed for all measures except for the MPMT Time score in the French sample, and interaction effects (age × education) were observed for the RAVLT (immediate and delayed) for the English sample and the Stroop Dot time for the French sample. Conclusion: This examination of the cognitive measures used in the CLSA Comprehensive Cohort lends support to their use in large studies of health and aging. We propose further exploration of the cognitive measures within the CLSA to make this information relevant to and available for clinical practice. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",CLSA; Cognition; language; older adults; population-based,adult; aged; aging; article; choice reaction time; clinical practice; cohort analysis; controlled oral word association test; controlled study; education; female; human; human experiment; language; longitudinal study; major clinical study; male; middle aged; prospective memory; psychological well-being; questionnaire; recall; Rey auditory verbal learning test; sample size; Stroop test,2-s2.0-85060054189
"Pol J.G., Bridle B.W., Lichty B.D.",54899700700;6507465436;6602483903;,Detection of Tumor Antigen-Specific T-Cell Responses After Oncolytic Vaccination,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071759438&doi=10.1007%2f978-1-4939-9794-7_12&partnerID=40&md5=18236edcba4a86e9f5e44bb1a819df0b,"Oncolytic vaccines, which consist of recombinant oncolytic viruses (OV) encoding tumor-associated antigens (TAAs), have demonstrated potent antitumor efficacy in preclinical models and are currently evaluated in phase I/II clinical trials. On one hand, oncolysis of OV-infected malignant entities reinstates cancer immunosurveillance. On the other hand, overexpression of TAAs in infected cells further stimulates the adaptive arm of antitumor immunity. Particularly, the presence of tumor-specific CD8+ T lymphocytes within the tumor microenvironment, as well as in the periphery, has demonstrated prognostic value for cancer treatments. These effector CD8+ T cells can be detected through their production of the prototypical Tc1 cytokine: IFN-γ. The quantitative and qualitative assessment of this immune cell subset remains critical in the development process of efficient cancer vaccines, including oncolytic vaccines. The present chapter will describe a single-cell immunological assay, namely the intracellular cytokine staining (ICS), that allows the enumeration of IFN-γ-producing TAA-specific CD8+ T cells in various tissues (tumor, blood, lymphoid organs) following oncolytic vaccination. ? 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Cancer vaccine; Flow cytometry; IFN-γ; Intracellular cytokine staining (ICS); Oncolytic virus; Tumor antigen,,2-s2.0-85071759438
