"文獻名稱.","年份","摘要","索引關鍵字"
"A case of dihydropyrimidinase deficiency incidentally detected by urine metabolome analysis",2019,"Dihydropyrimidinase deficiency is a rare autosomal recessive disease affecting the second step of pyrimidine degradation. It is caused by mutations in the DPYS gene. Only approximately 30 cases have been reported to date, with a phenotypical variability ranging from asymptomatic to severe neurological illness. We report a case of dihydropyrimidinase deficiency incidentally detected by urine metabolome analysis. Gas chromatography-mass spectrometry-based urine metabolomics demonstrated significant elevations of dihydrouracil and dihydrothymine, which were subsequently confirmed by a quantitative analysis using liquid chromatography-tandem mass spectrometry. Genetic testing of the DPYS gene revealed two mutations: a novel mutation (c.175G > T) and a previously reported mutation (c.1469G > A). Dihydropyrimidinase deficiency is probably underdiagnosed, considering its wide phenotypical variability, nonspecific neurological presentations, and an estimated prevalence of 2/20,000. As severe 5-fluorouracil-associated toxicity has been reported in patients and carriers of congenital pyrimidine metabolic disorders, urinary pyrimidine analysis should be considered for those who will undergo 5-fluorouracil treatment. ? 2018 The Japanese Society of Child Neurology","alanine aminotransferase; alkaline phosphatase; aspartate aminotransferase; creatine kinase; dihydropyrimidinase; dihydrouracil; fluorouracil; fructose bisphosphate aldolase; pyrimidine; thymine; uracil; pyrimidine derivative; adolescent; alanine aminotransferase blood level; Article; aspartate aminotransferase blood level; asymptomatic disease; autosomal recessive disorder; case report; child; clinical article; creatine kinase blood level; differential diagnosis; dihydropyrimidinase deficiency; dpys gene; enzyme deficiency; gene; gene mutation; genetic screening; human; incidental finding; intelligence quotient; liquid chromatography-mass spectrometry; male; mass fragmentography; metabolome; metabolomics; muscle cramp; pyrimidine metabolism; quantitative analysis; school child; urinalysis; urine sampling; complication; diagnostic imaging; disorders of purine and pyrimidine metabolism; inborn error of metabolism; liquid chromatography; mass spectrometry; muscle cramp; nerve conduction; urine; Adolescent; Chromatography, Liquid; Humans; Mass Spectrometry; Metabolism, Inborn Errors; Metabolome; Muscle Cramp; Neural Conduction; Purine-Pyrimidine Metabolism, Inborn Errors; Pyrimidines"
"MEG3-derived miR-493-5p overcomes the oncogenic feature of IGF2-miR-483 loss of imprinting in hepatic cancer cells",2019,"Numerous studies have described the critical role played by microRNAs (miRNAs) in cancer progression and the potential of these small non-coding RNAs for diagnostic or therapeutic applications. However, the mechanisms responsible for the altered expression of miRNAs in malignant cells remain poorly understood. Herein, via epigenetic unmasking, we identified a group of miRNAs located in the imprinted delta like non-canonical Notch ligand 1 (DLK1)-maternally expressed 3 (MEG3) locus that were repressed in hepatic tumor cells. Notably, miR-493-5p epigenetic silencing was correlated with hypermethylation of the MEG3 differentially regulated region (DMR) in liver cancer cell lines and tumor tissues from patients. Experimental rescue of miR-493-5p promoted an anti-cancer response by hindering hepatocellular carcinoma (HCC) cell growth in vitro and tumor progression in vivo. We found that miR-493-5p mediated part of its tumor-suppressor activity by abrogating overexpression of insulin-like growth factor 2 (IGF2) and the IGF2-derived intronic oncomir miR-483-3p in HCC cells characterized by IGF2 loss of imprinting (LOI). In summary, this study describes an unknown miRNA-dependent regulatory mechanism between two distinct imprinted loci and a possible therapeutic window for liver cancer patients exhibiting IGF2-miR-483 LOI and amplification. ? 2019, The Author(s).","microRNA; microRNA 493 5p; somatomedin B; unclassified drug; Article; cancer cell; cell growth; controlled study; delta like non canonical notch ligand 1 gene; epigenetics; gene locus; human; human cell; liver cancer; liver cancer cell line; liver tumor; maternally expressed 3 gene; priority journal; regulatory mechanism; tumor growth"
"The efficacy of maintenance therapy after remission induction with tacrolimus in ulcerative colitis with and without previous tumor necrosis factor-α inhibitor",2019,"Background and Aim: Tacrolimus (TAC) is an important therapeutic option for remission induction in patients with refractory ulcerative colitis (UC). However, there is little evidence available on long-term outcomes and maintenance treatments after TAC therapy, especially in cases with previous tumor necrosis factor-α (TNF-α) inhibitor therapy. Methods: Long-term outcomes and remission induction after TAC treatment were retrospectively examined in refractory UC patients with and without previous TNF-α inhibitor therapy. Results: The mean disease activity index and the endoscopic activity index scores decreased significantly during the 12-week treatment after TAC therapy in both groups, showing a significantly greater decrease in the group without TNF-α inhibitor therapy than in the group with previous TNF-α inhibitor therapy. One year or more after TAC therapy, TNF-α inhibitor and/or azathioprine was used as maintenance therapy in most cases in the group without previous TNF-α inhibitor treatment, while azathioprine was primarily used in the group with previous TNF-α inhibitor treatment. Colectomy was performed in 45.5% (5/11) and 15.6% (7/45) of the groups with and without previous TNF-α inhibitor therapy, respectively, and the group without previous TNF-α inhibitor treatment had a better colectomy-free rate than the group with previous TNF-α inhibitor treatment after TAC therapy on Kaplan–Meier analysis. Conclusions: TAC is effective for remission induction in refractory UC patients with and without previous TNF-α inhibitor treatment. Maintenance medication after TAC therapy is an issue for the future, especially in UC cases with previous TNF-α inhibitor treatment failure. ? 2019 The Authors. JGH Open: An open access journal of gastroenterology and hepatology published by Journal of Gastroenterology and Hepatology Foundation and John Wiley & Sons Australia, Ltd.","azathioprine; immunosuppressive agent; mesalazine; prednisolone; tacrolimus; tumor necrosis factor inhibitor; adolescent; adult; aged; Article; Clinical Disease Activity Index; clinical outcome; colon resection; disease activity score; disease duration; drug dose reduction; drug withdrawal; endoscopy; female; follow up; human; immunosuppressive treatment; Kaplan Meier method; liver dysfunction; maintenance therapy; major clinical study; male; nausea; priority journal; remission; retrospective study; therapy effect; treatment failure; trough concentration; ulcerative colitis"
"Effectiveness and safety of lower dose sulfamethoxazole/trimethoprim therapy for Pneumocystis jirovecii pneumonia in patients with systemic rheumatic diseases: A retrospective multicenter study",2019,"Objectives: To evaluate the effectiveness and safety of lower-dose sulfamethoxazole/trimethoprim therapy (SMX/TMP) for Pneumocystis jirovecii pneumonia (PCP) in patients with systemic rheumatic diseases. Methods: In this multicenter retrospective study, we compared effectiveness and safety of SMX/TMP for the treatment of PCP among patients divided into three groups according to the initial dosage of SMX/TMP: the low, ?10 mg/kg/day; the intermediate, 10–15 mg/kg/day; and the high and conventional, 15–20 mg/kg/day for TMP dose. Results: Eighty-one patients, including 22, 30, and 29 patients in the low-, the intermediate- and the high-dose group could be analyzed and the 30-day survival rate were 100%, 93.3%, and 96.7%, respectively (P = 0.28). There were significant dose-dependent increasing trends of severe adverse drug reactions (ADRs) for SMX/TMP that were graded as ?3 according to the Common Terminology Criteria for Adverse Events. When stratified by presence of severe hypoxemia defined by alveolar-arterial O2 gradient ?45 mmHg, the 30-day survival and treatment modification rate were similar among the three groups, but frequency of severe ADRs were significantly decreased in the low-dose group. The low-dose group was independently and negatively associated with treatment modification within 14 days and severe ADRs. Conclusions: Lower dose SMX/TMP therapy with ?10 mg/kg/day for TMP was as effective as higher dose therapy for the treatment of PCP and associated with lower rates of treatment modification and severe ADRs in patients with systemic rheumatic diseases. ? 2018 Japanese Society of Chemotherapy and The Japanese Association for Infectious Diseases","alanine aminotransferase; aminotransferase; aspartate aminotransferase; atovaquone; cotrimoxazole; creatinine; methylprednisolone; pentamidine; antiinfective agent; cotrimoxazole; adult; adult onset Still disease; aged; anemia; Article; bone marrow suppression; connective tissue disease; controlled study; creatinine blood level; dermatomyositis; disease severity; dose response; drug dose comparison; drug dose reduction; drug dose regimen; drug efficacy; drug megadose; erythema multiforme; female; fever; giant cell arteritis; human; hyperkalemia; hypertransaminasemia; hyponatremia; hypoxemia; low drug dose; lung alveolus oxygen tension; lymphatic system disease; major clinical study; male; microscopic polyangiitis; middle aged; nausea; neutrophil count; oxygen therapy; platelet count; Pneumocystis pneumonia; polymyositis; retrospective study; rheumatic disease; rheumatoid arthritis; side effect; Sjoegren syndrome; survival rate; survival time; systemic disease; systemic lupus erythematosus; systemic vasculitis; treatment duration; treatment outcome; clinical trial; complication; immunology; immunosuppressive treatment; isolation and purification; mortality; multicenter study; opportunistic infection; Pneumocystis carinii; Pneumocystis pneumonia; procedures; rheumatic disease; very elderly; Adult; Aged; Aged, 80 and over; Anti-Bacterial Agents; Dose-Response Relationship, Drug; Female; Humans; Immunosuppression; Male; Middle Aged; Opportunistic Infections; Pneumocystis carinii; Pneumonia, Pneumocystis; Retrospective Studies; Rheumatic Diseases; Survival Rate; Treatment Outcome; Trimethoprim, Sulfamethoxazole Drug Combination"
"Distinct methylation levels of mature microRNAs in gastrointestinal cancers",2019,"The biological significance of micro (mi)RNAs has traditionally been evaluated according to their RNA expression levels based on the assumption that miRNAs recognize and regulate their targets in an unvarying fashion. Here we show that a fraction of mature miRNAs including miR-17-5p, -21-5p, and -200c-3p and let-7a-5p harbor methyl marks that potentially alter their stability and target recognition. Importantly, methylation of these miRNAs was significantly increased in cancer tissues as compared to paired normal tissues. Furthermore, miR-17-5p methylation level in serum samples distinguished early pancreatic cancer patients from healthy controls with extremely high sensitivity and specificity. These findings provide a basis for diagnostic strategies for early-stage cancer and add a dimension to our understanding of miRNA biology. ? 2019, The Author(s).","biological marker; epidermal growth factor; microRNA; RNA methyltransferase; microRNA; MIRN17 microRNA, human; MIRN200 microRNA, human; MIRN21 microRNA, human; tumor marker; biology; cancer; methylation; protein; RNA; serum; Article; binding site; bioinformatics; body mass; BxPC-3 cell line; cancer diagnosis; Capan-2 cell line; cell culture technique; chemical modification; clinical article; colorectal cancer; controlled study; digestive system cancer; gene expression; genetic transfection; HCT 116 cell line; high throughput sequencing; human; human cell; human tissue; immunoprecipitation; liquid chromatography-mass spectrometry; matrix assisted laser desorption ionization time of flight mass spectrometry; microarray analysis; nucleotide sequence; Panc 10.05 cell line; PSN1 cell line; real time polymerase chain reaction; reverse transcription polymerase chain reaction; RNA extraction; RNA methylation; RNA sequence; sensitivity and specificity; upregulation; blood; epigenetics; gastrointestinal tumor; gene expression profiling; gene expression regulation; genetics; matrix-assisted laser desorption-ionization mass spectrometry; metabolism; methylation; molecular dynamics; tumor cell line; Biomarkers, Tumor; Cell Line, Tumor; Epigenomics; Gastrointestinal Neoplasms; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Humans; Methylation; MicroRNAs; Molecular Dynamics Simulation; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization"
"Peripartum depression and infant care, sleep and growth",2019,"Peripartum depression is a common, serious complication in mothers. To assess the influence of infant care, sleep and growth on the risk of peripartum depression, 1,271 mothers of healthy one-month-old infants completed comprehensive questionnaires including the Edinburgh Postnatal Depression Scale. Relationships between high depression scores and variables related to infants’ care, sleep and growth were assessed adjusting for other variables. High depression scores were found in 233 mothers, which were associated with variables related to infants’ care (poor satisfaction with infant care support, p < 0.001; mothers’ passive response to night-time fussing, p = 0.001), sleep (dim bedroom lighting, p < 0.05; short sleep duration, p < 0.05) and growth (poor weight gain, p < 0.05), as well as maternal variables (primiparas, p < 0.001; poor income satisfaction, p < 0.001; poor sleep satisfaction, p < 0.001; daytime sleepiness, p = 0.001). Considering the observed association between high depression scores and infants’ care, sleep and growth, a multidisciplinary approach accounting for infant care would be required to prevent peripartum depression. ? 2019, The Author(s).",""
"The Effect of Pedaling Cadence on Skeletal Muscle Oxygenation during Cycling at Moderate Exercise Intensity",2019,"The aim of this study was to assess the changes determined by increased cadence on skeletal muscle oxygenation during cycling at an exercise intensity equal to the ventilatory threshold (T vent ). Nine healthy, active individuals with different levels of cycling experience exercised at a power output equal to T vent , pedaling at cadences of 40, 50, 60, 70, 80 and 90 rpm, each for 4 min. Cadences were tested in a randomized counterbalanced sequence. Cardiopulmonary and metabolic responses were studied using an ECG for heart rate, and gas calorimetry for pulmonary oxygen uptake and carbon dioxide production. NIRS was used to determine the tissue saturation index (TSI), a measure of vastus lateralis oxygenation. TSI decreased from rest to exercise; the magnitude of this TSI reduction was significantly greater when pedaling at 90 rpm (-14±4%), compared to pedaling at 40 (-12±3%) and 50 (-12±3%) rpm (P=0.027 and 0.017, respectively). Albeit small, the significant decrease in ΔTSI at increased cadence recorded in this study suggests that skeletal muscle oxygenation is relatively more affected by high cadence when exercise intensity is close to T vent . ? 2019 Georg Thieme Verlag KG Stuttgart · New York.","lactic acid; adult; blood; cycling; female; heart rate; human; male; middle aged; oxygen consumption; physiology; skeletal muscle; young adult; Adult; Bicycling; Female; Heart Rate; Humans; Lactic Acid; Male; Middle Aged; Muscle, Skeletal; Oxygen Consumption; Young Adult"
"Calcineurin regulates cyclin D1 stability through dephosphorylation at T286",2019,"The Calcineurin/NFAT (nuclear factor of activated T cells) pathway plays an essential role in the tumorigenic and metastatic properties in breast cancer. The molecular mechanism of the antiproliferative effect of calcineurin inhibition, however, is poorly understood. We found that calcineurin inhibition delayed cell cycle progression at G1/S, and promoted cyclin D1 degradation by inhibiting dephosphorylation at T286. Importantly, overexpression of cyclin D1 partially rescued delayed G1/S progression, thereby revealing cyclin D1 as a key factor downstream of calcineurin inhibition. Cyclin D1 upregulation is observed in human invasive breast cancers, and our findings indicate that dysregulation of T286 phosphorylation could play a role in this phenomenon. We therefore propose that targeting site specific phosphorylation of cyclin D1 could be a potential strategy for clinical intervention of invasive breast cancer. ? 2019, The Author(s).",""
"Structural and functional analyses of retinal ischemia in eyes with retinal vein occlusion: Relationship with macular edema or microaneurysm formation",2019,"Purpose: To study the structural and functional changes of retinal ischemia and investigate their association with macular edema (ME) or microaneurysm (MA) formation in eyes with retinal vein occlusion (RVO). Methods: Sixty eyes of 30 patients (27 eyes with branch [b]RVO, 3 with central RVO, and 30 fellow eyes) were retrospectively reviewed. Optical coherence tomography (OCT), OCT angiography (OCTA), and microperimetry were performed simultaneously to measure retinal thickness and sensitivity. The presence of ME or MA was also assessed using OCT and fluorescein angiography. Results: The mean retinal sensitivity in the nonperfused areas (NPAs) deteriorated, and this was significantly (r -0.379, p 0.0391) and inversely correlated with duration from disease onset. ME and MA were unlikely to be observed around the area where the retinal sensitivity decreased. In the NPAs, the mean retinal thickness of the superficial capillary plexus (SCP) (p 0.0001), deep capillary plexus (DCP) (p 0.0323), and outer retina (p 0.0008) were significantly thinner than those in the fellow eyes, respectively. Multivariate regression analysis revealed that the thicknesses of the DCP (?: 0.3107, p = 0.0007) and outer retina (?: 0.3482, p = 0.0001) were the independent correlative factors of the retinal sensitivity, but that SCP thickness was not. Conclusion: Deep retinal thinning in NPAs was correlated significantly with a decreased retinal sensitivity, which might be a negative predictor of ME and MA in eyes with RVO. ? 2018 S. Karger AG, Basel.","aflibercept; ranibizumab; angiogenesis inhibitor; antiinflammatory agent; aged; Article; best corrected visual acuity; branch retinal vein occlusion; central retina vein occlusion; clinical article; female; human; macular edema; male; microaneurysm; optical coherence tomography; optical coherence tomography angiography; priority journal; retina fluorescein angiography; retina ischemia; retinal thickness; retrospective study; sensitivity analysis; visual system parameters; diagnostic imaging; fluorescence angiography; ischemia; macular edema; microaneurysm; middle aged; multivariate analysis; pathophysiology; retina vein occlusion; visual system examination; Aged; Angiogenesis Inhibitors; Anti-Inflammatory Agents; Diagnostic Techniques, Ophthalmological; Female; Fluorescein Angiography; Humans; Ischemia; Macular Edema; Male; Microaneurysm; Middle Aged; Multivariate Analysis; Retinal Vein Occlusion; Retrospective Studies; Tomography, Optical Coherence"
"Exposure to marital conflict: Gender differences in internalizing and externalizing problems among children",2019,"Purpose Marital conflict is integral to children's psychosocial well-being. Extant research has shown that the effects of marital conflict on children are likely to vary by gender, indicating that gender plays a significant and complex role in the relationship between marital conflict and child adjustment. Focusing on gender, this study investigates the link between specific marital conflict tactics and children's mental health symptoms in families in which the parents live together. Methods This study gathered data from 799 children and their parents in Japan by means of a questionnaire focusing on marital conflict and child behavioral problems. Marital conflict (verbal aggression, physical aggression, stonewalling, avoidance-capitulation, child involvement, and cooperation) was assessed using a Conflict and Problem-Solving Scale. Children's behavioral problems (externalizing and internalizing symptoms) were assessed using the Strengths and Difficulties Questionnaire. Results The findings highlight the significant impact of specific interparental conflict on children's behavioral problems, demonstrating that there are differences according to the child's gender. More specifically, multivariate analyses targeting boys revealed that cooperation was significantly inversely associated with externalizing problems and internalizing problems, while avoidance-capitulation and verbal aggression were significantly positively associated with externalizing problems. In contrast, multivariate analyses targeting girls revealed that cooperation was significantly inversely associated with externalizing problems and internalizing problems, while avoidance-capitulation and stonewalling were significantly positively associated with internalizing problems. Conclusion This study reveals that interparental conflict is associated with children's behavioral problems. Constructive marital conflict was significantly inversely associated with externalizing and internalizing problems in both boys and girls. Meanwhile, destructive marital conflict (i.e., avoidance-capitulation and verbal aggression) was significantly positively associated with externalizing problems in boys and significantly positively associated with internalizing problems in girls. These findings contribute to the substantial literature demonstrating the relationship between family processes and the development of disruptive behavior disorders in children. ? 2019 Hosokawa, Katsura. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article; behavior disorder; child; cooperation; demography; disease association; exposure; family conflict; female; human; Japan; longitudinal study; major clinical study; male; questionnaire; rating scale; sex difference; strengths and difficulties questionnaire; verbal hostility"
