作者,作者身分,"文獻名稱	",年份,連結,摘要,作者,索引關鍵字,EID
"Konno M., Koseki J., Asai A., Yamagata A., Shimamura T., Motooka D., Okuzaki D., Kawamoto K., Mizushima T., Eguchi H., Takiguchi S., Satoh T., Mimori K., Ochiya T., Doki Y., Ofusa K., Mori M., Ishii H.",55608712300;6701847103;57190441709;57210827301;24462844900;35315737900;6506703054;57189007931;36876092000;7101627772;35414333300;12040860900;35414017500;7003487576;7006390687;56288121200;55507741600;7402978600;,Distinct methylation levels of mature microRNAs in gastrointestinal cancers,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071627062&doi=10.1038%2fs41467-019-11826-1&partnerID=40&md5=a719169fe74f6a2971c03da08bc84c8d,"The biological significance of micro (mi)RNAs has traditionally been evaluated according to their RNA expression levels based on the assumption that miRNAs recognize and regulate their targets in an unvarying fashion. Here we show that a fraction of mature miRNAs including miR-17-5p, -21-5p, and -200c-3p and let-7a-5p harbor methyl marks that potentially alter their stability and target recognition. Importantly, methylation of these miRNAs was significantly increased in cancer tissues as compared to paired normal tissues. Furthermore, miR-17-5p methylation level in serum samples distinguished early pancreatic cancer patients from healthy controls with extremely high sensitivity and specificity. These findings provide a basis for diagnostic strategies for early-stage cancer and add a dimension to our understanding of miRNA biology. ? 2019, The Author(s).",,"biological marker; epidermal growth factor; microRNA; RNA methyltransferase; microRNA; MIRN17 microRNA, human; MIRN200 microRNA, human; MIRN21 microRNA, human; tumor marker; biology; cancer; methylation; protein; RNA; serum; Article; binding site; bioinformatics; body mass; BxPC-3 cell line; cancer diagnosis; Capan-2 cell line; cell culture technique; chemical modification; clinical article; colorectal cancer; controlled study; digestive system cancer; gene expression; genetic transfection; HCT 116 cell line; high throughput sequencing; human; human cell; human tissue; immunoprecipitation; liquid chromatography-mass spectrometry; matrix assisted laser desorption ionization time of flight mass spectrometry; microarray analysis; nucleotide sequence; Panc 10.05 cell line; PSN1 cell line; real time polymerase chain reaction; reverse transcription polymerase chain reaction; RNA extraction; RNA methylation; RNA sequence; sensitivity and specificity; upregulation; blood; epigenetics; gastrointestinal tumor; gene expression profiling; gene expression regulation; genetics; matrix-assisted laser desorption-ionization mass spectrometry; metabolism; methylation; molecular dynamics; tumor cell line; Biomarkers, Tumor; Cell Line, Tumor; Epigenomics; Gastrointestinal Neoplasms; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Humans; Methylation; MicroRNAs; Molecular Dynamics Simulation; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",2-s2.0-85071627062
"Ji F., Yeo Y.H., Wei M.T., Ogawa E., Enomoto M., Lee D.H., Iio E., Lubel J., Wang W., Wei B., Ide T., Preda C.M., Conti F., Minami T., Bielen R., Sezaki H., Barone M., Kolly P., Chu P.-S., Virlogeux V., Eurich D., Henry L., Bass M.B., Kanai T., Dang S., Li Z., Dufour J.-F., Zoulim F., Andreone P., Cheung R.C., Tanaka Y., Furusyo N., Toyoda H., Tamori A., Nguyen M.H.",24168626600;57211772169;57196004983;54886354700;7101998176;57208050302;16312715100;6507537567;56995551700;57200282635;7202660065;55128494000;36805691900;55303874900;55735346400;8622269700;57194437852;56856778100;43361049000;56043172800;23969988000;35737070000;57193269763;7202218774;24400595500;55561164900;57208074047;7006912131;23117559400;7202397509;7405315865;54970632900;7202067754;7005643956;7401564891;,Sustained virologic response to direct-acting antiviral therapy in patients with chronic hepatitis C and hepatocellular carcinoma: A systematic review and meta-analysis,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067690668&doi=10.1016%2fj.jhep.2019.04.017&partnerID=40&md5=096b0064e73cc2f8e4378ae344f0f470,"Background &amp; Aims: The effect of hepatocellular carcinoma (HCC) on the response to interferon-free direct-acting antiviral (DAA) therapy in patients with chronic hepatitis C (CHC) infection remains unclear. Using a systematic review and meta-analysis approach, we aimed to investigate the effect of DAA therapy on sustained virologic response (SVR) among patients with CHC and either active, inactive or no HCC. Methods: PubMed, Embase, Web of Science, and the Cochrane Central Register of Controlled Trials were searched from 1/1/2013 to 9/24/2018. The pooled SVR rates were computed using DerSimonian-Laird random-effects models. Results: We included 49 studies from 15 countries, comprised of 3,341 patients with HCC and 35,701 without HCC. Overall, the pooled SVR was lower in patients with HCC than in those without HCC (89.6%, 95% CI 86.8–92.1%, I2 = 79.1% vs. 93.3%, 95% CI 91.9–94.7%, I2 = 95.0%, p = 0.0012), translating to a 4.8% (95% CI 0.2–7.4%) SVR reduction by meta-regression analysis. The largest SVR reduction (18.8%) occurred in patients with active/residual HCC vs. inactive/ablated HCC (SVR 73.1% vs. 92.6%, p = 0.002). Meanwhile, patients with HCC who received a prior liver transplant had higher SVR rates than those who did not (p &lt;0.001). Regarding specific DAA regimens, patients with HCC treated with ledipasvir/sofosbuvir had lower SVR rates than patients without HCC (92.6%, n = 884 vs. 97.8%, n = 13,141, p = 0.026), but heterogeneity was high (I2 = 84.7%, p &lt;0.001). The SVR rate was similar in patients with/without HCC who were treated with ombitasvir/paritaprevir/ritonavir ± dasabuvir (n = 101) (97.2% vs. 94.8%, p = 0.79), or daclatasvir/asunaprevir (91.7% vs. 89.8%, p = 0.66). Conclusion: Overall, SVR rates were lower in patients with HCC, especially with active HCC, compared to those without HCC, though heterogeneity was high. Continued efforts are needed to aggressively screen, diagnose, and treat HCC to ensure higher CHC cure rates. Lay summary: There are now medications (direct-acting antivirals or “DAAs”) that can “cure” hepatitis C virus, but patients with hepatitis C and liver cancer may be less likely to achieve cure than those without liver cancer. However, patients with liver cancer are also more likely to have advanced liver disease and risk factors that can decrease cure rates, so better controlled studies are needed to confirm these findings. ? 2019 European Association for the Study of the Liver",Asian; HCC treatment; Liver transplant; Non-Asian; Real-world analysis,asunaprevir; daclatasvir; dasabuvir plus ombitasvir plus paritaprevir plus ritonavir; ledipasvir plus sofosbuvir; antiviral therapy; Article; cancer patient; chronic hepatitis C; Cochrane Library; Embase; human; liver cell carcinoma; Medline; meta analysis; priority journal; sustained virologic response; systematic review; Web of Science,2-s2.0-85067690668
"Gailhouste L., Liew L.C., Yasukawa K., Hatada I., Tanaka Y., Kato T., Nakagama H., Ochiya T.",23093530000;57194280185;56888454400;7004165906;7405315865;7405277640;7006715199;7003487576;,MEG3-derived miR-493-5p overcomes the oncogenic feature of IGF2-miR-483 loss of imprinting in hepatic cancer cells,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069493583&doi=10.1038%2fs41419-019-1788-6&partnerID=40&md5=9d4be4173d564754f18f47eb369a8b3c,"Numerous studies have described the critical role played by microRNAs (miRNAs) in cancer progression and the potential of these small non-coding RNAs for diagnostic or therapeutic applications. However, the mechanisms responsible for the altered expression of miRNAs in malignant cells remain poorly understood. Herein, via epigenetic unmasking, we identified a group of miRNAs located in the imprinted delta like non-canonical Notch ligand 1 (DLK1)-maternally expressed 3 (MEG3) locus that were repressed in hepatic tumor cells. Notably, miR-493-5p epigenetic silencing was correlated with hypermethylation of the MEG3 differentially regulated region (DMR) in liver cancer cell lines and tumor tissues from patients. Experimental rescue of miR-493-5p promoted an anti-cancer response by hindering hepatocellular carcinoma (HCC) cell growth in vitro and tumor progression in vivo. We found that miR-493-5p mediated part of its tumor-suppressor activity by abrogating overexpression of insulin-like growth factor 2 (IGF2) and the IGF2-derived intronic oncomir miR-483-3p in HCC cells characterized by IGF2 loss of imprinting (LOI). In summary, this study describes an unknown miRNA-dependent regulatory mechanism between two distinct imprinted loci and a possible therapeutic window for liver cancer patients exhibiting IGF2-miR-483 LOI and amplification. ? 2019, The Author(s).",,microRNA; microRNA 493 5p; somatomedin B; unclassified drug; Article; cancer cell; cell growth; controlled study; delta like non canonical notch ligand 1 gene; epigenetics; gene locus; human; human cell; liver cancer; liver cancer cell line; liver tumor; maternally expressed 3 gene; priority journal; regulatory mechanism; tumor growth,2-s2.0-85069493583
"Wong T.Y., Ogura Y., Lee W.K., Iida T., Chen S.-J., Mitchell P., Gemmy Cheung C.M., Zhang Z., Leal S., Ishibashi T., the PLANET Investigators",7403147159;7202930512;55713028700;7402683591;8331982500;7402933815;7202061785;57203213332;36537357600;7401772672;,Efficacy and Safety of Intravitreal Aflibercept for Polypoidal Choroidal Vasculopathy: Two-Year Results of the Aflibercept in Polypoidal Choroidal Vasculopathy Study,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065061902&doi=10.1016%2fj.ajo.2019.02.027&partnerID=40&md5=659a0e903a8bfa4bce9fcf29936d020a,"Purpose: We sought to evaluate longer-term efficacy and safety of intravitreal aflibercept monotherapy (IAI) vs IAI plus rescue photodynamic therapy (rPDT) in patients with polypoidal choroidal vasculopathy (PCV). Design: This was a prospective multicenter, double-masked, sham-controlled randomized clinical study across 62 centers. Methods: In this phase 3b/4 study, patients with PCV with best-corrected visual acuity of 73–24 Early Treatment Diabetic Retinopathy Study letters (20/40–20/320 Snellen equivalent) received IAI 2 mg every 4 weeks until week 12, when they were randomized 1:1 to receive IAI or IAI plus rPDT if rescue criteria were met. Patients not requiring rescue received IAI every 8 weeks; those requiring rescue received IAI every 4 weeks plus sham/active PDT. At week 52 (the primary endpoint), IAI was noninferior to IAI plus rPDT. After week 52, treatment intervals could be extended beyond 8 weeks at the investigators' discretion. Noninferiority of IAI vs IAI plus rPDT for mean best-corrected visual acuity change from baseline to week 96 was evaluated. Results: Over 96 weeks, 54 patients (17.0%) met rescue criteria. At week 96, IAI was noninferior to IAI plus rPDT in terms of Early Treatment Diabetic Retinopathy Study letters gained (+10.7 vs +9.1, P = .48). Proportions of patients with complete polyp regression (33.1% vs 29.1%) or without active polyps (82.1% vs 85.6%) were similar. In year 2, the mean number of injections was 4.6 in both arms. No new safety signals were observed. Conclusion: IAI monotherapy was noninferior to IAI with rescue PDT up to 96 weeks, and functional and anatomical improvements achieved at 52 weeks were maintained. Few patients required rescue PDT, which provided no additional visual benefit. ? 2019",,aflibercept; Article; best corrected visual acuity; clinical assessment; clinical outcome; clinical study; conjunctival hemorrhage; controlled study; double blind procedure; drug efficacy; drug safety; drug screening; dry eye; human; incidence; indocyanine green angiography; intraocular pressure; long term care; major clinical study; monotherapy; multicenter study; optical coherence tomography; phase 3 clinical trial; phase 4 clinical trial; photodynamic therapy; polypoidal choroidal vasculopathy; priority journal; prospective study; randomized controlled trial; retina hemorrhage; treatment duration; vitreous hemorrhage,2-s2.0-85065061902
"Sakai S., Ohhata T., Kitagawa K., Uchida C., Aoshima T., Niida H., Suzuki T., Inoue Y., Miyazawa K., Kitagawa M.",56594211900;6602418847;7202183441;7004346710;57196319795;7004375931;7409095235;7406182110;56642373900;35429868400;,Long noncoding RNA ELIT-1 acts as a Smad3 cofactor to facilitate TGFb/Smad signaling and promote epithelial–mesenchymal transition,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066506864&doi=10.1158%2f0008-5472.CAN-18-3210&partnerID=40&md5=bd702d54ccb8b83d44b95eca5384bc99,"TGFb is involved in various biological processes, including development, differentiation, growth regulation, and epithelial–mesenchymal transition (EMT). In TGFb/Smad signaling, receptor-activated Smad complexes activate or repress their target gene promoters. Smad cofactors are a group of Smad-binding proteins that promote recruitment of Smad complexes to these promoters. Long noncoding RNAs (lncRNA), which behave as Smad cofactors, have thus far not been identified. Here, we characterize a novel lncRNA EMT-associated lncRNA induced by TGFb1 (ELIT-1). ELIT-1 was induced by TGFb stimulation via the TGFb/Smad pathway in TGFb-responsive cell lines. ELIT-1 depletion abrogated TGFb-mediated EMT progression and expression of TGFb target genes including Snail, a transcription factor critical for EMT. A positive correlation between high expression of ELIT-1 and poor prognosis in patients with lung adenocarcinoma and gastric cancer suggests that ELIT-1 may be useful as a prognostic and therapeutic target. RIP assays revealed that ELIT-1 bound to Smad3, but not Smad2. In conjunction with Smad3, ELIT-1 enhanced Smad-responsive promoter activities by recruiting Smad3 to the promoters of its target genes including Snail, other TGFb target genes, and ELIT-1 itself. Collectively, these data show that ELIT-1 is a novel trans-acting lncRNA that forms a positive feedback loop to enhance TGFb/Smad3 signaling and promote EMT progression. ? 2019 American Association for Cancer Research.",,long untranslated RNA; RNA ELIT 1; Smad2 protein; Smad3 protein; transcription factor Snail; transforming growth factor beta; unclassified drug; Article; cancer growth; cancer patient; cancer prognosis; chromatin immunoprecipitation; controlled study; epithelial mesenchymal transition; gene expression; gene function; gene induction; gene targeting; human; human cell; luciferase assay; lung adenocarcinoma; microarray analysis; positive feedback; priority journal; promoter region; protein depletion; protein expression; protein RNA binding; reverse transcription polymerase chain reaction; RNA analysis; signal transduction; stomach cancer,2-s2.0-85066506864
"Uyama I., Suda K., Nakauchi M., Kinoshita T., Noshiro H., Takiguchi S., Ehara K., Obama K., Kuwabara S., Okabe H., Terashima M.",7003628936;35735017500;56533621000;57199808643;7004249615;35414333300;8349197500;7003972906;35593727700;7201788242;7102829215;,Clinical advantages of robotic gastrectomy for clinical stage I/II gastric cancer: a multi-institutional prospective single-arm study,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058035793&doi=10.1007%2fs10120-018-00906-8&partnerID=40&md5=fdc110cbe851e0f40cabc5b1d0cc38a3,"Background: Robotic gastrectomy (RG) for gastric cancer (GC) has been increasingly performed for a decade; however, evidence for its use as a standard treatment has not yet been established. The present study aimed to determine the safety, feasibility, and effectiveness of RG for GC. Methods: This multi-institutional, single-arm prospective study, which included 330 patients from 15 institutions, was designed to compare morbidity rate of RG with that of a historical control (conventional laparoscopic gastrectomy, LG). This trial was approved for Advanced Medical Technology (“Senshiniryo”) B. The included patients were operable patients with cStage I/II GC. The primary endpoint was morbidity (Clavien–Dindo Grade ? IIIa). The specific hypothesis was that RG could reduce the morbidity rate to less than half of that with LG (6.4%). A sample size of 330 was considered sufficient (one-sided alpha 0.05, power 80%). Results: Among the 330 study patients, the protocol treatment was suspended in 4 patients. Thus, 326 patients fully enrolled and completed the study. The median patient age and BMI were 66?years and 22.4?kg/m 2 , respectively. Distal gastrectomy was performed in 253 (77.6%) patients. The median operative time and estimated blood loss were 313?min and 20?mL, respectively. No 30-day mortality was seen, and morbidity showed a significant reduction to 2.45% with RG (p = 0.0018). Conclusions: RG for cStage I/II GC is safe and feasible. It may be effective in reducing morbidity with LG. ? 2018, The International Gastric Cancer Association and The Japanese Gastric Cancer Association.",Gastrectomy; Minimally invasive surgical procedures; Postoperative complications; Robotic surgical procedure; Stomach neoplasms,"aged; Article; body mass; cancer staging; cancer surgery; comparative effectiveness; controlled clinical trial; controlled study; feasibility study; female; gastrectomy; human; laparoscopic surgery; major clinical study; male; morbidity; mortality rate; multicenter study; operation duration; operative blood loss; patient safety; priority journal; prospective study; robot assisted surgery; stomach cancer; adenocarcinoma; adult; clinical trial; devices; gastrectomy; middle aged; phase 2 clinical trial; postoperative complication; procedures; robotic surgical procedure; stomach tumor; very elderly; Adenocarcinoma; Adult; Aged; Aged, 80 and over; Female; Gastrectomy; Humans; Male; Middle Aged; Operative Time; Postoperative Complications; Robotic Surgical Procedures; Stomach Neoplasms",2-s2.0-85058035793
"Bachelez H., Choon S.-E., Marrakchi S., David Burden A., Tsai T.-F., Morita A., Turki H., Hall D.B., Shear M., Baum P., Padula S.J., Thoma C.",7003420709;6602448507;7004694498;55792990000;7401925470;7102118336;7003710658;7404434732;57117419400;35079948300;56545270800;57207684683;,Inhibition of the interleukin-36 pathway for the treatment of generalized pustular psoriasis,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062722357&doi=10.1056%2fNEJMc1811317&partnerID=40&md5=7dd4910821a2d3b915a06daeae783fa6,[無可用摘要],,"bi 655130; cytokine; cytokine receptor antagonist; interleukin 36; monoclonal antibody; unclassified drug; IL36RN protein, human; interleukin derivative; interleukin receptor; interleukin-36 receptor, human; drug efficacy; gene; gene mutation; generalized pustular psoriasis; generalized pustular psoriasis; human; IL36RN gene; Letter; priority journal; proof of concept; pustular psoriasis; antagonists and inhibitors; clinical trial; female; genetics; intravenous drug administration; male; metabolism; mutation; phase 1 clinical trial; psoriasis; severity of illness index; Administration, Intravenous; Female; Humans; Interleukins; Male; Mutation; Psoriasis; Receptors, Interleukin; Severity of Illness Index",2-s2.0-85062722357
"Mase S., Shinjo K., Totani H., Katsushima K., Arakawa A., Takahashi S., Lai H.-C., Lin R.-I., Chan M.W.Y., Sugiura-Ogasawara M., Kondo Y.",57202047950;16834241900;56496950000;55337174500;56594541500;35408241000;7201967078;57137355300;7402597788;7201395808;35292310600;,ZNF671 DNA methylation as a molecular predictor for the early recurrence of serous ovarian cancer,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062413986&doi=10.1111%2fcas.13936&partnerID=40&md5=2a01dd56c401375296665f32d5034bcc,"Serous ovarian cancer is the most frequent type of epithelial ovarian cancer. Despite the use of surgery and platinum-based chemotherapy, many patients suffer from recurrence within 6?months, termed platinum resistance. Currently, the lack of relevant molecular biomarkers for the prediction of the early recurrence of serous ovarian cancers is linked to the poor prognosis. To identify an effective biomarker for early recurrence, we analyzed the genome-wide DNA methylation status characteristic of early recurrence after treatment. The patients in The Cancer Genome Atlas (TCGA) dataset who showed a complete response after the first therapy were categorized into 2 groups: early recurrence serous ovarian cancer (ERS, recurrence??12?months, n?=?51) and late recurrence serous ovarian cancer (LRS, recurrence >12?months, n?=?158). Among the 12 differently methylated probes identified between the 2 groups, we found that ZNF671 was the most significantly methylated gene in the early recurrence group. A validation cohort of 78 serous ovarian cancers showed that patients with ZNF671 DNA methylation had a worse prognosis (P?<.05). The multivariate analysis revealed that the methylation status of ZNF671 was an independent factor for predicting the recurrence of serous ovarian cancer patients both in the TCGA dataset and our cohort (P?=.049 and P?=.021, respectively). Functional analysis revealed that the depletion of ZNF671 expression conferred a more migratory and invasive phenotype to the ovarian cancer cells. Our data indicate that ZNF671 functions as a tumor suppressor in ovarian cancer and that the DNA methylation status of ZNF671 might be an effective biomarker for the recurrence of serous ovarian cancer after platinum-based adjuvant chemotherapy. ? 2019 The Authors. Cancer Science published by John Wiley & Sons Australia, Ltd on behalf of Japanese Cancer Association.",biomarker; DNA methylation; early recurrence; serous ovarian cancer; ZNF671,"antineoplastic agent; DNA; platinum; tumor marker; tumor suppressor protein; ZNF671 protein, human; adult; Article; cancer chemotherapy; cancer patient; cancer recurrence; cell invasion; cell migration; controlled study; DNA methylation; female; human; human cell; human tissue; major clinical study; middle aged; oncogene; ovary carcinoma; OVCAR-3 cell line; priority journal; SK-OV-3 cell line; ZNF671 gene; cystadenocarcinoma; DNA methylation; drug effect; drug resistance; drug therapy; gene expression regulation; genetics; pathology; prognosis; tumor cell line; tumor recurrence; Biomarkers, Tumor; Carcinoma, Ovarian Epithelial; Cell Line, Tumor; Cystadenocarcinoma, Serous; DNA Methylation; Drug Resistance, Neoplasm; Female; Gene Expression Regulation, Neoplastic; Humans; Middle Aged; Neoplasm Recurrence, Local; Platinum; Prognosis; Tumor Suppressor Proteins",2-s2.0-85062413986
"Mapoung S., Suzuki S., Fuji S., Naiki-Ito A., Kato H., Yodkeeree S., Ovatlarnporn C., Takahashi S., Limtrakul (Dejkriengkraikul) P.",57188360600;10038814800;7004359723;23061458900;56525766500;24178718300;14058523500;35408241000;6602093623;,Cyclohexanone curcumin analogs inhibit the progression of castration-resistant prostate cancer in?vitro and in?vivo,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058946868&doi=10.1111%2fcas.13897&partnerID=40&md5=4ef003461dcfa951faa088ff9ee0b1d8,"Many prostate cancer patients develop resistance to treatment called castration-resistant prostate cancer (CRPC) which is the major cause of recurrence and death. In the present study, four cyclohexanone curcumin analogs were synthesized. Additionally, their anticancer progression activity on CRPC cell lines, PC3 and PLS10 cells, was examined. We first determined their anti-metastasis properties and found that 2,6-bis-(4-hydroxy-3-methoxy-benzylidene)-cyclohexanone (2A) and 2,6-bis-(3,4-dihydroxy-benzylidene)-cyclohexanone (2F) showed higher anti-invasion properties against CRPC cells than curcumin. Analog 2A inhibited both MMP-2 and MMP-9 secretions and activities, whereas analog 2F reduced only MMP activities. These findings suggest that the compounds may inhibit CRPC cell metastasis by decreased extracellular matrix degradation. Analog 2A, the most potent analog, was then subjected to an in?vivo study. Similar to curcumin, analog 2A was detectable in the serum of mice at 30 and 60?minutes after i.p. injections. Analog 2A and curcumin (30?mg/kg bodyweight) showed a similar ability to reduce tumor area in lungs of mice that were i.v. injected with PLS10 cells. Additionally, analog 2A showed superior growth inhibitory effect on PLS10 cells than that of curcumin both in?vitro and in?vivo. The compound inhibited PLS10 cells growth by induction of G1 phase arrest and apoptosis in?vitro. Interestingly, analog 2A significantly decreased tumor growth with downregulation of cell proliferation and angiogenesis in PLS10-bearing mice. Taken together, we could summarize that analog 2A showed promising activities in inhibiting CRPC progression both in?vitro and in?vivo. ? 2018 The Authors. Cancer Science published by John Wiley & Sons Australia, Ltd on behalf of Japanese Cancer Association.",anti-cancer; anti-metastasis; curcumin analog; pharmacokinetics; prostate cancer,"2,6 bis (3,4 dihydroxy benzylidene)cyclohexanone; 2,6 bis (4 hydroxy 3 methoxy benzylidene)cyclohexanone; antimetastatic agent; curcumin; cyclin D1; cyclohexanone derivative; gelatinase A; gelatinase B; survivin; unclassified drug; curcumin; cyclohexanone; cyclohexanone derivative; gelatinase A; gelatinase B; angiogenesis; animal cell; animal experiment; animal model; animal tissue; antineoplastic activity; apoptosis; Article; cancer inhibition; castration resistant prostate cancer; castration-resistant prostate cancer cell line; cell invasion; cell migration; cell proliferation; controlled study; cytotoxicity; dose; dose response; down regulation; drug blood level; drug synthesis; enzyme activity; enzyme inhibition; extracellular matrix; G1 phase cell cycle checkpoint; human; human cell; IC50; in vitro study; in vivo study; lung; lung metastasis; lymph node metastasis; male; metastasis inhibition; mouse; nonhuman; priority journal; rat; animal; Bagg albino mouse; castration resistant prostate cancer; cell cycle; disease exacerbation; drug effect; drug resistance; drug screening; metabolism; nude mouse; procedures; tumor cell line; tumor recurrence; Animals; Apoptosis; Cell Cycle; Cell Line, Tumor; Cell Proliferation; Curcumin; Cyclohexanones; Disease Progression; Drug Resistance, Neoplasm; Humans; Male; Matrix Metalloproteinase 2; Matrix Metalloproteinase 9; Mice; Mice, Inbred BALB C; Mice, Nude; Neoplasm Recurrence, Local; PC-3 Cells; Prostatic Neoplasms, Castration-Resistant; Xenograft Model Antitumor Assays",2-s2.0-85058946868
"Itokawa N., Atsukawa M., Tsubota A., Ikegami T., Shimada N., Kato K., Abe H., Okubo T., Arai T., Iwashita A.-N., Kondo C., Mikami S., Asano T., Matsuzaki Y., Toyoda H., Kumada T., Iio E., Tanaka Y., Iwakiri K.",25722111200;6506002782;55802135400;7203071315;7202989720;55256886700;7404481487;56642338600;56591278800;57204615317;35285729100;7004347697;56270601500;7201743290;7202067754;21640576300;16312715100;7405315865;7004190712;,Efficacy of direct-acting antiviral treatment in patients with compensated liver cirrhosis: A multicenter study,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056415796&doi=10.1111%2fhepr.13256&partnerID=40&md5=d539a97f2ab975899128be08432936bc,"Aim: Although the development of new direct-acting antivirals (DAAs) for the treatment of chronic hepatitis C virus (HCV) infection has markedly advanced, the effects of cirrhosis on DAA treatment remain unclear. We aimed to clarify the impact of cirrhosis on DAA treatment of patients infected with HCV. Methods: This large-scale, multicenter, retrospective study consisted of 2130 HCV genotype 1b-infected patients who were treated with one of the following DAA combination therapies: asunaprevir/daclatasvir (ASV/DCV), ledipasvir/sofosbuvir (LDV/SOF), or paritaprevir/ombitasvir/ritonavir (PTV/OBV/r). Ninety-two patients (4.3%) previously received DAA-based treatment. Seven hundred and forty-five patients (34.9%) had cirrhosis. Results: Overall, the sustained virologic response (SVR) rate was 93.0%. The SVR rates in patients who received ASV/DCV, LDV/SOF, or PTV/OBV/r were 90.0%, 96.9%, and 97.6%, respectively. The SVR rate in patients with cirrhosis (89.1%) was significantly lower than that in patients without cirrhosis (95.1%, P = 6.94 × 10 –7 ). In the multivariate analysis for the overall cohort, absence of cirrhosis (P = 1.26 × 10 –3 ), no previous DAA-based treatment (P = 2.54 × 10 –14 ), low HCV-RNA levels (P = 1.64 × 10 –6 ), wild-type non-structural protein 5A L31/Y93 (P = 7.33 × 10 –13 ), and DAA regimen (LDV/SOF or PTV/OBV/r) (P = 1.92 × 10 –14 ) were independent factors contributing to SVR. Except for patients with DAA-based treatment history, absence of cirrhosis (P = 2.15 × 10 –3 ; odds ratio, 2.51) was an independent factor contributing to SVR in 2038 DAA-na?ve patients. Conclusion: This study suggests that the presence of cirrhosis reduces the SVR rate of DAA treatment, regardless of the type of DAA treatment. ? 2018 The Japan Society of Hepatology",cirrhosis; direct-acting antiviral; genotype 1; hepatitis C virus,aspartate aminotransferase; asunaprevir; bilirubin; daclatasvir; havoni; hyaluronic acid; ledipasvir; Mac 2 binding protein; ombitasvir; ombitasvir plus paritaprevir plus ritonavir; paritaprevir; peptides and proteins; ritonavir; sofosbuvir; sunvepra; unclassified drug; adult; aged; amino acid sequence; antiviral therapy; Article; compensated liver cirrhosis; female; follow up; genotype; Hepatitis C virus subtype 1b; human; liver fibrosis; major clinical study; male; multicenter study; priority journal; real time polymerase chain reaction; retrospective study; sustained virologic response; treatment response,2-s2.0-85056415796
