"文獻名稱.","年份","摘要","索引關鍵字"
"Graphene Quantum Dots Decorated Gold-Polyaniline Nanowire for Impedimetric Detection of Carcinoembryonic Antigen",2019,"A label-free impedimetric immunosensor based on N, S-graphene quantum dots@Au-polyaniline (N, S-GQDs@Au-PANI) nanowires was fabricated for the quantitative detection of carcinoembryonic antigen (CEA). The N, S-GQDs and Au-PANI were synthesized by a simple hydrothermal pyrolysis and interfacial polymerization, respectively. Subsequently, 2–9 nm N, S-GQDs are successfully decorated onto 30–50 nm Au-PANI nanowires by Au-thiol linkage to serve as the bifunctional probe for amplifying the electrochemical activity as well as anchoring anti-CEA. The N, S-GQDs@Au-PANI nanowires are excellent conducting materials to accelerate the electron transfer, while the formation of CEA antibody-antigen bioconjugates after the addition of CEA significantly increase the charge transfer resistance, and subsequently provides a highly stable and label-free immunoassay platform for the impedimetric detection of CEA. The label-free immunosensor exhibits a wide linear range from 0.5 to 1000 ng mL ?1 with a low detection limit of 0.01 ng mL ?1 . The N, S-GQDs@Au-PANI based immunosensor also shows high selectivity and stability over other cancer makers and amino acids. Moreover, this promising platform is successfully applied to the detection of CEA in human serum samples with excellent recovery of (96.0 ± 2.6)–(103 ± 3.8)%. These results clearly demonstrate a newly developed highly efficient and label-free impedimetric immunosensor for the detection of CEA using N, S-GQDs@Au-PANI nanowires as the biosensing probe, which can pave the gateway for the fabrication of high performance and robust impedimetric immunosensor to detect cancer makers in early stage of cancer diagnosis and therapy. ? 2019, The Author(s).",""
"Resistin enhances monocyte chemoattractant protein-1 production in human synovial fibroblasts and facilitates monocyte migration",2019,"Background/Aims: The adipocyte-secreting adipokine, resistin, may play a critical role in the modulation of inflammatory diseases. Migration and infiltration of mononuclear cells into inflammatory sites are critical events during the development of osteoarthritis (OA). Monocyte chemoattractant protein-1 (MCP-1), also known as chemokine ligand 2 (CCL2), plays a critical role in the regulation of monocyte migration and infiltration. In this study, we show how resistin promotes MCP-1 expression in OA synovial fibroblasts and monocyte migration. Methods: We used qPCR to detect MCP-1 and miRNA expression. THP-1 migration was investigated by Transwell assay. The Western blotting was used to examine the resistin-mediated signaling pathways. Results: Resistin activated the phosphatidylinositol-3-kinase (PI3K), Akt and mammalian target of rapamycin (mTOR) signaling pathways, while PI3K, Akt and mTOR inhibitors or small interfering RNAs diminished resistin-induced MCP-1 expression and monocyte migration. We also demonstrate that resistin stimulates MCP-1mediated monocyte migration by suppressing microRNA (miR)-33a and miR-33b via the PI3K, Akt and mTOR signaling pathways. Conclusion: These results provide new insights into the mechanisms of resistin action that may have therapeutic implications for patients with OA. ? 2019 The Author(s).","monocyte chemotactic protein 1; resistin; antagomir; microRNA; monocyte chemotactic protein 1; MTOR protein, human; phosphatidylinositol 3 kinase; protein kinase B; recombinant protein; resistin; small interfering RNA; target of rapamycin kinase; Akt signaling; Article; cell migration; cell proliferation; cell survival; chemoluminescence; chemotaxis assay; controlled study; down regulation; fibroblast; gene expression regulation; human; human cell; monocyte; priority journal; protein analysis; protein expression; protein function; protein phosphorylation; protein synthesis; quantitative analysis; real time polymerase chain reaction; synovial fluid; synovium; upregulation; Western blotting; 3' untranslated region; antagonists and inhibitors; biosynthesis; cell culture; cell motion; chemistry; cytology; drug effect; fibroblast; gene expression; genetics; isolation and purification; metabolism; monocyte; osteoarthritis; pathology; RNA interference; signal transduction; synovium; 3' Untranslated Regions; Antagomirs; Cell Movement; Cells, Cultured; Chemokine CCL2; Fibroblasts; Gene Expression; Humans; MicroRNAs; Monocytes; Osteoarthritis; Phosphatidylinositol 3-Kinases; Proto-Oncogene Proteins c-akt; Recombinant Proteins; Resistin; RNA Interference; RNA, Small Interfering; Signal Transduction; Synovial Membrane; TOR Serine-Threonine Kinases"
"EpiRank: Modeling Bidirectional Disease Spread in Asymmetric Commuting Networks",2019,"Commuting network flows are generally asymmetrical, with commuting behaviors bi-directionally balanced between home and work locations, and with weekday commutes providing many opportunities for the spread of infectious diseases via direct and indirect physical contact. The authors use a Markov chain model and PageRank-like algorithm to construct a novel algorithm called EpiRank to measure infection risk in a spatially confined commuting network on Taiwan island. Data from the country’s 2000 census were used to map epidemic risk distribution as a commuting network function. A daytime parameter was used to integrate forward and backward movement in order to analyze daily commuting patterns. EpiRank algorithm results were tested by comparing calculations with actual disease distributions for the 2009 H1N1 influenza outbreak and enterovirus cases between 2000 and 2008. Results suggest that the bidirectional movement model outperformed models that considered forward or backward direction only in terms of capturing spatial epidemic risk distribution. EpiRank also outperformed models based on network indexes such as PageRank and HITS. According to a sensitivity analysis of the daytime parameter, the backward movement effect is more important than the forward movement effect for understanding a commuting network’s disease diffusion structure. Our evidence supports the use of EpiRank as an alternative network measure for analyzing disease diffusion in a commuting network. ? 2019, The Author(s).",""
"Specific drug delivery efficiently induced human breast tumor regression using a lipoplex by non-covalent association with anti-tumor antibodies",2019,"Background: A cationic liposome-PEG-PEI complex (LPPC) was employed as a carrier for achieving targeted delivery of drug to human epidermal growth factor receptor-2 (HER2/neu)-expressing breast cancer cells. LPPC can be easily loaded with an anti-tumor drug and non-covalently associated with an anti-tumor antibody such as Herceptin that is clinically used to rapidly form immunoparticles within 1 h. Results: Drug-loaded LPPC have an average size about 250 nm and a zeta potential of about 40 mV. Herceptin was complexed onto surface of the LPPC to form the drug/LPPC/Herceptin complexes. The size of curcumin/LPPC/Herceptin complexes were 280 nm and the zeta potentials were about 23 mV. Targeting ability of this delivery system was demonstrated through specific binding on surface of cells and IVIS images in vivo, which showed specific binding in HER2-positive SKBR3 cells as compared to HER2-negative Hs578T cells. Only the drug/LPPC/Herceptin complexes displayed dramatically increased the cytotoxic activity in cancer cells. Both in vitro and in vivo results indicated that Herceptin adsorbed on LPPC directed the immunocomplex towards HER2/neu-positive cells but not HER2/neu-negative cells. The complexes with either component (curcumin or doxorubicin) used in the LPPC-delivery system provided a better therapeutic efficacy compared to the drug treatment alone and other treatment groups, including clinical dosages of Herceptin and LipoDox, in a xenografted model. Conclusions: LPPC displays important clinical implications by easily introducing a specific targeting characteristic to drugs utilized for breast cancer therapy. ? 2019 The Author(s).","Antibodies; Cells; Controlled drug delivery; Cytology; Diseases; Drug delivery; Drug dosage; Liposomes; Tumors; Zeta potential; Breast cancer cells; Curcumin; Cytotoxic activities; Doxorubicin; Herceptin; Human epidermal growth factor; Lipo-peg-pei complexes; Therapeutic efficacy; Targeted drug delivery; curcumin; lipoplex; macrogol; polyethyleneimine; rituximab; trastuzumab; antineoplastic agent; curcumin; doxorubicin; epidermal growth factor receptor 2; ERBB2 protein, human; liposome; macrogol; poly(ethylene glycol)-co-poly(ethyleneimine); polyethyleneimine; trastuzumab; animal experiment; animal model; animal tissue; antineoplastic activity; Article; Bagg albino mouse; BALB/c nude mouse; breast cancer; cancer inhibition; cancer survival; cell viability; controlled study; drug absorption; drug binding; drug clearance; drug cytotoxicity; drug delivery system; drug efficacy; drug half life; drug megadose; drug structure; drug targeting; female; Hs 578T cell line; human; human cell; human tissue; in vitro study; in vivo study; mouse; nanoencapsulation; NOD SCID mouse; nonhuman; particle size; SK-BR-3 cell line; tumor regression; tumor xenograft; zeta potential; analogs and derivatives; animal; breast tumor; cell proliferation; cell survival; chemistry; drug effect; drug release; immunology; MCF-7 cell line; metabolism; pathology; surface property; xenograft; Animals; Antineoplastic Agents; Breast Neoplasms; Cell Proliferation; Cell Survival; Curcumin; Doxorubicin; Drug Liberation; Female; Heterografts; Humans; Liposomes; MCF-7 Cells; Mice, Inbred BALB C; Particle Size; Polyethylene Glycols; Polyethyleneimine; Receptor, ErbB-2; Surface Properties; Trastuzumab"
"Image-based EEG signal processing for driving fatigue prediction",2019,"This study proposes a EEG-based prediction system that transform the measured EEG record into an image-liked data for estimating the drowsiness level of drivers. Drowsy driving is one of the main factors to the occurrence of traffic accident. Since drivers themselves may not always immediately recognize that they are in the drowsy state, the risk of traffic accident increases while the driver is in the low vigilance state. In order to address this problem, the estimation of drowsy driving state via brain-computer interfaces (BCI) becomes a major concern in the driving safety field. This study transforms the measured EEG record into a image-liked feature maps, and then passes these feature maps to a Convolutional Neural Network (CNN) to learn the discriminative representations. The proposed drowsiness prediction system is evaluated by leave-one-subject-out cross-validation. The results indicate that our approach provides impressive and robust prediction performance on the EEG dataset without artifact removal process. ? 2018 IEEE.","Accidents; Automation; Brain computer interface; Fatigue of materials; Forecasting; Human computer interaction; Interface states; Neural networks; Process control; Artifact removal; Convolutional neural network; Cross validation; Driving fatigue; Drowsy driving; EEG signal processing; Prediction systems; Robust predictions; Biomedical signal processing"
"Colorimetric and Fluorescent Dual-Mode Immunoassay Based on Plasmon-Enhanced Fluorescence of Polymer Dots for Detection of PSA in Whole Blood",2019,"Although enormous efforts have been devoted to the development of new types of fluorometric immunochromatographic test strip (ICTS) with improved sensitivity over the past years, it still remains a big challenge to design ICTS with colorimetric and fluorescent bimodal signal readout for rapid yet accurate detection of cancer markers in a clinic. Scientists have tried to prepare bimodal reporters by combining fluorescent dyes with metal nanomaterials, but their fluorescence was easily quenched by metal nanomaterials through surface energy transfer, making dual colorimetric and fluorometric ICTS very difficult to be achieved. As compared to conventional fluorescent probes, semiconducting polymer dots (Pdots) exhibit extraordinary fluorescence brightness and facile surface functionalization, which are very suitable to be engineered as bimodal signal reporting reagents. Here, we integrated highly fluorescent Pdots with strongly plasmonic Au nanorods to form Pdot-Au hybrid nanocomposites with dual colorimetric and fluorescent readout abilities. We further utilized these nanohybrids in ICTS for qualitatively fast screening (colorimetry) as well as quantitatively accurate determination (fluorometry) of prostate-specific antigen (PSA) within 10 min. By taking advantage of the plasmon-enhanced fluorescence of Pdots on Au nanorods, this immunoassay possesses much better detection sensitivity of 1.07 pg/mL for PSA, which is at least 2 orders of magnitude lower than that of conventional fluorometric ICTS. Moreover, the direct detection of PSA from human whole blood collected without sample pretreatment makes this Pdot-based ICTS platform promising for on-site point-of-care diagnostics. ? 2019 American Chemical Society.","Antigens; Biomarkers; Blood; Color; Colorimetry; Energy transfer; Gold; Immunology; Nanorods; Nanostructured materials; Plasmonics; Plasmons; Polymers; Detection sensitivity; Dual modes; Enhanced fluorescence; Hybrid nanocomposites; Point of care diagnostic; Prostate specific antigen; Surface Functionalization; Whole blood; Fluorescence; fluorescent dye; nanocomposite; polymer; prostate specific antigen; quantum dot; chemistry; colorimetry; fluorescent antibody technique; human; immunoassay; isolation and purification; limit of detection; procedures; semiconductor; Colorimetry; Fluorescent Antibody Technique; Fluorescent Dyes; Humans; Immunoassay; Limit of Detection; Nanocomposites; Polymers; Prostate-Specific Antigen; Quantum Dots; Semiconductors"
"A novel AURKA mutant-induced early-onset severe hepatocarcinogenesis greater than wild-type via activating different pathways in Zebrafish",2019,"Aurora A kinase (AURKA) is an important regulator in mitotic progression and is overexpressed frequently in human cancers, including hepatocellular carcinoma (HCC). Many AURKA mutations were identified in cancer patients. Overexpressing wild-type Aurka developed a low incidence of hepatic tumors after long latency in mice. However, none of the AURKA mutant animal models have ever been described. The mechanism of mutant AURKA-mediated hepatocarcinogenesis is still unclear. A novel AURKA mutation with a.a.352 Valine to Isoleucine (V352I) was identified from clinical specimens. By using liver-specific transgenic fish overexpressing both the mutant and wild-type AURKA, the AURKA(V352I)-induced hepatocarcinogenesis was earlier and much more severe than wild-type AURKA. Although an increase of the expression of lipogenic enzyme and lipogenic factor was observed in both AURKA(V352I) and AURKA(WT) transgenic fish, AURKA(V352I) has a greater probability to promote fibrosis at 3 months compared to AURKA(WT). Furthermore, the expression levels of cell cycle/proliferation markers were higher in the AURKA(V352I) mutant than AURKA(WT) in transgenic fish, implying that the AURKA(V352I) mutant may accelerate HCC progression. Moreover, we found that the AURKA(V352I) mutant activates AKT signaling and increases nuclear β-catenin, but AURKA(WT) only activates membrane form β-catenin, which may account for the differences. In this study, we provide a new insight, that the AURKA(V352I) mutation contributes to early onset hepatocarcinogenesis, possibly through activation of different pathways than AURKA(WT). This transgenic fish may serve as a drug-screening platform for potential precision medicine therapeutics. ? 2019 by the authors.","aurora A kinase; beta catenin; carbohydrate responsive element binding protein; cell protein; connective tissue growth factor; cycline; diacylglycerol acyltransferase 2; fatty acid synthase; heparanase; isoleucine; mammalian target of rapamycin; peroxisome proliferator activated receptor gamma; phosphatidate phosphatase; phosphatidylinositol 3,4,5 trisphosphate 3 phosphatase; protein kinase B; sterol regulatory element binding protein 1; unclassified drug; valine; animal cell; animal experiment; animal tissue; Article; AURKA gene; cancer growth; cancer incidence; cell cycle; cell proliferation; cola1a1 gene; controlled study; ctgfa gene; disease severity; fibrosis; gene; gene expression; gene mutation; gene overexpression; hpse gene; liver carcinogenesis; nonhuman; protein expression; protein function; protein phosphorylation; transgenic fish; upregulation; zebra fish"
"Andrographolide and its potent derivative exhibit anticancer effects against imatinib-resistant chronic myeloid leukemia cells by downregulating the Bcr-Abl oncoprotein",2019,"Chronic myelogenous leukemia (CML) is clinically treated with imatinib, which inhibits the kinase activity of the Bcr-Abl oncoprotein. However, imatinib resistance remains a common clinical issue. Andrographolide, the major compound of the medicinal plant Andrographis paniculata, was reported to exhibit anticancer activity. In this study, we explored the therapeutic potential of andrographolide and its derivative, NCTU-322, against both imatinib-sensitive and imatinib-resistant human CML cell lines. Both andrographolide and NCTU-322 downregulated the Bcr-Abl oncoprotein in imatinib-resistant CML cells through an Hsp90-dependent mechanism similar to that observed in imatinib-sensitive CML cells. In addition, NCTU-322 had stronger effects than andrographolide on downregulation of Bcr-Abl oncoprotein, induction of Hsp90 cleavage and cytotoxicity of CML cells. Notably, andrographolide and NCTU-322 could induce differentiation, mitotic arrest and apoptosis of both imatinib-sensitive and imatinib-resistant CML cells. Finally, the anticancer activity of NCTU-322 against imatinib-resistant CML cells was demonstrated in vivo. In summary, our data demonstrated that andrographolide and NCTU-322 inhibit Bcr-abl function via a mechanism different from that of imatinib, and they induced multiple anticancer effects in both imatinib-sensitive and resistant CML cells. Our findings demonstrate that andrographolide and NCTU-322 are potential therapeutic agents again CML. ? 2019 Elsevier Inc.","alanine aminotransferase; andrographolide; antineoplastic agent; aspartate aminotransferase; BCR ABL protein; caspase 3; creatinine; diterpenoid; glycoprotein E1; heat shock protein 90; histone H3; imatinib; nctu 322; STAT5 protein; unclassified drug; andrographolide; antineoplastic agent; diterpene; imatinib; Andrographis paniculata; animal experiment; animal model; antineoplastic activity; apoptosis; Article; cancer resistance; cell cycle; cell differentiation; cell viability; chronic myeloid leukemia; controlled study; cytoplasm; down regulation; drug mechanism; human; human cell; IC50; in vivo study; K-562 cell line; KBM-5 cell line; leukemia cell; metaphase; missense mutation; mitosis inhibition; mouse; nonhuman; peripheral blood mononuclear cell; priority journal; protein cleavage; protein function; urea nitrogen blood level; Western blotting; cell cycle checkpoint; cell survival; chemical structure; chemistry; chronic myeloid leukemia; drug effect; drug resistance; gene expression regulation; genetics; mononuclear cell; oncogene; physiology; tumor cell line; Antineoplastic Agents; Apoptosis; Cell Cycle Checkpoints; Cell Differentiation; Cell Line, Tumor; Cell Survival; Diterpenes; Drug Resistance, Neoplasm; Gene Expression Regulation, Neoplastic; Genes, abl; Humans; Imatinib Mesylate; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukocytes, Mononuclear; Molecular Structure"
"Label-free chemical imaging flow cytometry by high-speed multicolor stimulated Raman scattering",2019,"Combining the strength of flow cytometry with fluorescence imaging and digital image analysis, imaging flow cytometry is a powerful tool in diverse fields including cancer biology, immunology, drug discovery, microbiology, and metabolic engineering. It enables measurements and statistical analyses of chemical, structural, and morphological phenotypes of numerous living cells to provide systematic insights into biological processes. However, its utility is constrained by its requirement of fluorescent labeling for phenotyping. Here we present label-free chemical imaging flow cytometry to overcome the issue. It builds on a pulse pair-resolved wavelength-switchable Stokes laser for the fastest-to-date multicolor stimulated Raman scattering (SRS) microscopy of fast-flowing cells on a 3D acoustic focusing microfluidic chip, enabling an unprecedented throughput of up to ?140 cells/s. To show its broad utility, we use the SRS imaging flow cytometry with the aid of deep learning to study the metabolic heterogeneity of microalgal cells and perform marker-free cancer detection in blood. ? 2019 National Academy of Sciences. All rights reserved.","Article; cancer cell; cancer diagnosis; cell selection; circulating tumor cell; controlled study; flow cytometry; fluorescence analysis; image processing; imaging flow cytometry; microfluidic analysis; priority journal; Raman spectrometry; sensitivity analysis; stimulated Raman scattering"
"Experimental investigation of sterilization efficacy of green nails symptom and gray nails using an argon-based round atmospheric-pressure plasma jet",2019,"In recent years, plasma biomedicine has attracted increasing attention as a promising method of sterilization and other biomedical applications. This research aims to develop and characterize an argon-based non-thermal atmospheric-pressure plasma jet (APPJ) with an application of sterilization and nail disease treatment. We characterized the electric properties by an electrical measurement system and quantified the active species in APPJ by optical emission spectroscopy (OES). The gas temperature of plasma jet is below 37°C, which is generally free of thermal damage for the human body. The results of OES measurement indicate that this APPJ has a high intensity of hydroxyl radicals (OH?), which has shown promise in killing microorganisms. The preliminary result from inactivation experiments also show that APPJ efficiently kills bacteria (P. aeruginosa) and yeast (C. albicans). Furthermore, we used bovine hoof as a surrogate model for human nails for penetration tests. The results demonstrated that argon APPJ is good in inhibition of P. aeruginosa (90% in 5 min) and C. albicans (76% in 5 min) on agar plates. In addition, antimicrobial tests showed that approximately 2-log and 4-log reduction can be reached for P. aeruginosa and C. albicans in 5 min, respectively, when the argon APPJ was applied with them deposited at the back of the bovine hoof. We attribute the latter which contradicts with the former may be caused by many possible factors, which include the biofilm formation of the P. aeruginosa on the bovine hoof, the nature and the size difference of these two pathogens. ? 2019 IOP Publishing Ltd.","agar; hydroxyl radical; animal experiment; Article; bovine; Candida albicans; green nail syndrome; hoof and claw; human; low level laser therapy; nail disease; nonhuman; optical emission spectroscopy; Pseudomonas aeruginosa; scanning electron microscopy; spectroscopy; temperature"
