作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Wu C.-Y., Chen Y.-C.",57201887813;35236177100;,Riboflavin immobilized Fe 3 O 4 magnetic nanoparticles carried with n-butylidenephthalide as targeting-based anticancer agents,2019,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060128010&doi=10.1080%2f21691401.2018.1548473&partnerID=40&md5=05a36c2b651060ef48c628199676784d,"n-Butylidenephthalide (BP) is a potential anti-cancer drug, which can be extracted from Angelica sinensis (Danggui). Previous reports have shown the effectiveness of BP in treating cancer diseases. However, BP has no targeting capacity towards specific cancer cells. To improve treatment efficiency and reduce the dose of BP used in cancer treatment, targeting-based approaches should be developed. In the present study, we used riboflavin-5′-phosphate (RFMP) immobilized iron oxide magnetic nanoparticles (Fe 3 O 4 MNPs) as carriers for BP to treat cancer cell lines derived from liver, prostate and breast. These model cancer cells overexpress riboflavin receptors on their cell membrane and are also sensitive to BP treatment. Thus, BP-binding free RFMP on MNPs can be used as probes to target these model cells, whereas BP can be readily released on target cancer cells. Cell viability was twofold lower by using Fe 3 O 4 @RFMP MNPs immobilized with BP than that achieved by using free-form BP at a similar amount. Moreover, BP-Fe 3 O 4 @RFMP MNPs have no apparent harmful effects on non-target cells. In addition, we evaluated the level of cysteine-aspartic acid protease 3 (caspase 3) in the resultant cell lysate obtained after treatment by BP-Fe 3 O 4 @RFMP MNPs to demonstrate that apoptosis is mainly involved in the growth inhibition of target cells. ? 2019, ? 2019 The Author(s). Informa UK Limited, trading as Taylor & Francis Group.",Angelica sinensis; anticancer; drug delivery; iron oxide magnetic nanoparticles; n-Butylidenephthalide; riboflavin,"Amino acids; Cell culture; Cell death; Controlled drug delivery; Diseases; Drug delivery; Iron oxides; Magnetite; Nanomagnetics; Nanoparticles; Angelica sinensis; Anti-cancer agents; anticancer; Cancer cell lines; Growth inhibition; Magnetic nano-particles; riboflavin; Treatment efficiency; Targeted drug delivery; antineoplastic agent; aspartic proteinase; caspase 3; cysteine; drug carrier; flavine mononucleotide; magnetic nanoparticle; membrane receptor; n butylidenephthalide; riboflavin; unclassified drug; antineoplastic agent; butylidenephthalide; drug carrier; magnetite nanoparticle; phthalic anhydride; riboflavin; animal cell; apoptosis; Article; breast cancer cell line; cell lysate; cell membrane; cell viability; controlled study; drug cytotoxicity; enzyme activity; gene overexpression; human; human cell; liver cancer cell line; nonhuman; prostate cancer cell line; target cell; cell proliferation; cell survival; chemistry; drug effect; metabolism; particle size; tumor cell line; Antineoplastic Agents; Apoptosis; Caspase 3; Cell Line, Tumor; Cell Proliferation; Cell Survival; Drug Carriers; Humans; Magnetite Nanoparticles; Particle Size; Phthalic Anhydrides; Riboflavin",2-s2.0-85060128010
"Chen S.-H., Liao C.H., Chang C.Y., Huang K.M., Chen J.Y., Chen C.H., Meng H.-F., Zan H.-W., Horng S.-F., Lin Y.-C., Yeh M.-H.",57203064853;57194494561;57207958425;57195399334;57204293506;57192217326;55555175600;6701554390;7005770506;55986458600;36678491100;,Large-area blade-coated organic solar cells processed from halogen-free solvent,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071398493&doi=10.1016%2fj.orgel.2019.105376&partnerID=40&md5=6407e6d8bfeb69914e80af46f682562e,"High performance organic solar cells (OSCs) are generally prepared by halogenated solvents, which are detrimental to the environment and human health. The replacement of hazardous halogenated solvents is a priority in the commercialization of solution-processed OSCs. In this study, poly[4,8?bis(5?(2?ethylhexyl)thiophen?2?yl)benzo[1,2?b;4,5?b’]dithiophene?2,6?diyl?alt?(4?(2?ethylhexyl)?3?fluorothieno[3,4?b]thiophene?)?2?carboxylate?2?6-diyl)] (PBDTTT?EFT):[6,6]-phenyl C71-butyric acid methyl ester (PC71BM)-based device processed with binary halogen-free solvents (toluene and N-methyl-2-pyrrolidone) is fabricated by blade-coating method. Through the combination of morphological manipulation of active layer and interfacial engineering, the resulting OSCs deliver a promising power conversion efficiency (PCE) up to 11.09%. Importantly, large-area (216 cm2) blade-coated bulk-heterojunction OSCs is also demonstrated, and the resulting devices deliver a high PCE up to 5.03%, which is comparable to those of the devices processed with halogenated solvents (PCE = 5.20%). Additionally, the devices processed with halogen-free solvents also exhibit superior stability, maintaining 88% of its initial efficiency after 3960 h of continuous operation. More encouragingly, halogen-free solvents-based manufacturing process can also be performed under ambient conditions, and a moderate PCE of 3.67% is attained for large-area (216 cm2) OSCs. To the best of our knowledge, 3.67% represents the highest efficiency ever reported for air-processed large-area OSCs. This work paves the way towards the realization of environmentally-friendly large-area OSCs with high performance and long-term stability. ? 2019 Elsevier B.V.",Air-processing; Blade-coating; Halogen-free solvent; Large area; Organic solar cells,Butyric acid; Carboxylation; Coatings; Efficiency; Halogenation; Heterojunctions; Organic solvents; Air processing; Blade coatings; Halogen-free; Large area; Manufacturing process; Morphological manipulations; N-methyl-2-pyrrolidone; Power conversion efficiencies; Organic solar cells,2-s2.0-85071398493
"Chou W.-C., Hu W.-P., Yang Y.-S., Chan H.W.-H., Chen W.-Y.",57210209086;7404360054;7409382515;55516419400;35276867600;,Neutralized chimeric DNA probe for the improvement of GC-rich RNA detection specificity on the nanowire field-effect transistor,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069933910&doi=10.1038%2fs41598-019-47522-9&partnerID=40&md5=f8d333a9bf900f5eac0a047da5d1ba5f,"Silicon nanowire (SiNW) field-effect transistors (FETs) is a powerful tool in genetic molecule analysis because of their high sensitivity, short detection time, and label-free detection. In nucleic acid detection, GC-rich nucleic acid sequences form self- and cross-dimers and stem-loop structures, which can easily obtain data containing signals from nonspecific DNA binding. The features of GC-rich nucleic acid sequences cause inaccuracies in nucleic acid detection and hinder the development of precision medicine. To improve the inaccurate detection results, we used phosphate-methylated (neutral) nucleotides to synthesize the neutralized chimeric DNA oligomer probe. The probe fragment originated from a primer for the detection of hepatitis C virus (HCV) genotype 3b, and single-mismatched and perfect-matched targets were designed for single nucleotide polymorphisms (SNP) detection on the SiNW FET device. Experimental results revealed that the HCV-3b chimeric neutralized DNA (nDNA) probe exhibited better performance for SNP discrimination in 10 mM bis-tris propane buffer at 25 °C than a regular DNA probe. The SNP discrimination of the nDNA probe could be further improved at 40 °C on the FET device. Consequently, the neutralized chimeric DNA probe could successfully distinguish SNP in the detection of GC-rich target sequences under optimal operating conditions on the SiNW FET device. ? 2019, The Author(s).",,,2-s2.0-85069933910
"Yang T.-W., Lee W.-H., Tu S.-J., Huang W.-C., Chen H.-M., Sun T.-H., Tsai M.-C., Wang C.-C., Chen H.-Y., Huang C.-C., Shiu B.-H., Yang T.-L., Huang H.-T., Chou Y.-P., Chou C.-H., Huang Y.-R., Sun Y.-R., Liang C., Lin F.-M., Ho S.-Y., Chen W.-L., Yang S.-F., Ueng K.-C., Huang H.-D., Huang C.-N., Jong Y.-J., Lin C.-C.",56486477400;57190047899;57190046232;55565727800;57193121090;57200337330;36752450100;55939164800;57191964205;14318945500;39762682000;56071610500;57190049133;57210207514;35069289700;57193215095;57210207254;37761705100;35174708400;57149577700;35073628200;57206712800;57201678038;7405615434;56796908600;7006660999;25223063500;,Enterotype-based Analysis of Gut Microbiota along the Conventional Adenoma-Carcinoma Colorectal Cancer Pathway,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069903330&doi=10.1038%2fs41598-019-45588-z&partnerID=40&md5=52219581f400150e5ec3cb0442c7ac90,"The dysbiosis of human gut microbiota is strongly associated with the development of colorectal cancer (CRC). The dysbiotic features of the transition from advanced polyp to early-stage CRC are largely unknown. We performed a 16S rRNA gene sequencing and enterotype-based gut microbiota analysis study. In addition to Bacteroides- and Prevotella-dominated enterotypes, we identified an Escherichia-dominated enterotype. We found that the dysbiotic features of CRC were dissimilar in overall samples and especially Escherichia-dominated enterotype. Besides a higher abundance of Fusobacterium, Enterococcus, and Aeromonas in all CRC faecal microbiota, we found that the most notable characteristic of CRC faecal microbiota was a decreased abundance of potential beneficial butyrate-producing bacteria. Notably, Oscillospira was depleted in the transition from advanced adenoma to stage 0 CRC, whereas Haemophilus was depleted in the transition from stage 0 to early-stage CRC. We further identified 7 different CAGs by analysing bacterial clusters. The abundance of microbiota in cluster 3 significantly increased in the CRC group, whereas that of cluster 5 decreased. The abundance of both cluster 5 and cluster 7 decreased in the Escherichia-dominated enterotype of the CRC group. We present the first enterotype-based faecal microbiota analysis. The gut microbiota of colorectal neoplasms can be influenced by its enterotype. ? 2019, The Author(s).",,,2-s2.0-85069903330
"Lin C.-Y., Lee C.-H., Chuang Y.-H., Lee J.-Y., Chiu Y.-Y., Wu Lee Y.-H., Jong Y.-J., Hwang J.-K., Huang S.-H., Chen L.-C., Wu C.-H., Tu S.-H., Ho Y.-S., Yang J.-M.",55325707900;7410155575;57205528387;57200338632;27167477600;15033865500;7006660999;57149323500;56621567200;56538984300;36989745100;29967501800;7402555085;35235871200;,Membrane protein-regulated networks across human cancers,2019,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069431438&doi=10.1038%2fs41467-019-10920-8&partnerID=40&md5=7359cb2f5124da6f68ab65c5ad3ba546,"Alterations in membrane proteins (MPs) and their regulated pathways have been established as cancer hallmarks and extensively targeted in clinical applications. However, the analysis of MP-interacting proteins and downstream pathways across human malignancies remains challenging. Here, we present a systematically integrated method to generate a resource of cancer membrane protein-regulated networks (CaMPNets), containing 63,746 high-confidence protein–protein interactions (PPIs) for 1962 MPs, using expression profiles from 5922 tumors with overall survival outcomes across 15 human cancers. Comprehensive analysis of CaMPNets links MP partner communities and regulated pathways to provide MP-based gene sets for identifying prognostic biomarkers and druggable targets. For example, we identify CHRNA9 with 12 PPIs (e.g., ERBB2) can be a therapeutic target and find its anti-metastasis agent, bupropion, for treatment in nicotine-induced breast cancer. This resource is a study to systematically integrate MP interactions, genomics, and clinical outcomes for helping illuminate cancer-wide atlas and prognostic landscapes in tumor homo/heterogeneity. ? 2019, The Author(s).",,"amfebutamone; biological marker; lactic acid; membrane protein; amfebutamone; antineoplastic agent; CHRNA9 protein, human; nicotinic receptor; nicotinic receptor blocking agent; tumor marker; cancer; gene expression; genetic analysis; membrane; protein; signaling; tumor; angiogenesis; animal experiment; animal model; Article; bioinformatics; bioluminescence; breast cancer; carcinogenesis; cell cycle regulation; controlled study; CRISPR-CAS9 system; electroporation; female; fluorescence microscopy; gene editing; gene expression; head and neck squamous cell carcinoma; human; human cell; immunoprecipitation; luciferase assay; lung metastasis; microarray analysis; mouse; neoplasm; nonhuman; overall survival; protein analysis; protein protein interaction; real time polymerase chain reaction; RNA sequence; scoring system; sequence alignment; squamous cell lung carcinoma; transient transfection; tumor growth; tumor invasion; Western blotting; animal; drug effect; drug screening; gene expression profiling; gene expression regulation; gene regulatory network; genetics; information processing; Kaplan Meier method; metabolism; mortality; neoplasm; procedures; prognosis; tumor cell line; Animals; Antineoplastic Agents; Biomarkers, Tumor; Bupropion; Cell Line, Tumor; Datasets as Topic; Female; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Gene Regulatory Networks; Humans; Kaplan-Meier Estimate; Mice; Neoplasms; Nicotinic Antagonists; Prognosis; Protein Interaction Mapping; Protein Interaction Maps; Receptors, Nicotinic; Xenograft Model Antitumor Assays",2-s2.0-85069431438
"Wang C.-I., Kao H.-K., Chen T.-W., Huang Y., Cheng H.-W., Yi J.-S., Hung S.-Y., Wu C.-S., Lee Y.-S., Chang K.-P.",35486216200;26428182500;36551939900;8390642000;57201184144;56718979200;55175144100;56132545300;35302595100;57133312800;,Characterization of Copy Number Variations in Oral Cavity Squamous Cell Carcinoma Reveals a Novel Role for MLLT3 in Cell Invasiveness,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068612152&doi=10.1634%2ftheoncologist.2019-0063&partnerID=40&md5=c0924edbd2df21b314b7b918f0c0375b,"Background: DNA copy number variations (CNVs) are a hallmark of cancer, and the current study aimed to demonstrate the profile of the CNVs for oral cavity squamous cell carcinoma (OSCC) and elucidate the clinicopathological associations and molecular mechanisms of a potential marker derived from CNVs, mixed-lineage leukemia translocated to chromosome 3 protein (MLLT3), in OSCC carcinogenesis. Materials and Methods: CNVs in 37 OSCC tissue specimens were analyzed using a high-resolution microarray, the OncoScan array. Gene expression was analyzed by real-time polymerase chain reaction in 127 OSCC and normal tissue samples. Cell function assays included cell cycle, migration, invasion and chromatin immunoprecipitation assays. Results: We found a novel copy number amplified region, chromosome 9p, encompassing MLLT3 via the comparison of our data set with six other OSCC genome-wide CNV data sets. MLLT3 overexpression was associated with poorer overall survival in patients with OSCC (p =.048). MLLT3 knockdown reduced cell migration and invasion. The reduced invasion ability in MLLT3-knockdown cells was rescued with double knockdown of MLLT3 and CBP/p300-interacting transactivator with ED rich carboxy-terminal domain 4 (CITED4; 21.0% vs. 61.5%). Knockdown of MLLT3 impaired disruptor of telomeric silencing-1-like (Dot1L)-associated hypermethylation in the promoter of the tumor suppressor, CITED4 (p <.001), and hence dysregulated HIF-1α-mediated genes (TWIST, MMP1, MMP2, VIM, and CDH1) in OSCC cells. Conclusion: We identified unique CNVs in tumors of Taiwanese patients with OSCC. Notably, MLLT3 overexpression is related to the poorer prognosis of patients with OSCC and is required for Dot1L-mediated transcriptional repression of CITED4, leading to dysregulation of HIF-1α-mediated genes. Implications for Practice: This article reports unique copy number variations in oral cavity squamous cell carcinoma (OSCC) tumors of Taiwanese patients. Notably, MLLT3 overexpression is related to the poorer prognosis of patients with OSCC and is required for Dot1L-mediated transcriptional repression of CITED4, leading to dysregulation of HIF-1α-mediated genes. ? AlphaMed Press 2019",CITED4; Copy number variations; HIF-1α; MLLT3; Oral cavity squamous cell carcinoma,microRNA; small interfering RNA; adult; Article; cancer cell culture; cancer prognosis; cell invasion; cell invasion assay; cell migration; cell migration assay; chromatin immunoprecipitation; clinical article; cohort analysis; controlled study; copy number variation; DNA extraction; DNA methylation; female; flow cytometry; gene dosage; gene expression; gene knockdown; gene silencing; genetic transfection; human; human cell; human tissue; immunohistochemistry; immunoprecipitation; male; microarray analysis; middle aged; molecular mechanics; molecular probe; mouth cancer; overall survival; phenotype; priority journal; promoter region; real time reverse transcription polymerase chain reaction; risk factor; RNA extraction; squamous cell carcinoma; tumor invasion; Western blotting,2-s2.0-85068612152
"Ganganboina A.B., Doong R.-A.",57194456922;7006956479;,Graphene Quantum Dots Decorated Gold-Polyaniline Nanowire for Impedimetric Detection of Carcinoembryonic Antigen,2019,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065640638&doi=10.1038%2fs41598-019-43740-3&partnerID=40&md5=06cca647ef4c0f99e9cebe1bdda8f6c1,"A label-free impedimetric immunosensor based on N, S-graphene quantum dots@Au-polyaniline (N, S-GQDs@Au-PANI) nanowires was fabricated for the quantitative detection of carcinoembryonic antigen (CEA). The N, S-GQDs and Au-PANI were synthesized by a simple hydrothermal pyrolysis and interfacial polymerization, respectively. Subsequently, 2–9 nm N, S-GQDs are successfully decorated onto 30–50 nm Au-PANI nanowires by Au-thiol linkage to serve as the bifunctional probe for amplifying the electrochemical activity as well as anchoring anti-CEA. The N, S-GQDs@Au-PANI nanowires are excellent conducting materials to accelerate the electron transfer, while the formation of CEA antibody-antigen bioconjugates after the addition of CEA significantly increase the charge transfer resistance, and subsequently provides a highly stable and label-free immunoassay platform for the impedimetric detection of CEA. The label-free immunosensor exhibits a wide linear range from 0.5 to 1000 ng mL ?1 with a low detection limit of 0.01 ng mL ?1 . The N, S-GQDs@Au-PANI based immunosensor also shows high selectivity and stability over other cancer makers and amino acids. Moreover, this promising platform is successfully applied to the detection of CEA in human serum samples with excellent recovery of (96.0 ± 2.6)–(103 ± 3.8)%. These results clearly demonstrate a newly developed highly efficient and label-free impedimetric immunosensor for the detection of CEA using N, S-GQDs@Au-PANI nanowires as the biosensing probe, which can pave the gateway for the fabrication of high performance and robust impedimetric immunosensor to detect cancer makers in early stage of cancer diagnosis and therapy. ? 2019, The Author(s).",,,2-s2.0-85065640638
"Chu S.-Y., Chou C.-H., Huang H.-D., Yen M.-H., Hong H.-C., Chao P.-H., Wang Y.-H., Chen P.-Y., Nian S.-X., Chen Y.-R., Liou L.-Y., Liu Y.-C., Chen H.-M., Lin F.-M., Chang Y.-T., Chen C.-C., Lee O.K.",25929779500;35069289700;7405615434;8870599600;57190047284;57208150389;57208154888;57208151083;57208147161;57208148961;57208145570;57200310649;57193121090;35174708400;12544927900;35277077300;9746642400;,Mechanical stretch induces hair regeneration through the alternative activation of macrophages,2019,3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063965491&doi=10.1038%2fs41467-019-09402-8&partnerID=40&md5=251562b2aa08260e88facb2372012eec,"Tissues and cells in organism are continuously exposed to complex mechanical cues from the environment. Mechanical stimulations affect cell proliferation, differentiation, and migration, as well as determining tissue homeostasis and repair. By using a specially designed skin-stretching device, we discover that hair stem cells proliferate in response to stretch and hair regeneration occurs only when applying proper strain for an appropriate duration. A counterbalance between WNT and BMP-2 and the subsequent two-step mechanism are identified through molecular and genetic analyses. Macrophages are first recruited by chemokines produced by stretch and polarized to M2 phenotype. Growth factors such as HGF and IGF-1, released by M2 macrophages, then activate stem cells and facilitate hair regeneration. A hierarchical control system is revealed, from mechanical and chemical signals to cell behaviors and tissue responses, elucidating avenues of regenerative medicine and disease control by demonstrating the potential to manipulate cellular processes through simple mechanical stimulation. ? 2019, The Author(s).",,"beta catenin; bone morphogenetic protein 2; fibroblast growth factor 10; fibroblast growth factor 2; interleukin 4; Ki 67 antigen; monocyte chemotactic protein 1; Wnt protein; bone morphogenetic protein 2; chemokine; recombinant human bone morphogenetic protein-2; recombinant protein; scatter factor; somatomedin C; transforming growth factor beta; cell; genetic analysis; hair; homeostasis; instrumentation; mechanical property; molecular analysis; regrowth; repair; animal cell; animal experiment; animal model; animal tissue; Article; bioinformatics; cell maturation; cell proliferation; controlled study; down regulation; female; flow cytometry; gene expression; genetic analysis; hair follicle; hair growth; hair regeneration; homeostasis; immune response; immunofluorescence; immunohistochemistry; inflammation; macrophage; mechanical stimulation; mechanical stretch; mouse; nonhuman; phenotype; real time polymerase chain reaction; regeneration; RNA extraction; RNA sequence; stretching; tissue reaction; upregulation; animal; C57BL mouse; cell differentiation; cell motion; cytology; genetics; growth, development and aging; hair; macrophage; mechanical stress; metabolism; physiology; regeneration; skin; stem cell; Animals; Bone Morphogenetic Protein 2; Cell Differentiation; Cell Movement; Cell Proliferation; Chemokines; Female; Hair; Hair Follicle; Hepatocyte Growth Factor; Insulin-Like Growth Factor I; Macrophages; Mice, Inbred C57BL; Recombinant Proteins; Regeneration; Skin; Stem Cells; Stress, Mechanical; Transforming Growth Factor beta",2-s2.0-85063965491
"Huang C.-Y., Chin W.-C.-B., Wen T.-H., Fu Y.-H., Tsai Y.-S.",15755945200;56596201400;35774915500;56419103800;26327154100;,EpiRank: Modeling Bidirectional Disease Spread in Asymmetric Commuting Networks,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063723473&doi=10.1038%2fs41598-019-41719-8&partnerID=40&md5=8a6846fbfaf6e3aa619b2bc8190b8a20,"Commuting network flows are generally asymmetrical, with commuting behaviors bi-directionally balanced between home and work locations, and with weekday commutes providing many opportunities for the spread of infectious diseases via direct and indirect physical contact. The authors use a Markov chain model and PageRank-like algorithm to construct a novel algorithm called EpiRank to measure infection risk in a spatially confined commuting network on Taiwan island. Data from the country’s 2000 census were used to map epidemic risk distribution as a commuting network function. A daytime parameter was used to integrate forward and backward movement in order to analyze daily commuting patterns. EpiRank algorithm results were tested by comparing calculations with actual disease distributions for the 2009 H1N1 influenza outbreak and enterovirus cases between 2000 and 2008. Results suggest that the bidirectional movement model outperformed models that considered forward or backward direction only in terms of capturing spatial epidemic risk distribution. EpiRank also outperformed models based on network indexes such as PageRank and HITS. According to a sensitivity analysis of the daytime parameter, the backward movement effect is more important than the forward movement effect for understanding a commuting network’s disease diffusion structure. Our evidence supports the use of EpiRank as an alternative network measure for analyzing disease diffusion in a commuting network. ? 2019, The Author(s).",,,2-s2.0-85063723473
"Yerukala Sathipati S., Sahu D., Huang H.-C., Lin Y., Ho S.-Y.",57207701354;57191255770;55738319700;57207996353;57149577700;,Identification and characterization of the lncRNA signature associated with overall survival in patients with neuroblastoma,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063493784&doi=10.1038%2fs41598-019-41553-y&partnerID=40&md5=fe90e984910efa5d3695288406f7fce6,"Neuroblastoma (NB) is a commonly occurring cancer among infants and young children. Recently, long non-coding RNAs (lncRNAs) have been using as prognostic biomarkers for therapeutics and interventions in various cancers. Considering the poor survival of NB, the lncRNA-based therapeutic strategies must be improved. This work proposes an overall survival time estimator called SVR-NB to identify the lncRNA signature that is associated with the overall survival of patients with NB. SVR-NB is an optimized support vector regression (SVR)-based method that uses an inheritable bi-objective combinatorial genetic algorithm for feature selection. The dataset of 231 NB patients that contains overall survival information and expression profiles of 783 lncRNAs was used to design and evaluate SVR-NB from the database of gene expression omnibus accession GSE62564. SVR-NB identified a signature of 35 lncRNAs and achieved a mean squared correlation coefficient of 0.85 and a mean absolute error of 0.56 year between the actual and estimated overall survival time using 10-fold cross-validation. Further, we ranked and characterized the 35 lncRNAs according to their contribution towards the estimation accuracy. Functional annotations and co-expression gene analysis of LOC440896, LINC00632, and IGF2-AS revealed the association of co-expressed genes in Kyoto Encyclopedia of Genes and Genomes pathways. ? 2019, The Author(s).",,,2-s2.0-85063493784
