作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Hsiao C.-Y., Liu Y.-A., Wang M.-J.",55807852200;57209602516;7407805510;,Evaluation of Suitable Rest Times for the Use of Optical Head-Mounted Displays,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068216258&doi=10.1007%2f978-3-030-20476-1_4&partnerID=40&md5=172e673e4b4fbac428bce249997eaf37,"This study aimed to determine suitable rest times for visual tasks of different lengths by evaluating visual fatigue and visually induced motion sickness while 20 healthy participants were using an optical head-mounted display. The independent variables tested were participant gender, visual task condition (30??min and 60??min), and length of rest time (5??min, 10??min, and 15??min). The critical fusion frequency (CFF) value and simulator sickness questionnaire (SSQ) scores were used as dependent measures. Gender showed no significant effect on CFF values or SSQ scores. Greater CFF values and SSQ scores were produced by the 60-min visual task than the 30-min visual task. The results of this study suggest that after completing a 30-min visual task, a rest time of at least 10??min is necessary for participants to recover, and a rest time of more than 15??min needs to follow a 60-min visual task. ? 2020, Springer Nature Switzerland AG.",Critical fusion frequency; Optical head-mounted display; Simulator sickness questionnaire; Visual fatigue; Visually induced motion sickness,Diseases; Helmet mounted displays; Human engineering; Street traffic control; Surveys; Virtual reality; Vision; Critical fusion frequency; Induced motions; Optical heads; Simulator sickness; Visual fatigue; Wearable technology,2-s2.0-85068216258
"Chang B.-M., Pan L., Lin H.-H., Chang H.-C.",41861115700;57193790954;57207251861;7407523017;,Nanodiamond-supported silver nanoparticles as potent and safe antibacterial agents,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072128576&doi=10.1038%2fs41598-019-49675-z&partnerID=40&md5=857d7807be28c701d55f7dbcfe9381c7,"Since its discovery nearly a century ago, antibiotics has been one of the most effective methods in treating infectious diseases and limiting pathogen spread. However, pathogens often build up antibiotic resistance over time, leading to serious failure of the treatment. Silver nanoparticle (AgNP) is an appealing alternative, but successful treatment of the bacterial infection requires a plentiful supply of AgNP, which can negatively impact human health if people are excessively exposed to the particles. Here, we present a method to overcome this challenge by synthesizing nanodiamond-supported AgNP noncovalently conjugated with albumin molecules to achieve enhanced antibacterial activity and strengthened biocompatibility. Using Escherichia coli as a model bacterium, we found that the albumin-conjugated silver-diamond nanohybrids showed a long-term bactericidal effect after 36 days of the treatment at the AgNP concentration of 250 ?g mL?1. Moreover, the toxicity of the nanohybrids to human cells (including human fibroblasts, lung adenocarcinoma epithelial cells, and breast adenocarcinoma cells) is low even at the particle concentration of 500 ?g mL?1. The method provides a general and practical solution to the concerns of bacterial resistance against AgNP and issues associated with the size, shape, aggregation, and toxicity of AgNP are largely resolved. Finally, we demonstrate that the nanohybrids can be readily incorporated into natural polysaccharides (such as guar gum) to form three-in-one hydrogels, showing promising applications in nanomedicine. ? 2019, The Author(s).",,,2-s2.0-85072128576
"Lin H.-H., Chen S.-J., Shen M.-R., Huang Y.-T., Hsieh H.-P., Lin S.-Y., Lin C.-C., Chang W.-S.W., Chang J.-Y.",56707772600;57209491765;7401466295;57210796817;7201610786;57203339592;57202218486;24528133800;56529888000;,Lysosomal cysteine protease cathepsin S is involved in cancer cell motility by regulating store-operated Ca2+ entry,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071494468&doi=10.1016%2fj.bbamcr.2019.07.012&partnerID=40&md5=f4b21feb3082bfd7a3398f938807d9f0,"Cathepsin S (CTSS), a lysosomal cysteine protease, has been reported to be associated with extracellular matrix (ECM) degradation, thus promoting cell migration and invasion, but whether CTSS regulates other intracellular mechanisms during metastasis remains unknown. The expression of CTSS was knocked down using siRNA transfection, and enzymatic activity was inhibited by the highly-selective CTSS inhibitor RJW-58. The results of in vitro functional assays, western blot analysis, and an in vivo colonization model demonstrated that CTSS was positively related to cellular adhesive ability. Moreover, both CTSS knockdown and inhibition significantly decreased Ca2+ influx via store-operated Ca2+ entry (SOCE) without changing STIM1 and Orai1 expression levels, while RJW-58 dose-dependently reduced the activation of the Ca2+-dependent downstream effectors, NFAT1 and Rac1. The results of immunoprecipitation assays demonstrated that CTSS could bind to STIM1, which was reversed by CTSS inhibition. In addition, confocal microscopy and super-resolution imaging showed that CTSS inhibition led to STIM1 puncta accumulation in the endoplasmic reticulum and reduced the interaction between active STIM1 and EB1. In conclusion, we have demonstrated for the first time that the lysosomal cysteine protease, CTSS, plays an important role in mediating Ca2+ homeostasis by regulating STIM1 trafficking, which leads to the suppression of cell migration and invasion. ? 2019 Elsevier B.V.",Ca2+; Cathepsin S (CTSS); Lysosomal cysteine protease; Metastasis; Store-operated Ca2+ entry (SOCE),calcium ion; calcium release activated calcium channel 1; cathepsin S; eb1 protein; nfat1 protein; protein; Rac1 protein; small interfering RNA; stromal interaction molecule 1; unclassified drug; animal experiment; animal model; animal tissue; Article; cancer cell; cell adhesion; cell invasion; cell motility; confocal microscopy; controlled study; downstream processing; endoplasmic reticulum; enzyme activity; female; GBM8401 cell line; gene knockdown; genetic transfection; HEK293T cell line; human; human cell; immunoprecipitation; in vitro study; in vivo study; MDA-MB-231 cell line; mouse; NOD SCID mouse; nonhuman; OECM-1 cell line; PC-9 cell line; priority journal; store operated calcium entry; Western blotting,2-s2.0-85071494468
"Chen S.-H., Liao C.H., Chang C.Y., Huang K.M., Chen J.Y., Chen C.H., Meng H.-F., Zan H.-W., Horng S.-F., Lin Y.-C., Yeh M.-H.",57203064853;57194494561;57207958425;57195399334;57204293506;57192217326;55555175600;6701554390;7005770506;55986458600;36678491100;,Large-area blade-coated organic solar cells processed from halogen-free solvent,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071398493&doi=10.1016%2fj.orgel.2019.105376&partnerID=40&md5=6407e6d8bfeb69914e80af46f682562e,"High performance organic solar cells (OSCs) are generally prepared by halogenated solvents, which are detrimental to the environment and human health. The replacement of hazardous halogenated solvents is a priority in the commercialization of solution-processed OSCs. In this study, poly[4,8?bis(5?(2?ethylhexyl)thiophen?2?yl)benzo[1,2?b;4,5?b’]dithiophene?2,6?diyl?alt?(4?(2?ethylhexyl)?3?fluorothieno[3,4?b]thiophene?)?2?carboxylate?2?6-diyl)] (PBDTTT?EFT):[6,6]-phenyl C71-butyric acid methyl ester (PC71BM)-based device processed with binary halogen-free solvents (toluene and N-methyl-2-pyrrolidone) is fabricated by blade-coating method. Through the combination of morphological manipulation of active layer and interfacial engineering, the resulting OSCs deliver a promising power conversion efficiency (PCE) up to 11.09%. Importantly, large-area (216 cm2) blade-coated bulk-heterojunction OSCs is also demonstrated, and the resulting devices deliver a high PCE up to 5.03%, which is comparable to those of the devices processed with halogenated solvents (PCE = 5.20%). Additionally, the devices processed with halogen-free solvents also exhibit superior stability, maintaining 88% of its initial efficiency after 3960 h of continuous operation. More encouragingly, halogen-free solvents-based manufacturing process can also be performed under ambient conditions, and a moderate PCE of 3.67% is attained for large-area (216 cm2) OSCs. To the best of our knowledge, 3.67% represents the highest efficiency ever reported for air-processed large-area OSCs. This work paves the way towards the realization of environmentally-friendly large-area OSCs with high performance and long-term stability. ? 2019 Elsevier B.V.",Air-processing; Blade-coating; Halogen-free solvent; Large area; Organic solar cells,Butyric acid; Carboxylation; Coatings; Efficiency; Halogenation; Heterojunctions; Organic solvents; Air processing; Blade coatings; Halogen-free; Large area; Manufacturing process; Morphological manipulations; N-methyl-2-pyrrolidone; Power conversion efficiencies; Organic solar cells,2-s2.0-85071398493
"Tsai C.-H., Ma H.-P., Lin Y.-T., Hung C.-S., Hsieh M.-C., Chang T.-Y., Kuo P.-H., Lin C., Lo M.-T., Hsu H.-H., Peng C.-K., Lin Y.-H.",57204439636;7403096265;56763039300;14028166900;57210156633;57210164407;7201622803;35275335900;35269333200;7402359806;7401797804;25522123900;,Heart Rhythm Complexity Impairment in Patients with Pulmonary Hypertension,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069707758&doi=10.1038%2fs41598-019-47144-1&partnerID=40&md5=8299b9265448acdeb8f09d1d1211629f,"Pulmonary hypertension is a fatal disease, however reliable prognostic tools are lacking. Heart rhythm complexity analysis is derived from non-linear heart rate variability (HRV) analysis and has shown excellent performance in predicting clinical outcomes in several cardiovascular diseases. However, heart rhythm complexity has not previously been studied in pulmonary hypertension patients. We prospectively analyzed 57 patients with pulmonary hypertension (31 with pulmonary arterial hypertension and 26 with chronic thromboembolic pulmonary hypertension) and compared them to 57 age- and sex-matched control subjects. Heart rhythm complexity including detrended fluctuation analysis (DFA) and multiscale entropy (MSE) and linear HRV parameters were analyzed. The patients with pulmonary hypertension had significantly lower mean RR, SDRR, pNN20, VLF, LF, LF/HF ratio, DFAα1, MSE slope 5, scale 5, area 1–5 and area 6–20 compared to the controls. Receiver operating characteristic curve analysis showed that heart rhythm complexity parameters were better than traditional HRV parameters to predict pulmonary hypertension. Among all parameters, scale 5 had the greatest power to differentiate the pulmonary hypertension patients from controls (AUC: 0.845, P &lt; 0.001). Furthermore, adding heart rhythm complexity parameters significantly improved the discriminatory power of the traditional HRV parameters in both net reclassification improvement and integrated discrimination improvement models. In conclusion, the patients with pulmonary hypertension had worse heart rhythm complexity. MSE parameters, especially scale 5, had excellent single discriminatory power to predict whether or not patients had pulmonary hypertension. ? 2019, The Author(s).",,,2-s2.0-85069707758
"Hsieh M.-Y., Lee C.-K., Lo C.-M., Chen C.-H., Chuang S.-Y., Wu C.-C.",55514981400;57192961032;57204623072;57203285996;7202515712;35178735300;,Temporal distribution and biological determinants of thrombotic events after interventions for dialysis vascular access,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069643260&doi=10.1038%2fs41598-019-47293-3&partnerID=40&md5=5ea3329ad9dc17863836a512d01273f3,"Endovascular therapy is the principal therapy for haemodialysis vascular access dysfunction. Nonetheless, the incidence and determinants of post-intervention thrombotic events are unclear. This prospective cohort study evaluated the incidence and timing of thrombotic events after endovascular therapy and analysed the clinical, angiographic, and biological determinants of thrombosis. Of the 236 patients enrolled, 91 experienced post-intervention thrombotic events within 1 year. The 1-year thrombosis-free patency was 28% for thrombosed accesses, 53% for non-thrombosed grafts, and 78% for non-thrombosed fistulas. Forty-one of the 91 thrombotic events (45%) occurred within 3 months post-intervention. In the univariate analysis, early thrombosis was associated with longer haemodialysis duration (hazard ratio [HR], 1.01; 95% confidence interval [CI], 1.01–1.02), graft access (HR, 7.69; 95% CI, 3.33–20.0), multiple stenoses (HR, 2.69; 95% CI, 1.36–5.37), and high indoxyl sulphate (IS) levels (HR, 1.55; 95% CI, 1.32–1.82). Late thrombosis was associated with diabetes (HR, 1.89; 95% CI, 1.01–3.57), cardiovascular disease (HR, 2.38; 95% CI, 1.27–4.54), and endothelial progenitor cell counts (HR, 0.97; 95% CI, 0.93–0.99). After multivariate adjustment, high IS was the major predisposing factor for early post-intervention thrombosis (HR, 1.41; 95% CI, 1.18–1.69). Our findings suggest that measures to decrease IS could target the most critical period of thrombosis. ? 2019, The Author(s).",,,2-s2.0-85069643260
"Chang H.-F., Cheng H.-T., Chen H.-Y., Yeung W.K., Cheng J.-Y.",55816168900;57209096546;56575723100;57203979587;7405940883;,Doxycycline inhibits electric field-induced migration of non-small cell lung cancer (NSCLC) cells,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066487591&doi=10.1038%2fs41598-019-44505-8&partnerID=40&md5=047d557758969b4122b7cd5f9d7bb57c,"Adenocarcinoma, large cell carcinoma and squamous cell carcinoma are the most commonly diagnosed subtypes of non-small cell lung cancers (NSCLC). Numerous lung cancer cell types have exhibited electrotaxis under direct current electric fields (dcEF). Physiological electric fields (EF) play key roles in cancer cell migration. In this study, we investigated electrotaxis of NSCLC cells, including human large cell lung carcinoma NCI-H460 and human lung squamous cell carcinoma NCI-H520 cells. Non-cancerous MRC-5 lung fibroblasts were included as a control. After dcEF stimulation, NCI-H460 and NCI-H520 cells, which both exhibit epithelial-like morphology, migrated towards the cathode, while MRC-5 cells, which have fibroblast-like morphology, migrated towards the anode. The effect of doxycycline, a common antibiotic, on electrotaxis of MRC-5, NCI-H460 and NCI-H520 cells was examined. Doxycycline enhanced the tested cells’ motility but inhibited electrotaxis in the NSCLC cells without inhibiting non-cancerous MRC-5 cells. Based on our finding, further in-vivo studies could be devised to investigate the metastasis inhibition effect of doxycycline in an organism level. ? 2019, The Author(s).",,,2-s2.0-85066487591
"Chen T.-J., Wang H.-J., Liu J.-S., Cheng H.-H., Hsu S.-C., Wu M.-C., Lu C.-H., Wu Y.-F., Wu J.-W., Liu Y.-Y., Kung H.-J., Wang W.-C.",56297753600;52664510700;7410117760;55474401300;57203634767;57203896398;57210570918;57210586468;57210583812;57210585753;7402514186;57154838600;,Mutations in the PKM2 exon-10 region are associated with reduced allostery and increased nuclear translocation,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065896674&doi=10.1038%2fs42003-019-0343-4&partnerID=40&md5=a50bb542ee56271b352b0abf7f3c9611,"PKM2 is a key metabolic enzyme central to glucose metabolism and energy expenditure. Multiple stimuli regulate PKM2’s activity through allosteric modulation and post-translational modifications. Furthermore, PKM2 can partner with KDM8, an oncogenic demethylase and enter the nucleus to serve as a HIF1α co-activator. Yet, the mechanistic basis of the exon-10 region in allosteric regulation and nuclear translocation remains unclear. Here, we determined the?crystal structures and kinetic coupling constants of exon-10 tumor-related mutants (H391Y and R399E), showing altered structural plasticity and reduced allostery. Immunoprecipitation analysis revealed increased interaction with KDM8 for H391Y, R399E, and G415R. We also found a higher degree of HIF1α-mediated transactivation activity, particularly in the presence of KDM8. Furthermore, overexpression of PKM2 mutants significantly elevated cell growth and migration. Together, PKM2 exon-10 mutations lead to structure-allostery alterations and increased nuclear functions mediated by KDM8 in breast cancer cells. Targeting the PKM2-KDM8 complex may provide a potential therapeutic intervention. ? 2019, The Author(s).",,,2-s2.0-85065896674
"Ganganboina A.B., Doong R.-A.",57194456922;7006956479;,Graphene Quantum Dots Decorated Gold-Polyaniline Nanowire for Impedimetric Detection of Carcinoembryonic Antigen,2019,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065640638&doi=10.1038%2fs41598-019-43740-3&partnerID=40&md5=06cca647ef4c0f99e9cebe1bdda8f6c1,"A label-free impedimetric immunosensor based on N, S-graphene quantum dots@Au-polyaniline (N, S-GQDs@Au-PANI) nanowires was fabricated for the quantitative detection of carcinoembryonic antigen (CEA). The N, S-GQDs and Au-PANI were synthesized by a simple hydrothermal pyrolysis and interfacial polymerization, respectively. Subsequently, 2–9 nm N, S-GQDs are successfully decorated onto 30–50 nm Au-PANI nanowires by Au-thiol linkage to serve as the bifunctional probe for amplifying the electrochemical activity as well as anchoring anti-CEA. The N, S-GQDs@Au-PANI nanowires are excellent conducting materials to accelerate the electron transfer, while the formation of CEA antibody-antigen bioconjugates after the addition of CEA significantly increase the charge transfer resistance, and subsequently provides a highly stable and label-free immunoassay platform for the impedimetric detection of CEA. The label-free immunosensor exhibits a wide linear range from 0.5 to 1000 ng mL ?1 with a low detection limit of 0.01 ng mL ?1 . The N, S-GQDs@Au-PANI based immunosensor also shows high selectivity and stability over other cancer makers and amino acids. Moreover, this promising platform is successfully applied to the detection of CEA in human serum samples with excellent recovery of (96.0 ± 2.6)–(103 ± 3.8)%. These results clearly demonstrate a newly developed highly efficient and label-free impedimetric immunosensor for the detection of CEA using N, S-GQDs@Au-PANI nanowires as the biosensing probe, which can pave the gateway for the fabrication of high performance and robust impedimetric immunosensor to detect cancer makers in early stage of cancer diagnosis and therapy. ? 2019, The Author(s).",,,2-s2.0-85065640638
"Tzeng T.-T., Lai C.-C., Weng T.-C., Cyue M.-H., Tsai S.-Y., Tseng Y.-F., Sung W.-C., Lee M.-S., Hu A.Y.-C.",57208001974;56573178000;24777773600;57207980270;57207993707;36883089900;7102749676;26659600600;24775928300;,The stability and immunogenicity of inactivated MDCK cell-derived influenza H7N9 viruses,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063507710&doi=10.1016%2fj.vaccine.2019.03.024&partnerID=40&md5=3b9ccbfcd885bf7e5c61f0a22c09ec0c,"In recent years, cell-based influenza vaccines have gained a great interest over the egg-based vaccines. Several inactivated H7N9 vaccines have been evaluated in clinical trials, including whole-virion vaccines, split vaccines and subunit vaccines. Recently, we developed a new suspension MDCK (sMDCK) cell line for influenza viruses production. However, the properties of purified antigen from sMDCK cells remain unclear. In this study, the stability of influenza H7N9 vaccine bulk derived from sMDCK cells was investigated, and the data were compared with the vaccine antigen derived from our characterized adhesion MDCK (aMDCK) cells in serum-free medium. The influenza H7N9 bulks derived from sMDCK and aMDCK cells were stored at 2–8 °C for different periods of time, and a number of parameters selected to monitor the H7N9 vaccine antigen stability were evaluated at each interval (1, 3 and 12 months). The monitored parameters included virus morphology, hemagglutinin (HA) activity, HA concentration, antigenicity, and immunogenicity. The sMDCK-derived H7N9 bulk showed similar morphology to that of the aMDCK-derived H7N9 bulk, and there were no obvious changes after the extended storage periods. Furthermore, the HA titer, HA concentration, and antigenicity of sMDCK-derived H7N9 bulk were stable after 28 months of storage. Finally, the results of hemagglutination inhibition and neutralization tests showed that sMDCK- and aMDCK-derived H7N9 vaccines had comparable immunogenicity. These results indicated that sMDCK-derived H7N9 bulk has good stability compared to that of aMDCK-derived H7N9 bulk. Thus, the newly developed suspension MDCK cell line shows a great alternative for manufacturing cell-based influenza vaccines. ? 2019 The Authors",H7N9; Inactivated influenza vaccine; Stability; Suspension MDCK,aluminum hydroxide; influenza vaccine; Influenza virus hemagglutinin; adjuvant therapy; animal experiment; antigenicity; Article; cell suspension; controlled study; drug stability; female; hemagglutination inhibition test; immunogenicity; Influenza A virus (H7N9); MDCK cell line; mouse; nonhuman; priority journal; virus neutralization; virus particle,2-s2.0-85063507710
