"文獻名稱.","年份","摘要","索引關鍵字"
"Recurrent corneal erosion caused by retained sutures in blepharoplasty","2019","Purpose: To present recurrent corneal erosion (RCE) caused by late suture exposure after blepharoplasty. Methods: Four patients who have unilateral RCE were found to have previous blepharoplasty. The RCE was associated with late suture exposure. The clinical courses, characteristics, methods to identify the suture exposure and treatment were presented. Results: The clinical presentations including local erosion of upper bulbar conjunctiva, corneal abrasion lines, local corneal epithelial defects with rough border, and subepithelial opacity were noticed in all four patients. RCE symptoms exaggerated in eye blinking and did not respond to artificial tears treatment. Erosion recurred soon after the removal of therapeutic contact lenses. They underwent blepharoplasty 1–10?years before RCE emerged, and the RCE lasted 1–8?months before suture exposure was found. RCE healed within 1?week after suture removal. Conclusions: Suture exposure may occur several years after blepharoplasty and could cause RCE. Thorough exploration of the fornix by double eyelid eversion can identify the hidden sutures in such patients. ? 2018, Springer Science+Business Media B.V., part of Springer Nature.","artificial tear; gamma interferon; abrasion; adult; aged; Article; biomicroscopy; blurred vision; clinical article; clinical feature; conjunctiva disease; conjunctiva erosion; conjunctival maceration; cornea disease; cornea erosion; cornea opacity; cornea tumor; corneal abrasion; corneal epithelial defect; corneal intraepithelial neoplasm; erosion; exaggerated eye blinking; exposure; eye movement disorder; eye pain; eye redness; eyelid reconstruction; female; human; intraocular foreign body; middle aged; recurrent disease; reoperation; suture removal; young adult; adverse device effect; case report; complication; cornea disease; eyelid reconstruction; postoperative complication; suture; Adult; Aged; Blepharoplasty; Corneal Diseases; Eye Foreign Bodies; Female; Humans; Postoperative Complications; Sutures; Young Adult"
"The protective effect of non-invasive low intensity pulsed electric field and fucoidan in preventing oxidative stress-induced motor neuron death via ROCK/Akt pathway","2019","With the expansion of the aged population, it is predicted that neurodegenerative diseases (NDDs) will become a major threat to public health worldwide. However, existing therapies can control the symptoms of the diseases at best, rather than offering a fundamental cure. As for the complex pathogenesis, clinical and preclinical researches have indicated that oxidative stress, a central role in neuronal degeneration, is a possible therapeutic target in the development of novel remedies. In this study, the motor neuron-like cell line NSC-34 was employed as an experimental model in probing the effects induced by the combination of non-invasive low intensity pulsed electric field (LIPEF) and fucoidan on the H 2 O 2 -induced neuron damage. It was found that single treatment of the LIPEF could protect the NSC-34 cells from oxidative stress, and the protective effect was enhanced by combining the LIPEF and fucoidan. Notably, it was observed that single treatment of the LIPEF obviously suppressed the H 2 O 2 -enhanced expression of ROCK protein and increased the phosphorylation of Akt in the H 2 O 2 -treated NSC-34 cells. Moreover, the LIPEF can be easily modified to concentrate on a specific area. Accordingly, this technique can be used as an advanced remedy for ROCK inhibition without the drawback of drug metabolism. Therefore, we suggest the LIPEF would be a promising strategy as a treatment for motor neurodegeneration and warrant further probe into its potential in treating other neuronal degenerations. ? 2019 Hsieh et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","fucoidin; glutathione; glutathione disulfide; hydrogen peroxide; protein bcl 2; protein kinase B; reactive oxygen metabolite; Rho kinase; fucoidin; polysaccharide; protein kinase B; Rho kinase; animal cell; Article; cell structure; controlled study; drug effect; electrotherapy; endoplasmic reticulum stress; enzyme phosphorylation; in vitro study; low intensity pulsed electric field; mitochondrial membrane potential; motoneuron; mouse; nerve cell lesion; nerve cell necrosis; neuroprotection; nonhuman; NSC-34 cell line; oxidative stress; protein expression; therapy effect; animal; cell death; cell line; degenerative disease; human; metabolism; motoneuron; oxidative stress; pathology; signal transduction; Animals; Cell Death; Cell Line; Electric Stimulation Therapy; Humans; Mice; Motor Neurons; Neurodegenerative Diseases; Oxidative Stress; Polysaccharides; Proto-Oncogene Proteins c-akt; rho-Associated Kinases; Signal Transduction"
"Reduction of healthcare costs by implementing palliative family conference with the decision to withdraw life-sustaining treatments","2020","Background: Evidence regarding the impact of early palliative family conferences (PFCs) and decision to withdraw life-sustaining treatment (DTW) on healthcare costs in an intensive care unit (ICU) setting is inconsistent. Methods: We retrospectively analyzed patients who died in an ICU from 2013 to 2016. PFCs held within 7 days after ICU admission and DTWs were verified by reviewing medical records and claims data. Comparisons were first made between patients with and without DTWs, and secondly, between DTW patients with and without PFCs within 7 days. Propensity score matching methods were used to examine the difference in costs between patients with and without DTWs and PFCs within 7 days. Results: Of the 579 patients included, those with DTWs (n = 73) had a longer ICU stay than those without (n = 506) (12.9 ± 7.1 vs. 8.4 ± 9.6 days, p < 0.001). The DTW patients were more likely to have a “do-not-resuscitate” order (p < 0.001) and PFCs within 7 days (p < 0.001) and had lower healthcare costs (USD 7358 ± 4116 vs. 8669 ± 9,535, p = 0.038). After matching, healthcare cost reduction for patients with DTWs, compared with those without DTWs, was USD 3467 [95% CI, 915–6019] (p < 0.001). Compared with DTW patients without PFCs within 7 days, the costs for DTW patients with PFCs within 7 days further reduced to USD 3042 [95%CI, 1358–4725] (p < 0.001). Conclusion: Palliative family conferences held within 7 days after ICU admission with decisions to withdraw life-sustaining treatments significantly lowered healthcare costs. ? 2019","adult; conference paper; controlled study; do not resuscitate order; drug withdrawal; female; health care cost; human; intensive care unit; life sustaining treatment; major clinical study; male; medical record; propensity score; retrospective study; article"
"ZNF479 downregulates metallothionein-1 expression by regulating ASH2L and DNMT1 in hepatocellular carcinoma","2019","Decreased expression of metallothionein-1 (MT-1) is associated with a poor prognosis in hepatocellular carcinoma (HCC). Here, we found that MT-1 expression was suppressed by 14-3-3ε, and MT-1 overexpression abolished 14-3-3ε-induced cell proliferation and tumor growth. We identified that 14-3-3ε induced expression of ZNF479, a novel potential transcriptional regulator by gene expression profiling and ZNF479 contributed to 14-3-3ε-suppressed MT-1 expression. ZNF479 induced the expression of DNMT1, UHRF1, and mixed-lineage leukemia (MLL) complex proteins (ASH2L and Menin), and increased tri-methylated histone H3 (H3K4me3) levels, but suppressed H3K4 (H3K4me2) di-methylation. ZNF479-suppressed MT-1 expression was restored by silencing of ASH2L and DNMT1. Furthermore, ZNF479 expression was higher in HCC tissues than that in the non-cancerous tissues. Expression analyses revealed a positive correlation between the expression of ZNF479 and DNMT1, UHRF1, ASH2L, and Menin, and an inverse correlation with that of ZNF479, ASH2L, Menin, and MT-1 isoforms. Moreover, correlations between the expression of ZNF479 and its downstream factors were more pronounced in HCC patients with hepatitis B. Here, we found that ZNF479 regulates MT-1 expression by modulating ASH2L in HCC. Approaches that target ZNF479/MLL complex/MT-1 or related epigenetic regulatory factors are potential therapeutic strategies for HCC. ? 2019, The Author(s).","DNA (cytosine 5) methyltransferase 1; histone H3; metallothionein I; methionine; mixed lineage leukemia protein; protein 14 3 3; pyrrolidine dithiocarbamate; adult; animal cell; animal experiment; animal model; animal tissue; Article; ash2l gene; cancer chemotherapy; carcinogenesis; cell function; cell proliferation; comparative study; controlled study; down regulation; female; gene; gene control; gene expression; gene silencing; histone methylation; human; human cell; human tissue; in vivo study; liver cell carcinoma; major clinical study; male; middle aged; mouse; nonhuman; priority journal; protein expression; tumor growth; tumor volume; uhrf1 gene; znf479 gene"
"Improved prognosis with induction chemotherapy in pathological complete responders after trimodality treatment for esophageal squamous cell carcinoma: Hypothesis generating for adjuvant treatment","2019","Purpose: To compare the locations of recurrences and survival outcomes in esophageal squamous cell carcinoma (ESCC) patients with pathological complete response (pCR) after neoadjuvant concurrent chemoradiotherapy (CCRT) with or without preceding induction chemotherapy (IC) followed by esophagectomy. Methods: Among 276 patients with locally advanced ESCC undergoing trimodality treatment during 2004–2014, 94 (34.1%) with pCR were eligible. The cohort included 26 patients undergoing IC before CCRT (IC group), and 68 patients who did not receive IC (non-IC group). Results: At a median follow-up of 51.4 months (95% confidence interval; 42.9–62.1), 19 patients experienced recurrences. There was a trend toward fewer distant failures in the IC group (0% vs.14.7%, p = 0.057), while locoregional recurrence was similar (7.7% vs. 7.4%). IC was associated with significantly improved survivals with the 5-year RFS and OS rates for the IC group of 85.1% and 90.5%, respectively, compared to of 46.2% and 48.1% for the non-IC group (p = 0.008 for RFS, and p = 0.015 for OS). By multivariable analyses, IC remained the only significant factor associated with survivals (HR:0.18 for RFS, p = 0.020 and HR:0.18 for OS, p = 0.025). The effect of IC in the whole cohort, irrespective of pathological response, was also assessed. Patients with non-pCR in the IC group had a trend toward worse survivals compared to the non-IC group Conclusions: In ESCC patients with pCR after trimodality treatment, IC was associated with favorable survivals. The benefits of IC might be a hypothesis generation for adjuvant treatment for patients with pCR. ? 2019 Elsevier Ltd, BASO ~ The Association for Cancer Surgery, and the European Society of Surgical Oncology","cisplatin; fluorouracil; folinic acid; paclitaxel; adjuvant chemoradiotherapy; adult; aged; Article; cancer prognosis; cancer recurrence; cancer staging; cancer surgery; continuous infusion; controlled study; distant metastasis; esophageal squamous cell carcinoma; esophagus resection; female; follow up; human; induction chemotherapy; intensity modulated radiation therapy; lung metastasis; lymph node dissection; major clinical study; male; mediastinum metastasis; multimodality cancer therapy; overall survival; pneumonia; postoperative complication; priority journal; recurrence free survival; retrospective study; second cancer; surgical mortality; treatment response"
"Clinical characteristics of glaucoma patients with disc hemorrhage in different locations","2019","Purpose: To compare the clinical characteristics and outcomes of eyes with unilateral disc hemorrhage (DH) in different locations. Methods: This was a retrospective cohort study. DHs were classified by locations: the superior, superotemporal, inferotemporal, or inferior sectors of optic disc were classified as the susceptible area, while other sectors were defined as the less susceptible area. Structural and functional outcomes were analyzed by the Humphrey field analyzer and spectral domain optical coherence tomography. Results: Forty-three eyes with DHs in the susceptible area were less myopic and had more peripapillary-type DH, larger cup-to-disc ratio, cup volume, and disc area. Thirty-three eyes with DHs in the less susceptible area had less association with RNFL defects, greater tilted ratio, and less torsion of the disc. Follow-up revealed that the change in sectoral RNFL (μm) thickness was significantly greater for DHs in the susceptible area within one?year (? 6.0 ± 14.0 vs. 0.7 ± 13.0, p = 0.035) and two years (? 10.0 ± 17.4 vs. ? 1.1 ± 7.6, p = 0.012), while the change in average RNFL thickness was not different. Eyes with DHs in the susceptible area had faster MD deterioration (dB/year) than those in the less susceptible area within four years (? 0.32 ± 0.51 vs. ? 0.05 ± 0.45, p = 0.047). A total of 16.9% of eyes, all in the susceptible area, had localized VF progression at DH corresponding area. Conclusion: Disc hemorrhage in the superotemporal and inferotemporal regions had more subsequent structural and functional deterioration compared with the eyes with DHs in the temporal quadrant and nasal area. ? 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","adult; Article; cohort analysis; disc hemorrhage; disease classification; female; follow up; human; intraocular hemorrhage; longitudinal study; male; middle aged; optic disk; priority journal; retinal nerve fiber layer thickness; retrospective study; spectral domain optical coherence tomography; visual field; comparative study; complication; glaucoma; nerve fiber; optic nerve disease; optical coherence tomography; pathology; pathophysiology; physiology; procedures; retina ganglion cell; retina hemorrhage; vascularization; visual acuity; Female; Follow-Up Studies; Glaucoma; Humans; Male; Middle Aged; Nerve Fibers; Optic Disk; Optic Nerve Diseases; Retinal Ganglion Cells; Retinal Hemorrhage; Retrospective Studies; Tomography, Optical Coherence; Visual Acuity; Visual Fields"
"Fracture types affect clinical outcomes of patients managed within the fracture liaison and osteoporosis medication management services","2019","Osteoporosis medication in fragility fracture patients is associated with better outcomes. However, limited studies have investigated whether fracture types affect outcomes among patients undergoing treatment. We performed a secondary data analysis on participants from a fracture liaison service and an osteoporosis medication management service. Participants (n = 974) were regrouped into hip fracture (HF), vertebral fracture (VF), HF + VF, and NO HF/VF groups at baseline. Bivariate and multivariate logistic regressions were performed to identify baseline correlates on one-year mortality, incident refractures, and falls. Baseline characteristics were different among fracture groups. The HF group was oldest, with the lowest body mass index (BMI), lowest FRAX? T-score and had the highest 10-year fracture risk. After intervention, the HF group still had the highest mortality, but the HF + VF group had the highest refracture and incident fall rates. In the multivariate regression analysis, prevalent HF and VF, lower BMI and albumin level, and having chronic kidney disease or cancer were associated with higher mortality rates. HF + VF patients had the highest refracture risk. Prevalent HF and VF, older age and higher BMI, and having cancer or osteoarthritis were associated with a greater fall risk. HF and VF are associated with adverse outcomes, even under an optimal fracture care. ? 2019, The Author(s).",""
"The relationship between androgen deprivation therapy and depression symptoms in patients with prostate cancer","2019","Aim: In this study, we administered a questionnaire to consecutive prostate cancer patients who received androgen deprivation therapy (ADT) for understanding the prevalence of depression symptoms. Materials and methods: We retrospectively identified patients with prostate adenocarcinoma who received ADT between January 2015 and February 2018 at Mackay Memorial Hospital. The patients were then asked to complete the Chinese version of the Patient Health Questionnaire-9 (PHQ-9) during an interview. The patients were divided into two groups according to PHQ-9 score: those with depression symptoms (PHQ-9 ? 6, depression group), and those without depression symptoms (PHQ-9 < 6, non-depression group). Two groups were compared using t-tests and correlation coefficients, as appropriate. Statistical significance was set at p <.05. Results: There were no significant correlations between PHQ-9 scores and any of the parameters in the patients overall. In subgroup analysis, a positive correlation was found between the duration of ADT and PHQ-9 score in the patients with depression symptoms (p =.03). In addition, univariate analysis showed a positive association between the duration of ADT and PHQ-9 score, and a longer duration of ADT was further independently associated with increased PHQ-9 score in multivariate analysis in the patients with depression symptoms. Conclusion: This study demonstrated that in patients with prostate cancer and depression symptoms, the severity of the depression symptoms was positively correlated with the duration of ADT. In contrast, this association was not found in patients without depression symptoms. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",""
"Paradoxical relationship between glycated hemoglobin and longitudinal change in physical functioning in older adults: A prospective cohort study","2019","Background: Hyperglycemia with high hemoglobin A1c (HbA1c) levels is associated with significant health risks. However, the relationship between HbA1c levels and the physical functioning status in later life remains uncertain and so is the possible underlying mechanism. Methods: We conducted a prospective study of 2,565 initially well-functioning community-dwelling older adult aged 55 years and older from the Healthy Aging Longitudinal Study in Taiwan. Each participant received baseline measurements of blood HbA1c and inflammatory markers levels and repeated assessments of physical functioning over a mean follow-up period of 5.3 years. We used generalized linear mixed-effects regression to estimate the adjusted changes in the odds ratio for self-reported physical functioning impairment and Short Physical Performance Battery (SPPB) score according to baseline HbA1c levels (categorized into 0.5% increments from &lt;5.5% to ?7.0%). Results: HbA1c levels showed a U-shaped relationship with changes in the odds ratio for physical functioning impairment and SPPB score (p for quadratic term &lt; .001). Compared with participants with an HbA1c of 5.5% to &lt;6.0%, those with an HbA1c of &lt;5.5% or ?7.0% had a higher annual increase in the odds ratio for physical functioning impairment (odds ratio [95% confidence interval] per year, 1.25 [1.04–1.50] and 1.21 [1.04–1.41]) and a higher annualized decrease in SPPB score (coefficient [95% confidence interval], ?0.05 [?0.10 to 0.00] and ?0.04 [?0.08 to 0.00]). These relationships were nonlinear only in participants with high soluble interleukin-6 receptor levels (&gt;48,124 pg/mL; p for interaction &lt; .05). Conclusions: High and low HbA1c levels at baseline are associated with faster physical functioning decline, particularly among individuals with elevated circulating soluble interleukin-6 receptor, a sign of enhanced interleukin-6 trans-signaling. ? The Author(s) 2018. Published by Oxford University Press on behalf of The Gerontological Society of America. All rights reserved.",""
"Diversity of nasal microbiota and its interaction with surface microbiota among residents in healthcare institutes","2019","Nasal microbial communities may have crucial implications for human health, including for residents of healthcare institutes (HCIs). Factors that determine the diversity of nasal microbiota in HCIs remain unclear. Herein, we used 16S rRNA amplicon sequencing to investigate the relationship between nasal and surface microbiota in three HCIs. Participants were classified into a hospitalised or nonhospitalised group based on their most recent date of hospitalisation. A total of 88 nasal samples and 83 surface samples were analysed. Dysgonomonas and Corynebacterium were the most abundant taxa in the surface and nasal samples, respectively. Significant differences were discovered in microbiota diversity among HCIs when comparing the surface and nasal samples. Fifteen taxa were identified as present in all the surface and nasal samples. SourceTracker analysis revealed that the ventilation conditions of environment might be associated with the proportion of shared microbial communities between nasal and surface. Additionally, as compared with the nonhospitalised group, the hospitalised group had a higher proportion of surface microbiota in their nasal samples, which might lead to a higher risk of human-related microorganisms or pathogens colonising the nasal cavity. The data suggest that nasal bacterial diversity could be influenced by both health status and living environment. Our results therefore highlight the importance of the indoor environment for HCI residents. ? 2019, The Author(s).",""
