作者,作者身分,"文獻名稱	",年份,連結,摘要,作者,索引關鍵字,EID
"Jeffrey Kuo C.-F., Li Y.-C., Weng W.-H., Pinos Leon K.B., Chu Y.-H.",26024259300;57210810358;57191878927;57210799753;8548832900;,Applied image processing techniques in video laryngoscope for occult tumor detection,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071469006&doi=10.1016%2fj.bspc.2019.101633&partnerID=40&md5=8096fb755203fedcacb04108902d3d91,"This study implemented image processing techniques for detecting small tumors in a video laryngoscope, as small tumor lesions often appear in the video for only a very short duration, and can even be missed. The aim of this research was to develop a larynx tumor detection system that could accurately mark the position of a tumor. In the laryngoscope images, the glottis and epiglottis images have apparent geometric and brightness features for image segmentation. According to the relevant positions of the two regions, the laryngeal part of the pharynx is divided into the radix linguae, hypopharynx, epiglottis, and glottis regions for marking the tumor. It could be adapted in laryngoscope images and effectively segmented the tumor contour in different locations. The tumor-correlated image processing procedure could then be implemented, and the tumor contour could be segmented. This study analyzed video laryngoscope data from 359 confirmed laryngeal cancer films, and the methods used were centered on image color space conversion, image enhancement, threshold selection, region-based segmentation, and dynamic information-based segmentation. This study demonstrated that the proposed system is a powerful tool for video laryngoscope analysis, especially for small and easily unnoticed tumors. The system identified and marked laryngeal tumors instantly and automatically with an accuracy of 97%. Overall, the system could ease and speed up the process of tumor detection as well as minimize the possibility of ENT doctors missing small or early-stage tumors. By being able to give timely and opportune treatment, patient quality of life could be improved. ? 2019",Color space conversion; Dynamic information-based segmentation; Image enhancement; Region-based segmentation; Threshold selection; Video laryngoscope,Cartilage; Color; Image enhancement; Image segmentation; Patient treatment; Tumors; Video signal processing; Color space conversion; Dynamic information; Region-based segmentation; Threshold selection; Video laryngoscope; Color image processing; Article; cancer diagnosis; epiglottis tumor; glottis tumor; human; hypopharynx tumor; image processing; larynx tumor; priority journal; radix linguae tumor,2-s2.0-85071469006
"Chang B.-M., Pan L., Lin H.-H., Chang H.-C.",41861115700;57193790954;57207251861;7407523017;,Nanodiamond-supported silver nanoparticles as potent and safe antibacterial agents,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072128576&doi=10.1038%2fs41598-019-49675-z&partnerID=40&md5=857d7807be28c701d55f7dbcfe9381c7,"Since its discovery nearly a century ago, antibiotics has been one of the most effective methods in treating infectious diseases and limiting pathogen spread. However, pathogens often build up antibiotic resistance over time, leading to serious failure of the treatment. Silver nanoparticle (AgNP) is an appealing alternative, but successful treatment of the bacterial infection requires a plentiful supply of AgNP, which can negatively impact human health if people are excessively exposed to the particles. Here, we present a method to overcome this challenge by synthesizing nanodiamond-supported AgNP noncovalently conjugated with albumin molecules to achieve enhanced antibacterial activity and strengthened biocompatibility. Using Escherichia coli as a model bacterium, we found that the albumin-conjugated silver-diamond nanohybrids showed a long-term bactericidal effect after 36 days of the treatment at the AgNP concentration of 250 ?g mL?1. Moreover, the toxicity of the nanohybrids to human cells (including human fibroblasts, lung adenocarcinoma epithelial cells, and breast adenocarcinoma cells) is low even at the particle concentration of 500 ?g mL?1. The method provides a general and practical solution to the concerns of bacterial resistance against AgNP and issues associated with the size, shape, aggregation, and toxicity of AgNP are largely resolved. Finally, we demonstrate that the nanohybrids can be readily incorporated into natural polysaccharides (such as guar gum) to form three-in-one hydrogels, showing promising applications in nanomedicine. ? 2019, The Author(s).",,,2-s2.0-85072128576
"Chen S.-H., Liao C.H., Chang C.Y., Huang K.M., Chen J.Y., Chen C.H., Meng H.-F., Zan H.-W., Horng S.-F., Lin Y.-C., Yeh M.-H.",57203064853;57194494561;57207958425;57195399334;57204293506;57192217326;55555175600;6701554390;7005770506;55986458600;36678491100;,Large-area blade-coated organic solar cells processed from halogen-free solvent,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071398493&doi=10.1016%2fj.orgel.2019.105376&partnerID=40&md5=6407e6d8bfeb69914e80af46f682562e,"High performance organic solar cells (OSCs) are generally prepared by halogenated solvents, which are detrimental to the environment and human health. The replacement of hazardous halogenated solvents is a priority in the commercialization of solution-processed OSCs. In this study, poly[4,8?bis(5?(2?ethylhexyl)thiophen?2?yl)benzo[1,2?b;4,5?b’]dithiophene?2,6?diyl?alt?(4?(2?ethylhexyl)?3?fluorothieno[3,4?b]thiophene?)?2?carboxylate?2?6-diyl)] (PBDTTT?EFT):[6,6]-phenyl C71-butyric acid methyl ester (PC71BM)-based device processed with binary halogen-free solvents (toluene and N-methyl-2-pyrrolidone) is fabricated by blade-coating method. Through the combination of morphological manipulation of active layer and interfacial engineering, the resulting OSCs deliver a promising power conversion efficiency (PCE) up to 11.09%. Importantly, large-area (216 cm2) blade-coated bulk-heterojunction OSCs is also demonstrated, and the resulting devices deliver a high PCE up to 5.03%, which is comparable to those of the devices processed with halogenated solvents (PCE = 5.20%). Additionally, the devices processed with halogen-free solvents also exhibit superior stability, maintaining 88% of its initial efficiency after 3960 h of continuous operation. More encouragingly, halogen-free solvents-based manufacturing process can also be performed under ambient conditions, and a moderate PCE of 3.67% is attained for large-area (216 cm2) OSCs. To the best of our knowledge, 3.67% represents the highest efficiency ever reported for air-processed large-area OSCs. This work paves the way towards the realization of environmentally-friendly large-area OSCs with high performance and long-term stability. ? 2019 Elsevier B.V.",Air-processing; Blade-coating; Halogen-free solvent; Large area; Organic solar cells,Butyric acid; Carboxylation; Coatings; Efficiency; Halogenation; Heterojunctions; Organic solvents; Air processing; Blade coatings; Halogen-free; Large area; Manufacturing process; Morphological manipulations; N-methyl-2-pyrrolidone; Power conversion efficiencies; Organic solar cells,2-s2.0-85071398493
"Zeleke M.A., Kuo D.-H.",57202837953;7102953527;,Synthesis and application of V2O5-CeO2 nanocomposite catalyst for enhanced degradation of methylene blue under visible light illumination,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068508835&doi=10.1016%2fj.chemosphere.2019.06.230&partnerID=40&md5=4c25159bee18cf139d941b296aa8158a,"Methylene blue dye is among the toxic, mutagenic, and carcinogenic pollutants. Hence, its treatment via photocatalytic degradation is an important remediation method for the sake of a healthy environment. Herein, the V2O5-CeO2 nanocomposite catalysts were synthesized via a simple precipitation-thermal decomposition approach and used for the photodegradation of methylene blue in the presence of H2O2 as an effective electron scavenger under visible light illumination. The nanocomposite catalysts were systematically characterized to investigate the effects of V2O5 with the aids of X-ray, morphology, light absorption, catalytic activity, and charge transfer properties of the nanocomposite catalysts. The VC-2 nanocomposite prepared with NH4VO3:CeO2 molar ratios at 0.15:1 was found to be the best efficient catalyst where ?98% of methylene blue was degraded within 25 min irradiation time. From the kinetics analysis, its rate constant was found to be higher than those of the pure V2O5 and CeO2 catalysts by a factor of 12.0 and 13.5, respectively. The plausibly mechanistic elucidation of charge transfer and utilization of reactive species are conspicuous allegations of the combined effects of the nanocomposite catalyst, H2O2 sacrificial agent, and visible light for the photodegradation of the dye. ? 2019 Elsevier Ltd",Electron scavenger; Methylene blue; Nanocomposite catalyst; Photodegradation; V2O5-CeO2,Aromatic compounds; Catalyst activity; Cerium oxide; Charge transfer; Decomposition; Light; Light absorption; Molar ratio; Nanocomposites; Photodegradation; Rate constants; Vanadium pentoxide; Charge transfer properties; Decomposition approach; Electron scavengers; Methylene Blue; Nanocomposite catalyst; Photo catalytic degradation; Photodegradation of methylene blue; V2O5-CeO2; Nanocatalysts; cerium oxide nanoparticle; methylene blue; nanocomposite; vanadium; ceric oxide; cerium; hydrogen peroxide; methylene blue; nanocomposite; vanadium derivative; vanadium pentoxide; catalysis; catalyst; decomposition; degradation; dye; inorganic compound; light intensity; nanocomposite; photodegradation; reaction kinetics; Article; crystal structure; decomposition; ecosystem restoration; electron; electron diffraction; energy dispersive X ray spectroscopy; field emission scanning electron microscopy; impedance spectroscopy; irradiation; kinetics; light; near infrared spectroscopy; photocatalysis; photodegradation; photoluminescence; precipitation; Raman spectrometry; rate constant; surface property; synthesis; transmission electron microscopy; ultraviolet visible spectroscopy; X ray; X ray photoemission spectroscopy; catalysis; chemistry; devices; illumination; light; metabolism; photolysis; radiation response; Catalysis; Cerium; Hydrogen Peroxide; Light; Lighting; Methylene Blue; Nanocomposites; Photolysis; Vanadium Compounds,2-s2.0-85068508835
"Tsai C.-H., Whiteley C.G., Lee D.-J.",57210290961;7003586341;7406667455;,"Interactions between HIV-1 protease, silver nanoparticles, and specific peptides",2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070189460&doi=10.1016%2fj.jtice.2019.07.019&partnerID=40&md5=7924859086004f62cda711f5bc26c5b9,"Use of silver nanoparticles (Ag NP's) as inhibitor for HIV-1 protease (PR) has practical interest. However, the interactions between the Ag NP's, HIV-1 PR, and the target peptides are not well demonstrated. This study experimentally revealed the interactions of the synthesized Ag NP's, HIV-1 PR, and five specific peptides with similar amino acid sequences to HIV's polyproteins. The Ag NP's can bind with either HIV-1 PR or the peptides. Incubating Ag NP's with peptide for 24 h can efficiently inhibit activity of HIV-1 PR. But HIV-1 PR would cleave peptides faster than the binding rate of Ag NP's and the peptides; therefore, late presence of Ag NP's would have no inhibition on the HIV-1 PR activity. ? 2019 Taiwan Institute of Chemical Engineers",Cleavage; HIV-1 protease; Inhibition; Silver nanoparticles,Enzyme inhibition; Metal nanoparticles; Peptides; Amino acid sequence; Binding rate; Cleavage; HIV-1 protease; Polyproteins; Silver nanoparticles,2-s2.0-85070189460
"Hailemeskel B.Z., Hsu W.-H., Addisu K.D., Andrgie A.T., Chou H.-Y., Lai J.-Y., Tsai H.-C.",57200638185;57207252496;57200635597;57200640362;57072543200;26643223500;56187150200;,Diselenide linkage containing triblock copolymer nanoparticles based on Bi(methoxyl poly(ethylene glycol))-poly(ε-carprolactone): Selective intracellular drug delivery in cancer cells,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067028962&doi=10.1016%2fj.msec.2019.109803&partnerID=40&md5=09de17372d2c1efabafd2bf7baf365b0,"Redox-responsive diselenide bond containing triblock copolymer Bi(mPEG-SeSe)-PCL,Bi(mPEG-SeSe)-PCL was developed for specific drug release in cancer cells. Initially, ditosylated polycaprolactone was prepared via the reaction between polycaprolactone diol (PCL-diol) and tosyl chloride (TsCl). Next, Bi(mPEG-SeSe)-PCL was synthesized via the reaction between ditosylated polycaprolactone and sodium diselenide initiated poly (ethylene glycol) methyl ether tosylate. The synthesized amphiphilic triblock copolymer could self-assemble into uniform nanoparticles in aqueous medium and disassemble upon redox stimuli. The Bi(mPEG-SeSe)-PCL nanoparticles showed a DOX loading content of 5.1 wt% and a loading efficiency of 49%. In vitro drug release studies showed that about 62.4% and 56% of DOX was released from the nanoparticles during 72 h at 37 °C in PBS containing 2 mg/mL (6 mM) GSH and 0.1% H2O2, respectively, whereas only about 30% of DOX was released in PBS under the same conditions. The cell viability (MTT assays) results showed that the synthesized material was biocompatible with above 90% cell viability, and that the DOX-loaded Bi(mPEG-SeSe)-PCL nanoparticles had a high antitumor activity against HeLa cells and low antitumor activity against HaCaT cells, following a 24-h incubation period. Three-dimensional (3D) spheroids of HeLa cells were established for the evaluation of localization of the DOX-loaded nanoparticles into spheroids cells and the successfully inhibition of 3D tumor spheroid growth. The results indicated that the synthesized material Bi(mPEG–SeSe)-PCL was biocompatible and it could be a potential candidate for anticancer drug delivery system. ? 2019 Elsevier B.V.",3D-Spheroids; Diselenide bond; Nanoparticles; Redox-responsive,Biocompatibility; Biological materials; Block copolymers; Calcium compounds; Chlorine compounds; Controlled drug delivery; Cytology; Diseases; Drug products; Ethylene glycol; Lanthanum compounds; Nanoparticles; Polyethylene glycols; Polyols; Selenium compounds; Sodium compounds; Sulfur compounds; Targeted drug delivery; 3D-Spheroids; Amphiphilic triblock copolymers; Anti-cancer drug delivery; Diselenide; Intracellular drug delivery; Polycaprolactone diols; Redox-responsive; Threedimensional (3-d); Synthesis (chemical),2-s2.0-85067028962
"Birhan Y.S., Hailemeskel B.Z., Mekonnen T.W., Hanurry E.Y., Darge H.F., Andrgie A.T., Chou H.-Y., Lai J.-Y., Hsiue G.-H., Tsai H.-C.",56906998400;57200638185;57209598369;57209607291;57194775949;57200640362;57072543200;26643223500;35557219800;56187150200;,Fabrication of redox-responsive Bi(mPEG-PLGA)-Se2 micelles for doxorubicin delivery,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068227726&doi=10.1016%2fj.ijpharm.2019.118486&partnerID=40&md5=2d8ce1da3e1eff12c131277c8b291c17,"Stimuli-responsive polymeric nanostructures have emerged as potential drug carriers for cancer therapy. Herein, we synthesized redox-responsive diselenide bond containing amphiphilic polymer, Bi(mPEG-PLGA)-Se2 from mPEG-PLGA and 3,3′-diselanediyldipropanoic acid (DSeDPA) using DCC/DMAP as coupling agents. Due to its amphiphilic nature, Bi(mPEG-PLGA)-Se2 self-assembled in to stable micelles in aqueous solution with a hydrodynamic size of 123.9 ± 0.85 nm. The Bi(mPEG-PLGA)-Se2 micelles exhibited DOX-loading content (DLC) of 6.61 wt% and encapsulation efficiency (EE) of 54.9%. The DOX-loaded Bi(mPEG-PLGA)-Se2 micelles released 73.94% and 69.54% of their cargo within 72 h upon treatment with 6 mM GSH and 0.1% H2O2, respectively, at pH 7.4 and 37 °C. The MTT assay results demonstrated that Bi(mPEG-PLGA)-Se2 was devoid of any inherent toxicity and the DOX-loaded micelles showed pronounced antitumor activities against HeLa cells, 44.46% of cells were viable at maximum dose of 7.5 ?g/mL. The cellular uptake experiment further confirmed the internalization of DOX-loaded Bi(mPEG-PLGA)-Se2 micelles and endowed redox stimuli triggered drug release in cytosol and nuclei of cancer cells. Overall, the results suggested that the smart, biocompatible Bi(mPEG-PLGA)-Se2 copolymer could serve as potential drug delivery biomaterial for the controlled release of hydrophobic drugs in cancer cells. ? 2019",Anticancer drug delivery; Diselenide bond; Polymeric micelles; Redox-responsive,"3,3' diselanediyldipropanoic acid; amphophile; copolymer; doxorubicin; methoxyl poly(ethylene glycol); nanocarrier; polyglactin; polymer; unclassified drug; antineoplastic antibiotic; doxorubicin; macrogol; methoxypolyethyleneglycol-poly(lactic-co-glycolic acid); polyester; antineoplastic activity; aqueous solution; Article; biocompatibility; cancer chemotherapy; cell nucleus; cell viability; cellular uptake; cellular, subcellular and molecular biological phenomena and functions; chemical bond; controlled drug release; controlled study; critical micelle concentration; cytosol; diselenide bond; drug delivery system; drug efficacy; drug stability; encapsulation efficiency; HaCat cell line; HeLa cell line; hydrodynamics; hydrophobicity; in vitro study; internalization; kinetic parameters; maximum permissible dose; micelle; micellization; MTT assay; nanoencapsulation; nanofabrication; nanopharmaceutics; oxidation reduction potential; particle size; pH; priority journal; cell line; cell survival; chemistry; drug effect; drug release; human; micelle; oxidation reduction reaction; Antibiotics, Antineoplastic; Cell Line; Cell Survival; Doxorubicin; Drug Delivery Systems; Drug Liberation; Humans; Micelles; Oxidation-Reduction; Polyesters; Polyethylene Glycols",2-s2.0-85068227726
"Kebede W.L., Kuo D.-H., Zeleke M.A., Ahmed K.E.",57212810770;7102953527;57202837953;57193710653;,"A novel Sb-doped Mo(O,S)3 oxy-sulfide photocatalyst for degradation of methylene blue dye under visible light irradiation",2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066032983&doi=10.1016%2fj.jallcom.2019.05.203&partnerID=40&md5=914604ad74298e6df811ec0f64bd203b,"Environmentally toxic methylene blue organic pollutants are of more concerns due to their antagonistic effects on human health, animals, and plants, thus needs serious attention for their removal. For elimination purpose, the Sb-doped Mo(O,S)3 oxy-sulfide nanoplate catalyst with different Sb contents was synthesized at low temperature of 95 °C via a facile method. The structural, morphological, chemical composition, optical properties, and electrical conductivity of the catalyst were characterized with different techniques. The photocatalytic performance of Sb-Mo(O,S)3 at various Sb contents was investigated for the degradation of methylene blue dye under visible light irradiation using hydrogen peroxide as an effective electron scavenger to further accelerate the reaction. It was observed that the incorporation of Sb enhanced the catalytic activity. Sb-Mo(O,S)3-10 was the most efficient catalyst with excellent activity to degrade 99.7% of the dye within 60 min irradiation time. The degradation kinetics follows a pseudo-first-order reaction with a rate constant 8.78 × 10?2 min?1, which is 3-fold higher than that for Sb- Mo(O,S)3-0 catalyst. Sb-Mo(O,S)3-10 showed slower recombination of photogenerated charge carriers and lower charge transfer resistance which proved to be capable for the removal of toxic methylene blue organic pollutant. ? 2019 Elsevier B.V.","Methylene blue; Photocatalyst; Photodegradation; Sb-Mo(O,S)3 oxy-sulfide",Antimony; Aromatic compounds; Catalyst activity; Charge transfer; Degradation; Irradiation; Light; Nanocatalysts; Optical properties; Photocatalysts; Photocatalytic activity; Photodegradation; Rate constants; Sulfur compounds; Temperature; Charge transfer resistance; Chemical compositions; Electrical conductivity; Methylene Blue; Photocatalytic performance; Photogenerated charge carriers; Pseudo-first order reactions; Visible-light irradiation; Organic pollutants,2-s2.0-85066032983
"Chen C.-C., Lin C.-Y., Chen K.-T.",56420669900;35237587900;7410239362;,Epidemiologic features of shigellosis and associated climatic factors in Taiwan,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071434329&doi=10.1097%2fMD.0000000000016928&partnerID=40&md5=8750df66832fc87d302917fe70d6dd0d,"The consistent, sporadic transmission of shigellosis in Taiwan necessitates an exploration of risk factors for the occurrence of shigellosis. The purpose of this study was to study the epidemiologic characteristics and the relationship between climatic factors and the incidence of shigellosis in Taiwan. We collected data from cases of shigellosis reported to the Taiwan Centers for Disease Control (Taiwan CDC) from 2001 to 2016. Climatic data were obtained from the Taiwan Central Weather Bureau. The relationships between weather variability and the incidence of shigellosis in Taiwan were determined via Poisson regression analyses. During the 16-year study period, a total of 4171 clinical cases of shigellosis were reported to the Taiwan CDC. Among them, 1926 (46.2%) were classified as confirmed cases. The incidence of shigellosis showed significant seasonality, with the majority of cases occurring in summertime (for oscillation, P?<?.001). The number of shigellosis cases started to increase when temperatures reached 21°C (r?=?0.88, P?<?.001). Similarly, the number of shigellosis cases began to increase at a relative humidity of 70-74% (r?=?0.75, P?<?.005). The number of shigellosis cases was positively associated with the mean temperature and relative humidity in the period preceding the infection. In conclusion, the occurrence of shigellosis is significantly associated with increasing temperature and relative humidity in Taiwan. Therefore, these factors could be regarded as warning signals indicating the need to implement preventive measures.",,"adolescent; adult; child; female; health survey; heat; human; humidity; incidence; longitudinal study; male; middle aged; Poisson distribution; season; shigellosis; Taiwan; young adult; Adolescent; Adult; Child; Dysentery, Bacillary; Female; Hot Temperature; Humans; Humidity; Incidence; Longitudinal Studies; Male; Middle Aged; Poisson Distribution; Population Surveillance; Seasons; Taiwan; Young Adult",2-s2.0-85071434329
"Lin Y.-H., Wan Y.-L., Tai D.-I., Tseng J.-H., Wang C.-Y., Tsai Y.-W., Lin Y.-R., Chang T.-Y., Tsui P.-H.",57188973291;7402417304;7005048694;7102232496;37057507600;56433903500;7406583878;57208835003;7005402627;,Considerations of Ultrasound Scanning Approaches in Non-alcoholic Fatty Liver Disease Assessment through Acoustic Structure Quantification,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065912630&doi=10.1016%2fj.ultrasmedbio.2019.04.018&partnerID=40&md5=6c3407df4c88dfb3491c0686d45fdcc0,"Non-alcoholic fatty liver disease (NAFLD) is a risk factor for hepatic fibrosis and cirrhosis. Acoustic structure quantification (ASQ), based on statistical analysis of ultrasound echoes, is an emerging technique for hepatic steatosis diagnosis. A standardized measurement protocol for ASQ analysis was suggested previously; however, an optimal ultrasound scanning approach has not been concluded thus far. In this study, the suitability of scanning approaches for the ASQ-based evaluation of hepatic steatosis was investigated. Hepatic fat fractions (HFFs; liver segments VIII, III and VI) of 70 living liver donors were assessed with magnetic resonance spectroscopy. A clinical ultrasound machine equipped with a 3-MHz convex transducer was used to scan each participant using the intercostal, epigastric and subcostal planes to acquire raw data for estimating two ASQ parameters (Cm 2 and focal disturbance [FD] ratio) of segments VIII, III and VI, respectively. The parameters were plotted as functions of the HFF for calculating the values of the correlation coefficient (r) and probability value (p). The diagnostic performance of the parameters in discriminating between the normal and steatotic (?5 and ?10%) groups was also compared using receiver operating characteristic (ROC) curves. The Cm 2 and FD ratio values measured using the epigastric and subcostal planes did not correlate with the severity of hepatic steatosis. However, intercostal imaging exhibited a higher correlation between the ASQ parameters and HFF (r = ?0.64, p &lt; 0.001). The diagnostic performance of Cm 2 and FD ratio in detecting hepatic steatosis using intercostal imaging was also satisfactory (areas under ROC curves &gt;0.8). Intercostal imaging is an appropriate scanning approach for ASQ analysis of the liver. ? 2019 World Federation for Ultrasound in Medicine & Biology",Acoustic structure quantification; Amplitude envelope analysis; Fatty liver; Hepatic steatosis; Quantitative diagnosis; Ultrasound,Diagnosis; Diseases; Finite difference method; Magnetic resonance; Magnetic resonance spectroscopy; Scanning; Ultrasonics; Acoustic structures; Amplitude envelope; Fatty liver; Hepatic steatosis; Quantitative diagnosis; Ultrasonic applications; acoustic structure quantification; acoustic technology; adult; area under the curve; Article; controlled study; differential diagnosis; digestive system disease assessment; echography; fatty liver; female; human; human tissue; image processing; liver donor; living donor; major clinical study; male; nonalcoholic fatty liver; nuclear magnetic resonance spectroscopy; priority journal; prospective study,2-s2.0-85065912630
