"文獻名稱.","年份","摘要","索引關鍵字"
"P3HT:Bebq2-based photovoltaic device enhances differentiation of hiPSC-derived retinal ganglion cells",2019,"Electric field stimulation is known to affect various cellular processes, including cell fate specification and differentiation, particularly towards neuronal lineages. This makes it a promising therapeutic strategy to stimulate regeneration of neuronal tissues. Retinal ganglion cells (RGCs) is a type of neural cells of the retina responsible for transduction of visual signals fromthe retina to the brain cortex, and is often degenerated in various blindness-causing retinal diseases. The organic photovoltaic materials such as poly-3-hexylthiophene (P3HT) can generate electric current upon illumination with light of the visible spectrum, and possesses several advantageous properties, including light weight, flexibility and high biocompatibility, which makes them a highly promising tool for electric stimulation of cells in vitro and in vivo. In this study, we tested the ability to generate photocurrent by several formulations of blend (bulk heterojunction) of P3HT (which is electron donor material) with several electron acceptor materials, including Alq3 and bis(10-hydroxybenzo[h]quinolinato)beryllium (Bebq2). We found that the photovoltaic device based on bulk heterojunction of P3HT with Bebq2 could generate photocurrent when illuminated by both green laser and visible spectrum light. We tested the growth and differentiation capacity of human induced pluripotent stem cells (hiPSC)-derived RGCs when grown in interface with such photostimulated device, and found that they were significantly increased. The application of P3HT:Bebq2-formulation of photovoltaic device has a great potential for developments in retinal transplantation, nerve repair and tissue engineering approaches of treatment of retinal degeneration. ? 2019 by the authors. Licensee MDPI, Basel, Switzerland.","alpha synuclein; bis(10 hydroxybenzo[h]quinolinato)beryllium; indium tin oxide; Math5 protein; organic compound; peptides and proteins; poly 3 hexylthiophene; poly(3,4 ethylenedioxythiophene) polystyrene sulfonate; polymer; polystyrene derivative; quinoline derivative; transcription factor POU4F2; TUJ1 protein; unclassified drug; organoselenium derivative; poly(3-hexyl)selenophene; polymer; Article; biocompatibility; cell differentiation; cell migration; controlled study; electric current; electrostimulation; human; human cell; immunofluorescence; immunofluorescence microscopy; induced pluripotent stem cell; light; neurite outgrowth; optic nerve; patch clamp technique; photostimulation; protein expression; retina degeneration; retina ganglion cell; tissue engineering; cell culture technique; chemistry; cytology; devices; fluorescent antibody technique; metabolism; multicellular spheroid; procedures; retina ganglion cell; Cell Culture Techniques; Cell Differentiation; Fluorescent Antibody Technique; Humans; Induced Pluripotent Stem Cells; Organoselenium Compounds; Polymers; Retinal Ganglion Cells; Spheroids, Cellular"
"Post-acute care regains quality of life among middle-aged and older stroke patients in Taiwan",2019,"Objective: This study aims to evaluate health-related quality of life (HRQoL)of middle-aged and older stroke patients receiving the stroke post care (PAC)program and to identify possible predictors. Design, setting and participants: This is a retrospective cohort study. Demographic characteristics and functional outcomes (modified Rankin Scale, Barthel Index, Mini-Mental State Examination, and the Concise Chinese Aphasia Test)were collected at enrollment. EQ-5D HRQoL questionnaires were administered at the beginning and the end of PAC, and health state utilities were compared. Results: The EQ-5D utilities of stroke patients aged 75–84 years and 85 years or above were estimated to be 0.091 and 0.159 lower than those aged less than 50 years. A decrease of the utility by 0.075 was observed among patients with the prior history of stroke. The EQ-5D utilities of patients having Barthel Index of 21–40, 41–60, and 61–100 were 0.1432, 0.1568, and 0.1387 higher than those having Barthel Index of 0–20, respectively. For patients reporting extreme problems in self-care or any dimension of EQ-5D questionnaires prior to PAC, increases in utilities by 0.0733 and 0.2875 were noted. The EQ-5D utility of PAC service duration rose by 0.0733 per one incremental day. Conclusions and implications: This study provides vital evidence regarding time-varying benefits of PAC services to HRQoL of stroke patients and to identify multiple predictors of HRQoL among stroke patients receiving PAC services. This study thus could serve as good reference to enhance quality of PAC services among stroke patients. ? 2019 Elsevier B.V.","adult; age distribution; aged; Article; Barthel index; cerebrovascular accident; Charlson Comorbidity Index; cohort analysis; Concise Chinese Aphasia Test; demography; European Quality of Life 5 Dimensions questionnaire; evidence based medicine; female; geriatric patient; health program; human; major clinical study; male; middle aged; Mini Mental State Examination; neurologic examination; patient care; priority journal; quality of life; Rankin scale; retrospective study; very elderly"
"Evaluation of a Simple and Safe Tumor Drilling Technique to Potentiate the Effect of Intraperitoneal Chemotherapy in the Treatment of Recurrent Epithelial Ovarian, Tubal, and Peritoneal Cancer: A Matched Retrospective Cohort Study",2019,"Frontline intraperitoneal chemotherapy (IPCT) in the treatment of epithelial ovarian cancer has been well established. However, the role of second-line IPCT is yet to be confirmed. With a view to implementing IPCT to treat recurrent disease, a prerequisite is to perform a cytoreductive procedure to minimize residual tumor size. However, the role of cytoreductive procedure is still in debate due to a higher chance of complications. A matched retrospective cohort study was conducted. From 2008 to 2015, we adopted a relatively simple and safe tumor drilling technique to maximize tumor exposure to second-line IPCT. Patients who received tumor drilling followed by second-line IPCT constituted the cohort group. Concurrently, patients who received standard second-line systemic chemotherapy were selected as the comparison group. After propensity score matching, 85 patients in each group entered into the final analysis. The median progression-free survival was 7.3 months (95% confidence interval [CI], 6.2-7.8) for the cohort group versus 4.1 months (95% CI, 4.0-4.3) for the comparison group (hazard ratio = 0.25 [95% CI, 0.17-0.36]; P <.001, by log-rank test). The median overall survival was 33.6 months (32.1-36.6) for the cohort group versus 25.9 months (20.5-26.9) for the comparison group (hazard ratio = 0.33 [95% CI, 0.23-0.48]; P <.001, by log-rank test). Toxicities in the cohort group were not different from those that were published in reports of IPCT for ovarian cancer. The most commonly observed toxicity was gastrointestinal origin (51.7%), and it may be attributed to the intraperitoneal pharmacokinetic clearance of cisplatin and taxol and we also discussed the mechanism of gastrointestinal toxicity. Tumor drilling followed by second-line IPCT may confer a survival advantage over standard second-line systemic chemotherapy in the treatment of recurrent ovarian cancer. ? The Author(s) 2019.","antineoplastic agent; cisplatin; paclitaxel; adjuvant chemotherapy; adult; aged; case control study; cytoreductive surgery; female; follow up; human; intraperitoneal drug administration; middle aged; minimal residual disease; mortality; ovary tumor; peritoneum tumor; procedures; retrospective study; survival analysis; tumor recurrence; uterine tube tumor; Adult; Aged; Antineoplastic Combined Chemotherapy Protocols; Carcinoma, Ovarian Epithelial; Case-Control Studies; Chemotherapy, Adjuvant; Cisplatin; Cytoreduction Surgical Procedures; Fallopian Tube Neoplasms; Female; Follow-Up Studies; Humans; Injections, Intraperitoneal; Middle Aged; Neoplasm Recurrence, Local; Neoplasm, Residual; Ovarian Neoplasms; Paclitaxel; Peritoneal Neoplasms; Progression-Free Survival; Retrospective Studies; Survival Analysis"
"A case of ovarian cancer present with acute respiratory distress: Spontaneous rupture of diaphragm",2019,"[無可用摘要]","antineoplastic agent; CA 125 antigen; CA 15-3 antigen; CA 19-9 antigen; abdominal hysterectomy; adjuvant chemotherapy; adjuvant therapy; adult; Article; blood gas analysis; case report; clinical article; computer assisted tomography; consultation; cytoreductive surgery; diaphragm rupture; female; follow up; human; intensive care unit; lower abdominal pain; lymph node dissection; middle aged; omentectomy; ovary cancer; respiratory acidosis; respiratory distress; salpingooophorectomy; tension pneumothorax; thorax radiography; transvaginal echography"
"Graft rejection prediction following kidney transplantation using machine learning techniques: A systematic review and meta-analysis",2019,"Kidney transplantation is recommended for patients with End-Stage Renal Disease (ESRD). However, complications, such as graft rejection are hard to predict due to donor and recipient variability. This study discusses the role of machine learning (ML) in predicting graft rejection following kidney transplantation, by reviewing the available related literature. PubMed, DBLP, and Scopus databases were searched to identify studies that utilized ML methods, in predicting outcome following kidney transplants. Fourteen studies were included. This study reviewed the deployment of ML in 109,317 kidney transplant patients from 14 studies. We extracted five different ML algorithms from reviewed studies. Decision Tree (DT) algorithms revealed slightly higher performance with overall mean Area Under the Curve (AUC) for DT (79.5% + 0.06) was higher than Artificial Neural Network (ANN) (78.2% + 0.08). For predicting graft rejection, ANN and DT were at the top among ML models that had higher accuracy and AUC. ? 2019 International Medical Informatics Association (IMIA) and IOS Press. This article is published online with Open Access by IOS Press and distributed under the terms of the Creative Commons Attribution Non-Commercial License 4.0 (CC BY-NC 4.0).","Decision trees; Forecasting; Learning systems; Machine learning; Medical informatics; Neural networks; Area under the curves; End stage renal disease; Graft rejection; Kidney transplant patients; Kidney transplantation; Kidney transplants; Machine learning techniques; Predicting outcomes; Grafts; donor; graft rejection; graft survival; human; kidney transplantation; machine learning; meta analysis; Graft Rejection; Graft Survival; Humans; Kidney Transplantation; Machine Learning; Tissue Donors"
"Discrepant range of sPD-1 in different studies of chronic hepatitis B. A letter in response to Soluble programmed death-1 is a useful indicator for inflammatory and fibrosis severity in chronic hepatitis B",2019,"[無可用摘要]","alanine aminotransferase; hepatitis B(e) antigen; programmed death 1 receptor; virus DNA; alanine aminotransferase blood level; area under the curve; Chinese; chronic hepatitis B; correlation analysis; disease classification; disease marker; disease severity; enzyme linked immunosorbent assay; histopathology; human; immune response; Letter; liver fibrosis; medical assessment; priority journal; receiver operating characteristic; virus cell interaction"
"Dietary Patterns and Foods Associated With Cognitive Function in Taiwanese Older Adults: The Cross-sectional and Longitudinal Studies",2019,"Objectives: To find dietary patterns and foods associated with cognitive function. Design: A cross-sectional study of short-term effects and a prospective study for long-term effects. Setting: Nutrition and Health Survey in Taiwan (NAHSIT) 2014-2016 and NAHSIT 1999-2000. Participants: A total of 1245 older patients enrolled in the NAHSIT 2014-2016 and 1436 in the NAHSIT 1999-2000. Measurements: Dietary intake was appraised with a food-frequency questionnaire. Cognitive function was assessed by the Mini-Mental State Examination score (MMSE). Results: Using reduced rank regression to data-mine NAHSIT 2014-2016 cross-sectional data, we found in both genders a dietary pattern associated with high MMSE score, which was characterized by higher intakes of fresh fruits, nuts and seeds, whole grains, breakfast cereals, coffee, dairy products, seafood products, and fish. Moreover, in women, the pattern included a few additional items: tea, eggs, soybean products, and vegetables. Presence of mild cognitive impairment was inversely associated with the dietary pattern score, with declined adjusted odds ratio (95% confidence interval) from tertile 1 (as reference), tertile 2, to tertile 3 in both men [1 → 0.85(0.45-1.61) → 0.32 (0.14-0.78)] and women [1→0.44 (0.25-0.76) → 0.39 (0.20-0.75)]. Using the NAHSIT 1999-2000 as a baseline, along with 11 years of follow-up, we found with the Cox proportional hazards model that higher intake (?4 vs <1 time/wk) of either tea or fish, but not other foods, was associated with a lower risk of developing dementia. Higher intakes of both tea and fish were associated with an even lower risk. Conclusions/Implications: A dietary pattern characterized by high intakes of phytonutrient-rich plant foods (fruits, whole grains, nuts/seeds, and vegetables), tea and coffee, and protein-rich foods such as eggs, dairy products, and fish, was associated with the presence of better cognitive function in older adult. Higher intakes of fish and tea combined showed a long-term protective effect. Further research is warranted to understand the long- and short-term effects of diet. ? 2018 AMDA – The Society for Post-Acute and Long-Term Care Medicine","aged; Article; body mass; breakfast cereal; cerebrovascular accident; coffee; cognition; cross-sectional study; dairy product; dementia; diastolic blood pressure; dietary intake; dietary pattern; educational status; egg; female; fish; follow up; food frequency questionnaire; fruit; human; inflammation; longitudinal study; male; mild cognitive impairment; Mini Mental State Examination; nut; physical activity; plant seed; prospective study; sea food; sex difference; Taiwanese; tea; vegetable; whole grain"
"Epigenetic silencing of the synthesis of immunosuppressive Siglec ligand glycans by NF-κB/EZH2/YY1 axis in early-stage colon cancers",2019,"Normal colonic epithelial cells express sialyl 6-sulfo Lewis x and disialyl Lewis a on their cell surface, which are ligands for the immunosuppressive molecule Siglec-7. Expression of these normal glycans is frequently lost upon malignant transformation by silencing DTDST and ST6GalNAc6 at the early stage of colorectal carcinogenesis, and leads to production of inflammatory mediators that facilitate carcinogenesis. Indeed, by querying The Cancer Genome Atlas datasets, we confirmed that the level of DTDST or ST6GalNAc6 mRNA is substantially decreased at the early stage of colorectal carcinogenesis. Cultured colon cancer cell lines were used in this study including DLD-1, HT-29, LS174T and SW620. Their promoter regions were strongly marked by repressive mark H3K27me3, catalyzed by EZH2 that was markedly upregulated in early stage of colorectal carcinogenesis. Suppression of EZH2 substantially downregulated H3K27me3 mark and upregulated DTDST and ST6GalNAc6 as well as expression of normal glycans and Siglec-binding activities. Transcription factor YY1 was vital for the recruitment of PRC2-containing EZH2 to both promoters. Inhibition of NF-κB substantially reduced EZH2 transcription and restored their mRNAs as well as the production of normal Siglec ligand glycans in the results obtained from in vitro studies on cultured colon cancer cell lines. These findings provide a putative mechanism for promotion of carcinogenesis by loss of immunosuppressive molecules by epigenetic silencing through NF-κB-mediated EZH2/YY1 axis. ? 2019 Elsevier B.V.","immunoglobulin enhancer binding protein; messenger RNA; sialic acid binding immunoglobulin like lectin; transcription factor EZH2; transcription factor YY1; EZH2 protein, human; immunoglobulin enhancer binding protein; ligand; polysaccharide; sialic acid binding immunoglobulin like lectin; transcription factor EZH2; transcription factor YY1; YY1 protein, human; Article; binding affinity; chromatin immunoprecipitation; colon cancer; colon cancer cell line; colon carcinogenesis; DLD-1 cell line; DNA probe; epigenetics; first cervical vertebra; gene expression; gene silencing; genetic transfection; HT-29 cell line; human; human cell; human cell culture; in vitro study; intestine epithelium cell; LS174T cell line; malignant transformation; priority journal; promoter region; reverse transcription polymerase chain reaction; RNA extraction; SW620 cell line; biosynthesis; carcinogenesis; colon tumor; genetic epigenesis; genetics; metabolism; tumor cell line; Carcinogenesis; Cell Line, Tumor; Colonic Neoplasms; Enhancer of Zeste Homolog 2 Protein; Epigenesis, Genetic; Gene Silencing; Humans; Ligands; NF-kappa B; Polysaccharides; Sialic Acid Binding Immunoglobulin-like Lectins; YY1 Transcription Factor"
"Efficacy of acupressure to prevent adverse reactions to anti-tuberculosis drugs: Randomized controlled trials [穴位按??防抗?核?物不良反?的?效:?机?照??]",2019,"Aim: To determine whether acupressure can prevent or relieve the adverse drug reactions (ADRs) of anti-tuberculosis drugs. Background: People receiving drug treatment for TB often experience ADRs that may cause them to stop taking their medication. Acupressure is a form of traditional Chinese medicine that can be applied to alleviate or prevent disease symptoms. Design: A double-blinded, repeated-measures clinical trial in hospitals in Taiwan was carried out from April 2015 – May 2017. Methods: Convenience sampling was used to select 32 people (15 for the experimental group and 17 for the control group) aged >20?years who were taking anti-tuberculosis drugs. The people were randomized to receive 4-week of true acupressure and 4-weeks of sham acupressure. Acupressure therapy was given by a researcher in all cases. Both groups received treatment once per day on weekdays, with 15?min for each acupressure session. Outcomes (gastrointestinal irritation and adverse skin reactions) were assessed according to the people feedback and the physicians’ recordings during the treatment course, and during monthly follow-up visits for 6?months thereafter. Results: Both groups typically experienced gastrointestinal irritation and adverse skin reactions within 2?months of beginning anti-tuberculosis drug treatment. The 4-weeks intervention involving relevant acupressure points successfully relieved both types of side effects in both immediate and delayed manner. Conclusions: When correctly implemented, acupressure can prevent and relieve the ADRs of anti-tuberculosis drugs, and motivate people to complete their treatment course. ? 2018 John Wiley & Sons Ltd","tuberculostatic agent; acupressure; adverse drug reaction; aged; drug eruption; female; gastrointestinal tract; human; male; middle aged; pathophysiology; procedures; randomized controlled trial (topic); Taiwan; treatment outcome; tuberculosis; very elderly; Acupressure; Aged; Aged, 80 and over; Antitubercular Agents; Drug Eruptions; Drug-Related Side Effects and Adverse Reactions; Female; Gastrointestinal Tract; Humans; Male; Middle Aged; Randomized Controlled Trials as Topic; Taiwan; Treatment Outcome; Tuberculosis"
"The detrimental effect of asymmetric dimethylarginine on cholesterol efflux of macrophage foam cells: Role of the NOX/ROS signaling",2019,"Background: Asymmetric dimethylarginine (ADMA) is an endogenous nitric oxide synthase inhibitor and has been proposed to be an independent risk factor for cardiovascular diseases. However, little is known about its role in the regulation of lipid metabolism. In this study, we investigated the effect of ADMA on cholesterol metabolism and its underlying molecular mechanism. Methods: Oxidized low-density lipoprotein (oxLDL)-induced macrophage foam cells were used as an in vitro model. Apolipoprotein E-deficient (apoE?/?) hyperlipidemic mice were used as an in vivo model. Western blot analysis was used to evaluate protein expression. Luciferase reporter assays were used to assess the activity of promoters and transcription factors. Conventional assay kits were used to measure the levels of ADMA, cholesterol, triglycerides, and cytokines. Results: Treatment with oxLDL decreased the protein expression of dimethylarginine dimethylaminohydrolase-2 (DDAH-2) but not DDAH-1. Incubation with ADMA markedly increased oxLDL-induced lipid accumulation in macrophages. ADMA impaired cholesterol efflux following oxLDL challenge and downregulated the expression of ATP-binding cassette transporter A1 (ABCA1) and ABCG1 by interfering with liver X receptor α (LXRα) expression and activity. Additionally, this inhibitory effect of ADMA on cholesterol metabolism was mediated through the activation of the NADPH oxidase/reactive oxygen species pathway. In vivo experiments revealed that chronic administration of ADMA for 4 weeks exacerbated systemic inflammation, decreased the aortic protein levels of ABCA1 and ABCG1, and impaired the capacity of reverse cholesterol transport, ultimately, leading to the progression of atherosclerosis in apoE?/? mice. Conclusion: Our findings suggest that the ADMA/DDAH-2 axis plays a crucial role in regulating cholesterol metabolism in macrophage foam cells and atherosclerotic progression. ? 2019 Elsevier Inc.","ABC transporter A1; ABC transporter G1; apolipoprotein E; dimethylargininase; dimethylarginine dimethylaminohydrolase 1; dimethylarginine dimethylaminohydrolase 2; liver X receptor alpha; n(g),n(g) dimethylarginine; oxidized low density lipoprotein; reactive oxygen metabolite; reduced nicotinamide adenine dinucleotide phosphate oxidase; unclassified drug; animal cell; animal experiment; animal model; animal tissue; aorta; Article; atherosclerosis; cholesterol metabolism; cholesterol transport; controlled study; down regulation; foam cell; human; human cell; in vivo study; inflammation; lipid storage; macrophage; macrophage foam cell; male; mouse; nonhuman; priority journal; protein expression; signal transduction"
