作者,作者身分,"文獻名稱	",年份,連結,摘要,作者,索引關鍵字,EID
"Huntingdon B., Muscat D.M., de Wit J., Duracinsky M., Juraskova I.",56524467700;56798304100;24544594300;19643110800;16304242100;,Factors associated with erectile dysfunction among men living with HIV: a systematic review,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070823004&doi=10.1080%2f09540121.2019.1653443&partnerID=40&md5=93a7a33d69a3a50c67931c24c33c52d4,"Erectile dysfunction (ED) is more prevalent among men with HIV than HIV negative men. This study systematically reviewed quantitative studies published since 1997 which sampled men with HIV to examine factors associated with ED. Searches on PsycINFO, Medline, Scopus, Embase and Cinahl databases produced 5552 records, and 14 studies met inclusion criteria. Two researchers independently extracted data and assessed the quality studies using standardized criteria. Age and depression were found to be significantly associated with ED. Importantly, factors unique to HIV emerged as consistently significant across studies, including time on antiretroviral medication and protease inhibitor medication use. However, these relate to organic cause factors associated with ED only. Only four studies examined social factors with inconsistent findings. There was a paucity of research related to psychosocial factors associated with ED. This systematic review used a broad search strategy employed across multiple data-bases, however, it is limited by the over-representation of treatment centre based studies conducted in high-income nations. Future research should examine psychosocial factors, such as undue fear of transmission of HIV or fear of rejection by a sexual partner and develop a psychosocial model of sexual difficulties with HIV, from which casual hypotheses can be derived and tested. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",associated factors; erectile dysfunction; HIV; systematic review,proteinase inhibitor; testosterone; antiretroviral therapy; Article; CD4 lymphocyte count; depression; drug use; educational status; erectile dysfunction; household income; human; Human immunodeficiency virus infected patient; Human immunodeficiency virus infection; male; men who have sex with men; priority journal; sexual orientation; social psychology; systematic review; virus load,2-s2.0-85070823004
"Saglimbene V.M., Wong G., Teixeira-Pinto A., Ruospo M., Garcia-Larsen V., Palmer S.C., Natale P., Campbell K., Carrero J.-J., Stenvinkel P., Gargano L., Murgo A.M., Johnson D.W., Tonelli M., Gelfman R., Celia E., Ecder T., Bernat A.G., Del Castillo D., Timofte D., T?r?k M., Bednarek-Skublewska A., Du?awa J., Stroumza P., Hansis M., Fabricius E., Felaco P., Wollheim C., Hegbrant J., Craig J.C., Strippoli G.F.M., Badino A., Petracci L., Villareal C., Soto M., Arias M., Vera F., Quispe V., Morales S., Bueno D., Bargna R., Pe?aloza G., Alcalde L., Dayer J., Mil?n A., Centuri?n N., Ramos A., De Orta E., Menardi S., Austa Bel N., Marileo E., Junqueras N., Favalli C., Trioni R., Valle G., L?pez M., Marinaro C., Fernandez A., Corral J., Nattiello E., Marone S., Garc?a J., Carrizo G., Gonz?lez P., Delicia O., Maza M., Chauque M., Mora J., Grbavac D., L?pez L., Alonso M., Villalba C., Simon M., Cernadas M., Moscatelli C., Vilamaj? I., Tursky C., Mart?nez M., Villalba F., Pereira D., Araujo S., L?pez H., Alonso V., V?zquez B., Rapetti M., Ra?a S., Capdevila M., Ljubich C., Acosta M., Coombes M., Doria V., ?vila M., C?ceres D., Geandet E., Romero C., Morales E., Recalde C., Casan? M., Lococo B., Da Cruz O., Focsaner C., Galarce D., Albarrac?n L., Vescovo E., Gravielle M., Florio D., Baumgart L., Corbal?n M., Aguilera V., Hermida O., Galli C., Ziombra L., Gutierrez A., Frydelund S., Hardaman A., Maciel A., Arrigo M., Mato Mira C., Leibovich J., Paparone R., Muller E., Malimar A., Leocadio I., Cruz W., Tirado S., Pe?alba A., Cejas R., Mansilla S., Campos C., Abrego E., Ch?vez P., Corpacci G., Echavarr?a A., Engler C., Vergara P., Hubeli M., Redondo G., Noro?a B., Boriceanu C., Lankester M., Poignet J.L., Saingra Y., Indreies M., Santini J., Mahi A., Robert A., Bouvier P., Merzouk T., Villemain F., Pajot A., Tollis F., Brahim-Bounab M., Benmoussa A., Albitar S., Guimont M.C., Ciobotaru P., Guerin A., Diaconita M., Hoischen S.H., Saupe J., Ullmann I., Grosser S., Kunow J., Grueger S., Bischoff D., Benders J., Worch P., Pfab T., Kamin N., Roesch M., May M., Albert K., Csaszar I., Kiss E., Kosa D., Orosz A., Redl J., Kovacs L., Varga E., Szabo M., Magyar K., Zajko E., Bereczki A., Csikos J., Kerekes E., Mike A., Steiner K., Nemeth E., Tolnai K., Toth A., Vinczene J., Szummer S.Z., Tanyi E., Szilvia M., Murgo A.M., Sanfilippo N., Dambrosio N., Saturno C., Matera G., Benevento M., Greco V., di Leo G., Papagni S., Alicino F., Marangelli A., Pedone F., Cagnazzo A.V., Antinoro R., Sambati M.L., Donatelli C., Ranieri F., Torsello F., Steri P., Riccardi C., Flammini A., Moscardelli L., Boccia E., Mantuano M., Di Toro Mammarella R., Meconizzi M., Fichera R., D'Angelo A., Latassa G., Molino A., Fici M., Lupo A., Montalto G., Messina S., Capostagno C., Randazzo G., Pagano S., Marino G., Rallo D., Maniscalco A., Trovato O.M., Strano C., Failla A., Bua A., Campo S., Nasisi P., Salerno A., Laudani S., Grippaldi F., Bertino D., Di Benedetto D.V., Puglisi A., Chiarenza S., Lentini Deuscit M., Incardona C.M., Scuto G., Todaro C., Dino A., Novello D., Coco A., Boche?ska-Nowacka E., Jaroszy?ski A., Drabik J., Wypych-Birecka M., Daniewska D., Drobisz M., Doskocz K., Wyrwicz-Zieli?ska G., Kosicki A., ?lizie? W., Rutkowski P., Arentowicz S., Dzimira S., Grabowska M., Ostrowski J., Ca?ka A., Grzegorczyk T., D?ugan W., Mazur M., My?licki M., Piechowska M., Kozicka D., de S? Martins V., Aguiar L., Mira A.R., Velez B., Pinheiro T., Agapi E., Ardelean C.L., Baidog A., Bako G., Barb M., Blaga A., Bodurian E., Bumbea V., Dragan E., Dumitrache D., Florescu L., Havasi N., Hint S., Ilies R., Mandita A.G.M., Marian R.I., Medrihan S.L., Mitea L., Mitea S., Mocanu R., Moro D.C., Nitu M., Popa M.L., Popa M., Railean E., Scuturdean A.R., Szentendrey K., Teodoru C.L., Varga A., Garc?a M., Olaya M., Abujder V., Carreras J., L?pez A., Ros F., Cuesta G., Garc?a A., Orero E., Ros E., Bea S., Pizarro J.L., Luengo S., Romero A., Navarro M., Cerme?o L., Rodriguez A., Lopez D., Barrera A., Montoya F., Tajahuerce J., Carro M., Cunill M.Q., Narci S., Ballester T., Soler M.J., Traver S., Buta P.P., Cucuiat L., Rosu L., Garcia I., Gavra C.M., Gonzalez R., Filimon S., Pe?alver M., Benages V., Cardo M.I., Garc?a E., Soler P., Fernnandez E., Popescu F., Munteanu R., Tanase E., Sagau F., Prades D., Esteller S., Gonzalez E., Martinez R., Diago A., Torres J., Perez E., Garcia C., Lluch I., Forcano J., F?ns M., Rodr?guez A., Mill?n N.A., Fern?ndez J., Ferreiro B., Otero M., Pesqueira V., Abal S., ?lvarez R., Jorge C., Rico I., de Dios Ramiro J., Duzy L., Soto A., Lopez J.L., Diaz Y., Herrero I., Farr? M., Blasco C., Ferr?s S., Agost M.J., Miracle C., Farto J., Goch J., Katzarski K.S., Wulcan A., Akbiber H., Arslan H., Bicen L., Buyukkiraz A., Celik R., Dogan I.S., Erkalkan S., Ertas A., Hark U., Iravul E., Karakaya M., Mengu K., Ongun S., Ozkan Z., Ozlu A., Ozveren N., Sifil H.M., Sonmez Turksoz N., Yilmaz Z., DIET-HD Investigators and Dieticians",36105591800;23974794800;6602574836;36105391500;16309587400;8258831400;55653295800;15841424500;16834646800;7006825933;24334749000;57159281100;34975083900;57205297508;36910162700;26640203000;6701719246;56694290500;7007010102;56584213100;7005766450;6603902483;7005619651;6603626399;57200069645;56584061200;57211845953;36238482100;7003291952;7401926037;57202561844;57210930530;57210936540;57210937689;57213767895;26643237400;57210932238;57210933917;57210935282;57210932297;57210932821;57210935373;57210928114;57213915646;57210926375;57210935244;57214141088;57210926647;57210934611;57210933362;57210932680;56811574100;7005424139;57210937170;57210936083;57214375823;57210932227;57211569092;57210935000;57210933943;57210933295;55479295700;57210937461;57197298116;57210926925;57210928301;57210931311;57193862494;57210926213;57214393513;57212427320;57210933167;57212417094;57210937642;57210937454;57213956579;57210937299;57213207859;57210929940;57213958158;57210932482;7102312135;57210933881;57210929930;57210937404;57214017713;57210937032;57210933812;57210934293;57210933987;57210932579;57211479713;57210934259;22234510600;57210402207;57213138155;57210937561;57210935276;6506668835;57210932765;57210927375;57210935354;57210936958;57210927923;6701739177;57191257631;57210928322;57210935213;57210935493;57191251772;57210935206;57210936460;57213042820;33867581100;57210934755;57210929736;57213261796;57191250238;57195227696;8409393200;11140571400;57210936598;57210929530;57210926175;57213613905;57213072117;57210926719;57210933478;57210934448;57210928394;57210927104;57210929373;57210930387;57210926692;57210932318;57210934017;57210929162;57210935427;57210928048;57210932618;57210928954;18040730100;16047573600;57210936425;57210927803;57211994386;57191866234;57210931990;57213644690;57210933788;6507888900;57210926593;57210932719;57191859818;57191868992;57210933591;57210934917;6506616655;36973987600;57210932329;57210934896;57210932147;57210935975;57210937368;57210930895;57210928615;57210927894;57210933190;57210933156;57210929457;57210929635;57191257718;55177978800;57208811638;37665271000;57189622316;6508039698;57210931639;57189616505;57210932324;57210936676;57191260263;57191258837;57210934168;57210928193;57191254793;57191257505;57203520680;57191249256;57191252009;57210932182;57210933090;57210937576;57210936208;57159281100;57191251991;57207779985;57191256226;57191258964;57210933773;57100527400;57210930604;6506721202;57210935072;57210931848;57191252759;57210932818;57191251377;24336466400;57191261019;57210930525;57191260891;57191251739;57191262030;8386407300;57191253513;8386403900;57191257085;24334461100;57191257633;57204050959;57210936794;6506407934;16185774500;56772090100;55790192000;7102692251;57210933840;57210929469;57191251811;38862595900;56219600400;57191258158;57191252990;57204047650;57210926506;57204043245;57210935932;57210927436;57210926586;57210935720;57210932463;57204049869;57210933781;57204049444;57210935966;57204045449;57210930790;57204043975;57210927924;57204050467;57210936532;57213273004;57210937149;57213867435;26658474900;57191253249;57210934474;57210927384;6603498022;35386183200;55984428900;6507338650;6506446561;7003612728;6505526345;57203881550;57210926242;56210399400;57214405886;57210929450;57191255897;57210933379;57213313392;57210930454;57210934638;57210935677;57210934635;57210927114;57210927204;57210933638;57189618443;57210930595;57210928707;57210928776;57210933980;57210927039;57189620855;57210936890;57210927123;57210926329;57210933970;57210930176;57210932638;57210931992;57203520685;57210928865;57210929199;57210928191;57210926522;57212844002;57210932000;57210928482;57210933572;57210933585;57189617310;57210931369;57210929868;57210934196;57214530346;57212612253;57210935911;57210929381;57214542124;57212873786;57210928372;57210928577;57212956993;57210927595;35474202600;57210931974;57210935137;57210930668;57210931009;57189702258;57210928514;57212372518;57196874388;57210927385;57210934654;57210937359;57210927414;57210937424;57210933735;57210929878;57213916640;57210936086;57210926632;57210928266;57210927228;57213489967;57210937423;57213211311;57210927985;57210927920;57210933357;57210935064;57214407455;57210937115;57210927755;57210927047;57210931618;57210937357;57210933581;57210929879;57210931032;57210527723;57188742908;57210928128;57210932041;57214410486;57204258955;57210929790;57210931013;57210934992;57212372517;57210927040;57214299293;57210935281;57210931792;57210932358;57210934388;57210935591;57213961170;57210936065;57210930028;57210932855;57213743011;56391052900;57210935910;57210932326;57198367060;57210933986;57210932305;57210932994;57214971259;57210935438;57210926449;6603423366;57210929560;57210926570;57210928135;57210937430;57210932850;57210936437;57214042456;57210928311;57210931088;57210936075;57210932196;57210932140;57210927128;57210937510;57210931837;57210928727;57210930101;57210929953;57210937649;57213481005;,Dietary Patterns and Mortality in a Multinational Cohort of Adults Receiving Hemodialysis,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071901375&doi=10.1053%2fj.ajkd.2019.05.028&partnerID=40&md5=6766bb7f346974e49cf098a4d07976ab,"Rationale &amp; Objective: Clinical practice guidelines for dietary intake in hemodialysis focus on individual nutrients. Little is known about associations of dietary patterns with survival. We evaluated the associations of dietary patterns with cardiovascular and all-cause mortality among adults treated by hemodialysis. Study Design: Prospective cohort study. Setting &amp; Participants: 8,110 of 9,757 consecutive adults on hemodialysis (January 2014 to June 2017) treated in a multinational private dialysis network and with analyzable dietary data. Exposures: Data-driven dietary patterns based on the GA2LEN food frequency questionnaire. Participants received a score for each identified pattern, with higher scores indicating closer resemblance of their diet to the identified pattern. Quartiles of standardized pattern scores were used as primary exposures. Outcomes: Cardiovascular and all-cause mortality. Analytical Approach: Principal components analysis with varimax rotation to identify common dietary patterns. Adjusted proportional hazards regression analyses with country as a random effect to estimate the associations between dietary pattern scores and mortality. Associations were expressed as adjusted HRs with 95% CIs, using the lowest quartile score as reference. Results: During a median follow-up of 2.7 years (18,666 person-years), there were 2,087 deaths (958 cardiovascular). 2 dietary patterns, “fruit and vegetable” and “Western,” were identified. For the fruit and vegetable dietary pattern score, adjusted HRs, in ascending quartiles, were 0.94 (95% CI, 0.76-1.15), 0.83 (95% CI, 0.66-1.06), and 0.91 (95% CI, 0.69-1.21) for cardiovascular mortality and 0.95 (95% CI, 0.83-1.09), 0.84 (95% CI, 0.71-0.99), and 0.87 (95% CI, 0.72-1.05) for all-cause mortality. For the Western dietary pattern score, the corresponding estimates were 1.10 (95% CI, 0.90-1.35), 1.11 (95% CI, 0.87-1.41), and 1.09 (95% CI, 0.80-1.49) for cardiovascular mortality and 1.01 (95% CI, 0.88-1.16), 1.00 (95% CI, 0.85-1.18), and 1.14 (95% CI, 0.93-1.41) for all-cause mortality. Limitations: Self-reported food frequency questionnaire, data-driven approach. Conclusions: These findings did not confirm an association between mortality among patients receiving long-term hemodialysis and the extent to which dietary patterns were either high in fruit and vegetables or consistent with a Western diet. ? 2019 National Kidney Foundation, Inc.",cardiovascular disease (CVD); Diet; dietary patterns; end-stage kidney disease (ESKD); Food Frequency Questionnaire (FFQ); food intake; fruit; hemodialysis; modifiable risk factor; mortality; mortality; principal component analysis; vegetables; Western diet,adult; all cause mortality; Argentina; Article; cardiovascular mortality; cohort analysis; dietary intake; dietary pattern; female; follow up; food composition; food frequency questionnaire; France; fruit; Germany; hazard ratio; hemodialysis; human; Hungary; Italy; kidney failure; major clinical study; male; mortality; Poland; Portugal; principal component analysis; proportional hazards model; prospective study; Romania; scoring system; self report; Spain; Sweden; Turkey (republic); varimax rotation; vegetable; Western diet,2-s2.0-85071901375
"Rosengarten M., Murphy D.",7003303384;7404062626;,A wager on the future: a practicable response to HIV pre-exposure prophylaxis (PrEP) and the stubborn fact of process,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070199778&doi=10.1057%2fs41285-019-00115-y&partnerID=40&md5=9d9598658fe2caf60c4128855339024d,"In this article we focus on public health’s wager on the social implications of a daily antiretroviral pill to prevent HIV, referred to as PrEP (pre-exposure prophylaxis). The wager is shown to rely on modes of inquiry overly tied to what is known of the present in order to predict the future. Although such inquiry is not unusual when social research is called upon to assist health policy, predictive methodologies are unable to appreciate the dynamic and thus indeterminate nature of process. We ask: what mode of inquiry might practicably appreciate that what happens in the present will have a bearing on the future, without foreclosing on unknown possibles? Drawing on speculative and pragmatic philosophy, we reflect on our own qualitative research on PrEP to suggest that conventional methodological approaches can contribute to the future without seeking to determine what it will become. ? 2019, Springer Nature Limited.",Gay men; HIV; Pre-exposure prophylaxis (PrEP); Speculative and pragmatic research,article; drawing; health care policy; homosexual male; human; human experiment; Human immunodeficiency virus; male; nonhuman; philosophy; pill; pre-exposure prophylaxis; public health; qualitative research,2-s2.0-85070199778
"Askovic M., Watters A.J., Coello M., Aroche J., Harris A.W.F., Kropotov J.",57195321049;44961628900;6602782754;6504387641;7404039543;6603660184;,Evaluation of Neurofeedback for Posttraumatic Stress Disorder Related to Refugee Experiences Using Self-Report and Cognitive ERP Measures,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066848469&doi=10.1177%2f1550059419849170&partnerID=40&md5=117edfb0fa850951e24537b3e52a3e96,"Background. Neurofeedback holds promise as an intervention for the psychophysiological dysfunction found in posttraumatic stress disorder (PTSD). Few empirical studies have assessed the efficacy of neurofeedback for PTSD, and none in individuals with refugee trauma. A proposed mechanism for neurofeedback efficacy in PTSD is through remediating deficits in cognitive control. We assessed pre- and postchanges in symptoms and neurocognitive functioning of refugee clients participating in a neurofeedback intervention for PTSD. Methods. Clinical data for 13 adult refugees with chronic PTSD who participated in neurofeedback combined with trauma counseling (NFT) was compared with 13 adult refugees placed on a waitlist to receive neurofeedback. Waitlist clients continued to receive trauma counseling alone (TC). NFT was additionally assessed pre- and posttherapy for changes in event-related potentials (ERPs) and behavioral indices of cognitive control using a visual continuous performance task (VCPT). Comparison VCPT data from healthy controls (HC) was available from the Human Brain Index database. Results. Posttherapy, NFT had significantly lower symptoms of trauma, anxiety, and depression compared with TC. NFT demonstrated an increased P3 amplitude and improved behavioral performance suggesting a normalization of cognitive control. Conclusions. These preliminary observations are consistent with a possible benefit of neurofeedback for remediating PTSD. This may be achieved at least partially by an improvement in cognitive control. Further confirmation of the effectiveness of the treatment now requires a randomized controlled trial that considers issues such as placebo response, nonspecific therapist effects, and duration of treatment. ? EEG and Clinical Neuroscience Society (ECNS) 2019.",cognitive control; event-related potentials; neurofeedback; posttraumatic stress disorder; refugee trauma,psychotropic agent; adult; anxious arousal; Article; avoidance behavior; Beck Anxiety Inventory; cognitive behavioral therapy; cognitive control network; commission error; counseling; disorders of higher cerebral function; dorsolateral prefrontal cortex; dysphoric arousal; emotional disorder; error; escape latency; female; generalized anxiety disorder; Harvard Trauma Questionnaire; Hopkins Symptom Checklist; human; Human Brain Index; information processing; major clinical study; male; middle aged; Montreal cognitive assessment; neurofeedback; neuropsychological test; omission error; posttraumatic stress disorder; priority journal; psychoeducation; reaction time; sensorimotor function; sensory motor rhythm; trauma counseling; treatment duration; visual continuous performance task; Wechsler adult intelligence scale,2-s2.0-85066848469
"Ng A., Liu A., Nanan R.",56520912600;34771734100;6603625972;,Association between insulin and post-caesarean resuscitation rates in infants of women with GDM: A retrospective study [GDM孕?中胰?素使用与剖腹?后?儿复?率的?系:一?回?性研究],2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071850873&doi=10.1111%2f1753-0407.12974&partnerID=40&md5=abe605bf066516a8de20039167192b32,"Background: Gestational diabetes mellitus (GDM) and caesarean deliveries independently increase the risk of postoperative complications. There are limited data on the influence of insulin use on the outcomes of neonates who were delivered via caesarean section. We sought to investigate the impact of insulin use in women with GDM on resuscitation rates of infants post caesarean delivery. Methods: A retrospective database review of women with singleton term (? 37 weeks) pregnancies who were on insulin for GDM delivering between January 2005 and December 2014 at a major metropolitan hospital in Sydney. Results: One thousand eight hundred and fifty-seven women with GDM were identified. The mean age was 31.01 ± 5.63 years and mean gestational period of 39.07 ± 1.00 weeks. 31.0% received insulin treatment for GDM. Women who were on insulin were older (31.9 ± 5.7 vs 30.6 ± 5.6 years, P < 0.001), had a higher body mass index (BMI) (31.2 ± 7.7 vs 29.0 ± 7.4 kg/m2, P < 0.001), higher rates of preeclampsia (7.3% vs 4.1%, P = 0.004), lower rates of alcohol consumption (0.4% vs 1.7%, P = 0.014), and had infants with lower resuscitation rates (21.2% vs 28.6%, P = 0.001). Infants who required resuscitation had a lower gestational age, lower five-minute APGAR score, and lower birth weight, length, and head circumferences. On multivariate analysis, women with GDM treated with insulin (odds ratio [OR] = 0.69, CI = 0.54-0.89, P = 0.004), higher gestational age (OR = 0.88, CI = 0.78-0.99, P = 0.032), higher maternal BMI (OR = 1.02, CI = 1.01-1.04, P = 0.005), and emergency caesarean (OR = 2.33, CI = 1.74-3.12, P < 0.001) independently predicted incidence of resuscitation. Conclusions: The findings suggest a relationship between insulin use and reduced resuscitation rates of infants born from mothers with GDM. Further studies investigating the role, dosage, and criteria for insulin use in women with GDM are required. ? 2019 Ruijin Hospital, Shanghai Jiaotong University School of Medicine and John Wiley & Sons Australia, Ltd",caesarean; gestational diabetes mellitus; insulin; resuscitation,alcohol; insulin; adult; age; alcohol consumption; Apgar score; Article; Australia; birth weight; body mass; cesarean section; controlled study; drug use; female; gestation period; gestational age; head circumference; human; incidence; infant; insulin treatment; major clinical study; prediction; preeclampsia; pregnancy diabetes mellitus; priority journal; resuscitation; retrospective study,2-s2.0-85071850873
"West K., Schneider M., Wright C., Beldham-Collins R., Coburn N., Tiver K., Gebski V., Stuart K.E.",57212016398;57204557494;35219495700;25924754900;57213078630;6701658757;16233175200;12773566600;,Radiation-induced oesophagitis in breast cancer: Factors influencing onset and severity for patients receiving supraclavicular nodal irradiation,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071751505&doi=10.1111%2f1754-9485.12943&partnerID=40&md5=b1aba06c7b75b32c37da7c9054a9b749,"Aim: The aim of this study was to determine dosimetric factors, such as mean dose and oesophageal length, which may influence the incidence and severity of oesophagitis in breast cancer patients receiving radiotherapy to the supraclavicular nodes. Methods: This was a single-arm prospective observational study. Toxicity grading was undertaken twice weekly to determine the onset of grade 2 oesophagitis in consecutive patients prescribed IMRT to the breast or chest wall and supraclavicular fossa (SCF) nodes. Recorded variables included mean and maximum doses to the oesophagus, oesophageal length and pharynx length within the treatment area. Multivariate logistic regression and Fishers’ exact test were used with a 0.05 significance level to compare the onset of grade 2 oesophagitis with these variables. Results: A total of 77 patients were included in the study. Twenty-four (31%) patients reported grade 2 oesophagitis. There was a higher incidence of grade 2 oesophagitis in patients receiving a mean oesophageal dose of ?31?Gy compared to those receiving <?31?Gy (18/24 versus 6/24, respectively, P?=?0.025). There was a significant difference in the onset of grade 2 toxicity in patients who had ??1?cm of pharynx included in SCF fields compared with those with <1?cm (15/24 versus 9/24, respectively, P?=?0.0116). The odds ratios for developing grade 2 oesophagitis were 3.2 (95% CI?=?1.05–9.62, P?=?0.04) for a mean dose of ?31?Gy and 3.4 (95% CI?=?1.19–9.5, P?=?0.022) for ?1?cm of pharynx in the SCF field. Conclusion: By limiting the mean dose to the irradiated oesophagus to <31?Gy during the planning process and ensuring that <1?cm of pharynx is included in the radiation field, oesophageal toxicity may be minimised. ? 2019 The Royal Australian and New Zealand College of Radiologists",breast cancer; intensity modulated; oesophagitis; radiotherapy,,2-s2.0-85071751505
"Hoadley B., Gaikwad K., Allen M., Kowalenko N., Chang O.",57021588300;57210844521;57191273270;6507615564;37030615000;,Addressing the specialist workforce CAMH skill-gap: providing and evaluating iCAMH training in Fiji and Papua New Guinea,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071695275&doi=10.1177%2f1039856219866314&partnerID=40&md5=1d74de304116f303919cfa8c6ada193a,"Objective: Child and adolescent mental health problems are common and result in significant morbidity. Whereas in high-income countries there is an established workforce, in lower income countries, such as the Pacific nations, the workforce has little capacity despite a potentially higher population risk of mental disorder. We report on a workforce development effort, a child and adolescent mental health training package. Method: We describe the implementation and evaluation of the International Child and Adolescent Mental Health certificate training in two Pacific nations. Results: Clinicians rated the training positively. Some participants reported concern with teaching materials. Attitudes to child and adolescent mental health were more favourable following the course. A change in knowledge or skill could not be determined. Conclusions: The training seems of value to Pacific clinicians and the framework provides for case-based learning across settings. The training would benefit from the addition of a valid assessment of participant skill and knowledge. The sociocultural and contextual factors are considerations for the content and delivery. Contextually appropriate resources and teaching strategies are important. ? The Royal Australian and New Zealand College of Psychiatrists 2019.",child and adolescent mental health; mental health capacity building; Pacific; the International Association for Child and Adolescent Psychiatry and Allied Professions; workforce,adolescent; Article; attitude; biofeedback; child; child psychiatry; clinical assessment; clinical evaluation; clinical practice; depression; health care planning; health survey; health workforce; human; International Child and Adolescent Mental Health training; learning; medical education; medical specialist; mental disease; mental health; posttraumatic stress disorder; primary medical care; psychosis; questionnaire; skill; suicide risk; teaching; training,2-s2.0-85071695275
"Cabrera S., Smith S., Ryman W.",56536122400;7406649875;6506537815;,Synoptic reporting in Mohs micrographic surgery,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071276013&doi=10.1111%2fajd.13137&partnerID=40&md5=1f525e5cb108fa6672d066eaaf3ba653,"There is currently no standardised reporting format for Mohs surgery with its operation reports mostly written in a narrative form making them prone to unintentional errors and omission of necessary data. Synoptic histology reporting is used to describe excised skin cancers such as melanomas and, more recently, squamous cell and basal cell carcinomas. Since Mohs surgery is utilised as the gold standard treatment for locally invasive squamous and basal cell carcinomas, we propose the use of our model of synoptic reporting to ensure the completeness and consistency of Mohs surgery operation reports. ? 2019 The Australasian College of Dermatologists",Mohs; Mohs micrographic surgery; Mohs surgery; synoptic report; synoptic reporting,,2-s2.0-85071276013
"Mason P.H., Lyttleton C., Marks G.B., Fox G.J.",56123615000;6603604328;7202971580;23472759000;,The technological imperative in tuberculosis care and prevention in Vietnam,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070954266&doi=10.1080%2f17441692.2019.1650950&partnerID=40&md5=dbabf0b576c49f77c10628b027117c8e,"A monocausal bacteriological understanding of infectious disease orients tuberculosis control efforts towards antimicrobial interventions. A bias towards technological solutions can leave multistranded public health and social interventions largely neglected. In the context of globalising biomedical approaches to infectious disease control, this ethnography-inspired review article reflects upon the implementation of rapid diagnostic technology in low- and middle-income countries. Fieldwork observations in Vietnam provided a stimulus for a critical review of the global rollout of tuberculosis diagnostic technology. To address local needs in tuberculosis control, health managers in resource-poor settings are readily cooperating with international donors to deploy novel diagnostic technologies throughout national tuberculosis programme facilities. Increasing investment in new diagnostic technologies is predicated on the supposition that these interventions will ameliorate disease outcomes. However, suboptimal treatment control persists even when accurate diagnostic technologies are available, suggesting that promotion of singular technological solutions can distract from addressing systemic change, without which disease susceptibility, propagation of infection, detection gaps, diagnostic delays, and treatment shortfalls persist. ? 2019, ? 2019 Informa UK Limited, trading as Taylor & Francis Group.",GeneXpert; technology; tuberculosis; Vietnam,Article; delayed diagnosis; disease predisposition; human; investment; middle income country; priority journal; scale up; tuberculosis; tuberculosis control; Viet Nam,2-s2.0-85070954266
"Garbutcheon-Singh K.B., Curchin D.J., McCormack C.J., Smith S.D.",36135290300;57201856721;35548633900;7406649875;,"Trends in the incidence of Merkel cell carcinoma in Victoria, Australia, between 1986 and 2016",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070824502&doi=10.1111%2fajd.13131&partnerID=40&md5=f0cfa7a96ea232fcf0b4ebad7f5b749a,"Background/Objectives: Merkel cell carcinoma (MCC) is a highly invasive cutaneous malignancy. The objective of this study was to investigate the incidence and trends of MCC in Victoria, Australia, between 1986 and 2016. Methods: Population-based, descriptive analysis of Victorian Cancer Registry (VCR) data. The de-identified records of patients with MCC were obtained from Victoria residents diagnosed between 1986 and 2016. Trends in age-standardised incidences were examined using joinpoint analysis. Results: A total of 1095 cases were found. Incidence of MCC was 3.9 per 100?000 for men and 1.5 per 100?000 for women. The incidence of MCC in men 66–85 is increasing at an annual rate of 4.2% (2.8–5.8%, 95% CI). However, since 2002 the incidence in women in the same age group has been decreasing. Whilst there is an overall stabilisation in the incidence of MCC, incidence of MCC for males is increasing. For MCC in males 85?years old and over, the incidence of MCC was 26.8 per 100?000 between 2012 and 2016. Relative 5-year survival for patients diagnosed between 2008 and 2012 is 50%. Conclusion: Merkel cell carcinoma remains an aggressive cancer, especially among older men. Differences in trends seen in local data can help target preventative and early intervention management strategies in specific groups. ? 2019 The Australasian College of Dermatologists",Australia; gender differences; incidences; Merkel cell carcinoma,,2-s2.0-85070824502
