"文獻名稱.","年份","摘要","索引關鍵字"
"Cost-Effectiveness of Reclassifying Triptans in Australia: Application of an Economic Evaluation Approach to Regulatory Decisions",2019,"Background: Migraine is a common, chronic, disabling headache disorder. Triptans, used as an acute treatment for migraine, are available via prescription in Australia. An Australian Therapeutic Goods Administration (TGA) committee rejected reclassifying sumatriptan and zolmitriptan from prescription medicine to pharmacist-only between 2005 and 2009, largely on the basis of concerns about patient risk. Nevertheless, pharmacist-only triptans may reduce migraine duration and free up healthcare resources. Objectives: To estimate the cost-effectiveness of reclassifying triptans from prescription-only to pharmacist-only in Australia. Methods: The study design included decision-analytic modeling combining data from various sources. Behavior before and after reclassification was estimated using medical practitioner and patient surveys and also administrative data. Health outcomes included migraine frequency and duration as well as adverse events (AEs) discussed by the TGA committee. Efficacy and AEs were estimated using randomized controlled trials and observational studies. Results: Reclassifying triptans will reduce migraine duration but increase AEs. This will result in 337 quality-adjusted life-years gained at an increased cost of A$5.9 million over 10 years for all Australian adults older than 15 years (19.6 million). The incremental cost-effectiveness ratio was estimated to be A$17 412/quality-adjusted life-year gained. Conclusions: The incremental cost-effectiveness ratio is likely to be considered cost-effective by Australian decision makers. Serotonin syndrome, a key concern of the TGA committee, had little impact on the results. Further research is needed regarding pharmacist-only triptan use by migraineurs currently using over-the-counter medicines and by nonmigraineurs, the efficacy of triptans, and the risk of cardiovascular and cerebrovascular AEs and chronic headaches with triptans. ? 2019 ISPOR–The Professional Society for Health Economics and Outcomes Research","non prescription drug; prescription drug; triptan derivative; non prescription drug; oxazolidinone derivative; prescription drug; serotonin 1 agonist; sumatriptan; tryptamine derivative; zolmitriptan; adolescent; adult; age; angina pectoris; Article; Australia; cost effectiveness analysis; death; disease duration; dizziness; drug classification; drug cost; drug induced headache; drug substitution; drug withdrawal; fatigue; gastrointestinal toxicity; heart arrhythmia; human; major clinical study; migraine; patient risk; pharmacist; prescription; priority journal; quality adjusted life year; randomized controlled trial (topic); side effect; thorax pain; transient ischemic attack; classification; cost benefit analysis; drug control; economics; general practitioner; migraine; procedures; trends; Australia; Cost-Benefit Analysis; Drug and Narcotic Control; General Practitioners; Humans; Migraine Disorders; Nonprescription Drugs; Oxazolidinones; Pharmacists; Prescription Drugs; Serotonin 5-HT1 Receptor Agonists; Sumatriptan; Tryptamines"
"A School-Based Comprehensive Intervention for Childhood Obesity in China: A Cluster Randomized Controlled Trial",2019,"Background: A comprehensive approach involving both environmental and individual strategies offers opportunities to strengthen school-based interventions for childhood obesity. Objectives: To evaluate a theory-based comprehensive intervention implemented within primary schools for childhood obesity in China. Methods: A 1-year, cluster randomized controlled trial was conducted in twelve primary schools (7-11 years old) in Beijing, China. Environmental and individual factors were improved in the intervention group (6 schools, 930 children) to promote knowledge and behaviors related to energy balance. The control group (6 schools, 959 children) did not receive any intervention. The primary outcome was body mass index (BMI) and its Z-score at 12 months. Generalized linear mixed models were used controlling for the cluster effect of school. Results: No significant differences were found between groups on BMI (0.07 kg/m 2 [95% confidence interval (CI) -0.16 to 0.31, p = 0.54]) and its Z-score (0.02 [95% CI: -0.08 to 0.11, p = 0.73]) at 12 months. Self-reported knowledge, daily consumption of sugar-sweetened beverage, and frequency of moderate to vigorous physical activity improved at 12 months. Conclusions: The intervention did not mitigate excess weight gain, but did improve children's knowledge and several behaviors related to energy balance. ? 2019, Mary Ann Liebert, Inc.",""
"Maternal smoking early in pregnancy is associated with increased risk of short stature and obesity in adult daughters",2019,"We assessed anthropometry in 22,421 adult daughters in association with their mothers’ tobacco smoking early in pregnancy (at their first antenatal visit) in Sweden, particularly their risk of short stature and obesity. Adult daughters were grouped by maternal smoking levels during pregnancy: Non-smokers (58.5%), Light smokers (24.1%; smoked 1–9 cigarettes/day), and Heavier smokers (17.4%; smoked ?10 cigarettes/day). Anthropometry was recorded on the adult daughters at approximately 26.0 years of age. Obesity was defined as BMI ?30 kg/m 2 , and short stature as height more than two standard deviations below the population mean. Daughters whose mothers were Light and Heavier smokers in early pregnancy were 0.8 cm and 1.0 cm shorter, 2.3 kg and 2.6 kg heavier, and had BMI 0.84 kg/m 2 and 1.15 kg/m 2 greater, respectively, than daughters of Non-smokers. The adjusted relative risk of short stature was 55% higher in women born to smokers, irrespectively of smoking levels. Maternal smoking had a dose-dependent association with obesity risk, with offspring of Heavier smokers 61% and of Light smokers 37% more likely to be obese than the daughters of Non-smokers. In conclusion, maternal smoking in pregnancy was associated with an increased risk of short stature and obesity in their adult daughters. ? 2019, The Author(s).",""
"National guidelines for bronchiolitis",2019,"[無可用摘要]","antibiotic agent; beta 2 adrenergic receptor stimulating agent; epinephrine; glucocorticoid; respiratory syncytial virus vaccine; sodium chloride; Asian; Australian; bronchiolitis; consultation; disease course; emergency physician; general practitioner; human; immunoprophylaxis; Letter; medical care; medical documentation; medical specialist; New Zealand; pediatrician; practice guideline; priority journal; respiratory syncytial virus infection"
"Influence of altered geometry and material properties on tissue stress distribution under load in tendinopathic Achilles tendons – A subject-specific finite element analysis",2019,"Achilles tendon material properties and geometry are altered in Achilles tendinopathy. The purpose of this study was to determine the relative contributions of altered material properties and geometry to free Achilles tendon stress distribution during a sub-maximal contraction in tendinopathic relative to healthy tendons. Tendinopathic (n = 8) and healthy tendons (n = 8) were imaged at rest and during a sub-maximal voluntary isometric contraction using three-dimensional freehand ultrasound. Images were manually segmented and used to create subject-specific finite element models. The resting cross-sectional area of the free tendon was on average 31% greater for the tendinopathic compared to healthy tendons. Material properties for each tendon were determined using a numerical parameter optimisation approach that minimised the difference in experimentally measured longitudinal strain and the strain predicted by the finite element model under submaximal loading conditions for each tendon. The mean Young's modulus for tendinopathic tendons was 53% lower than the corresponding control value. Finite element analyses revealed that tendinopathic tendons experience 24% less stress under the same submaximal external loading conditions compared to healthy tendons. The lower tendon stress in tendinopathy was due to a greater influence of tendon cross-sectional area, which alone reduced tendon stress by 30%, compared to a lower Young's modulus, which alone increased tendon stress by 8%. These findings suggest that the greater tendon cross-sectional area observed in tendinopathy compensates for the substantially lower Young's modulus, thereby protecting pathological tendon against excessive stress. ? 2018","Elastic moduli; Finite element method; Geometry; Strain; Stress analysis; Stress concentration; Ultrasonics; Achilles tendinopathy; Cross sectional area; Isometric contractions; Longitudinal strain; Numerical parameters; Relative contribution; Tendinopathy; Von Mises; Tendons; achilles tendinitis; achilles tendon; adult; Article; clinical article; comparative study; controlled study; female; finite element analysis; human; image segmentation; male; muscle isometric contraction; muscle mass; priority journal; tendon stress; three dimensional imaging; triceps surae muscle; Young modulus; biological model; biomechanics; case control study; finite element analysis; mechanical stress; pathology; pathophysiology; tendinitis; weight bearing; Achilles Tendon; Adult; Biomechanical Phenomena; Case-Control Studies; Elastic Modulus; Finite Element Analysis; Humans; Male; Patient-Specific Modeling; Stress, Mechanical; Tendinopathy; Weight-Bearing"
"The Use of a Brief, Active Visualisation Intervention to Improve Adherence to Antiretroviral Therapy in Non-adherent Patients in South Africa",2019,"Non-adherence remains the largest cause of treatment failure to antiretroviral therapy (ART). Despite having the largest HIV pandemic, few successful adherence interventions have been conducted in South Africa. Active visualisation is a novel intervention approach that may help effectively communicate the need for consistent adherence to ART. The current study tested an active visualisation intervention in a sample of non-adherent patients. 111 patients failing on first- or second-line ART were recruited from two sites in the Western Cape, South Africa. Participants were randomly allocated to receive the intervention or standard care (including adherence counselling). The primary outcome was adherence as measured by plasma viral load (VL). There was a clinically significant difference (p = 0.06) in VL change scores between groups from baseline to follow-up, where the intervention had a greater decrease in log VL (Madj = ? 1.92, CI [? 2.41, ? 1.43), as compared to the control group (Madj = ? 1.24, [? 1.76, ? 0.73]). Participants in the intervention group were also significantly more likely to have a 0.5 log improvement in VL at follow-up (χ(1)2 = 4.82, p = 0.028, ? = 0.28). This study provides initial evidence for the utility of this novel, brief intervention as an adjunct to standard adherence counselling, for improving adherence to ART. ? 2018, Springer Science+Business Media, LLC, part of Springer Nature.","adult; antiretroviral therapy; article; controlled study; counseling; female; follow up; human; human tissue; major clinical study; male; outcome assessment; plasma; randomized controlled trial; South Africa; treatment failure; virus load; blood; drug effect; highly active antiretroviral therapy; Human immunodeficiency virus infection; medication compliance; middle aged; patient compliance; South Africa; virology; virus load; anti human immunodeficiency virus agent; virus RNA; Adult; Anti-HIV Agents; Antiretroviral Therapy, Highly Active; Counseling; Female; HIV Infections; Humans; Male; Medication Adherence; Middle Aged; Patient Compliance; RNA, Viral; South Africa; Treatment Failure; Viral Load"
"New Zealand health system: universalism struggles with persisting inequities",2019,"New Zealand was one of the first countries to establish a universal, tax-funded national health service. Unique features include innovative M?ori services, the no-fault accident compensation scheme, and the Pharmaceutical Management Agency, which negotiates with pharmaceutical companies to get the best value for medicines purchased by public money. The so-called universal orientation of the health system, along with a strong commitment to social service provision, have contributed to New Zealand's favourable health statistics. However, despite a long-standing commitment to reducing health inequities, problems with access to care persist and the system is not delivering the promise of equitable health outcomes for all population groups. Primary health services and hospital-based services have developed largely independently, and major restructuring during the 1990s did not produce the expected efficiency gains. A focus on individual-level secondary services and performance targets has been prioritised over tackling issues such as suicide, obesity, and poverty-related diseases through community-based health promotion, preventive activities, and primary care. Future changes need to focus on strengthening the culture and capacity of the system to improve equity of outcomes, including expanding M?ori health service provision, integrating existing services and structures with new ones, aligning resources with need to achieve pro-equity outcomes, and strengthening population-based approaches to tackling contemporary drivers of health status. ? 2019 Elsevier Ltd","accident; child care; funding; health care; health care disparity; health insurance; health personnel attitude; human; New Zealand; non profit organization; pharmaceutical care; primary health care; priority journal; Review; secondary health care; economics; financial management; government; health care delivery; New Zealand; organization and management; public health; statistics and numerical data; Financing, Government; Government Programs; Health Services Accessibility; Humans; National Health Programs; New Zealand; Universal Health Insurance"
"Stigma and the in(visible) perspectives and expectations of home oxygen therapy among people with chronic breathlessness syndrome: A qualitative study",2019,"Background: Chronic breathlessness syndrome in the context of advancing disease is distressing for all concerned. Oxygen is commonly prescribed in this setting; however, little is known about the perspectives of breathless people who either are on oxygen or are yet to have it prescribed. Aim: To understand and describe the perspectives and experiences of breathless people towards oxygen use at home. Design: This qualitative study utilised an interpretive description approach using semi-structured interviews and thematic analysis. Setting/participants: A total of 19 people with chronic breathlessness syndrome living in South Australia participated in semi-structured interviews. Participants were divided into sub-groups according to whether they were chronically breathless and (1) not using home oxygen (n = 6), (2) using funded home oxygen for severe hypoxaemia (n = 7) and (3) using home oxygen for palliation outside of funding guidelines (n = 6). Results: Three main themes were identified: (1) managing distress and living with chronic breathlessness syndrome, with or without oxygen, requires a range of self-management strategies; (2) expectations of oxygen use: ‘Not as good as I thought it would be’; and (3) the stigma of using oxygen: the visible and invisible. Conclusion: People living with chronic breathlessness struggle daily with both the progression of the underlying disease and the distressing nature of the syndrome. While oxygen does provide benefit for some people, its use and the perceptions of its use are often associated with both the visible and invisible manifestations of stigma. Clinicians need to promote self-management strategies and give careful thought to the prescribing of home oxygen, especially outside the current funding guidelines. ? The Author(s) 2018.","oxygen; adult; Article; chronic disease; clinical article; dyspnea; education program; female; home oxygen therapy; human; hypoxemia; male; palliative therapy; quality of life; semi structured interview; stress; age; aged; chronic disease; comparative study; dyspnea; home care; middle aged; oxygen therapy; psychology; qualitative research; social stigma; South Australia; very elderly; Adult; Age Factors; Aged; Aged, 80 and over; Chronic Disease; Dyspnea; Female; Home Nursing; Humans; Male; Middle Aged; Oxygen Inhalation Therapy; Qualitative Research; Social Stigma; South Australia"
"Acceptance and Cognitive Reappraisal as Regulation Strategies for Symptom Annoyance in Individuals with Medically Unexplained Physical Symptoms",2019,"Emotion processing has been demonstrated to have a strong impact on somatic symptom perception. In the current quasi-experimental trial associations between the application of emotion regulation strategies and symptom-related outcomes were examined in subjects with medically unexplained physical symptoms (MUS; n = 48) and in mentally healthy individuals (n = 48). Somatic symptoms were repeatedly induced four times in both samples. After each symptom induction, participants were instructed to apply another of four emotion regulation strategies. Symptom-related outcomes were rated before and after a strategy was applied. Hierarchical linear models showed that in the MUS group cognitive reappraisal was significantly and acceptance was marginally associated with lower symptom annoyance scores compared with compassionate self-support. In healthy subjects distraction was associated with better mood scores compared with compassionate self-support. Future research should examine the effects of acceptance and cognitive reappraisal strategies applied by MUS subjects over a longer period of time. ? 2018, Springer Science+Business Media, LLC, part of Springer Nature.","adult; annoyance; article; clinical article; controlled study; emotionality; female; human; human experiment; male; medically unexplained symptom; mood"
"Stability of vincristine sulfate, doxorubicin hydrochloride and etoposide phosphate admixtures in polyisoprene elastomeric pump supporting transition of the EPOCH regimen to outpatient care",2019,"Background: The EPOCH regimen, consisting of vincristine sulfate, doxorubicin hydrochloride, and etoposide phosphate, is typically administered by continuous infusion over four days to oncology inpatients. If the EPOCH regimen was available to be administered through portable elastomeric pumps, chemotherapy could be transitioned to an outpatient setting, reducing inpatient bed days and overall healthcare costs. However, a lack of stability data for the admixtures in the elastomeric infusion devices currently prevents the transition of the regime to an outpatient setting. The purpose of this study is to determine the physical and chemical stability of the admixture in polyisoprene elastomeric pumps under different storage conditions to support the transition of the EPOCH regime to an outpatient setting. Methods: The physico-chemical stability of three admixtures at a range of clinically relevant concentrations compounded in polyisoprene elastomeric infusors was determined when refrigerated at 2–6℃ over a 14-day period followed by 35℃ up to 7 days in the dark, and under standardized fluorescent light to simulate scenarios in clinical practice. Results: All tested admixtures were compatible and the drugs were stable in the elastomeric infusors for up to 14 days when stored at 2–6℃ followed by 7 days at 35℃ in the dark, with nominal losses of <5%. The major degradant of etoposide phosphate was its active form etoposide. There was no degradation (<1% loss) found when the admixture was exposed to a standardized fluorescent light dose of 80 klux-h (25℃) for 10 h. The temperature and light conditions the infusors were exposed to during the stability study were more severe than the conditions determine during clinical administration. Conclusion: The extended stability of the three infusional admixtures compounded in elastomeric infusion pumps demonstrated herein permits advance preparation and storage of these drugs, reducing pharmacy compounding resources. The demonstrated stability at 35℃ and under light exposure, conditions more severe than those experienced during clinical practice, support continuous infusions for up to seven days from the elastomeric infusors without a loss of potency. The proven stability of the EPOCH regimens in the tested elastomeric infusion device supports the transition of treatment to an outpatient setting which will reduce inpatient bed days and overall healthcare costs. ? The Author(s) 2018.","doxorubicin; etoposide phosphate; isoprene; polyisoprene; unclassified drug; vincristine sulfate; antineoplastic agent; doxorubicin; elastomer; etoposide; etoposide phosphate; organophosphorus compound; vincristine; Article; drug stability; fluorescent lighting; outpatient care; physical chemistry; priority journal; temperature measurement; ambulatory care; analogs and derivatives; chemistry; drug stability; human; infusion pump; Ambulatory Care; Antineoplastic Combined Chemotherapy Protocols; Doxorubicin; Drug Stability; Elastomers; Etoposide; Humans; Infusion Pumps; Organophosphorus Compounds; Vincristine"
