"文獻名稱.","年份","摘要","索引關鍵字"
"Sanitation, open defecation, and Diarrhea in Tangerang, Banten, Indonesia, in early 2017: A cross-sectional epidemiological study",2019,"Sanitasi Total Berbasis Masyarakat (STBM), an Indonesian program adopted from Community-Led Total Sanitation, only 17.3% of urban villages in Tangerang, Banten, Indonesia, are open defecation-free. Tangerang has the third highest incidence rate of diarrhea in Banten. This cross-sectional epidemiological study aims to establish a correlation among sanitation, open defecation, and diarrhea to determine the impact of the STBM program, particularly in Tangerang. We obtained open defecation and sanitation data of 104 urban villages from the STBM website of the Ministry of Health. In addition, diarrhea data from January 2017 to June 2017 were obtained from surveillance epidemiology data of the Ministry of Health. We statistically analyzed data using correlation analysis. The results revealed a significant negative correlation (P = 0.0005) between open defecation and sanitation access (r = -0.975). However, no significant correlation was established between diarrhea and sanitation access (r = -0.102) and between diarrhea and open defecation (r = 0.124), suggesting a significant correlation between open defecation and sanitation. Thus, all five pillars (i.e., no open defecation, hand washing, water safety, graywater treatment, and waste management) of the STBM should be executed simultaneously to assess the impact of health-related problems, particularly diarrhea. ? 2019 Journal of International Dental and Medical Research.",""
"Spousal communication on family planning and contraceptive adoption in Indonesia",2019,"Background: This study assesses the degree of spousal communication on family planning associated with contraceptive adoption in Indonesia. Method: The analysis of this study was derived from the 2012 Indonesia Demographic and Health Survey (IDHS). This study utilizes both bivariate and logistic regressions. Results: Findings indicate that 53.3% of respondents had never communicated family planning with their spouses while 46.7% of respondents had communicated before. About 31.3% male respondents were more likely to use contraception if they had discussions on family planning with their spouses. Multiple logistic regression analyses revealed that spousal communication is highly associated with region of residence (OR=1.5; 95% CI=1.4-1.8), exposure of family planning message through television (OR=1.8; 95% CI=1.6-2.0), and contraceptive use (OR=1.8; 95% CI=1.5-2.0). Recommendation: Family planning discussion appears to increase mutual agreement regarding childbearing and contraceptive use among couples. In Indonesia, an intensive effort to target men is needed to both enhance the spousal communication and adopt contraception. ? 2019, Indian Journal of Public Health Research and Development. All rights reserved.","Article; contraception; contraceptive behavior; decision making; education; family planning; female; health survey; human; interpersonal communication; knowledge; major clinical study; male; marriage; prevalence; reproductive health"
"Autologous mesenchymal stem cell application for cartilage defect in recurrent patellar dislocation: A case report",2019,"Introduction: Recurrent patellar dislocation can lead to articular cartilage injury. We report a 21-year old male with left patella instability and articular cartilage defect. Presentation of case: A 21-year-old male presented with left patellar instability and pain. Knee range of motion (ROM) was limited when patella was dislocated (0–20°). The J-sign positive, patellar apprehension test was positive, with medial patella elasticity/patellar glide >2 quadrants. The Q angle, in the 90° flexed knee position was still normal. The plain radiograph imaging showed no abnormality. Insall-Salvati index was 1.12. The patient was diagnosed with recurrent patellar dislocation and cartilage lesion of the left knee, and was treated with combining Fulkerson osteotomy with the lateral retinacular release and percutaneous medial plication, followed by microfracture procedure and MSCs implantation. Discussion: Recurrent patellar dislocation is uncommon problem while cartilage lesions following recurrent patellar dislocations are quite common, but still no consensus on the management. Conclusion: Combination of Fulkerson osteotomy with the lateral retinacular release and percutaneous medial plication was effective in treating chronic patellar instability. The microfracture procedure and MSCs implantation was safe and could improve the cartilage regeneration in patients with articular cartilage defect due to recurrent patellar dislocation. ? 2019 The Authors","adult; Article; autologous stem cell transplantation; bone marrow biopsy; cartilage; case report; cauterization; clinical article; connective tissue disease; disease duration; dissection; exercise; human; human cell; human tissue; international knee documentation committee score; knee arthroscopy; knee instability; knee pain; male; mesenchymal stem cell transplantation; microfracture; osteotomy; patella dislocation; physical examination; postoperative care; priority journal; range of motion; recurrent disease; stair climbing; tibial tuberosity; young adult"
"Barriers and technologies of maternal and neonatal referral system in developing countries: A narrative review",2019,"There is a lack of studies concerning the maternal and neonatal referral system in troubled contexts, and the number of maternal and neonatal mortality deaths is considered high in developing countries. This study aims to understand the current conditions of the maternal and neonatal referral system in developing countries, in the context of barriers and technologies. We conducted a narrative literature review based on journals and conference papers in the last five years (2014–2018)from selected databases (MEDLINE, CINAHL, Science Direct, Scopus, Wiley Online, PMC, and ProQuest). The results of the study selection show that 40 studies identified barriers or challenges in maternal or neonatal referral systems, and eight studies discussed technology to support referral. Based on the results, barriers in maternal and neonatal referral systems can be divided into two main factors: 1. the healthcare system and 2. the patient. Some technologies are used in developing countries to support maternal and neonatal referral. However, these technologies still do not address all of the barriers described in the referral system. A study from different perspectives is needed, such as community involvement or government programs, to improve the current conditions of the maternal and neonatal referral system. ? 2019","article; Cinahl; death; developing country; female; government; health care system; human; Medline; narrative; newborn; patient referral; ScienceDirect; Scopus"
"Hypercholesterolemia as the first manifestation of metabolic abnormalities in normoglycemic young adult male with family history of type 2 diabetes mellitus",2019,"Background: Although several studies reported high number of metabolic disorder among First Degree Relatives (FDR) of Type 2 Diabetes Mellitus (T2DM), only a few studies analyzed the impact of gender on the occurence of metabolic abnormalities. Aims: This study aimed to investigate the first manifestation of metabolic abnormalities in normoglycemic FDR of T2DM. Methods and materials: This cross-sectional study recruited 60 FDR of T2DM age of 19–39 years old in Jakarta, Indonesia. We matched 60 non-FDR as controls. All participants had neither glucose intolerance nor hypertension. Anthropometry, body composition and laboratory measurements (blood glucose, HbA1c, lipid profile, liver and kidney function test) were assessed. Results: In males, FDR aged 30–39 years old had higher Total Cholesterol (TC) level ([233 ± 51.43 mg/dL vs. 177.83 ± 22.08 mg/dL, p = 0.036] and Low Density Lipoprotein Cholesterol (LDL-C) level [173.83 ± 39.83 mg/dL vs. 125.67 ± 21.50 mg/dL, p = 0.026] than those of non-FDR significantly. FDR also had higher risk of hypercholesterolemia than non-FDR [OR 5.25 (1.09–25.21)]. There were no differences of metabolic abnormalities between female FDR and non-FDR group. Conclusion: Male FDR of T2DM showed higher level of TC and LDL-C level than those of non FDR. Male FDR also showed higher risk of dyslipidemia. ? 2019 Diabetes India","hemoglobin A1c; lipid; low density lipoprotein cholesterol; biological marker; glycosylated hemoglobin; hemoglobin A1c protein, human; lipid; adult; anthropometry; Article; body composition; cholesterol blood level; controlled study; cross-sectional study; family history; female; first-degree relative; glucose blood level; high risk population; human; hypercholesterolemia; Indonesia; kidney function test; laboratory test; liver function test; major clinical study; male; metabolic disorder; non insulin dependent diabetes mellitus; priority journal; young adult; blood; body mass; follow up; genetic predisposition; genetics; hypercholesterolemia; incidence; metabolic syndrome X; non insulin dependent diabetes mellitus; pathophysiology; prognosis; risk factor; Adult; Biomarkers; Blood Glucose; Body Mass Index; Cross-Sectional Studies; Diabetes Mellitus, Type 2; Female; Follow-Up Studies; Genetic Predisposition to Disease; Glycated Hemoglobin A; Humans; Hypercholesterolemia; Incidence; Indonesia; Lipids; Male; Metabolic Syndrome; Prognosis; Risk Factors; Young Adult"
"Cotrimoxazole prophylaxis decreases tuberculosis risk among Asian patients with HIV",2019,"Introduction: Cotrimoxazole (CTX) is recommended as prophylaxis against Pneumocystis jiroveci pneumonia, malaria and other serious bacterial infections in HIV-infected patients. Despite its in?vitro activity against Mycobacterium tuberculosis, the effects of CTX preventive therapy on tuberculosis (TB) remain unclear. Methods: Adults living with HIV enrolled in a regional observational cohort in Asia who had initiated combination antiretroviral therapy (cART) were included in the analysis. Factors associated with new TB diagnoses after cohort entry and survival after cART initiation were analysed using Cox regression, stratified by site. Results: A total of 7355 patients from 12 countries enrolled into the cohort between 2003 and 2016 were included in the study. There were 368 reported cases of TB after cohort entry with an incidence rate of 0.99 per 100?person-years (/100?pys). Multivariate analyses adjusted for viral load (VL), CD4 count, body mass index (BMI) and cART duration showed that CTX reduced the hazard for new TB infection by 28% (HR 0.72, 95% CI l 0.56, 0.93). Mortality after cART initiation was 0.85/100?pys, with a median follow-up time of 4.63?years. Predictors of survival included age, female sex, hepatitis C co-infection, TB diagnosis, HIV VL, CD4 count and BMI. Conclusions: CTX was associated with a reduction in the hazard for new TB infection but did not impact survival in our Asian cohort. The potential preventive effect of CTX against TB during periods of severe immunosuppression should be further explored. ? 2019 The Authors. Journal of the International AIDS Society published by John Wiley & Sons Ltd on behalf of the International AIDS Society.","anti human immunodeficiency virus agent; cotrimoxazole; antiretrovirus agent; cotrimoxazole; adult; antiretroviral therapy; Article; Asia; body mass; CD4 lymphocyte count; cohort analysis; female; follow up; hepatitis B; hepatitis C; human; Human immunodeficiency virus; Human immunodeficiency virus infected patient; Human immunodeficiency virus infection; major clinical study; male; mixed infection; observational study; priority journal; survival; treatment duration; treatment interruption; tuberculosis; virus load; complication; middle aged; mortality; tuberculosis; Adult; Anti-HIV Agents; Anti-Retroviral Agents; Asia; Cohort Studies; Female; HIV Infections; Humans; Male; Middle Aged; Trimethoprim, Sulfamethoxazole Drug Combination; Tuberculosis; Viral Load"
"Tuberculosis detection analysis using texture features on CXRs images",2019,"Tuberculosis (TB) is one of the most common diseases in developing countries such as Indonesia. TB disease oftenly attacks the human lungs due to its high oxygen pressure. The basic characteristics of TB-infected lungs are in the form of wounds, which change its texture and shape. The common detection method is by comparing the X-ray thoracic image with the tuberculin skin test (TST) and fast acid staining methods. This diagnosis method is often constrained by the availability of radiologists in the health facilities. To overcome such situation, a computer-aided diagnosis (CAD) tool is required to assist the doctor read the X-ray images easily. In this paper, a complementary detection method is proposed by using a chest X-ray (CXR) image to assist the diagnosis process. In current method, the image is segmented to reduce unnecessary parts prior to preprocessing step. We use a texture-based feature approach for detection purpose because most of the common examination methods for abnormality detection on CXRs is by analyzing the change of textural (content) CXR. In our texture approach, we use texture-based statistical properties on the histogram's intensity. Some features that are used in this approach including Mean, Standard Deviation, Smoothness, Entropy, Root Mean Square (RMS), Variance, Kurtosis, Skewness, and Inverse Difference Moment (IDM). As a result of simulation, it indicates that CXR images can be well segmented to localize the focus area, allowing to the features can be extracted from the CXR image for further detection process. The obtained accuracy is about 93.94% and 92.86%, respectively for Shenzhen-Chest X-ray dataset and Montgomery County-Chest X-ray dataset. ? 2019 Author(s).",""
"Impact of smoking on frequency and spectrum of K-RAS and EGFR mutations in treatment naive indonesian lung cancer patients",2019,"Background: Indonesia has the highest cigarette consumption in the world. We explored the clinical impact of smoking on the prevalence of EGFR and K-RAS mutations and survival in this prospective study. Methods: 143 treatment naive lung cancer patients were recruited from Persahabatan Hospital, a national tertiary hospital. DNA from cytological specimens had been extracted and genotyped for both EGFR and K-RAS mutations using a combination of PCR high resolution melting, restriction fragment length polymorphism (RFLP) and direct DNA sequencing. Results: EGFR mutation frequency in never smokers (NS) and ever smokers (ES) were 75% and 56% (p = 0.0401), respectively. In this cohort, the overall K-RAS mutation rate was 7%. Neither gender nor smoking history were associated with K-RAS mutation significantly. However, K-RAS transversion mutations were more common in male ES than transition mutations. Smoking history did not affect EGFR and K-RAS mutation frequencies in women. Concurrent EGFR/K-RAS mutation rate was 2.8% (4 of 143 patients). Four out of 91 EGFR mutation positive patients (4.4%) had simultaneous K-RAS mutation. Conclusions: In region where cigarette consumption is prevalent, smoking history affected frequencies of EGFR and K-RAS mutations, mainly in males. ? 2019 Masykura et al.","epidermal growth factor receptor; K ras protein; adult; aged; Article; cancer survival; cigarette smoking; controlled study; DNA extraction; DNA sequence; EGFR gene; exon; female; gene frequency; gene mutation; human; Indonesian; lung cancer; major clinical study; male; mutation rate; oncogene K ras; prevalence; restriction fragment length polymorphism; sex difference"
"Mathematical analysis of a tuberculosis transmission model with vaccination in an age structured population",2019,"This article presents a mathematical model of Tuberculosis (TB) transmission considering BCG vaccination in an age- structured population. We used several strategies to simulate the TB dynamic and evaluate the potential impact on active TB. We developed a deterministic compartmental model where the population was distributed into seven compartments, i.e., susceptible individuals that can be vaccinated (S 1 ) and can't be vaccinated (S 2 ), vaccinated (V), slow (L) and fast (E) exposed, infectious (I), and recovery (R). The mathematical model analysis was done by determining the equilibrium points, the Basic Reproduction Number (R 0 ) of the model, and analysing the stability of the equilibrium point. Some numeric interpretations were given by sensitivity vaccination parameters and percentage vaccine protection to the value of R 0 and autonomous model simulations. We find that to reach TB free condition is not enough by maximising one of the vaccination parameters for newborn, adults or percentage vaccine protection. We also find that vaccination into the adult population is more effective to suppress TB spread rather than newborn. ? 2019 Author(s).",""
"Family experience in facilitating adolescents during self-identity development in ex-localization in Indonesia",2019,"Background: Self-identity is a personal reflection that is consistent and covers various individual aspects, such as job/career, spirituality, relations, intellectuality, sexuality, culture, interests, personality, and physical identity. The increasing level of juvenile delinquency worldwide, including in Indonesia, is a manifestation of unsuccessful identity development in adolescents. Self-identity development is inseparable from family influence. This study aimed to explore the experiences of families in facilitating their adolescents during self-identity development while living in ex-localization. Methods: This study used a descriptive qualitative design and involved 12 participants. Data were collected through in-depth interviews and analyzed using thematic analysis. Results: This study resulted in five themes: the identity achievement of adolescents living in ex-localization is similar to that of adolescents in general; the domination of external barriers during identity achievement; ex-localization as a stressor; families' efforts to facilitate their adolescents during identity achievement; and family expectations for the future. Conclucions: This study highlights the importance of improving family awareness of adolescents' identity achievement when living in ex-localization with the help of nursing mental health professionals. ? 2019 The Author(s).","achievement; adolescent; article; awareness; clinical article; expectation; female; human; human experiment; identity; Indonesia; interview; juvenile delinquency; male; mental health care personnel; nursing; thematic analysis"
