"文獻名稱.","年份","摘要","索引關鍵字"
"Penicillin G sodium as a treatment of otosyphilis with hearing loss",2019,"Otosyphilis is one contributing cause of hearing loss in adult patients. There are limited studies on the treatment regimens of otosyphilis. Penicillin G sodium (PGS) plus additional medications, such as benzathine penicillin and probenecid, is an effective regimen. This study investigated the efficacy of PGS alone for the treatment of otosyphilis. We conducted a retrospective study and included all consecutive patients diagnosed with otosyphilis who received only PGS treatment. The study period was from 2009 to 2013. The PGS treatment regimen was PGS 4 mu intravenously every four hours (24 mu/day) for 14 days. Clinical and audiogram outcomes were evaluated one year after treatment. There were 34 otosyphilis patients that were treated with PGS. After one year of treatment, 18 patients (52.9%) had a clinical improvement and 11 patients (32.4%) had an audiogram improvement. In conclusion, PGS at 24 mu/day for two weeks provided an audiogram improvement one year after treatment in one-third of the patients. ? 2019 by the authors. Licensee MDPI, Basel, Switzerland.","penicillin G sodium; aged; Article; audiography; cerebrospinal fluid analysis; clinical article; hearing impairment; hemagglutination test; human; leukocyte count; male; otosyphilis; otosyphilis; priority journal; retrospective study; syphilis; Treponema pallidum; venereal disease reaction test"
"Mung bean-derived protein protects against neurodegeneration and memory impairment in animal model of menopause with obesity",2019,"Background: Menopause related neurodegeneration and memory impairment in obesity condition is increasing. Therefore, the neuroprotectant and cognitive enhancer against the mentioned disorder is required. Objective: In the present study, we aimed to assess the effect of mung bean protein supplement on the neuroprotective and cognitive enhancing effects which was investigated in bilateral ovariectomized (OVX) rats with obesity. Material and Methods: Female Wistar rats, weighing 180 to 200 g, were induced experimental menopause by bilateral ovariectomy and then they were induced obesity with high-fat diet. Ovariectomized (OVX) rats with obesity were fed with a high fat diet (HFD) containing 15% mung bean for 8 weeks. The assessments of spatial memory and biochemical profiles, oxidative stress status and apoptosis in the brain together with the serum lipid profiles were determined at the end of treatment. Results: The results showed that mung bean protein treatment improved spatial memory in Morris water maze test. The acetylcholinesterase (AChE) activity and malondialdehyde (MDA) level in the hippocampus of OVX rats with obesity which received mung bean protein were decreased. The density of Bax+ cells decreased, but the density of Bcl+ cells in the hippocampus increased. Conclusion: Therefore, mung bean protein is the potential neuroprotectant and cognitive enhancer. The possible underlying mechanism might occur partly via the improvement of cholinergic function, oxidative stress status, and apoptosis. However, the clinical trial study was still necessary to confirm this effect. ? JOURNAL OF THE MEDICAL ASSOCIATION OF THAILAND| 2019.","acetylcholinesterase; isoflavone; malonaldehyde; mung bean protein; plant protein; unclassified drug; adult; animal experiment; animal model; animal tissue; Article; biochemical analysis; controlled study; enzyme activity; female; hippocampus; histology; immunohistology; lipid blood level; lipid diet; mass fragmentography; memory disorder; menopause; Morris water maze test; mung bean; nerve degeneration; neurologic disease assessment; neuroprotection; nonhuman; obesity; ovariectomy; oxidative stress; rat; spatial memory"
"Influence of CYP3A5 and SLCO1B1 polymorphisms on atazanavir/r concentrations in Thai HIV-infected patients",2019,"Aim: To evaluate the influence of genetic polymorphisms on plasma trough concentrations of atazanavir (ATV) and ritonavir (RTV). Patients & methods: The concentration-to-dose ratios were compared between different genotype groups of CYP3A5, ABCB1, SLCO1B1 and NR1I2 in 490 patients. Multiple regression analysis was used to examine the association between genetic and clinical factors and log-transformed concentration-to-dose ratio of ATV and RTV. Results: Higher concentrations of ATV and RTV were significantly associated with CYP3A5 6986 GG and SLCO1B1 521 TC or CC. Female patients had significantly higher ATV plasma concentration than male patients. Conclusion: Genetic polymorphisms and gender are factors affecting the variability of ATV and RTV concentrations in the Thai population. Thus, genetic testing is worth considering when atazanavir + low dose ritonavir is prescribed. ? 2019 Future Medicine Ltd.","atazanavir; atazanavir plus ritonavir; cytochrome P450 3A5; genomic DNA; multidrug resistance protein 1; pregnane X receptor; ritonavir; solute carrier organic anion transporter 1B1; ABCB1 gene; adult; aged; Article; controlled study; cross-sectional study; CYP3A5 gene; drug blood level; female; gene frequency; genetic association; genetic polymorphism; genotype; human; Human immunodeficiency virus infection; major clinical study; male; NR1I2 gene; pharmacogenetics; sex difference; SLCO1B1 gene; Thai (people); trough concentration"
"Vaccination of hamsters with opisthorchis viverrini extracellular vesicles and vesicle-derived recombinant tetraspanins induces antibodies that block vesicle uptake by cholangiocytes and reduce parasite burden after challenge infection",2019,"Background The liver fluke Opisthorchis viverrini infects several million people in Southeast Asia. Adult flukes live in the bile ducts of humans, where they cause hepatobiliary pathology, including cholangiocarcinoma. Here, we investigated the potential of extracellular vesicles (EVs) secreted by the fluke and defined recombinant proteins derived from EVs to generate protective immunity in a hamster vaccination-challenge model. Methodology/Principal findings EVs isolated from the excretory-secretory products of O. viverrini and two recombinant EV surface proteins encoding the large extracellular loops (LEL) of Ov-TSP-2 (rOv-TSP-2) and Ov-TSP-3 (rOv-TSP-3) were adjuvanted and used to vaccinate hamsters intraperitoneally followed by challenge infection with O. viverrini metacercariae. The number of adult flukes recovered from hamsters immunized with EVs, rOv-TSP-2, rOv-TSP-3 and rOv-TSP-2 +rOv-TSP-3 were significantly reduced compared to control animals vaccinated with adjuvant alone. The number of eggs per gram feces was also significantly reduced in hamsters vaccinated with rOv-TSP-2 compared to controls, but no significant differences were found in the other groups. The average length of worms recovered from hamsters vaccinated with EVs, rOv-TSP-2 and rOv-TSP-3 was significantly shorter than that of worms recovered from the control group. Anti-EV IgG levels in serum and bile were significantly higher in hamsters vaccinated with EVs compared to control hamsters both pre-and post-challenge. In addition, levels of anti-rOv-TSP antibodies in the serum and bile were significantly higher than control hamsters both pre-and post-challenge. Finally, antibodies against rOv-TSP-2 and rOv-TSP-3 blocked uptake of EVs by human primary cholangiocyte in vitro, providing a plausible mechanism by which these vaccines exert partial efficacy and reduce the intensity of O. viverrini infection. Conclusion/Significance Liver fluke EVs and recombinant tetraspanins derived from the EV surface when administered to hamsters induce antibody responses that block EV uptake by target bile duct cells and exert partial efficacy and against O. viverrini challenge. ? 2019 Chaiyadet et al.","immunoglobulin G; immunological adjuvant; membrane protein; recombinant protein; recombinant tetraspanin; recombinant vaccine; tetraspanin; thrombospondin; thrombospondin 2; thrombospondin 3; unclassified drug; immunoglobulin G antibody; membrane protein; tetraspanin; helminth antibody; helminth protein; tetraspanin; adult; animal experiment; animal model; animal tissue; antibody production; Article; cholangiocyte; confocal microscopy; controlled study; drug mechanism; enzyme linked immunosorbent assay; exosome; fecal egg count; growth retardation; hamster; human; male; nonhuman; opisthorchiasis; Opisthorchis viverrini; parasite load; stunting; ultracentrifugation; vaccination; virus cell interaction; virus entry; virus isolation; Western blotting; animal cell; blood sampling; body height; cholangiocyte; coculture; density gradient centrifugation; enzyme linked immunospot assay; exosome; immunization; metacercaria; microscopy; opisthorchiasis; parasite load; plasmid; animal; female; immunology; Mesocricetus; opisthorchiasis; Opisthorchis; parasitology; physiology; vaccination; Animals; Antibodies, Helminth; Cricetinae; Extracellular Vesicles; Female; Helminth Proteins; Humans; Male; Mesocricetus; Opisthorchiasis; Opisthorchis; Tetraspanins; Vaccination"
"Dietary patterns and their association with the components of metabolic syndrome: A cross-sectional study of adults from northeast Thailand [version 2; peer review: 2 approved]",2019,"Background: Nutritional transition influences a shift in eating behaviour that is associated with a rise in the prevalence of non-communicable diseases (NCDs). Metabolic syndrome (MetS) comprises a set of NCD risk factors. This study aimed to investigate dietary patterns and to determine the relationship between dietary patterns and MetS and its components. Methods: An analytical cross-sectional study was conducted among 468 adults aged 35–60 years who were residents of a semi-urban district of one of the central provinces in the northeast of Thailand. A factor analysis identified dietary patterns based on the consumption of 21 food groups, which were assessed by using a semi-quantitative food frequency questionnaire. MetS was identified by using the harmonized criteria that were stipulated by six leading international organisations. The association between dietary patterns and MetS and its components were evaluated by multiple logistic regressions. The confounding factors adjusted in the model were age, sex, smoking status, physical activity, and medication intake. Results: Two dietary patterns were identified: a traditional pattern characterised by high intakes of sticky rice and animal source foods; a mixed pattern included high intakes of white rice and a variety of food groups. The two dietary patterns did not show any association with MetS. Participants in the highest tertile of the traditional pattern was significantly related to high triglycerides (adjusted OR = 1.74, 95% CI: 1.10–2.88), in comparison to those from the lowest tertile, whereas participants in the highest tertile of the mixed pattern was inversely associated with abdominal obesity (adjusted OR= 0.49, 95% CI: 0.30–0.81) than those in the lowest tertile. Conclusions: Adherence to a traditional dietary pattern among the northeast Thai adults, in the context of nutrition transition, was associated with high triglyceride levels while the mixed dietary pattern was inversely related to abdominal obesity. ? 2019 Chupanit P et al.","triacylglycerol; abdominal obesity; adult; age; Article; cross-sectional study; dietary pattern; disease association; drug use; female; food frequency questionnaire; food intake; gender; human; male; metabolic syndrome X; physical activity; smoking; suburban population; Thailand; triacylglycerol blood level; diet; feeding behavior; food preference; metabolic syndrome X; middle aged; pathophysiology; prevalence; Adult; Cross-Sectional Studies; Diet; Feeding Behavior; Female; Food Preferences; Humans; Male; Metabolic Syndrome; Middle Aged; Prevalence; Thailand"
"Molecular detection of Leucocytozoon (Apicomplexa: Haemosporida) in black flies (Diptera: Simuliidae) from Thailand",2019,"Information regarding vector-parasite association is necessary for fully understanding the epidemiology of vector borne diseases yet, this information is lacking in the case of Leucocytozoonosis in the Oriental region, despite a high incidence of the disease. In this study, we used a molecular approach based on mitochondrial cytochrome b (cyt b) sequence to detect the parasite, Leucocytozoon, in potential black fly (Simuliidae) vectors in Thailand. A total of 404 wild caught black flies representing six morphological species of two subgenera were examined.- Gomphostilbia (Simulium asakoae complex, S. chumpornense) and Simulium (S. chamlongi, S. nodosum, S. nigrogilvum). Forty-four black fly specimens from two species of the Gomphostilbia were positive for Leucocytozoon. Most (35) of these were found in a village where high numbers of domestic chicken were kept, consistent with the possibility that chickens are a host of Leucocytozoon species found in black flies. Sixteen haplotypes were identified among 44 cyt b sequences. Comparisons of the sequences with previous reports revealed that the 11 haplotypes obtained in this study were identical or very similar to unknown Leucocytozoon found in infected domestic chickens. Four haplotypes are genetically similar to L. schoutedeni and one haplotype is genetically very different from existing cyt b sequences in public database. Our results indicate that two black fly species of the subgenus Gomphostilbia in Thailand are possible vectors of Leucocytozoon transmitted among poultry and wild birds in the country. ? 2018 Elsevier B.V.","cytochrome b; cytochrome b; detection method; disease incidence; disease vector; fly; host-parasite interaction; poultry; adult; Article; chicken; domestic animal; gene sequence; genetic variability; Haemosporida; haplotype; host parasite interaction; human; Leucocytozoon; Leucocytozoon schoutedeni; microorganism detection; nonhuman; nucleotide sequence; polymerase chain reaction; Simuliidae; Simulium asakoae complex; Simulium chamlongi; Simulium chumpornense; Simulium nigrogilvum; Simulium nodosum; Thailand; animal; disease carrier; genetics; Haemosporida; isolation and purification; microbiology; Simuliidae; Thailand; Apicomplexa; Aves; Diptera; Gallus gallus; Gomphostilbia; Haemosporida; Leucocytozoon; Simuliidae; Simulium chamlongi; Simulium chumpornense; Simulium nigricoxum; Simulium nigrogilvum; Simulium nodosum; Animals; Chickens; Cytochromes b; Disease Vectors; Haemosporida; Haplotypes; Simuliidae"
"CHAMP+ Thailand: Pilot Randomized Control Trial of a Family-Based Psychosocial Intervention for Perinatally HIV-Infected Early Adolescents",2019,"Within Asia, HIV prevalence is highest in Thailand, including thousands of children and adolescents. Care for children born with HIV [perinatal transmission of HIV (PHIV)] will need to focus on adolescents for the foreseeable future. Thai PHIV adolescents experience significant mental health and psychosocial challenges, including treatment adherence. Yet, few, if any, comprehensive interventions for them exist. CHAMP+, an evidence-based intervention adapted for Thailand, was evaluated with a pilot randomized control trial at four HIV clinics. Eighty-eight dyads of 9- to 14-year-old PHIV young adolescents/caregivers were randomized to CHAMP+ or standard of care (SOC). Eleven cartoon-based sessions were delivered over 6 months. Participants completed baseline, 6-month (postintervention), and 9-month surveys, measuring youth outcomes (e.g., mental health and adherence), contextual factors (e.g., demographics and caregiver factors), and self- and social-regulation factors (e.g., HIV knowledge and youth-caregiver communication). Multi-level modeling to account for clustering within individuals was used to assess longitudinal changes within and between groups. All families randomized to CHAMP+ completed the intervention. Although the study was not statistically powered to detect differences in treatment effects, the CHAMP+ group significantly improved at 6 months in youth mental health and adherence, HIV knowledge, youth-caregiver communication, internalized stigma, and HIV-related social support, with most improvements sustained at 9 months and significantly better improvements than the SOC group on a number of outcomes. High levels of baseline viral suppression highlight the importance of reaching these young PHIV adolescents at a period of lower risk before adherence and other challenges emerge. Designed to be delivered with limited cost/resources, CHAMP+ Thailand holds scale-up potential. ? Copyright 2019, Mary Ann Liebert, Inc., publishers 2019.","adolescent; art; article; caregiver; controlled study; female; human; human experiment; Human immunodeficiency virus; juvenile; male; mental health; multicenter study; multilevel analysis; nonhuman; randomized controlled trial; scale up; social support; stigma; Thailand; child; family; health education; Human immunodeficiency virus infection; interpersonal communication; mental health; pilot study; pregnancy; prevalence; procedures; psychology; psychotherapy; social stigma; Thailand; vertical transmission; anti human immunodeficiency virus agent; Adolescent; Anti-HIV Agents; Caregivers; Child; Communication; Family; Female; Health Education; HIV Infections; Humans; Infectious Disease Transmission, Vertical; Male; Mental Health; Outcome and Process Assessment, Health Care; Pilot Projects; Pregnancy; Prevalence; Psychotherapy; Social Stigma; Social Support; Thailand"
"Health education interventions to promote early presentation and referral for women with symptoms of endometrial cancer",2019,"This is a protocol for a Cochrane Review (Intervention). The objectives are as follows: To determine the effectiveness of health education interventions involving healthcare providers or individuals or both to promote early presentation and early referral for women with symptoms of endometrial (womb) cancer. ? 2019 The Cochrane Collaboration.","Article; cancer mortality; cancer staging; cancer survival; cause of death; clinical effectiveness; cost effectiveness analysis; disease free survival; early intervention; endometrium cancer; health care facility; health care personnel; health education; human; overall survival; patient care; patient referral; patient satisfaction; postmenopause; premenopause; priority journal; randomized controlled trial (topic); visual analog scale"
"Toe flexor strength is not related to postural stability during static upright standing in healthy young individuals",2019,"Background: The human foot has adapted specifically to support body weight when standing upright. At the base of the postural control system, the unique arch structure of the foot still has an uncertain role in human upright standing. Because the toe flexor muscles help to support the foot arches, they might be an important contributor to postural stability. However, no research has identified the influence of the toe flexor strength or the foot arch height on postural stability in static upright standing. Research question: The aim of this study was to examine whether the toe flexor strength and the foot arch height were related to postural stability in static standing in healthy young individuals. Methods: Fifty healthy young individuals were recruited into this cross-sectional study. Toe flexor strength was measured using a toe grip dynamometer, and it was normalised by body mass (rTFS). Foot arch height was assessed as the distance between the navicular tuberosity of the foot and the floor, and it was normalised by height (rFAH). Postural stability was evaluated using the path of the centre of pressure (COP) during double-leg standing with eyes open and single-leg standing with eyes open. Results: rTFS and rFAH were 2.6 ± 0.8 N/kg and 2.8 ± 0.4%, respectively, and they were not significantly correlated (r = 0.094), indicating that they were independent variables. The results of Pearson's correlation analysis revealed that any body size related variables (height, body mass, BMI) were not significantly correlated with COP variables under either double-leg or single-leg standing, rTFS was not significantly correlated with COP variables under either double-leg or single-leg standing and rFAH was not significantly correlated with COP variables under double-leg standing. Significance: Toe flexor strength has no significant role in maintaining postural stability during static upright standing. ? 2019","adult; Article; body equilibrium; body height; body mass; body size; body weight; clinical article; correlation coefficient; cross-sectional study; dynamometry; female; fitness; foot; foot arch height; hamstring muscle; human; human experiment; male; medical history; muscle strength; navicular bone; priority journal; quadriceps femoris muscle; sex difference; standing; toe; toe flexor strength; triceps surae muscle; walking; young adult; muscle strength; normal human; physiology; skeletal muscle; toe; Cross-Sectional Studies; Female; Foot; Healthy Volunteers; Humans; Male; Muscle Strength; Muscle, Skeletal; Postural Balance; Standing Position; Toes; Young Adult"
"Validation of the Thai version of the family reported outcome measure (FROM-16)? to assess the impact of disease on the partner or family members of patients with cancer",2019,"Background: Cancer not only impairs a patient's physical and psychosocial functional behaviour, but also contributes to negative impact on family members' health related quality of life. Currently, there is an absence of a relevant tool in Thai with which to measure such impact. The aim of this study was to translate and validate the Family Reported Outcome Measure (FROM-16) in Thai cancer patients' family members. Methods: Thai version of FROM-16 was generated by interactive forward-backward translation process following standard guidelines. This was tested for psychometric properties including reliability and validity, namely content validity, concurrent validity, known group validity, internal consistency, exploratory and confirmatory factor analysis. Construct validity was examined by comparing the Thai FROM-16 version with the WHOQOL-BREF-THAI. Results: The internal consistency reliability was strong (Cronbach's alpha = 0.86). A Negative moderate correlation between the Thai FROM-16 and WHOQOL-BREF-THAI was observed (r = - 0.4545, p < 0.00), and known group validity was proved by a statistically significant higher score in family members with high burden of care and insufficient income. The factor analysis supported both 3-factor and 2-factor loading model with slight difference when compared with the original version. Conclusions: The Thai FROM-16 showed good reliability and validity in Thai family members of patients with cancer. A slight difference in factor analysis results compared to the original version could be due to cross-culture application. ? 2019 The Author(s).","adult; aged; Article; cancer patient; clinical assessment; concurrent validity; confirmatory factor analysis; construct validity; content validity; controlled study; correlation analysis; cultural anthropology; disease burden; exploratory factor analysis; family; family reported outcome measure; female; health care; human; income; intermethod comparison; internal consistency; known group validity; major clinical study; male; malignant neoplasm; middle aged; outcome assessment; psychometry; quality of life; quality of life assessment; reliability; scoring system; Thailand; validation study; validity; young adult; neoplasm; patient-reported outcome; psychology; questionnaire; reproducibility; standards; translating (language); Adult; Family; Female; Humans; Male; Middle Aged; Neoplasms; Patient Reported Outcome Measures; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires; Thailand; Translating"
