"文獻名稱.","年份","摘要","索引關鍵字"
"Commentary: Parental depressive symptoms as a predictor of outcome in the treatment of child internalizing and externalizing problems","2019","[無可用摘要]","aggression; anxiety; child psychiatry; depression; disease severity; externalizing problem; human; internalizing problem; juvenile delinquency; mood; Note; predictor variable; psychosocial disorder; risk factor; sibling relation; treatment duration; treatment outcome"
"Diagnostic Value of C-Reactive Protein Levels in Postoperative Infectious Complications After Bariatric Surgery: a Systematic Review and Meta-Analysis","2019","Background: Bariatric surgery involves the risk of postoperative infectious complications, in particular, anastomotic leaks and intra-abdominal abscesses. C-reactive protein (CRP) is a nonspecific marker of inflammation which has gained attention as a test to predict postoperative infectious complications. This systematic review and meta-analysis evaluated the diagnostic value of CRP to detect postoperative infectious complications after bariatric surgery. Methods: Search of MEDLINE, EMBASE, CENTRAL, and PubMed databases were performed. Articles measuring serum CRP postoperatively in patients with obesity undergoing bariatric surgery were included. Main outcomes included diagnostic value of postoperative serum CRP (area under the curve (AUC), sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV)). Diagnostic accuracy of included studies was assessed using QUADAS-2. Results: Six studies including 2770 patients met the inclusion criteria. The derived CRP cutoff values were 71.4?mg/dL, 130.3?mg/dL, and 118.7?mg/dL on postoperative days (PODs) 1, 3, and 5, respectively. Pooled AUC was similar across PODs 1, 3, and 5 with AUC being highest on POD 5 (0.88 ± 0.07). PPV was between 19 and 21%, and NPV was between 98 and 99%. CRP levels were significantly higher (P?<.0001) in postoperative infectious complication group versus the no complication group on PODs 3 and 5. Conclusions: High NPV and moderately high sensitivity on PODs 1, 3, and 5 may help predict patients who are at a low risk of infectious complication following bariatric surgery. High specificity on PODs 1 and 3 also indicates that it can be useful for early diagnosis of postoperative infectious complications. ? 2019, Springer Science+Business Media, LLC, part of Springer Nature.",""
"Half as sad: A plea for narrative medicine in pediatric residency training","2019","[無可用摘要]","avoidance behavior; child care; counseling; curriculum; education program; emotionality; empathy; human; job experience; medical education; medical information; medical school; narrative medicine; pediatrics; physician; priority journal; residency education; Review; simulation; skill; child; clinical competence; curriculum; education; pediatrics; procedures; questionnaire; United States; Child; Clinical Competence; Curriculum; Education, Medical; Humans; Internship and Residency; Narrative Medicine; Pediatrics; Surveys and Questionnaires; United States"
"Thromboprophylaxis in Patients with Acute Spinal Cord Injury: A Narrative Review","2019","Patients with acute spinal cord injury (SCI) have the highest risk of venous thromboembolism (VTE) among hospitalized patients. The incidence of total deep vein thrombosis ranges from 50 to 100% in untreated patients and pulmonary embolism is the third most common cause of mortality in these patients. The pathophysiology of the increased risk of VTE is explained by venous stasis after injury, endothelial vessel wall injury from surgery, and a hypercoagulable state associated with trauma. The current thromboprophylaxis options are limited, with low-molecular-weight heparin (LMWH) being the current standard of care. LMWH is commonly administered for 3 months, during which period the risk of VTE is especially high. Some uncertainty exists regarding the optimal timing to initiate pharmacological thromboprophylaxis and the best regimen of LMWH prophylaxis. High-quality data are currently lacking in thromboprophylaxis in patients with SCI. Many questions in this area remain to be answered, which are described in this narrative review. ? 2019 by Thieme Medical Publishers, Inc.","anticoagulant agent; antivitamin K; low molecular weight heparin; biological marker; fibrin degradation product; fibrin fragment D; acute disease; disease marker; human; priority journal; randomized controlled trial (topic); Review; risk factor; spinal cord injury; thrombosis prevention; time to treatment; treatment duration; venous thromboembolism; acute disease; blood; complication; spinal cord injury; vein thrombosis; venous thromboembolism; Acute Disease; Anticoagulants; Biomarkers; Fibrin Fibrinogen Degradation Products; Heparin, Low-Molecular-Weight; Humans; Spinal Cord Injuries; Venous Thromboembolism; Venous Thrombosis"
"Delving into Delphis","2019","[無可用摘要]","consensus; cost; data collection method; delphis method; emergency medicine; human; medical education; Note; public policy; questionnaire; strength; weakness; Delphi study; emergency medicine; Consensus; Delphi Technique; Emergency Medicine; Humans"
"Femoroacetabular Impingement: What the Surgeon Wants to Know","2019","Femoroacetabular impingement (FAI) is increasingly recognized as a risk factor for early hip degeneration in young active patients. The diagnosis depends on clinical examination and proper imaging that should be able to identify abnormal and sometimes subtle morphological changes. Labral tears and cartilage lesions rarely occur without underlying bone abnormalities. Surgical approaches to treat FAI are increasing significantly worldwide, even without a clearly defined consensus of what should be accepted as the standard imaging diagnosis for FAI morphology. Hip abnormalities encompass many variations related to the shape, size, and spatial orientation of both sides of the joint and can be difficult to characterize if adequate imaging is not available. This article presents a comprehensive review about the information orthopaedic surgeons need to know from radiologists to plan the most rational approach to a painful hip resulting from a mechanical abnormality. ? 2019 by Thieme Medical Publishers, Inc., 333 Seventh Avenue, New York, NY 10001, USA.","cartilage; femoral torsion; femoroacetabular impingement; hip arthroscopy; hip disease; human; ischiofemoral impingement; orthopedic surgeon; priority journal; radiologist; Review; spine disease; subspine impingement; torsion; trochanteric impingement; arthroscopy; diagnostic imaging; femoroacetabular impingement; hip; nuclear magnetic resonance imaging; procedures; radiography; surgeon; Arthroscopy; Femoracetabular Impingement; Hip Joint; Humans; Magnetic Resonance Imaging; Radiography; Surgeons"
"Implementation process and quality of a primary health care system improvement initiative in a decentralized context: A retrospective appraisal using the quality implementation framework","2019","Background: Effective implementation processes are essential in achieving desired outcomes of health initiatives. Whereas many approaches to implementation may seem straightforward, careful advanced planning, multiple stakeholder involvements, and addressing other contextual constraints needed for quality implementation are complex. Consequently, there have been recent calls for more theory-informed implementation science in health systems strengthening. This study applies the quality implementation framework (QIF) developed by Meyers, Durlak, and Wandersman to identify and explain observed implementation gaps in a primary health care system improvement intervention in Nigeria. Methods: We conducted a retrospective process appraisal by analyzing contents of 39 policy document and 15 key informant interviews. Using the QIF, we assessed challenges in the implementation processes and quality of an improvement model across the tiers of Nigeria's decentralized health system. Results: Significant process gaps were identified that may have affected subnational implementation quality. Key challenges observed include inadequate stakeholder engagements and poor fidelity to planned implementation processes. Although needs and fit assessments, organizational capacity building, and development of implementation plans at national level were relatively well carried out, these were not effective in ensuring quality and sustainability at the subnational level. Conclusions: Implementing initiatives between levels of governance is more complex than within a tier. Adequate preintervention planning, understanding, and engaging the various interests across the governance spectrum are key to improving quality. ? 2018 John Wiley & Sons, Ltd.","article; capacity building; decentralization; health care policy; human; interview; Nigeria; primary health care; retrospective study; stakeholder engagement; health care policy; Nigeria; organization and management; politics; primary health care; qualitative research; standards; total quality management; Capacity Building; Health Policy; Interviews as Topic; Nigeria; Politics; Primary Health Care; Qualitative Research; Quality Improvement; Retrospective Studies"
"N-acetylcysteine use among patients undergoing cardiac surgery: A systematic review and meta-analysis of randomized trials","2019","Background Cardiac surgeries are complex procedures aiming to re-establish coronary flow and correct valvular defects. Oxidative stress, caused by inflammation and ischemia-reperfusion injury, is associated with these procedures, increasing the risk of adverse outcomes. N-acetylcysteine (NAC) acts as an antioxidant by replenishing the glutathione stores, and emerging evidence suggests that NAC may reduce the risk of adverse perioperative outcomes. We conducted a systematic review and meta-analysis to investigate the addition of NAC to a standard of care among adult patients undergoing cardiac surgery. Methods We searched four databases (PubMed, EMBASE, CENTRAL, LILACS) from inception to October 2018 and the grey literaure for randomized controlled trials (RCTs) investigating the effect of NAC on pre-defined outcomes including mortality, acute renal insufficiency (ARI), acute cardiac insufficiency (ACI), hospital length of stay (HLoS), intensive care unit length of stay (ICULoS), arrhythmia and acute myocardial infarction (AMI). Reviewers independently screened potentially eligible articles, extracted data and assessed the risk of bias among eligible articles. We used the GRADE approach to rate the overall certainty of evidence for each outcome. Results Twenty-nine RCTs including 2,486 participants proved eligible. Low to moderate certainty evidence demonstrated that the addition of NAC resulted in a non-statistically significant reduction in mortality (Risk Ratio (RR) 0.71; 95% Confidence Interval (CI) 0.40 to 1.25), ARI (RR 0.92; 95% CI 0.79 to 1.09), ACI (RR 0.77; 95% CI 0.44 to 1.38), HLoS (Mean Difference (MD) 0.21; 95% CI -0.64 to 0.23), ICULoS (MD -0.04; 95% CI -0.29 to 0.20), arrhythmia (RR 0.79; 95% CI 0.52 to 1.20), and AMI (RR 0.84; 95% CI 0.48 to 1.48). Limitations Among eligible trials, we observed heterogeneity in the population and interventions including patients with and without kidney dysfunction and interventions that differed in route of administration, dosage, and duration of treatment. This observed heterogeneity was not explained by our subgroup analyses. Conclusions The addition of NAC during cardiac surgery did not result in a statistically significant reduction in clinical outcomes. A large randomized placebo-controlled multi-centre trial is needed to determine whether NAC reduces mortality. ? 2019 Pereira et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","acetylcysteine; acetylcysteine; biological marker; acute heart infarction; acute kidney failure; coronary artery blood flow; drug use; heart arrhythmia; heart failure; heart surgery; human; length of stay; meta analysis; mortality; mortality risk; oxidative stress; prognosis; Review; risk assessment; risk factor; risk reduction; systematic review; adverse event; blood; heart disease; heart surgery; odds ratio; procedures; publishing; randomized controlled trial (topic); treatment outcome; workflow; Acetylcysteine; Biomarkers; Cardiac Surgical Procedures; Heart Diseases; Humans; Mortality; Odds Ratio; Prognosis; Publication Bias; Randomized Controlled Trials as Topic; Treatment Outcome; Workflow"
"Thermal Stabilization of Viral Vaccines in Low-Cost Sugar Films","2019","Most currently available vaccines, particularly live vaccines, require the cold chain, as vaccine efficacy can be significantly hampered if they are not stored in a temperature range of 2–8 °C at all times. This necessity places a tremendous financial and logistical burden on vaccination programs, particularly in the developing world. The development of thermally stable vaccines can greatly alleviate this problem and, in turn, increase vaccine accessibility worldwide. In this paper, we detail a simple and cost-effective method for stabilizing live vaccines that uses FDA-approved materials. To this end, we dried enveloped DNA (Herpes Simplex Virus type 2) and RNA (Influenza A virus) viral vaccines in a pullulan and trehalose mixture. The results of these studies showed that the live-attenuated HSV-2 vaccine retained its efficacy for at least 2 months of storage at 40 °C, while the inactivated influenza vaccine was able to retain its immunogenicity for at least 3 months of storage at 40 °C. This work presents a simple approach that allows thermo-sensitive vaccines to be converted into thermo-stable vaccines that do not require refrigeration, thus contributing to the improvement of vaccine deployment throughout the world. ? 2019, The Author(s).",""
"Using street imagery and crowdsourcing internet marketplaces to measure motorcycle helmet use in Bangkok, Thailand","2019","Introduction: The majority of Thailand's road traffic deaths occur on motorised two-Wheeled or three-Wheeled vehicles. Accurately measuring helmet use is important for the evaluation of new legislation and enforcement. Current methods for estimating helmet use involve roadside observation or surveillance of police and hospital records, both of which are time-Consuming and costly. Our objective was to develop a novel method of estimating motorcycle helmet use. Methods: Using Google Maps, 3000 intersections in Bangkok were selected at random. At each intersection, hyperlinks of four images 90° apart were extracted. These 12 000 images were processed in Amazon Mechanical Turk using crowdsourcing to identify images containing motorcycles. The remaining images were sorted manually to determine helmet use. Results: After processing, 462 unique motorcycle drivers were analysed. The overall helmet wearing rate was 66.7 % (95% CI 62.6 % to 71.0 %). Taxi drivers had higher helmet use, 88.4% (95% CI 78.4% to 94.9%), compared with non-Taxi drivers, 62.8% (95% CI 57.9% to 67.6%). Helmet use on non-Residential roads, 85.2% (95% CI 78.1 % to 90.7%), was higher compared with residential roads, 58.5% (95% CI 52.8% to 64.1%). Using logistic regression, the odds of a taxi driver wearing a helmet compared with a non-Taxi driver was significantly increased 1.490 (p<0.01). The odds of helmet use on non-Residential roads as compared with residential roads was also increased at 1.389 (p<0.01). Conclusion: This novel method of estimating helmet use has produced results similar to traditional methods. Applying this technology can reduce time and monetary costs and could be used anywhere street imagery is used. Future directions include automating this process through machine learning. ? Author(s) (or their employer(s)) 2019. No commercial re-Use. See rights and permissions. Published by BMJ.",""
