"文獻名稱.","年份","摘要","索引關鍵字"
"TYRO3: A potential therapeutic target in cancer","2019","TYRO3 belongs to the TAM (TYRO3, AXL, and MER) receptor family, a unique subfamily of the receptor tyrosine kinases. Members of TAM family share the same ligand, growth arrest-specific 6, and protein S. Although the signal transduction pathways of TYRO3 have not been evaluated in detail, overexpression and activation of TYRO3 receptor tyrosine kinase have been reported to promote cell proliferation, survival, tumorigenesis, migration, invasion, epithelial-mesenchymal transition, or chemoresistance in several human cancers. Targeting TYRO3 could break the kinase signaling, stimulate antitumor immunity, reduce tumor cell survival, and regain drug sensitivity. To date, there is no specific TYRO3-targeted drug, the effectiveness of targeting TYRO3 in cancer is worthy of further investigations. In this review, we present an update on molecular biology of TYRO3, summarize the development of potential inhibitors of TAM family members, and provide new insights in TYRO3-targeted treatment. Impact statement: Cancer is among the leading causes of death worldwide. In 2016, 8.9 million people are estimated to have died from various forms of cancer. The current treatments, including surgery with chemotherapy and/or radiation therapy, are not effective enough to provide full protection from cancer, which highlights the need for developing novel therapy strategies. In this review, we summarize the molecular biology of a unique member of a subfamily of receptor tyrosine kinase, TYRO3 and discuss the new insights in TYRO3-targeted treatment for cancer therapy. ? 2019 by the Society for Experimental Biology and Medicine.","3 methylhistidine; brefeldin A; doxorubicin; epidermal growth factor receptor; gonadorelin; growth arrest specific protein 6; ldc 1267; metformin; mitogen activated protein kinase; mitogen activated protein kinase 1; mitogen activated protein kinase 3; monensin; n [4 [(2 amino 3 chloro 4 pyridinyl)oxy] 3 fluorophenyl] 4 ethoxy 1 (4 fluorophenyl) 2(1h) oxonicotinamide; progranulin; protein p85; protein tyrosine kinase; protein tyrosine kinase inhibitor; quinazoline derivative; rhodamine 6G; sitravatinib; TAM inhibitor; TYRO3 receptor tyrosine kinase; unc 2250; unc 2881; unc 5; unclassified drug; vincristine; Akt signaling; allergic rhinitis; cancer inhibition; cancer survival; carcinogenesis; cell invasion; cell migration; cell proliferation; cell survival; drug sensitivity; epithelial mesenchymal transition; gene; gene overexpression; human; malignant neoplasm; metastasis; molecularly targeted therapy; neurologic disease; nonhuman; Pi3K/Akt signaling; protein motif; Review; signal transduction; single nucleotide polymorphism; thrombocyte aggregation; TYRO3 gene"
"Hepatitis B virus X protein (HBx) enhances centrosomal P4.1-associated protein (CPAP) expression to promote hepatocarcinogenesis","2019","Background: Our previous report suggested that centrosomal P4.1-associated protein (CPAP) is required for Hepatitis B virus (HBV) encoded non-structure protein X (HBx)-mediated nuclear factor kappa light chain enhancer of activated B cells (NF-andkappa;B) activation. CPAP is overexpressed in HBV-associated hepatocellular carcinoma (HCC); however, the interaction between CPAP and HBx in HBV-HCC remains unclear. Methods: The mRNA expression of CPAP and HBx was analyzed by quantitative-PCR (Q-PCR). NF-andkappa;B transcriptional activity and CPAP promoter activity were determined using a reporter assay in Huh7 and Hep3B cells. Immunoprecipitation (IP) and in situ proximal ligation assay (PLA) were performed to detect the interaction between CPAP and HBx. Chromatin-IP was used to detect the association of cAMP response element binding protein (CREB) and HBx with the CPAP promoter. Cell proliferation was measured using cell counting kit CCK-8, Bromodeoxyuridine (5-bromo-2andprime;-deoxyuridine, BrdU) incorporation, and clonogenic assays. The tumorigenic effects of CPAP were determined using xenograft animal models. Results: HBx can transcriptionally up-regulate CPAP via interacting with CREB. Overexpressed CPAP directly interacted with HBx to promote HBx-mediated cell proliferation and migration; SUMO modification of CPAP was involved in interacting with HBx. Knocked-down expression of CPAP decreased the HBx-mediated tumorigenic effects, including cytokines secretion. Interestingly, overexpressed CPAP maintained the HBx protein stability in an NF-andkappa;B-dependent manner; and the expression levels of CPAP and HBx were positively correlated with the activation status of NF-andkappa;B in HCC. Increased expression of CPAP and CREB mRNAs existed in the high-risk group with a lower survival rate in HBV-HCC. Conclusion: The interaction between CPAP and HBx can provide a microenvironment to facilitate HCC development via enhancing NF-andkappa;B activation, inflammatory cytokine production, and cancer malignancies. This study not only sheds light on the role of CPAP in HBV-associated HCC, but also provides CPAP as a potential target for blocking the hyper-activated NF-andkappa;B in HCC. andcopy; 2019 The Author(s). ? 2019 BMC. All rights reserved.","centrosomal P4.1 associated protein; cyclic AMP responsive element binding protein binding protein; hepatitis B virus X protein; immunoglobulin enhancer binding protein; messenger RNA; unclassified drug; Cenpj protein, mouse; hepatitis B virus X protein; microtubule associated protein; transactivator protein; animal experiment; animal model; Article; assay; BrdU assay; cell proliferation; chromatin immunoprecipitation; clinical article; clonogenic assay; controlled study; enzyme activation; enzyme activity; human; human tissue; in situ proximity ligation assay; in vitro study; liver carcinogenesis; liver cell carcinoma; mouse; nonhuman; priority journal; protein expression; protein protein interaction; protein RNA binding; protein stability; real time polymerase chain reaction; tumor microenvironment; upregulation; animal; carcinogenesis; genetics; liver cell carcinoma; liver tumor; male; metabolism; nonobese diabetic mouse; SCID mouse; Animals; Carcinogenesis; Carcinoma, Hepatocellular; Liver Neoplasms; Male; Mice; Mice, Inbred NOD; Mice, SCID; Microtubule-Associated Proteins; Trans-Activators"
"Experience of applying cytoreductive surgery and hyperthermic intraperitoneal chemotherapy for ovarian teratoma with malignant transformation and peritoneal dissemination","2019","Objectives: The prognosis of ovarian teratoma with malignant transformation and peritoneal dissemination (PD) is poor. This condition is rare but associated with a high recurrence rate even after aggressive debulking surgery and adjuvant chemotherapy. In the present paper, we describe our experience of using cytoreductive surgery and hyperthermic intraperitoneal chemotherapy (CRS-HIPEC) for this condition. Methods: The data of ten female patients having ovarian teratoma with malignant transformation and PD between June 2007 and June 2017 were collected and reviewed retrospectively. CRS-HIPEC was performed according to the standard protocol. Patient characteristics, pathological reports, tumor markers, perioperative operative parameters, postoperative events, and disease status during the follow-up period were recorded. Results: The primary ovarian neoplasms were pure mature cystic teratoma with malignant transformation (n=6, including 5 of mucinous adenocarcinoma), mixed germ cell tumor with mature cystic teratoma and yolk sac tumor (YST) (n=1), pure immature teratoma (n=1), immature teratoma with growing teratoma syndrome (GTS) (n=1), and immature teratoma mixed YST with GTS (n=1). The mean levels of tumor markers, including carcinoembryonic antigen, cancer antigen 19-9 (CA19-9), and CA125, were markedly elevated. The recurrence rate was 10%. The median and mean disease-free survival (DFS) after CRS-HIPEC were 22.3 and 36.2 months, respectively, and the 5-year DFS rate is 88%. Conclusion: CRS-HIPEC is a safe therapeutic option for reducing the recurrence rate in selected patients with PD originating from ovarian teratoma with malignant transformation. ? 2019 Yu et al.","CA 125 antigen; carcinoembryonic antigen; cisplatin; docetaxel; tumor antigen; adult; aged; Article; cancer combination chemotherapy; cancer prognosis; cancer recurrence; cancer survival; clinical article; colloid carcinoma; controlled study; cytology; cytoreductive surgery; disease free survival; female; follow up; germ cell tumor; histopathology; human; human cell; human tissue; hyperthermic intraperitoneal chemotherapy; immunohistochemistry; malignant transformation; middle aged; ovary teratoma; peritoneum metastasis; retrospective study; tumor invasion; yolk sac tumor; young adult"
"Scleritis and anterior uveitis may herald the development of an epibulbar tumor in patients with extranodal Rosai-Dorfman disease: A case report","2019","Background: Rosai-Dorfman disease is a rare non-Langerhans cell histiocytosis. Ocular involvement is even rarer, mostly involving the orbit and eyelids, although marginal corneal ulcers, uveitis, and epibulbar masses have also been reported, and is characterized by multiple recurrences. However, the disease course and optimal treatment strategies remain undetermined, in light of the rarity of this disease. Case presentation: We reported a 36-year-old male patient with the extranodal form of Rosai-Dorfman disease, presenting with scleritis and anterior uveitis in the left eye, who experienced subsequent development of an epibulbar tumor in the same eye. The patient was also complicated by a relapsing facial nodule on the right cheek. After the pathological diagnosis of Rosai-Dorfman disease was obtained, the patient underwent surgical excision of the epibulbar tumor and the facial nodule, accompanied by systemic immunosuppression therapy. At the last follow-up, the patient was asymptomatic without signs of recurrence. Conclusions: This report highlights the progression of ocular manifestations of Rosai-Dorfman disease and emphasizes the importance of systemic therapy. ? 2019 The Author(s).","acute disease; adult; biopsy; case report; complication; conjunctiva; differential diagnosis; disease exacerbation; human; iridocyclitis; male; pathology; sclera; scleritis; sinus histiocytosis; visual acuity; Acute Disease; Adult; Biopsy; Conjunctiva; Diagnosis, Differential; Disease Progression; Histiocytosis, Sinus; Humans; Male; Sclera; Scleritis; Uveitis, Anterior; Visual Acuity"
"FEASIBILITY OF SMART HEMODIALYSIS PATIENT CARE USING SENSORS EMBEDDED IN PERSONALIZED 3D PRINTING CAST","2019","The ever-increasing incidence of end-stage renal disease (ESRD) has already become a major burden to health budgets and a threat to public health nationwide in Taiwan. According to the United States Renal Data System Annual Data Report in 2015, the prevalence and incidence of ESRD in Taiwan are the highest in the world. Moreover, for the population of 82 thousand ESRD patients receiving hemodialysis treatments, the total cost is up to NT$34.2 billion annually out of the National Health Insurance (NHI) program budget. This project is to design a wearable medical device which can measure and monitor the fluid dynamics of the dialysis access using sensor of phonoangiography (PAG) for exploring vascular pitch pattern and sensor of Photoplethysmography (PPG) for estimating the flow volume as a double checking of the AV access condition. We use arteriovenous access (AVA) stenosis detector based on phonoangiography technique and autoregressive model to detect access stenosis and simultaneously estimate the status of AVA life cycle by tracking and obtaining changes in frequency spectra domain. It helps hemodialysis patients to be aware earlier of the dysfunction of AVA and reminds them to make a return visit. The purpose of the complement deployment of vital sign sensors is to improve the prognosis and optimize overall health by providing analysis of physiological signals, including water content index, pulse oximetry, and blood pressure at the same time. With these sensors, the concept of holistic hemodialysis patient care (HHPC) might be proved. ? 2019 World Scientific Publishing Company.","3D printers; Angiography; Blood pressure; Budget control; Dialysis; Health insurance; Health risks; Hemodialyzers; Life cycle; Noninvasive medical procedures; Oximeters; Photoplethysmography; Public health; Signal analysis; 3-D printing; Embedded sensors; Hemodialysis patient; phonoangiography (PAG); Photoplethysmography (PPG); Wearable sensors"
"Spasmolytic polypeptide-expressing metaplasia associated with higher expressions of miR-21, 155, and 223 can be regressed by Helicobacter pylori eradication in the gastric cancer familial relatives","2019","Background and aims: Spasmolytic polypeptide-expressing metaplasia (SPEM) is a preneoplastic gastric cancer lesion related to epigenetic microRNA (miRNA) expression. This study elucidated whether Helicobacter pylori-infected first-degree relatives of patients with gastric cancer (GCF) are susceptible to have SPEM and correlated with miR-21, 155, and 223 expressions. We also validated whether SPEM and these miRNAs can be regressed after H?pylori eradication. Methods: We prospectively enrolled 148 GCF and 148 nonulcer dyspepsia (NUD) subjects without gastric cancer familial history as controls. Each case had received a panendoscopy to determine H?pylori status and gastric histology, including SPEM. The cases with SPEM were followed after H?pylori eradication to determine SPEM regression. The total RNA was extracted to analyze tissues miR-21, 155, and 223 before and after eradication. Results: GCF subjects had a higher prevalence of H?pylori infection (73% vs 32%) and SPEM (42% vs 14%, P?<?0.01) than controls. The tissue miR-21, 155, and 223 in antrum were higher in cases with SPEM than in those without SPEM (P?<=?0.05). There was similar SPEM reversibility after H?pylori eradication between GCF subjects and controls (72% vs 69%, P?=?0.852). In the SPEM regressed cases, tissue miR-21, 155, and 223 decreased after H?pylori eradication (P?<?0.05). Conclusion: The H pylori-infected GCF subjects were prone to have SPEM with higher tissues miR-21, 155, and 223 expressions. H?pylori eradication can result in a 70% SPEM regression, accompanied by a decline in miR-21, 155, and 233 expression levels. ? 2019 John Wiley & Sons Ltd","microRNA; microRNA 155; microRNA 21; microRNA 223; microRNA; MIRN155 microRNA, human; MIRN21 microRNA, human; MIRN223 microRNA, human; peptide; spasmolytic polypeptide; adult; Article; cancer patient; cancer susceptibility; controlled study; disease association; disease severity; dyspepsia; eradication therapy; female; first-degree relative; gastrointestinal endoscopy; gene expression; Helicobacter infection; histopathology; human; human cell; human tissue; immunohistochemistry; major clinical study; male; metaplasia; middle aged; nonhuman; prevalence; priority journal; prospective study; remission; RNA analysis; RNA extraction; spasmolytic polypeptide expressing metaplasia; stomach biopsy; stomach cancer; tissue level; urea breath test; validation study; genetics; Helicobacter infection; Helicobacter pylori; metabolism; metaplasia; microbiology; physiology; stomach tumor; Adult; Female; Helicobacter Infections; Helicobacter pylori; Humans; Male; Metaplasia; MicroRNAs; Middle Aged; Peptides; Stomach Neoplasms"
"hnRNPM induces translation switch under hypoxia to promote colon cancer development","2019","Background: Hypoxia suppresses global protein production, yet certain essential proteins are translated through alternative pathways to survive under hypoxic stress. Translation via the internal ribosome entry site (IRES) is a means to produce proteins under stress conditions such as hypoxia; however, the underlying mechanism remains largely uncharacterized. Methods: Proteomic and bioinformatic analyses were employed to identify hnRNPM as an IRES interacting factor. Clinical specimens and mouse model of tumorigenesis were used for determining the expression and correlation of hnRNPM and its target gene. Transcriptomic and translatomic analyses were performed to profile target genes regulated by hnRNPM. Findings: Hypoxia increases cytosolic hnRNPM binding onto its target mRNAs and promotes translation initiation. Clinical colon cancer specimens and mouse carcinogenesis model showed that hnRNPM is elevated during the development of colorectal cancer, and is associated with poor prognosis. Genome-wide transcriptomics and translatomics analyses revealed a unique set of hnRNPM-targeted genes involved in metabolic processes and cancer neoplasia are selectively translated under hypoxia. Interpretation: These data highlight the critical role of hnRNPM-IRES-mediated translation in transforming hypoxia-induced proteome toward malignancy. Fund: This work was supported by the Ministry of Science and Technology, Taiwan (MOST 104–2320-B-006-042 to HSS and MOST 105–2628-B-001-MY3 to TMC). ? 2019","fibroblast growth factor 9; heterogeneous nuclear ribonucleoprotein group M; RNA binding protein; basic helix loop helix transcription factor; cap binding protein; EIF4E2 protein, human; endothelial PAS domain-containing protein 1; FGF9 protein, human; fibroblast growth factor 9; heterogeneous nuclear ribonucleoprotein group M; HNRNPM protein, human; small interfering RNA; animal experiment; animal model; apoptosis; Article; bioinformatics; cancer prognosis; carcinogenesis; cell growth; cell survival; colon cancer; controlled study; enzyme linked immunosorbent assay; gene knockdown; gene overexpression; gene sequence; genetic transfection; HEK293 cell line; human; hypoxia; immunofluorescence; immunohistochemistry; immunoprecipitation; internal ribosome entry site; luciferase assay; male; metabolism; mouse; nonhuman; physiology; polysome; priority journal; protein analysis; protein expression; protein localization; real time polymerase chain reaction; RNA translation; translation initiation; animal; antagonists and inhibitors; cell hypoxia; chemically induced; cluster analysis; colon tumor; disease model; genetics; Kaplan Meier method; mortality; pathology; protein synthesis; RNA interference; tumor cell line; Animals; Basic Helix-Loop-Helix Transcription Factors; Cell Hypoxia; Cell Line, Tumor; Cluster Analysis; Colonic Neoplasms; Disease Models, Animal; Fibroblast Growth Factor 9; HEK293 Cells; Heterogeneous-Nuclear Ribonucleoprotein Group M; Humans; Kaplan-Meier Estimate; Mice; Protein Biosynthesis; RNA Cap-Binding Proteins; RNA Interference; RNA, Small Interfering"
"Loss of the transcriptional repressor TGIF1 results in enhanced Kras-driven development of pancreatic cancer","2019","Background: The TG-interacting factor 1 (TGIF1) gene, which encodes a nuclear transcriptional corepressor of the TGFβ1/Smad signaling pathway, has been implicated in the pathogenesis of various types of human cancer; however, its role in pancreatic ductal adenocarcinoma (PDAC) has yet to be elucidated. Methods: The expression of TGIF1 in human and murine PDAC specimens were detected by IHC analysis. The functions of TGIF1 in in vivo PDAC growth, dissemination, and metastasis were assessed using conditional inactivation of TGIF1 in well-established autochthonous mouse models of PDAC. Primary cells from TGIF1 null or wild type PDAC mice were examined by assays for cell proliferation, migration, invasion, soft agar and xenograft tumorigenesis. Gene expression profiling, pathway analyses, epigenetic changes associated with TGIF1 loss, and in vitro and in vivo effects of 4-MU were assessed. Results: Conditional deletion of TGIF1 in the mouse pancreas had no discernible effect on pancreatic development or physiology. Notably, TGIF1 loss induced KrasG12D-driven PDAC models exhibited shorter latency and greater propensity for distant metastases. Deciphering the molecular mechanisms highlighted the TGIF1 loss-induced activation of the hyaluronan synthase 2 (HAS2)-CD44 signaling pathway and upregulation of the immune checkpoint regulator PD-L1 to facilitate the epithelial-mesenchymal transition (EMT) and tumor immune suppression. We also founded that TGIF1 might function as an epigenetic regulator and response for aberrant EMT gene expression during PDAC progression. Conclusions: Our results imply that targeting the HAS2 pathway in TGIF1 loss of PDAC could be a promising therapeutic strategy for improving the clinical efficacy against PDAC metastasis. ? 2019 The Author(s).","arginase; beta1 integrin; CD163 antigen; CD68 antigen; colony stimulating factor 1; cytokine; eotaxin 2; Hermes antigen; hyaluronan synthase 2; hyaluronate synthetase; interleukin 1; interleukin 12; interleukin 4; K ras protein; LIX protein; matrix metalloproteinase; monocyte chemotactic protein 1; nerve cell adhesion molecule; programmed death 1 ligand 1; programmed death 1 receptor; protein kinase B; smooth muscle actin; stromal cell derived factor 1; thymus and activation regulated chemokine; transcription factor ZEB1; transforming growth factor beta; tumor necrosis factor; unclassified drug; unindexed drug; uvomorulin; vimentin; animal cell; animal experiment; animal model; animal tissue; Article; cancer growth; carcinogenesis; cell growth assay; cell invasion; cell migration; cell migration assay; cell proliferation; cell proliferation assay; colony formation assay; controlled study; distant metastasis; down regulation; epigenetics; epithelial mesenchymal transition; female; flow cytometry; gene deletion; gene expression; gene expression profiling; gene mutation; HAS2 CD44 signaling pathway; human; human cell; human tissue; immunohistochemistry; in vitro study; in vivo study; male; metastasis; mouse; mouse model; nonhuman; overall survival; pancreas adenocarcinoma; pancreas cancer; protein expression; repressor gene; signal transduction; TGIF1 gene; tumor immunity; tumor microenvironment; tumor xenograft; upregulation; wild type mouse; wound healing assay"
"Bathtub drowning mortality among older adults in Japan","2019","We examined the bathtub drowning mortality among older adults in Japan. Mortality data from Japan and 30 other Organization for Economic Co-operation and Development (OECD) countries were extracted from World Health Organization Cause of Death Query Online. During 2012–2014, unintentional drowning mortality rates in Japan were 9.5, 28.2 and 39.7 per 100,000 population for adults aged 65–74, 75–84 and ?85 years, respectively—rates highest among the 31 OECD countries. In total, 6377 older adults aged ?65 years died from unintentional drowning in 2014, of which 4857 (76%) deaths involved bathtubs. During 1995–2014, the bathtub drowning mortality rate for adults aged ?65 years was stable in Japan. During 2011–2014, approximately 4800 older adults died from bathtub drowning annually. Death predominantly occurred ‘while in a bathtub’, rather than ‘following a fall into a bathtub’. In 2014, 95% and 87% of bathtub drowning deaths among older women and men aged ?65 years, respectively, occurred at home. In conclusion, bathtub drowning deaths at home is an important public health problem among older adults Japanese and efforts are needed to reduce these preventable deaths. ? 2018, ? 2018 Taylor & Francis Group, LLC.","aged; bath; drowning; epidemiology; female; home accident; human; Japan; male; mortality; very elderly; Accidents, Home; Aged; Aged, 80 and over; Baths; Drowning; Female; Humans; Japan; Male"
"Traffic-related particulate matter exposure induces nephrotoxicity in vitro and in vivo","2019","Traffic emission is responsible for most small-sized particulate matter (PM) air pollution in urban areas. Several recent studies have indicated that traffic-related PM may aggravate kidney disease. Furthermore, exposure to particulate air pollution may be related to the risk of chronic kidney disease (CKD). However, the underlying molecular mechanisms have not been adequately addressed. In the present study, we studied the mechanisms of renal damage that might be associated with exposure to PM. In a real world of whole-body exposure to traffic-related PM model for 3–6 months, PM in urban ambient air can affect kidney function and induce autophagy, endoplasmic reticulum (ER) stress and apoptosis in kidney tissues. Exposure to traffic-related diesel particulate matter (DPM) led to a reduction in cell viability in human kidney tubular epithelial cells HK-2. DPM increased mitochondrial reactive oxygen species (ROS) and decreased the mitochondrial membrane potential. Furthermore, DPM induced ER stress and activated the unfolded protein response (UPR) pathway. Eventually, DPM exposure induced caspase pathways and triggered apoptosis. In addition, DPM induced autophagy through the inhibition of the Akt/mTOR pathway. Autophagy inhibition resulted in significantly increased cytotoxicity and apoptosis. These findings suggest that air pollution in urban areas may cause nephrotoxicity and autophagy as a protective role in PM-induced cytotoxicity. ? 2019 The Authors","caspase; creatinine; cystatin C; diesel fuel; mammalian target of rapamycin; nitrogen; protein kinase B; reactive oxygen metabolite; urea; air pollution; ambient air; animal experiment; animal model; animal tissue; apoptosis; Article; autophagy; cell viability; chronic kidney failure; controlled study; cytotoxicity; disease association; disease exacerbation; endoplasmic reticulum stress; environmental exposure; enzyme induction; epithelium cell; exhaust gas; human; human cell; in vitro study; in vivo study; kidney function; kidney tissue; kidney tubule epithelium; mitochondrial membrane potential; mitochondrion; molecular mechanics; nephrotoxicity; nonhuman; particulate matter; priority journal; rat; unfolded protein response; urban area"
