"文獻名稱.","年份","摘要","索引關鍵字"
"Development of an intelligent decision support system for ischemic stroke risk assessment in a population-based electronic health record database",2019,"Background Intelligent decision support systems (IDSS) have been applied to tasks of disease management. Deep neural networks (DNNs) are artificial intelligent techniques to achieve high modeling power. The application of DNNs to large-scale data for estimating stroke risk needs to be assessed and validated. This study aims to apply a DNN for deriving a stroke predictive model using a big electronic health record database. Methods and results The Taiwan National Health Insurance Research Database was used to conduct a retrospective population-based study. The database was divided into one development dataset for model training (~70% of total patients for training and ~10% for parameter tuning) and two testing datasets (each ~10%). A total of 11,192,916 claim records from 840,487 patients were used. The primary outcome was defined as any ischemic stroke in inpatient records within 3 years after study enrollment. The DNN was evaluated using the area under the receiver operating characteristic curve (AUC or c-statistic). The development dataset included 672,214 patients (a total of 8,952,000 records) of whom 2,060 patients had stroke events. The mean age of the population was 35.5±20.2 years, with 48.5% men. The model achieved AUC values of 0.920 (95% confidence interval [CI], 0.908–0.932) in testing dataset 1 and 0.925 (95% CI, 0.914–0.937) in testing dataset 2. Under a high sensitivity operating point, the sensitivity and specificity were 92.5% and 79.8% for testing dataset 1; 91.8% and 79.9% for testing dataset 2. Under a high specificity operating point, the sensitivity and specificity were 80.3% and 87.5% for testing dataset 1; 83.7% and 87.5% for testing dataset 2. The DNN model maintained high predictability 5 years after being developed. The model achieved similar performance to other clinical risk assessment scores. Conclusions Using a DNN algorithm on this large electronic health record database is capable of obtaining a high performing model for assessment of ischemic stroke risk. Further research is needed to determine whether such a DNN-based IDSS could lead to an improvement in clinical practice. ? 2019 Hung et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","adult; aged; algorithm; Article; artificial neural network; brain ischemia; clinical assessment; clinical outcome; clinical practice; decision support system; deep learning; diagnostic test accuracy study; electronic health record; female; health hazard; human; major clinical study; male; medical record; outcome assessment; outpatient department; predictive value; retrospective study; risk assessment; risk factor; sensitivity analysis; sensitivity and specificity; training; adolescent; brain ischemia; clinical decision support system; electronic health record; evaluation study; incidence; information processing; middle aged; procedures; prognosis; Taiwan; young adult; Adolescent; Adult; Brain Ischemia; Datasets as Topic; Decision Support Systems, Clinical; Deep Learning; Electronic Health Records; Female; Humans; Incidence; Male; Middle Aged; Prognosis; Retrospective Studies; Risk Assessment; Taiwan; Young Adult"
"Evaluation of novel disposable bioreactors on pandemic influenza virus production",2019,"Since 1997, the highly pathogenic influenza H5N1 virus has spread from Hong Kong. According to the WHO bulletin report, the H5N1 virus is a zoonotic disease threat that has infected more than 850 humans, causing over 450 deaths. In addition, an outbreak of another new and highly pathogenic influenza virus (H7N9) occurred in 2013 in China. These highly pathogenic influenza viruses could potentially cause a worldwide pandemic. it is crucial to develop a rapid production platform to meet this surge demand against any possible influenza pandemic. A potential solution for this problem is the use of cell-based bioreactors for rapid vaccine production. These novel bioreactors, used for cell-based vaccine production, possess various advantages. For example, they enable a short production time, allow for the handling highly pathogenic influenza in closed environments, and can be easily scaled up. In this study, two novel disposable cell-based bioreactors, BelloCell and TideCell, were used to produce H5N1 clade II and H7N9 candidate vaccine viruses (CVVs). Madin- Darby canine kidney (MDCK) cells were used for the production of these influenza CVVs. A novel bench-scale bioreactor named BelloCell bioreactor was used in the study. All culturing conditions were tested and scaled to 10 L industrial-scale bioreactor known as TideCell002. The performances of between BelloCell and TideCell were similar in cell growth, the average MDCK cell doubling time was slightly decreased to 25 hours. The systems yielded approximately 39.2 and 18.0 μg/ml of HA protein with the 10-liter TideCell002 from the H5N1 clade II and H7N9 CVVs, respectively. The results of this study not only highlight the overall effectiveness of these bioreactors but also illustrate the potential of maintaining the same outcome when scaled up to industrial production, which has many implications for faster vaccine production. Although additional studies are required for process optimization, the results of this study are promising and show that oscillating bioreactors may be a suitable platform for pandemic influenza virus production. ? 2019 Lai et al.","hemagglutinin; influenza vaccine; animal cell; Article; cell density; cell growth; cladistics; Influenza A virus (H5N1); Influenza A virus (H7N9); MDCK cell line; nonhuman; scale up; vaccine production; Vero cell line; virus culture"
"Transplantation of adipose stromal cell sheet producing hepatocyte growth factor induces pleiotropic effect in ischemic skeletal muscle",2019,"Cell therapy remains a promising approach for the treatment of cardiovascular diseases. In this regard, the contemporary trend is the development of methods to overcome low cell viability and enhance their regenerative potential. In the present study, we evaluated the therapeutic potential of gene-modified adipose-derived stromal cells (ADSC) that overexpress hepatocyte growth factor (HGF) in a mice hind limb ischemia model. Angiogenic and neuroprotective effects were assessed following ADSC transplantation in suspension or in the form of cell sheet. We found superior blood flow restoration, tissue vascularization and innervation, and fibrosis reduction after transplantation of HGF-producing ADSC sheet compared to other groups. We suggest that the observed effects are determined by pleiotropic effects of HGF, along with the multifactorial paracrine action of ADSC which remain viable and functionally active within the engineered cell construct. Thus, we demonstrated the high therapeutic potential of the utilized approach for skeletal muscle recovery after ischemic damage associated with complex tissue degenerative effects. ? 2019 by the authors. Licensee MDPI, Basel, Switzerland.","alpha smooth muscle actin; beta tubulin; collagen; connexin 43; fibronectin; scatter factor; virus vector; scatter factor; adipose derived stem cell; angiogenesis; animal cell; animal experiment; animal model; animal tissue; Article; blood flow; capillary density; cell migration; cell suspension; cell transplantation; cell viability; controlled study; enzyme linked immunosorbent assay; fibrosis; gene overexpression; genetic transduction; glia cell; HEK293 cell line; histology; human; human cell; immunofluorescence test; laser Doppler flowmetry; limb ischemia; male; morphometry; mouse; muscle regeneration; neurite outgrowth; neuroprotection; nonhuman; pleiotropy; protein expression; reinnervation; skeletal muscle; spinal ganglion; stroma cell; suspension cell culture; tibialis anterior muscle; vascularization; adipose tissue; animal; biosynthesis; cell culture technique; cell differentiation; cell motion; conditioned medium; cytology; disease model; drug effect; gene expression; genetics; glia; ischemia; metabolism; pathology; pharmacology; skeletal muscle; skeletal muscle cell; stroma cell; transplantation; vascularization; Adipose Tissue; Animals; Cell Culture Techniques; Cell Differentiation; Cell Movement; Culture Media, Conditioned; Disease Models, Animal; Gene Expression; Hepatocyte Growth Factor; Humans; Ischemia; Mice; Muscle Fibers, Skeletal; Muscle, Skeletal; Neovascularization, Physiologic; Neuroglia; Neuronal Outgrowth; Stromal Cells"
"A randomized controlled trial of mindfulness in patients with schizophrenia ?",2019,"Cognitive Behavioral Therapy (CBT) is frequently used to attenuate the severity of positive schizophrenia symptoms; however, few studies have focused on attenuating negative symptoms. Recently, researchers have become interested in the effects of mindfulness-based intervention (MBI) on schizophrenia, but the lack of evidence-based results from random clinical trials (RCTs) has limited their effectiveness. Moreover, longitudinal data must be examined using appropriate study designs. We recruited 60 schizophrenia patients and randomly assigned them to an MBI or to a treatment-as-usual group. Negative symptoms, positive symptoms, mindfulness, and depression were assessed at baseline, post-course, and at a 3-month follow-up. Descriptive analysis and generalized estimating equations (GEEs) were used to examine the effects of MBI. We found that MBI mitigated the severity of negative symptoms and of general schizophrenic psychopathology except for the positive symptoms and for those of depression. Unexpectedly, we did not find long-term effect of mindfulness on negative symptoms. Larger sample sizes, long-term practical course, more rigorous study procedures, and a double-blind design should be considered in future studies. ? 2019 Elsevier B.V.","adult; Article; Beck Depression Inventory; clinical effectiveness; controlled study; depression; disease severity; female; follow up; human; major clinical study; male; mindfulness; negative syndrome; positive syndrome; priority journal; randomized controlled trial; therapy effect; treatment outcome; treatment planning; adolescent; aged; double blind procedure; middle aged; psychology; schizophrenia; young adult; Adolescent; Adult; Aged; Depression; Double-Blind Method; Female; Humans; Male; Middle Aged; Mindfulness; Schizophrenia; Schizophrenic Psychology; Treatment Outcome; Young Adult"
"MicroRNA-486-3p functions as a tumor suppressor in oral cancer by targeting DDR1",2019,"Background: Discoidin domain receptor-1 (DDR1) tyrosine kinase is highly expressed in a variety of human cancers and involved in various steps of tumorigenesis. However, the precise mechanisms underlying the abnormal expression of DDR1 in oral squamous cell carcinoma (OSCC) has not been well investigated. Methods: The expression of DDR1 on OSCC patients was determine by quantitative real-time PCR (qRT-PCR) and immunohistochemistry. Specific targeting by miRNAs was determined by software prediction, luciferase reporter assay, and correlation with target protein expression. The functions of miR-486-3p and DDR1 were accessed by MTT and Annexin V analyses using gain- and loss-of-function approaches. Chromatin immunoprecipitation (ChIP) and methylation specific PCR (MSP) were performed to explore the molecular mechanisms by arecoline treatment. Results: Here, we reported that DDR1 was significantly upregulated in OSCC tissues and its levels were inversely correlated with miR-486-3p expression. The experimental results in vitro confirmed that miR-486-3p decreased DDR1 expression by targeting the 3′-UTR of DDR1 mRNA. Overexpression of miR-486-3p led to growth inhibition and apoptosis induction with a similar function by knockdown of DDR1. Aberrant methylation of ANK1 promoter was a highly prevalent in OSCC and contributes to oral carcinogenesis by epigenetic silencing of ANK1 and miR-486-3p. We found that miR-486-3p can be transcriptionally co-regulated with its host gene ANK1 through epigenetic repression. DNA methylation inhibitor treatment re-expressed ANK1 and miR-486-3p. Importantly, arecoline, a major betel nut alkaloid, recruited DNMT3B binding to ANK1 promoter for DNA methylation and then attenuated the expression of miR-486-3p in OSCC. Conclusion: This study was the first to demonstrate that betel nut alkaloid may recruit DNMT3B to regulate miR-486-3p/DDR1 axis in oral cancer andmiR-486-3p and DDR1 may serve as potential therapeutic targets of oral cancer. ? 2019 The Author(s).","arecoline; discoidin domain receptor 1; DNA methyltransferase 3B; lipocortin 5; messenger RNA; microRNA; microRNA 486 3p; unclassified drug; ANK1 protein, human; ankyrin; arecoline; DDR1 protein, human; discoidin domain receptor 1; DNA (cytosine 5) methyltransferase; DNA methyltransferase 3B; microRNA; MIRN486 microRNA, human; 3' untranslated region; ANK1 gene; apoptosis; Article; cancer inhibition; cell proliferation; chromatin immunoprecipitation; controlled study; DNA methylation; gain of function mutation; gene expression; gene function; gene overexpression; human; human cell; human tissue; immunohistochemistry; in vitro study; loss of function mutation; luciferase assay; molecular mechanics; mouth squamous cell carcinoma; MTT assay; oncogene; priority journal; promoter region; protein expression; protein targeting; real time polymerase chain reaction; upregulation; aged; chemistry; genetics; HEK293 cell line; metabolism; mouth tumor; squamous cell carcinoma; tumor cell line; tumor suppressor gene; 3' Untranslated Regions; Aged; Ankyrins; Apoptosis; Arecoline; Carcinoma, Squamous Cell; Cell Line, Tumor; Cell Proliferation; Discoidin Domain Receptor 1; DNA (Cytosine-5-)-Methyltransferases; DNA Methylation; Genes, Tumor Suppressor; HEK293 Cells; Humans; MicroRNAs; Mouth Neoplasms; Promoter Regions, Genetic"
"Lysosomal cysteine protease cathepsin S is involved in cancer cell motility by regulating store-operated Ca2+ entry",2019,"Cathepsin S (CTSS), a lysosomal cysteine protease, has been reported to be associated with extracellular matrix (ECM) degradation, thus promoting cell migration and invasion, but whether CTSS regulates other intracellular mechanisms during metastasis remains unknown. The expression of CTSS was knocked down using siRNA transfection, and enzymatic activity was inhibited by the highly-selective CTSS inhibitor RJW-58. The results of in vitro functional assays, western blot analysis, and an in vivo colonization model demonstrated that CTSS was positively related to cellular adhesive ability. Moreover, both CTSS knockdown and inhibition significantly decreased Ca2+ influx via store-operated Ca2+ entry (SOCE) without changing STIM1 and Orai1 expression levels, while RJW-58 dose-dependently reduced the activation of the Ca2+-dependent downstream effectors, NFAT1 and Rac1. The results of immunoprecipitation assays demonstrated that CTSS could bind to STIM1, which was reversed by CTSS inhibition. In addition, confocal microscopy and super-resolution imaging showed that CTSS inhibition led to STIM1 puncta accumulation in the endoplasmic reticulum and reduced the interaction between active STIM1 and EB1. In conclusion, we have demonstrated for the first time that the lysosomal cysteine protease, CTSS, plays an important role in mediating Ca2+ homeostasis by regulating STIM1 trafficking, which leads to the suppression of cell migration and invasion. ? 2019 Elsevier B.V.","calcium ion; calcium release activated calcium channel 1; cathepsin S; eb1 protein; nfat1 protein; protein; Rac1 protein; small interfering RNA; stromal interaction molecule 1; unclassified drug; animal experiment; animal model; animal tissue; Article; cancer cell; cell adhesion; cell invasion; cell motility; confocal microscopy; controlled study; downstream processing; endoplasmic reticulum; enzyme activity; female; GBM8401 cell line; gene knockdown; genetic transfection; HEK293T cell line; human; human cell; immunoprecipitation; in vitro study; in vivo study; MDA-MB-231 cell line; mouse; NOD SCID mouse; nonhuman; OECM-1 cell line; PC-9 cell line; priority journal; store operated calcium entry; Western blotting"
"Distinct tumor microenvironment at tumor edge as a result of astrocyte activation is associated with therapeutic resistance for brain tumor",2019,"Tumor vasculatures and hypoxia are critical tumor microenvironmental factors associated with tumor response to the therapy and heterogeneous in both time- and location-dependent manner. Using a murine orthotopic anaplastic astrocytoma model, ALTS1C1, this study showed that brain tumor edge had a very unique microenvironment, having higher microvascular density (MVD) and better vessel function than the tumor core, but on the other hand was also positive for hypoxia markers, such as pimonidazole (PIMO), hypoxia inducible factor-1α (HIF-1α), and carbonic anhydrase IV (CAIX). The hypoxia at tumor edge was transient, named as peripheral hypoxia, and caused by different mechanisms from the chronic hypoxia in tumor core. The correlation of CAIX staining with astrocyte activation marker, glial fibrillary acid protein (GFAP), at the tumor edge indicated the involvement of astrocyte activation on the development of peripheral hypoxia. Peripheral hypoxia was a specific trait of orthotopic brain tumors at tumor edge, regardless of tumor origin. The hypoxic cells were resistant to the therapy, regardless of their location. Surviving cells, particularly those at the hypoxic region of tumor edge, are likely the cause of tumor recurrence after the therapy. New therapeutic platform that targets cells in tumor edge is likely to achieve better treatment outcomes. Copyright ? 2019 Lin, Yu, Huang, Chen, Hong and Chiang. This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.","carbonate dehydratase IV; carbonate dehydratase IX; glial fibrillary acidic protein; hypoxia inducible factor 1alpha; lectin; molecular marker; pimonidazole; temozolomide; ALT cell line; animal cell; animal experiment; animal tissue; Article; astrocyte; B16-F0 cell line; brain tumor; cancer chemotherapy; cancer radiotherapy; cancer transplantation; cell activation; cell culture technique; controlled study; disease marker; GL261 cell line; hypoxia; mouse; nonhuman; therapy resistance; tumor growth; tumor microenvironment; tumor vascularization"
"A highly efficient Au-MoS 2 nanocatalyst for tunable piezocatalytic and photocatalytic water disinfection",2019,"Clean water is essential in our daily life. However, nearly one billion people are forced to drink water contaminated with bacteria, leading to diarrhea, dehydration, and even death. Previously, various photocatalysts have been applied to replace high-cost and highly toxic methods for sewage treatment. Nevertheless, the requirement of external light sources limits their application. Herein, we develop a new type of nanocatalyst based on single- and few-layered molybdenum disulfide (MoS 2 ) nanosheets (NSs) that can catalyze the generation of reactive oxygen species (ROS) to inactivate bacteria either through a piezoelectric effect (mechanical vibration) or photocatalytic effect (light irradiation). After 60 min of mechanical vibration or visible-light irradiation, the MoS 2 NSs can reduce Escherichia coli (E. Coli) by 99.999%. In addition, the ROS generation efficiency and bacterial disinfection performance of the catalyst can be enhanced by depositing Au nanoparticles (NPs) on MoS 2 NSs. The period of mechanical vibration or visible-light irradiation that achieves the same 99.999% reduction in E. coli is shortened to 45 min. Moreover, a hybridization of the piezoelectric and photocatalytic effects results in a performance superior to that obtained with the individual effects. A 99.999% reduction in E. coli is also accomplished within 15 min through a combination of mechanical vibration and near-infrared (NIR)-light irradiation. This MoS 2 nanocatalyst is a promising candidate for nextgeneration water purification systems because of its ability to be triggered by diverse environmental stimuli. ? 2018 Elsevier Ltd","Disinfection; Escherichia coli; Gold nanoparticles; Infrared devices; Layered semiconductors; Light; Light sources; Molybdenum compounds; Nanocatalysts; Nanosheets; Piezoelectricity; Sewage treatment; Sulfur compounds; Vibrations (mechanical); Water pollution; Environmental stimuli; Escherichia coli (E. coli); Molybdenum disulfide; Photocatalytic effect; Piezocatalytic effect; Reactive oxygen species; Visible-light irradiation; Water purification systems; Irradiation"
"Foxm1 Transcription Factor Regulates Lung Adenocarcinoma Development",2019,"Foxm1 is a potential transcription factor that is abundantly expressed in highly proliferative human lung cancer cells. Foxm1 also strongly correlates to lung fibrosis, epithelial-mesenchymal transition (EMT) to enhance metastatic program during the lung adenocarcinoma development. Foxm1 plays a pivotal role in controlling cell cycle phase through the G1-S-G2 checkpoint. The increasing Foxm1 and K-ras oncogene expression significantly associate with tumor growth and poor prognosis that potentially modulate patient's mortality in a subject with lung carcinoma. The genetic evidence showed that the silencing of Foxm1 resulted in the decrease in lung tumorigenesis. Thus, Foxm1 may contribute in the future as the potential target for cancer therapy by reducing lung fibrosis, EMT, and tumor cell proliferation to improve patient's survival rate. ? 2019 IOP Publishing Ltd. All rights reserved.","Cell proliferation; Diagnosis; Diseases; Patient treatment; Transcription; Transcription factors; Tumors; Cell cycle phase; Epithelial-mesenchymal transition; Foxm1; Human lung cancer cells; K-ras oncogenes; lung adenocarcinoma; Potential targets; prognosis; Biological organs"
"Electrical cortical stimulation for refractory focal epilepsy: A long-term follow-up study",2019,"Objective: To report the long-term seizure control and safety of open-loop electrical cortical stimulation in patients with refractory focal epilepsy of diverse etiologies. Methods: Six patients who received a therapeutic trial of cortical stimulation were included retrospectively. The frequency of seizures was recorded before and after implantation. Surgical procedure- and stimulation-related adverse effects were also recorded. Results: The mean reductions in seizures were 61% at 1 year, 68% at 2 years, and 80% at 3–7 years post-implantation. The median follow-up time was 54 months (range 36–156 months). The etiologies of epilepsy included polymicrogyria in two patients, post-traumatic in one patient, and periventricular heterotopia, post-encephalitis, and familial lateral temporal lobe epilepsy in the remaining three patients. Status epilepticus stopped immediately after stimulation in three patients with focal status epilepticus or epilepsia partialis continua at baseline, with a long-term reduction in seizures of more than 90% and improvements in conscious level. Tissue incompatibility with the connection wire was noted in one patient, which subsided after the system was removed. Conclusions: Open-loop cortical stimulation of epileptic foci improved seizure control in our patients with refractory focal epilepsy of diverse etiologies. Electrical cortical stimulation stopped epilepsia partialis continua/focal status epilepticus immediately after the intervention and exhibited a sustained effect in reducing seizures. No procedure-related complications were observed. Further case cohort studies are needed to clarify which patients respond to open-loop cortical stimulation. ? 2019","adolescent; adult; Article; clinical article; disease control; drug resistant epilepsy; electrical cortical stimulation; electrostimulation; encephalitis; epileptic state; female; focal epilepsy; follow up; human; lateral temporal lobe epilepsy; male; microgyria; patient safety; periventricular heterotopia; priority journal; retrospective study; young adult; biophysics; brain cortex; complication; diagnostic imaging; drug resistant epilepsy; electroencephalography; electrotherapy; focal epilepsy; longitudinal study; nuclear magnetic resonance imaging; physiology; procedures; single photon emission computed tomography; treatment outcome; Adult; Biophysics; Cerebral Cortex; Drug Resistant Epilepsy; Electric Stimulation Therapy; Electroencephalography; Epilepsies, Partial; Female; Humans; Longitudinal Studies; Magnetic Resonance Imaging; Male; Retrospective Studies; Tomography, Emission-Computed, Single-Photon; Treatment Outcome"
