"文獻名稱.","年份","摘要","索引關鍵字"
"Determinants of the performance of traditional Chinese medicine clinics in Taiwan",2019,"The study attempts to investigate the features and determinants of the performance of Taiwanese Traditional Chinese Medicine (TCM) Clinics with data for 4905 TCM clinics over the 1998 to 2012 period. The empirical results from the fixed effects model and the Hausman-Taylor Model with cluster-robust standard errors reveal several interesting findings. First, consumer characteristics such as the frequency of disabling injuries has positive impacts on the volume of medical services provided by TCM clinics. These results imply that people are likely to select TCM as the option for medical treatment when they face the occurrence of physical injury in Taiwan. In addition, the scale measurements for TCM clinics including the numbers of physicians, medical personnel and divisions have significantly positive effects on the performance of TCM clinics, while their survival length also has the same effect. Finally, the global budget system under the NHI plays a key role in suppressing the revenue of TCM clinics through the peer review mechanism. ? 2019 Elsevier B.V.","Article; budget; Chinese medicine; cluster analysis; consumer; human; medical personnel; medical service; morbidity; national health insurance; overall survival; peer review; physical disability; physician; Taiwan; Taiwanese"
"Fabrication of redox-responsive Bi(mPEG-PLGA)-Se2 micelles for doxorubicin delivery",2019,"Stimuli-responsive polymeric nanostructures have emerged as potential drug carriers for cancer therapy. Herein, we synthesized redox-responsive diselenide bond containing amphiphilic polymer, Bi(mPEG-PLGA)-Se2 from mPEG-PLGA and 3,3′-diselanediyldipropanoic acid (DSeDPA) using DCC/DMAP as coupling agents. Due to its amphiphilic nature, Bi(mPEG-PLGA)-Se2 self-assembled in to stable micelles in aqueous solution with a hydrodynamic size of 123.9 ± 0.85 nm. The Bi(mPEG-PLGA)-Se2 micelles exhibited DOX-loading content (DLC) of 6.61 wt% and encapsulation efficiency (EE) of 54.9%. The DOX-loaded Bi(mPEG-PLGA)-Se2 micelles released 73.94% and 69.54% of their cargo within 72 h upon treatment with 6 mM GSH and 0.1% H2O2, respectively, at pH 7.4 and 37 °C. The MTT assay results demonstrated that Bi(mPEG-PLGA)-Se2 was devoid of any inherent toxicity and the DOX-loaded micelles showed pronounced antitumor activities against HeLa cells, 44.46% of cells were viable at maximum dose of 7.5 ?g/mL. The cellular uptake experiment further confirmed the internalization of DOX-loaded Bi(mPEG-PLGA)-Se2 micelles and endowed redox stimuli triggered drug release in cytosol and nuclei of cancer cells. Overall, the results suggested that the smart, biocompatible Bi(mPEG-PLGA)-Se2 copolymer could serve as potential drug delivery biomaterial for the controlled release of hydrophobic drugs in cancer cells. ? 2019","3,3' diselanediyldipropanoic acid; amphophile; copolymer; doxorubicin; methoxyl poly(ethylene glycol); nanocarrier; polyglactin; polymer; unclassified drug; antineoplastic antibiotic; doxorubicin; macrogol; methoxypolyethyleneglycol-poly(lactic-co-glycolic acid); polyester; antineoplastic activity; aqueous solution; Article; biocompatibility; cancer chemotherapy; cell nucleus; cell viability; cellular uptake; cellular, subcellular and molecular biological phenomena and functions; chemical bond; controlled drug release; controlled study; critical micelle concentration; cytosol; diselenide bond; drug delivery system; drug efficacy; drug stability; encapsulation efficiency; HaCat cell line; HeLa cell line; hydrodynamics; hydrophobicity; in vitro study; internalization; kinetic parameters; maximum permissible dose; micelle; micellization; MTT assay; nanoencapsulation; nanofabrication; nanopharmaceutics; oxidation reduction potential; particle size; pH; priority journal; cell line; cell survival; chemistry; drug effect; drug release; human; micelle; oxidation reduction reaction; Antibiotics, Antineoplastic; Cell Line; Cell Survival; Doxorubicin; Drug Delivery Systems; Drug Liberation; Humans; Micelles; Oxidation-Reduction; Polyesters; Polyethylene Glycols"
"One size fits all? In search of the desirable caption display for second language learners with different caption reliance in listening comprehension",2019,"Existing research has established captions as effective second-language (L2) or foreign language (FL) listening comprehension aids. However, due to the transient nature of captions, not all learners are capable of attending to captions in all cases. Previous work posited that to leverage the impact of technologies in learning and instruction, a better understanding of the interplay between technology and cognition is warranted. In this vein, the current study set out to investigate the effects of four different caption modes (full vs. partial vs. real-time vs. control) on the listening comprehension of 95 high-intermediate Taiwanese learners of English as a foreign language (EFL) with different caption reliance (i.e. more-caption-reliant vs. less-caption-reliant). The results showed no significant difference between the participants’ listening comprehension outcomes under the four caption conditions when their caption reliance was not considered. However, when this was considered, the differences among the four caption conditions became salient, which was suggestive of the selective effect of captions on L2 learners with different caption reliance. While less-caption-reliant L2 learners had the best listening comprehension outcome under the partial-caption condition and the worst under the full-caption condition, more-caption-reliant L2 learners exhibited the best performance under the full-caption condition yet the worst under the partial-caption condition. The finding underscores the importance of considering L2 learners’ processing profiles when utilizing captioned videos as multimodal instructional/learning materials and speaks to the need of utilizing differentiated video materials for optimal listening outcomes. ? The Author(s) 2019.",""
"Recent advances in tungsten-oxide-based materials and their applications",2019,"Among several active photothermal nanomaterials, tungsten-oxide-based materials have received considerable attention recently because of their ability to absorb near-infrared (NIR) light and their efficient light-to-heat conversion properties. In addition, tungsten-oxide-based materials have an unusual oxygen defect structure and strong local surface plasma resonance (LSPR), which offers strong photoabsorption in a broad wavelength range of the NIR region. In the past, several light-absorbing nanomaterials such as noble metals, polymeric materials, and other inorganic nanomaterials were of interest for their use in photothermal therapy for cancer treatment. In this study, we review the synthesis, properties, and applications of tungsten-oxide-based nanomaterials as a new type of photothermal material. The basic ideas behind photothermal nanomaterial development as well as the factors that influence their structural designs are also discussed in this study. In addition, recent progress in various fields such as NIR light-shielding, pyroelectric, water evaporation, photocatalysis, gas sensors, and energy-related applications for WO 3?x - and M x WO 3 -based nanomaterials (including their hybrids) are highlighted. Finally, this review presents promising insights into this rapidly growing field that may inspire additional research leading to practical applications. ? 2019 Wu, Naseem, Chou, Wang and Jian.",""
"Oligopeptide-side chained alginate nanocarrier for melittin-targeted chemotherapy",2019,"A melittin-targeting drug carrier was successfully synthesized by the grafting of sodium alginate to an oligopeptide via an amidation method at different oligopeptide:alginate unit molar ratios. The average sizes of the oligopeptide–alginate nanoparticles formed in the presence of 1 mM CaCl2 decreased with increasing oligopeptide contents, indicating intramolecular interactions between oligopeptide-side chains. While the doxorubicin-loading efficiency on nanoparticles (0.1:1) was similar to that of alginate nanoparticles, the melittin-loading onto oligopeptide–alginate nanoparticles (0.1:1) was more than double that onto alginate nanoparticles, suggesting the specific interaction of melittin with the oligopeptide-side chain in the oligopeptide–alginate nanoparticles. While 2.5 μM free melittin caused almost no damage to Caco-2 cells, more than 80% of cells did not survive under the dose of 2.5 μM melittin-loaded oligopeptide–alginate nanoparticles. The results confirm that the derivation of an oligopeptide-side chain in alginate offers a specific binding site for melittin and effectively works in cancer chemotherapy. ? 2019, The Society of Polymer Science, Japan.","Chemotherapy; Chlorine compounds; Molar ratio; Nanoparticles; Peptides; Sodium alginate; Cancer Chemotherapy; Intramolecular interactions; Loading efficiency; Nanocarriers; Oligopeptides; Specific binding; Specific interaction; Targeted chemotherapy; Targeted drug delivery"
"Non-Anticoagulant Heparin Prodrug Loaded Biodegradable and Injectable Thermoresponsive Hydrogels for Enhanced Anti-Metastasis Therapy",2019,"Metastasis is a pathogenic spread of cancer cells from the primary site to surrounding tissues and distant organs, making it one of the primary challenges for effective cancer treatment and the major cause of cancer mortality. Heparin-based biomaterials exhibit significant inhibition of cancer cell metastasis. In this study, a non-anticoagulate heparin prodrug is developed for metastasis treatment with a localized treatment system using temperature sensitive, injectable, and biodegradable (poly-(ε-caprolactone-co-lactide)-b-poly(ethylene glycol)-b-poly(ε-caprolactone-co-lactide) polymeric hydrogel. The drug molecule (heparin) is conjugated with the polymer via esterification, and its sustained release is ensured by hydrolysis and polymeric biodegradation. An aqueous solution of the polymer could be used as an injectable solution at below 25 °C and it achieves gel formation at 37 °C. The anti-metastasis effect of the hydrogels is investigated both in vitro and in vivo. The results demonstrated that local administration of injectable heparin-loaded hydrogels effectively promote an inhibitory effect on cancer metastasis. ? 2019 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Biodegradable polymers; Biodegradation; Cells; Conjugated polymers; Diseases; Drug products; Hydrogels; Polyethylene glycols; Polysaccharides; Sol-gel process; Sol-gels; heparin; Injectable hydrogels; Injectable solutions; Localized treatment; metastasis treatment; Temperature sensitive; Thermo-responsive; Thermo-responsive hydrogels; Pathology; antimetastatic agent; copolymer; heparin derivative; n acetylated heparin; poly(epsilon caprolactone co lactide) b poly(ethylene glycol) b poly(epsilon caprolactone co lactide); unclassified drug; anticoagulant agent; drug carrier; heparin; prodrug; animal experiment; animal model; animal tissue; aqueous solution; Article; biodegradation; controlled study; drug efficacy; drug hydrolysis; esterification; experimental lung metastasis; female; gelation; heat sensitivity; human; human cell; hydrogel; in vitro study; in vivo study; male; metastasis inhibition; mouse; nonhuman; proof of concept; sustained drug release; temperature sensitivity; zeta potential; animal; Bagg albino mouse; chemistry; drug screening; experimental neoplasm; HeLa cell line; metabolism; metastasis; nude mouse; pathology; pharmacokinetics; pharmacology; Animals; Anticoagulants; Drug Carriers; HeLa Cells; Heparin; Humans; Hydrogels; Male; Mice; Mice, Inbred BALB C; Mice, Nude; Neoplasm Metastasis; Neoplasms, Experimental; Prodrugs; Xenograft Model Antitumor Assays"
"Diselenide linkage containing triblock copolymer nanoparticles based on Bi(methoxyl poly(ethylene glycol))-poly(ε-carprolactone): Selective intracellular drug delivery in cancer cells",2019,"Redox-responsive diselenide bond containing triblock copolymer Bi(mPEG-SeSe)-PCL,Bi(mPEG-SeSe)-PCL was developed for specific drug release in cancer cells. Initially, ditosylated polycaprolactone was prepared via the reaction between polycaprolactone diol (PCL-diol) and tosyl chloride (TsCl). Next, Bi(mPEG-SeSe)-PCL was synthesized via the reaction between ditosylated polycaprolactone and sodium diselenide initiated poly (ethylene glycol) methyl ether tosylate. The synthesized amphiphilic triblock copolymer could self-assemble into uniform nanoparticles in aqueous medium and disassemble upon redox stimuli. The Bi(mPEG-SeSe)-PCL nanoparticles showed a DOX loading content of 5.1 wt% and a loading efficiency of 49%. In vitro drug release studies showed that about 62.4% and 56% of DOX was released from the nanoparticles during 72 h at 37 °C in PBS containing 2 mg/mL (6 mM) GSH and 0.1% H2O2, respectively, whereas only about 30% of DOX was released in PBS under the same conditions. The cell viability (MTT assays) results showed that the synthesized material was biocompatible with above 90% cell viability, and that the DOX-loaded Bi(mPEG-SeSe)-PCL nanoparticles had a high antitumor activity against HeLa cells and low antitumor activity against HaCaT cells, following a 24-h incubation period. Three-dimensional (3D) spheroids of HeLa cells were established for the evaluation of localization of the DOX-loaded nanoparticles into spheroids cells and the successfully inhibition of 3D tumor spheroid growth. The results indicated that the synthesized material Bi(mPEG–SeSe)-PCL was biocompatible and it could be a potential candidate for anticancer drug delivery system. ? 2019 Elsevier B.V.","Biocompatibility; Biological materials; Block copolymers; Calcium compounds; Chlorine compounds; Controlled drug delivery; Cytology; Diseases; Drug products; Ethylene glycol; Lanthanum compounds; Nanoparticles; Polyethylene glycols; Polyols; Selenium compounds; Sodium compounds; Sulfur compounds; Targeted drug delivery; 3D-Spheroids; Amphiphilic triblock copolymers; Anti-cancer drug delivery; Diselenide; Intracellular drug delivery; Polycaprolactone diols; Redox-responsive; Threedimensional (3-d); Synthesis (chemical)"
"Reduction of lipid contamination in MR spectroscopy imaging using signal space projection",2019,"Purpose: Lipid contamination can complicate the metabolite quantification in MR spectroscopic imaging (MRSI). In addition to various experimental methods demonstrated to be feasible for lipid suppression, the postprocessing method is beneficial in the flexibility of applications. In this study, the signal space projection (SSP) algorithm is proposed to suppress the lipid signal in the MRSI. Methods: The performance of lipid suppression using SSP and SSP combined with the Papoulis-Gerchberg (PG) algorithm (PG+SSP) is examined in 2D MRSI data and the results were compared with outer volume saturation (OVS) methods. Up to 10 lipid spatial components were extracted by SSP from lipid signals in the range of 0.8~1.5 ppm. Results: Our results show that most lipid signals were found in the first 4 to 5 components and that lipid signals on the spectra can be suppressed using 4 to 5 components. Metabolites concentrations were quantified using LCModel. Two regions of interest (ROIs) were manually selected on the peripheral and inner brain regions. The quantification of metabolites in terms of fitting reliability (CRLB) and spatial variations within ROIs (SpaVar) is improved using SSP. When 5 to 6 components were used in SSP and PG+SSP, the metabolite concentrations and the associated SpaVar and CRLB are at the same level as those from the OVS. Conclusion: We have demonstrated that the SSP method can be used to suppress the lipid signals of MRSI and SSP with 5 to 6 components is suggested to have a similar suppression performance as the OVS method. ? 2018 International Society for Magnetic Resonance in Medicine","lipid; algorithm; Article; comparative study; contamination; controlled study; human; image analysis; image processing; mathematical computing; nuclear magnetic resonance spectroscopy; Papoulis Gerchberg algorithm; performance; radiological parameters; signal noise ratio; signal space projection algorithm; voxel based morphometry"
"Cellulose binding domain fusion enhanced soluble expression of fructosyl peptide oxidase and its simultaneous purification and immobilization",2019,"Hemoglobin A1c (HbA1c) is a hemoglobin molecule in which the N-terminal valine residue of the β subunit has been grafted with the glucose in blood. Its detection has important implications for the diagnosis of diabetes. Enzymatic colorimetric method using fructosyl peptide oxidase (FPO) is simple and rapid for HbA1c detection. A FPO mutant with enhanced activity was constructed and produced by E. coli; however, most of expressed mutant FPO was insoluble. Significantly enhanced expression solubility was achieved when cellulose-binding domain (CBD) from Clostridium thermocellum was fused to the N-terminal of FPO mutant. Via the high affinity interaction between CBD and cellulose, the CBD fusion also facilitated the simultaneous purification and immobilization of FPO directly from E. coli cells lysate using bacterial cellulose (BC) nanofibrils as a matrix of very high specific area. A never-dried and water durable nanocellulose film with FPO activity could be easily obtained by collecting the FPO immobilized BC nanofibrils suspension on the surface of a microfiltration membrane. The activity of the ready-use FPO nanocellulose film was stable at least 7 days at room temperature for the detection of HbA1c level of 5.3–11% in blood samples. ? 2019","cellulose derivative; fructosyl peptide oxidase; hemoglobin A1c; oxidoreductase; unclassified drug; cellulose; fructosyl-peptide oxidase; fusion protein; glycosylated hemoglobin; hemoglobin A1c protein, human; immobilized enzyme; oxidoreductase; amino terminal sequence; Article; bacterial cell; binding affinity; blood sampling; Clostridium thermocellum; colorimetry; enzyme activity; enzyme binding; enzyme immobilization; enzyme purification; Escherichia coli; microfiltration; nonhuman; protein expression; chemistry; gene expression; genetic procedures; genetics; human; isolation and purification; metabolism; mutation; protein domain; Amino Acid Oxidoreductases; Biosensing Techniques; Cellulose; Clostridium thermocellum; Enzymes, Immobilized; Escherichia coli; Gene Expression; Glycated Hemoglobin A; Humans; Mutation; Protein Domains; Recombinant Fusion Proteins"
"Nanodiamond-supported silver nanoparticles as potent and safe antibacterial agents",2019,"Since its discovery nearly a century ago, antibiotics has been one of the most effective methods in treating infectious diseases and limiting pathogen spread. However, pathogens often build up antibiotic resistance over time, leading to serious failure of the treatment. Silver nanoparticle (AgNP) is an appealing alternative, but successful treatment of the bacterial infection requires a plentiful supply of AgNP, which can negatively impact human health if people are excessively exposed to the particles. Here, we present a method to overcome this challenge by synthesizing nanodiamond-supported AgNP noncovalently conjugated with albumin molecules to achieve enhanced antibacterial activity and strengthened biocompatibility. Using Escherichia coli as a model bacterium, we found that the albumin-conjugated silver-diamond nanohybrids showed a long-term bactericidal effect after 36 days of the treatment at the AgNP concentration of 250 ?g mL?1. Moreover, the toxicity of the nanohybrids to human cells (including human fibroblasts, lung adenocarcinoma epithelial cells, and breast adenocarcinoma cells) is low even at the particle concentration of 500 ?g mL?1. The method provides a general and practical solution to the concerns of bacterial resistance against AgNP and issues associated with the size, shape, aggregation, and toxicity of AgNP are largely resolved. Finally, we demonstrate that the nanohybrids can be readily incorporated into natural polysaccharides (such as guar gum) to form three-in-one hydrogels, showing promising applications in nanomedicine. ? 2019, The Author(s).",""
