"文獻名稱.","年份","摘要","索引關鍵字"
"Bradykinin B1 receptor contributes to interleukin-8 production and glioblastoma migration through interaction of STAT3 and SP-1",2019,"Glioblastoma (GBM), the most aggressive brain tumor, has a poor prognosis due to the ease of migration to surrounding healthy brain tissue. Recent studies have shown that bradykinin receptors are involved in the progression of various cancers. However, the molecular mechanism and pathological role of bradykinin receptors remains unclear. We observed the expressions of two major bradykinin receptors, B1R and B2R, in two different human GBM cell lines, U87 and GBM8901. Cytokine array analysis showed that bradykinin increases the production of interleukin (IL)-8 in GBM via B1R. Higher B1R levels correlate with IL-8 expression in U87 and GBM8901. We observed increased levels of phosphorylated STAT3 and SP-1 in the nucleus as well. Using chromatin immunoprecipitation assay, we found that STAT3 and SP-1 mediate IL-8 expression, which gets abrogated by the inhibition of FAK and STAT3. We further demonstrated that IL-8 expression and cell migration are also regulated by the SP-1. In addition, expression levels of STAT3 and SP-1 positively correlate with clinicopathological grades of gliomas. Interestingly, our results found that inhibition of HDAC increases IL-8 expression. Moreover, stimulation with bradykinin caused increases in acetylated SP-1 and p300 complex formation, which are abrogated by inhibition of FAK and STAT3. Meanwhile, knockdown of SP-1 and p300 decreased the augmentation of bradykinin-induced IL-8 expression. These results indicate that bradykinin-induced IL-8 expression is dependent on B1R which causes phosphorylated STAT3 and acetylated SP-1 to translocate to the nucleus, hence resulting in GBM migration. ? 2018 Elsevier Ltd","bradykinin; bradykinin B1 receptor; bradykinin B2 receptor; E1A associated p300 protein; focal adhesion kinase; interleukin 8; STAT3 protein; transcription factor Sp1; bradykinin; bradykinin B1 receptor; bradykinin B2 receptor; E1A associated p300 protein; EP300 protein, human; IL8 protein, human; interleukin 8; Sp1 protein, human; STAT3 protein; STAT3 protein, human; transcription factor Sp1; Article; cell migration; cell motility; cell nucleus; cellular distribution; chromatin immunoprecipitation; controlled study; cytokine production; enzyme inhibition; GBM8901 cell line; glioblastoma; glioblastoma cell line; glioma cell; human; human cell; priority journal; protein acetylation; protein expression; protein function; protein localization; protein phosphorylation; protein protein interaction; transcription regulation; U87 cell line; acetylation; brain tumor; cell motion; drug effect; gene expression regulation; glioblastoma; metabolism; phosphorylation; physiology; signal transduction; tumor cell line; Acetylation; Bradykinin; Brain Neoplasms; Cell Line, Tumor; Cell Movement; Cell Nucleus; E1A-Associated p300 Protein; Gene Expression Regulation, Neoplastic; Glioblastoma; Humans; Interleukin-8; Phosphorylation; Receptor, Bradykinin B1; Receptor, Bradykinin B2; Signal Transduction; Sp1 Transcription Factor; STAT3 Transcription Factor"
"Factors associated with antimuscarinic drug persistence and increasing drug persistence after switching to mirabegron for overactive bladder patients",2019,"Purpose: To evaluate long-term antimuscarinic drug persistence and its associated characteristics in patients with overactive bladder (OAB) treated with antimuscarinic agents. We also assessed the efficacy and safety of switching from solifenacin to mirabegron in patients refractory to antimuscarinic therapy. Methods: In this prospective, open-label, 48-month study, 416 patients (mean age, 70.6 ± 12.4 years) were enrolled. All patients completed the overactive bladder symptom score and urgency severity score questionnaires, along with initial and follow-up uroflowmetry. All patients received antimuscarinic solifenacin 5 mg daily. Mirabegron (25 mg daily) was suggested in patients that were refractory to antimuscarinic therapy or had intolerable side effects. Results: The mean solifenacin persistence was 6.6 ± 8.1 months (range, 0.5–48 months). Only 81 (19.5%) patients had drug persistence of ?12 months. Male sex, age, cerebral vascular accident, maximum flow rate, and post-void residual were associated with solifenacin persistence in the univariate analysis. Age (odds ratio [OR], 0.14; 95% CI, 0.08–0.21) was the only independent predictor in the multivariate logistic regression. Of the 416 patients, 171 (60.8%) changed from solifenacin to mirabegron for due to the persistence of OAB symptoms. The switch resulted in a significantly longer period of actual OAB pharmacotherapy (9.3 ± 9.2 vs 13.3 ± 9.3 months, p < 0.001). Conclusion: Long-term drug persistence of solifenacin was low during the 2-year follow-up. Age was an independent factor associated with longer drug persistence. Switching from solifenacin to mirabegron was an effective and safe alternative for OAB patients that were refractory to solifenacin treatment. ? 2018","mirabegron; solifenacin; acetanilide derivative; mirabegron; muscarinic receptor blocking agent; solifenacin; thiazole derivative; adult; aged; Article; cerebrovascular accident; disease association; disease severity; drug efficacy; drug safety; drug substitution; drug withdrawal; female; flow rate; follow up; human; logistic regression analysis; long term care; major clinical study; male; medical history; observational study; overactive bladder; patient referral; postvoid residual urine volume; prediction; prescription; prospective study; prostate volume; risk factor; transrectal ultrasonography; treatment duration; treatment outcome; univariate analysis; uroflowmetry; middle aged; multivariate analysis; overactive bladder; severity of illness index; statistical model; very elderly; Acetanilides; Aged; Aged, 80 and over; Female; Humans; Logistic Models; Male; Middle Aged; Multivariate Analysis; Muscarinic Antagonists; Prospective Studies; Severity of Illness Index; Solifenacin Succinate; Thiazoles; Treatment Outcome; Urinary Bladder, Overactive"
"Better care of urological diseases",2019,"[無可用摘要]","programmed death 1 ligand 1; Article; cancer immunotherapy; cerebrovascular accident; hemostasis; human; lower urinary tract symptom; medical practice; patient care; peer review; percutaneous nephrolithotomy; pheochromocytoma; priority journal; publication; robot-assisted prostatectomy; science; scientist; sexual function; staghorn stone; surgical technique; Taiwan; transitional cell carcinoma; urinary tract disease; urology"
"Overexpression of LGR-5 as a predictor of poor outcome in patients with hepatocellular carcinoma",2019,"Hepatocarcinogenesis and distant metastasis pose major challenges for physicians. They are regulated by several genes, such as AKT, JUK, Wnt, and P53, and their expression activates several important processes such as cell proliferation, migration, motility, and interaction in the microenvironment. The leucine-rich repeat-containing G-protein-coupled receptor 5 (LGR-5) is a novel biomarker, particularly in stem cells, and is involved in embryogenesis, tumor development, and tumor cell signal transduction. Here, we investigated LGR-5 expression using immunohistochemistry and analyzed the correlation between clinical features and prognosis in patients with hepatocellular carcinoma (HCC). We found that LGR-5 expression was higher in tumor tissues than in normal liver tissues, and that high LGR-5 expression possibly favored poor outcomes in HCC, especially in well/moderate differentiation grade, hepatitis C virus (HCV)-negative, and hepatitis B virus (HBV)-positive groups. Thus, the LGR-5 marker is suggested to be a routine biomarker for poor prognosis, thereby providing a platform for anti-LGR-5-targeted therapy in the future. ? 2019 by the authors. Licensee MDPI, Basel, Switzerland.","beta catenin; leucine rich repeat containing G protein coupled receptor 5; unclassified drug; G protein coupled receptor; LGR5 protein, human; biomarker; cancer; future prospect; gene expression; immunoassay; protein; tumor; adolescent; adult; aged; Article; cancer grading; cancer patient; cancer prognosis; cancer recurrence; cancer staging; cancer tissue; Child Pugh score; clinical feature; clinical outcome; controlled study; disease association; female; hepatitis B; hepatitis C; human; human tissue; immunohistochemistry; liver cell carcinoma; major clinical study; male; outcome assessment; overall survival; prediction; predictive value; prospective study; protein expression; protein function; survival rate; survival time; Taiwanese; tumor volume; cell motion; gene expression; genetics; liver cell carcinoma; liver tumor; middle aged; pathophysiology; prognosis; Taiwan; tumor microenvironment; Hepatitis B virus; Hepatitis C virus; Aged; Carcinoma, Hepatocellular; Cell Movement; Female; Gene Expression; Humans; Immunohistochemistry; Liver Neoplasms; Male; Middle Aged; Prognosis; Receptors, G-Protein-Coupled; Taiwan; Tumor Microenvironment"
"Human leukocyte antigen-A?33:03-B?58:01-DRB1?15:140, a deduced probable human leukocyte antigen haplotype in association with a human leukocyte antigen low-incidence allele DRB1?15:140 in Taiwanese individuals: A case analysis",2019,"Objective: Human leukocyte antigen (HLA)-DRB1?15:140 is a low-frequency allele in the HLA-DRB1 locus. The aim of this study is to confirm the ethnicity of DRB1?15:140 and to deduce a probable HLA-DRB1?15:140-associated HLA haplotype in Taiwanese individuals. Materials and Methods: A total of 1815 healthy unrelated Taiwanese individuals and 14,562 unrelated mainland Chinese individuals were tested for HLA using a sequence-based typing method. Polymerase chain reaction was performed to amplify exons 2 and 3 of the HLA-A and HLA-B loci and exons 1 and 2 of the HLA-DRB1 locus using group-specific primer sets. The amplicons were sequenced in both directions with the BigDye Terminator Cycle Sequencing Ready Reaction Kit according to the manufacturer's protocols. Results: The DNA sequence of HLA-DRB1?15:140 is identical to DRB1?15:02:01:01 in exons 1 and 2, except at residue 91 of DRB1?15:02:01:01 where a G in DRB1?15:02:01:01 is replaced by an A in DRB1?15:140 (codon 2; GAC->AAC). The nucleotide substitution in exon 1 introduces a one amino acid substitution at residue 2 where an aspartic acid (D) in DRB1?15:02:01:01 is replaced by an asparagine (N) in DRB1?15:140. We deduced the probable HLA haplotype associated with DRB1?15:140 in Taiwanese to be HLA-A?33:03-B?58:01-DRB1?15:140. Conclusion: Information on the ethnicity and distribution of DRB1?15:140 and its deduced probable HLA haplotype in association with the low-incidence allele is of value for HLA-testing laboratories for reference purposes and can help bone marrow donor registries find compatible donors for patients with this uncommon HLA allele. ? 2018 Tzu Chi Medical Journal","asparagine; aspartic acid; HLA A antigen; HLA A33 antigen; HLA B antigen; HLA B58 antigen; HLA DRB1 antigen; nucleotide; unclassified drug; amino acid substitution; amplicon; Article; DNA sequence; exon; haplotype; human; major clinical study; polymerase chain reaction; Taiwanese"
"Five-year clinical outcomes of local versus general anesthesia deep brain stimulation for Parkinson's disease",2019,"Background. Studies comparing long-term outcomes between general anesthesia (GA) and local anesthesia (LA) for STN-DBS in Parkinson's disease (PD) are lacking. Whether patients who received STN-DBS in GA could get the same benefit without compromising electrophysiological recording is debated. Methods. We compared five-year outcomes for different anesthetic methods (GA vs LA) during STN-DBS for PD. Thirty-six consecutive PD patients with similar preoperative characteristics, including age, disease duration, and severity, underwent the same surgical procedures except the GA (n=22) group with inhalational anesthesia and LA (n=14) with local anesthesia during microelectrode recording and intraoperative macrostimulation test. Surgical outcome evaluations included Unified Parkinson's Disease Rating Scale (UPDRS), Mini-Mental Status Examinations, and the Beck Depression Inventory. Stimulation parameters and coordinates of STN targeting were also collected. Results. Both groups attained similar benefits in UPDRS part III from STN-DBS (GA 43.2 ± 14.1% vs. LA 46.8 ± 13.8% decrease, p=0.45; DBS on/Med off vs. DBS off/Med off) and no difference in reduction of levodopa equivalent doses (GA 47.56 ± 18.98% vs. LA 51.37 ± 31.73%, p=0.51) at the five-year follow-up. In terms of amplitude, frequency, and pulse width, the stimulation parameters used for DBS were comparable, and the coordinates of preoperative targeting and postoperative electrode tip were similar between two groups. There was no difference in STN recording length as well. Significantly less number of MER tracts in GA was found (p=0.04). Adverse effects were similar in both groups. Conclusions. Our study confirmed that STN localization with microelectrode recording and patient comfort could be achieved based on equal effectiveness and safety of STN-DBS under GA compared with LA. ? 2019 Sheng-Tzung Tsai et al.","cisatracurium; desflurane; fentanyl; levodopa; local anesthetic agent; propofol; rocuronium; sevoflurane; adult; anesthesia induction; Article; Beck Depression Inventory; brain depth stimulation; brain hemorrhage; clinical article; clinical outcome; comparative effectiveness; confusion; controlled study; disease duration; disease severity; dysarthria; dyskinesia; electrode implantation; electrophysiological procedures; endotracheal intubation; female; follow up; general anesthesia; human; hypomania; hypophonia; inhalation anesthesia; libido disorder; local anesthesia; lung edema; male; mania; memory disorder; Mini Mental State Examination; minimum lung alveolus concentration; neuronavigation; paresthesia; Parkinson disease; patient comfort; side effect; stereotactic procedure; subthalamic nucleus; Unified Parkinson Disease Rating Scale; x-ray computed tomography"
"Inhibiting two cellular mutant epidermal growth factor receptor tyrosine kinases by addressing computationally assessed crystal ligand pockets",2019,"Aim: Blocking receptor tyrosine kinases is a useful strategy for inhibiting the overexpression of EGFR. However, the quality of crystal pocket is an essential issue for virtually identifying new leads for surviving resistance cancer cells. Results: With the examinating crystal pocket quality by the self-docking root-mean-square deviation (RMSD) calculation, we used the two best kinase pockets of mutant EGFR kinases, T790M/L858R and G719S, for virtual screening. After sorting all the docking poses of the 57,177 library compounds by consensus scores, three evidently blocked cellular EGFR phosphorylation in the H1975 and SW48 cell lines. Conclusion: The computationally assessed qualities of crystal pockets of crystal EGFR kinases can help identify new cellular active and target-specific ligands rapidly and at low cost. ? 2019 Ying-Ting Lin, Chi-Huei Wang, Jia-Hau Lee, Wei-Chen Lin, Tsung-Kai Wen.","enzyme inhibitor; epidermal growth factor receptor; gefitinib; protein tyrosine kinase; y 11; y 17; y 28; y 30; EGFR protein, human; epidermal growth factor receptor; ligand; protein kinase inhibitor; Article; cancer cell; cancer resistance; cancer screening; controlled study; drug inhibition; human; human cell; IC50; molecular docking; NCI-H1975 cell line; priority journal; protein expression; protein phosphorylation; SW48 cell line; chemistry; drug design; genetics; molecular library; mutation; pharmacology; tumor cell line; Cell Line, Tumor; Drug Design; ErbB Receptors; Humans; Ligands; Molecular Docking Simulation; Mutation; Protein Kinase Inhibitors; Small Molecule Libraries"
"Angiotensin II receptor blockade is associated with preserved muscle strength in chronic hemodialysis patients",2019,"Background: Sarcopenia, defined as low muscle mass and strength, is highly prevalent in patients undergoing chronic hemodialysis (HD). However, muscle function and muscle mass do not share the same clinical relevance. In fact, muscle strength was more closely associated with the risk of mortality in chronic HD patients than was muscle mass. Therefore, to identify the risk factors of muscle weakness is vital. Angiotensin II overexpression had been recognized to impair skeletal muscle strength. Accordingly, angiotensin II receptor blockers (ARBs) potentially possess a muscle protective effect. This cross-sectional study aimed to identify the factors associated with low muscle strength and to explore the relationship between ARB use and muscle strength in chronic HD patients. Methods: A total of 120 chronic HD patients, aged 63.3 ± 13.2 years, were included in this study. Basic characteristics, handgrip strength (HGS), body composition, and nutritional status were assessed, and blood samples for biochemical tests were obtained. We divided these participants into normal- and low HGS groups according to the consensus of the European Working Group on Sarcopenia in Older People (EWGSOP). Results: We observed that 78 (65.0%) patients had low HGS. In our cohort, we found that height (r = 0.653; P < 0.001), weight (r = 0.496; P < 0.001), body mass index (r = 0.215; P = 0.020), skeletal muscle index (r = 0.562; P < 0.001), albumin (r = 0.197; P = 0.032), and serum creatinine (r = 0.544; P < 0.001) were positively and age (r = - 0.506; P < 0.001), subjective global assessment (SGA) score (r = - 0.392; P < 0.001), fractional clearance index for urea (Kt/V) (r = - 0.404; P < 0.001) and urea reduction ratio (URR) (r = - 0.459; P < 0.001) were negatively correlated with HGS. According to our analysis, age (Odds ratio, OR = 1.11, 95% confidence interval, 95% CI = 1.05-1.17, P < 0.001), HD duration (OR = 1.01, 95% CI = 1.00-1.02, P = 0.010), diabetes (OR = 13.33, 95% CI = 3.45-51.53, P < 0.001), Kt/V (OR = 1.61, 95% CI = 1.06-2.46, P = 0.027), and SGA score (OR = 1.19, 95% CI = 1.03-1.38, P = 0.017) were regarded as independent predictors of low HGS. In contrast, ARB use (OR = 0.25, 95% CI = 0.07-0.93, P = 0.039) was independently associated with preserved HGS in chronic HD patients, after adjustment for multiple confounding factors. Conclusions: Our study is the first report in chronic HD patients to indicate a potentially protective effect of ARB on muscle strength. However, further longitudinal follow-up and intervention studies are needed to confirm this finding. ? 2019 The Author(s).","albumin; angiotensin receptor antagonist; creatinine; urea; angiotensin 1 receptor antagonist; angiotensin receptor antagonist; adult; age; aged; albumin blood level; Article; body composition; body height; body mass; body weight; clinical assessment; cohort analysis; creatinine blood level; cross-sectional study; diabetes mellitus; disease association; drug effect; drug use; female; follow up; fractional clearance index for urea; Global Assessment of Functioning; grip strength; hemodialysis; hemodialysis patient; human; longitudinal study; major clinical study; male; middle aged; muscle strength; muscle weakness; nutritional status; renal system parameters; risk factor; sarcopenia; skeletal muscle; treatment duration; adverse event; blood; chronic kidney failure; comparative study; complication; hand strength; muscle strength; sarcopenia; very elderly; Aged; Aged, 80 and over; Angiotensin II Type 1 Receptor Blockers; Angiotensin Receptor Antagonists; Body Composition; Cross-Sectional Studies; Female; Hand Strength; Humans; Kidney Failure, Chronic; Male; Middle Aged; Muscle Strength; Nutritional Status; Renal Dialysis; Sarcopenia"
"Association between pulmonary tuberculosis and acid suppressive agents",2020,"[無可用摘要]",""
"Risk of obstructive sleep apnea in patients with bipolar disorder: A nationwide population-based cohort study in Taiwan",2019,"Aim: Previous studies have found a high prevalence of risk factors for obstructive sleep apnea (OSA) in patients with bipolar disorder (BD). This study aimed to determine whether BD patients are associated with an increased risk of incident OSA. Methods: Using the National Health Insurance Research Database of Taiwan, 3650 BD patients and 18 250 non-BD controls matched by sex and age were enrolled between 2000 and 2010 and followed until the end of 2013. Patients who developed OSA confirmed by a polysomnographic examination during the follow-up period were identified. Cox regression analysis was performed to examine the risk of OSA between BD patients and comparative controls. Results: BD patients were prone to developing OSA in the crude analysis (hazard ratio [HR]: 1.63, 95% confidence interval [CI]: 1.07–2.49). After adjusting for demographics and comorbidities, the HR declined and was only marginally significant (HR: 1.54, 95%CI: 0.99–2.37). The stratification analysis by sex revealed that the risk trend with BD and subsequent OSA was mainly contributed by male BD patients (HR: 1.72, 95%CI: 1.02–2.91) and female BD patients weakened the overall association. Additionally, this study found that older age, higher income, living in urbanized areas, and some metabolic comorbidities were potential risk factors for developing OSA. Conclusion: This study shows that male BD patients are associated with an increased risk of OSA, which has direct implications for the development of targeted prevention interventions or the implementation of a screening algorithm for OSA to reduce its negative health impact. ? 2018 The Authors. Psychiatry and Clinical Neurosciences ? 2018 Japanese Society of Psychiatry and Neurology","adult; age; Article; bipolar disorder; cohort analysis; comorbidity; controlled study; demography; diabetes mellitus; disease predisposition; female; follow up; hazard ratio; human; hyperlipidemia; hypertension; income; major clinical study; male; metabolic disorder; middle aged; obesity; polysomnography; population research; proportional hazards model; risk assessment; risk factor; sex difference; sleep disordered breathing; social status; Taiwan; urban rural difference; bipolar disorder; public health; sleep disordered breathing; statistics and numerical data; young adult; Adult; Bipolar Disorder; Cohort Studies; Comorbidity; Female; Humans; Male; Middle Aged; National Health Programs; Risk Factors; Sleep Apnea, Obstructive; Taiwan; Young Adult"
