Ranking,Uni.Name,Continent,Country,Latitude,Longitude
1-100,RCSI University of Medicine and Health Sciences,Europe,Ireland,53.33911,-6.262025
1-100,La Trobe University,Oceania,Australia,-37.720693,145.048285
1-100,"China Medical University, Taiwan",Asia,Taiwan,24.15635,120.680313
1-100,University of Auckland,Oceania,New Zealand,-36.852338,174.769354
1-100,University of Otago,Oceania,New Zealand,-45.864676,170.514551
1-100,McMaster University,Oceania,Canada,43.260926,-79.919236
1-100,University of Alabama at Birmingham,North America,United States,33.501882,-86.806154
1-100,Australian Catholic University,Oceania,Australia,-27.378177,153.088953
1-100,University of Dundee,Europe,United Kingdom,56.458191,-2.982014
1-100,Chang Gung University,Asia,Taiwan,25.033704,121.389258
1-100,King¡¦s College London,Europe,United Kingdom,51.511546,-0.115847
1-100,University of Saskatchewan,North America,Canada,52.133361,-106.631069
1-100,University of Newcastle,Oceania,Australia,-32.892871,151.704499
1-100,Kaohsiung Medical University,Asia,Taiwan,22.645341,120.310465
1-100,University of Sydney,Oceania,Australia,-33.888539,151.187519
1-100,Nagoya City University,Asia,Japan,35.13989,136.935042
1-100,University of Coimbra,Europe,Portugal,40.208924,-8.42399
1-100,Taipei Medical University,Asia,Taiwan,25.025388,121.561742
1-100,Deakin University,Oceania,Australia,-37.84442,145.111172
1-100,JSS Academy of Higher Education and Research,Asia,India,12.342777,76.652766
1-100,University of Melbourne,Oceania,Australia,-37.798388,144.961296
1-100,Western Sydney University,Oceania,Australia,-33.706099,150.883445
1-100,University of Bologna,Europe,Italy,44.496255,11.354254
1-100,Iran University of Medical Sciences,Asia,Iran,35.749059,51.380627
1-100,Monash University,Oceania,Australia,-37.903473,145.132326
1-100,University of Manchester,Europe,United Kingdom,53.466863,-2.233658
1-100,University of South Australia,Oceania,Australia,-34.914583,138.606418
1-100,Grigore T. Popa University of Medicine and Pharmacy,Europe,Romania,47.168478,27.586265
1-100,Western University,North America,Canada,43.183209,-81.215879
1-100,University of Montreal,North America,Canada,45.506337,-73.613502
1-100,CES University,South America,Colombia,6.208804,-75.553059
1-100,Keele University,Europe,United Kingdom,53.003399,-2.271881
1-100,University of South Florida (Tampa),North America,United States,28.058618,-82.41365
1-100,The University of Queensland,Oceania,Australia,-27.497474,153.014034
1-100,Laval University,North America,Canada,46.781761,-71.274699
1-100,Shahid Beheshti University of Medical Sciences,Asia,Iran,35.800245,51.398711
1-100,Fujita Health University,Asia,Japan,35.071374,137.002033
1-100,University of Bordeaux,Europe,France,44.826012,-0.605087
1-100,University of S?o Paulo,South America,Brazil,-23.561222,-46.730778
1-100,University of Aberdeen,Europe,United Kingdom,57.164789,-2.101472
1-100,Glasgow Caledonian University,Europe,United Kingdom,55.8668,-4.249767
1-100,University of Hong Kong,Asia,Hong Kong,22.283589,114.137764
1-100,University of Surrey,Europe,United Kingdom,51.24272,-0.587636
1-100,University of Debrecen,Europe,Hungary,47.553792,21.621854
1-100,Tzu Chi University,Asia,Taiwan,23.992845,121.591298
1-100,Edith Cowan University,Oceania,Australia,-31.751721,115.773004
1-100,Imperial College London,Europe,United Kingdom,51.498806,-0.174856
