"文獻名稱.","年份","摘要","索引關鍵字"
"Relationship between alcohol use, blood pressure and hypertension: An association study and a Mendelian randomisation study",2019,"Background Past studies have found a strong relationship between alcohol drinking and human health. Methods In this study, we first tested the association of rs671 with alcohol use in 2349 participants in southeast China. We then evaluated the causal impact between alcohol use and cardiovascular traits through a Mendelian randomisation (MR) analysis. Results We found strong evidence for the association of rs671 in the ALDH2 gene with alcohol drinking (p=6.08×10 -47; OR adj G=4.50, 95% CI 3.67 to 5.52). We found that female G carriers of rs671 had a higher proportion of non-drinkers than male G carriers (88.01% vs 38.70%). In non-drinkers, the female G allele frequency was higher than the male G allele frequency (71.1% vs 55.2%). MR analysis suggested that alcohol use had a causal effect on blood pressure (increasing 9.46 mm Hg for systolic blood pressure (p=9.67×10 -4) and 7.50 mm Hg for diastolic blood pressure (p=9.62×10 -5)), and on hypertension in men (p=0.011; OR =1.19, 95% CI 1.04 to 1.36) and in pooled samples (p=0.013; OR =1.20, 95% CI 1.04 to 1.39), but not in women. We did not observe a causal effect of alcohol use on body mass index and lipid levels; further studies are needed to clarify the non-causal relationship. Conclusions Compared to never-drinkers, current and previous alcohol use had a causal effect on blood pressure and hypertension in pooled samples and in men. These results reflect Chinese culture which does not encourage women to drink. ? Author(s) (or their employer(s)) 2019.","alcoholic beverage; allele; blood system disorder; cardiovascular disease; hypertension; polymorphism"
"Inhibition of sphingomyelin synthase 1 ameliorates alzheimer-like pathology in APP/PS1 transgenic mice through promoting lysosomal degradation of BACE1",2019,"Sphingolipids emerge as essential modulators in the etiology of Alzheimer's disease (AD) with unclear mechanisms. Elevated levels of SM synthase 1 (SMS1), which catalyzes the synthesis of SM from ceramide and phosphatidylcholine, have been observed in the brains of Alzheimer's disease (AD), where expression of β-site APP cleaving enzyme 1 (BACE1), a rate limiting enzyme in amyloid-β (Aβ) generation, are upregulated. In the present study, we show knockdown of SMS1 via andeno associated virus (serotype 8, AAV8) in the hippocampus of APP/PS1 transgenic mice, attenuates the densities of Aβ plaques, neuroinflammation, synaptic loss and thus rescuing cognitive deficits of these transgenic mice. We further describe that knockdown or inhibition of SMS1 decreases BACE1 stability, which is accompanied with decreased BACE1 levels in the Golgi, whereas enhanced BACE1 levels in the early endosomes and the lysosomes. The reduction of BACE1 levels induced by knockdown or inhibition of SMS1 is prevented by inhibition of lysosomes. Therefore, knockdown or inhibition of SMS1 promotes lysosomal degradation of BACE1 via modulating the intracellular trafficking of BACE1. Knockdown of SMS1 attenuates AD-like pathology through promoting lysosomal degradation of BACE1. ? 2018 Elsevier Inc.","beta secretase; beta secretase 1; sphingomyelin; sphingomyelin synthase 1; synthetase; unclassified drug; amyloid precursor protein; aspartic proteinase; Bace1 protein, mouse; phosphotransferase; presenilin 1; presenilin 1, mouse; secretase; sphingomyelin synthase 1, mouse; Adeno associated virus 8; Alzheimer disease; amyloid plaque; animal experiment; animal model; Article; cognitive defect; controlled study; endosome; enzyme degradation; enzyme inhibition; enzyme linked immunosorbent assay; enzyme stability; Golgi complex; hippocampus; immunofluorescence; lysosome; Morris water maze test; mouse; nervous system inflammation; nonhuman; novel object recognition test; priority journal; reverse transcription polymerase chain reaction; synapse; transgenic mouse; upregulation; Alzheimer disease; animal; antagonists and inhibitors; gene knockdown; genetics; HEK293 cell line; human; metabolism; procedures; Alzheimer Disease; Amyloid beta-Protein Precursor; Amyloid Precursor Protein Secretases; Animals; Aspartic Acid Endopeptidases; Gene Knockdown Techniques; HEK293 Cells; Humans; Lysosomes; Mice; Mice, Transgenic; Presenilin-1; Transferases (Other Substituted Phosphate Groups)"
"Transforming growth factor β signaling pathway: A promising therapeutic target for cancer",2020,"Transforming growth factor β (TGF-β) is part of the transforming growth factor β superfamily which is involved in many physiological processes and closely related to the carcinogenesis. Here, we discuss the TGF-β structure, function, and its canonical Smads signaling pathway. Importantly, TGF-β has been proved that it plays both tumor suppressor as well as an activator role in tumor progression. In an early stage, TGF-β inhibits cell proliferation and is involved in cell apoptosis. In an advanced tumor, TGF-β signaling pathway induces tumor invasion and metastasis through promoting angiogenesis, epithelial–mesenchymal transition, and immune escape. Furthermore, we are centered on updated research results into the inhibitors as drugs which have been studied in preclinical or clinical trials in tumor carcinogenesis to prevent the TGF-β synthesis and block its signaling pathways such as antibodies, antisense molecules, and small-molecule tyrosine kinase inhibitors. Thus, it is highlighting the crucial role of TGF-β in tumor therapy and may provide opportunities for the new antitumor strategies in patients with cancer. ? 2019 Wiley Periodicals, Inc.","antibody; ligand; phosphotransferase inhibitor; receptor; transforming growth factor beta; angiogenesis; apoptosis; cell proliferation; epithelial mesenchymal transition; genetic transduction; human; immunosurveillance; malignant neoplasm; metastasis; molecular interaction; nonhuman; priority journal; protein targeting; Review; TGF beta signaling; tumor invasion"
"One-step preparation of gold nanovectors using folate modified polyethylenimine and their use in target-specific gene transfection",2019,"Gene transfection, as an effective treatment for inherited and acquired life threatening diseases caused by genetic deficiencies and abnormalities, has evolved as a promising therapeutic strategy for cancer and other intractable diseases. Non-target-specific vectors will affect normal cells as well as pathogenic cells, resulting in a relative decrease in transfection efficiency and unnecessary cytotoxicity. In the present work, gold nanoparticles (AuNPs) functionalized with folate (FA)-modified polyethylenimine (PEI-FA) were prepared by a single step method (without additional reducing agent) for targeted gene transfection in tumor cells. Moreover, an improved compound vector system was developed by mixing PEI-AuNPs and PEI-FA-AuNPs. It was shown that the compound vector system not only greatly increased transfection efficiency in HeLa cells, but also reduced cytotoxicity. By comparison, the transfection efficiency in L929 cells lacking folate receptor, was clearly lower than in tumor cells. The specific gene transfection of HeLa cells using this vector system could be clearly observed by confocal laser scanning microscopy in a co-culture system of HeLa cells and L929 cells. This transfection system with high-efficiency, high-specificity and low-toxicity appears to have potential in targeted cancer treatment and drug delivery. ? 2019 Elsevier B.V.","Cytology; Diseases; Efficiency; Fiber optic sensors; Gene therapy; Gold nanoparticles; Lanthanum compounds; Metal nanoparticles; Nanometals; Targeted drug delivery; Tumors; Vectors; Confocal laser scanning microscopy; Folate; Gene transfection; Genetic deficiencies; Polyethyleneimine; Therapeutic strategy; Transfection efficiency; Transfection system; Molecular biology; folate receptor; folic acid; gold nanoparticle; polyethyleneimine; folic acid; gold; metal nanoparticle; polyethyleneimine; Article; cell viability; coculture; confocal laser scanning microscopy; controlled study; cytotoxicity; drug delivery system; genetic transfection; HeLa cell line; in vitro study; NCTC clone 929 cell line; particle size; priority journal; static electricity; synthesis; zeta potential; animal; cell line; cell survival; chemistry; drug effect; gene therapy; gene transfer; gene vector; human; mouse; pharmacology; surface property; Animals; Cell Line; Cell Survival; Coculture Techniques; Drug Delivery Systems; Folic Acid; Gene Transfer Techniques; Genetic Therapy; Genetic Vectors; Gold; HeLa Cells; Humans; Metal Nanoparticles; Mice; Particle Size; Polyethyleneimine; Surface Properties"
"Identification of novel T1D risk loci and their association with age and islet function at diagnosis in autoantibody-positive T1D individuals: Based on a two-stage genome-wide association study",2019,"OBJECTIVE Type 1 diabetes (T1D) is a highly heritable disease with much lower incidence but more adult-onset cases in the Chinese population. Although genome-wide association studies (GWAS) have identified &gt;60 T1D loci in Caucasians, less is known in Asians. RESEARCH DESIGN AND METHODS We performed the first two-stage GWAS of T1D using 2,596 autoantibody-positive T1D case subjects and 5,082 control subjects in a Chinese Han population and evaluated the associations between the identified T1D risk loci and age and fasting C-peptide levels at T1D diagnosis. RESULTS We observed a high genetic correlation between children/adolescents and adult T1D case subjects (rg = 0.87), as well as subgroups of autoantibody status (rg ? 0.90). We identified four T1D risk loci reaching genome-wide significance in the Chinese Han population, including two novel loci, rs4320356 near BTN3A1 (odds ratio [OR] 1.26, P = 2.70 3 1028) and rs3802604 in GATA3 (OR 1.24, P = 2.06 3 1028), and two previously reported loci, rs1770 in MHC (OR 4.28, P = 2.25 3 102232) and rs705699 in SUOX (OR 1.46, P = 7.48 3 10220). Further fine mapping in the MHC region revealed five independent variants, including another novel locus, HLA-C position 275 (omnibus P = 9.78 3 10212), specific to the Chinese population. Based on the identified eight variants, we achieved an area under the curve value of 0.86 (95% CI 0.85-0.88). By building a genetic risk score (GRS) with these variants, we observed that the higher GRS were associated with an earlier age of T1D diagnosis (P = 9.08 3 10211) and lower fasting C-peptide levels (P = 7.19 3 1023) in individuals newly diagnosed with T1D. CONCLUSIONS Our results extend current knowledge on genetic contributions to T1D risk. Further investigations in different populations are needed for genetic heterogeneity and subsequent precision medicine. ? 2019 by the American Diabetes Association. Readers may use this article as long as the work is properly cited, the use is educational and not for profit, and the work is not altered. More information is available at http://www.diabetesjournals.org/content/license.","autoantibody; C peptide; HLA C antigen; adolescent; adult; age; area under the curve; Article; BTN3A1 gene; case control study; Caucasian; child; clinical feature; controlled study; fasting; GATA3 gene; gene; gene locus; genetic correlation; genetic risk; genetic variability; genome; genome-wide association study; genotype; Han Chinese; human; insulin dependent diabetes mellitus; major clinical study; pancreas islet cell function; population risk; risk factor; single nucleotide polymorphism; SUOX gene"
"TMCO1-mediated Ca 2+ leak underlies osteoblast functions via CaMKII signaling",2019,"Transmembrane and coiled-coil domains 1 (TMCO1) is a recently identified Ca 2+ leak channel in the endoplasmic reticulum. TMCO1 dysfunction in humans is associated with dysmorphism, mental retardation, glaucoma and the occurrence of cancer. Here we show an essential role of TMCO1 in osteogenesis mediated by local Ca 2+ /CaMKII signaling in osteoblasts. TMCO1 levels were significantly decreased in bone from both osteoporosis patients and bone-loss mouse models. Tmco1 ?/? mice exhibited loss of bone mass and altered microarchitecture characteristic of osteoporosis. In the absence of TMCO1, decreased HDAC4 phosphorylation resulted in nuclear enrichment of HADC4, which leads to deacetylation and degradation of RUNX2, the master regulator of osteogenesis. We further demonstrate that TMCO1-mediated Ca 2+ leak provides local Ca 2+ signals to activate the CaMKII-HDAC4-RUNX2 signaling axis. The establishment of TMCO1 as a pivotal player in osteogenesis uncovers a novel potential therapeutic target for ameliorating osteoporosis. ? 2019, The Author(s).","alkaline phosphatase; calcium; calcium calmodulin dependent protein kinase II; caspase 9; collagen type 1; growth hormone; histone deacetylase 4; small interfering RNA; thyrotropin; transcription factor RUNX2; Transmembrane and coiled coil domain 1; unclassified drug; calcium calmodulin dependent protein kinase II; calcium channel; Hdac5 protein, mouse; histone deacetylase; membrane protein; Runx2 protein, mouse; TMCO1 protein, human; TMCO1 protein, mouse; transcription factor RUNX2; bone; calcium; cancer; enzyme; enzyme activity; signaling; Adenoviridae; adult; animal cell; animal experiment; animal model; animal tissue; Article; bone development; bone mass; bone microarchitecture; calcium cell level; clustered regularly interspaced short palindromic repeat; controlled study; deacetylation; enzyme linked immunosorbent assay; female; fracture; genetic transfection; histology; human; human cell; human tissue; immunoblotting; immunofluorescence; immunohistochemistry; immunoprecipitation; luciferase assay; male; micro-computed tomography; morphometry; mouse; mRNA expression level; nonhuman; ossification; osteoblast; osteolysis; osteoporosis; plasmid; protein expression; protein phosphorylation; real time polymerase chain reaction; reverse transcription polymerase chain reaction; RNA extraction; signal transduction; ubiquitination; aged; animal; C57BL mouse; calcium signaling; genetics; metabolism; middle aged; mutant mouse strain; osteoblast; ovariectomy; pathophysiology; physiology; protein stability; signal transduction; Mus; Aged; Animals; Calcium Channels; Calcium Signaling; Calcium-Calmodulin-Dependent Protein Kinase Type 2; Core Binding Factor Alpha 1 Subunit; Female; Histone Deacetylases; Humans; Membrane Proteins; Mice, Inbred C57BL; Mice, Mutant Strains; Middle Aged; Osteoblasts; Osteogenesis; Osteoporosis; Ovariectomy; Protein Stability; Signal Transduction"
"Carbenoxolone ameliorates insulin sensitivity in obese mice induced by high fat diet via regulating the IκB-α/NF-κB pathway and NLRP3 inflammasome",2019,"The characteristic feature of obesity and insulin resistance is chronic low-grade inflammation. Nod-Like Receptor Pyrin 3 (NLRP3) inflammasome plays a central role in obesity-induced insulin resistance. However, how does Carbenoxolone (CBX) play its role in ameliorating insulin resistance in peripheral tissues of obese mice induced by high-fat diet (HFD) remains unknown. In our study, we explored the molecular mechanism of CBX in improving insulin resistance in liver and skeletal muscle in mice induced by the HFD. Our results revealed that in the CBX group, a significant decrease in fasting blood glucose, insulin and HOMA-IR score were observed. CBX could attenuate intracellular lipid accumulation and inflammation aggravation in liver and skeletal muscle. Besides, treatment with CBX could significantly reduce expressions of p-IκB-α, p-NF-κB, p-IRS-1, NLRP3 and inflammatory factors, increase expressions of p-PI3K and p-AKT. Therefore, CBX could dramatically improve insulin resistance in liver and skeletal muscle in mice induced by the high-fat diet. In conclusions, we demonstrate that CBX has a significant protective effect on diet-induced obesity in mice. The potential mechanisms include inhibiting IκB-α/NF-κB pathway, restricting the production of NLRP3 inflammasome and other inflammatory factors, reducing the expression of p-IRS-1, increasing the expressions of p-PI3K and p-AKT, thus ameliorating insulin resistance in liver and skeletal muscle of high-fat diet mice. Therefore CBX is an active agent against diet-induced obesity and is given the opportunity for the treatment of obesity related diseases. ? 2019","carbenoxolone; cryopyrin; I kappa B kinase alpha; immunoglobulin enhancer binding protein; inflammasome; insulin; insulin receptor substrate 1; phosphatidylinositol 3 kinase; phosphoprotein; protein kinase B; carbenoxolone; cryopyrin; I kappa B kinase alpha; immunoglobulin enhancer binding protein; Nlrp3 protein, mouse; animal experiment; animal model; Article; controlled study; drug mechanism; glucose blood level; homeostasis model assessment; inflammation; insulin blood level; insulin resistance; insulin sensitivity; lipid storage; liver tissue; male; mouse; nonhuman; obesity; priority journal; protein expression; regulatory mechanism; skeletal muscle; adverse event; animal; C57BL mouse; complication; drug effect; gene expression regulation; genetics; insulin resistance; lipid diet; metabolism; obesity; randomization; Animals; Carbenoxolone; Diet, High-Fat; Gene Expression Regulation; Inflammation; Insulin Resistance; Male; Mice; Mice, Inbred C57BL; Muscle, Skeletal; NF-kappa B; NF-KappaB Inhibitor alpha; NLR Family, Pyrin Domain-Containing 3 Protein; Obesity; Random Allocation"
"Bufalin suppresses the migration and invasion of prostate cancer cells through HOTAIR, the sponge of miR-520b",2019,"Bufalin, the major active component of the traditional Chinese medicine ChanSu obtained from the skin and parotid venom glands of toads, has long been known as an anticancer agent. Recent studies show that microRNAs (miRs) are involved in the anticancer activities of bufalin, while long non-coding RNAs (lncRNAs) are known to interact with miRNAs to regulate various biological functions. In this paper, we investigated the possible network related to the antimetastatic effect of bufalin in prostate cancer (PCa) cells. We demonstrated that bufalin (0.05?10 ?M) dose-dependently suppressed the proliferation of prostate cancer DU145 and PC3 cells with IC50 values of 0.89 and 1.28 ?M, respectively. Furthermore, bufalin treatment significantly suppressed the cell migration and invasion. To explore the role of lncRNAs in the antimetastatic activity of bufalin, we used an lncRNA microarray and found that HOX transcript antisense RNA (HOTAIR) was the most markedly downregulated lncRNA in bufalin-treated PCa cells. Overexpression of HOTAIR counteracted the suppressing effects of bufalin on DU145 and PC3 cells. We then predicted and verified that HOTAIR upregulated FGFR1 expression by sponging miR-520b in PCa cells. In 40 patients with PCa bone metastasis, we used in situ hybridization or immunohistochemical assay to assess the HOTAIR and FGFR1 expression, which revealed that both HOTAIR and FGFR1 expression were significantly higher in bone metastasis tissues than in the primary PCa tissues. In addition, the level of serum HOTAIR was positively associated with the levels of serum bone metabolic markers (CTx, OST, B-ALP and PINP) and may serve as a reasonable biomarker for PCa bone metastasis. Taken together, this is the first study revealing that HOTAIR promotes PCa bone metastasis, and bufalin may be a promising candidate for the treatment of this disease. ? 2019, CPS and SIMM.","alkaline phosphatase bone isoenzyme; bufalin; carboxy terminal telopeptide; complementary RNA; fibroblast growth factor receptor 1; Hox protein; HOX transcript antisense RNA; long untranslated RNA; microRNA; microRNA 520b; osteocalcin; procollagen; procollagen type i n terminal propeptide; unclassified drug; antineoplastic agent; bufadienolide derivative; bufalin; FGFR1 protein, human; fibroblast growth factor receptor 1; HOTAIR long untranslated RNA, human; long untranslated RNA; microRNA; MIRN520 microRNA, human; 3' untranslated region; Article; bone metastasis; cell invasion; cell migration; cell proliferation; concentration response; controlled study; down regulation; DU145 cell line; gene overexpression; gene targeting; human; human cell; human tissue; IC50; immunohistochemistry; in situ hybridization; male; metastasis inhibition; mRNA expression level; prostate cancer; protein blood level; protein expression level; tumor invasion; upregulation; wound healing assay; cell motion; drug effect; gene expression regulation; metabolism; prostate tumor; tumor cell line; Antineoplastic Agents; Bufanolides; Cell Line, Tumor; Cell Movement; Cell Proliferation; Down-Regulation; Gene Expression Regulation, Neoplastic; Humans; Male; MicroRNAs; Prostatic Neoplasms; Receptor, Fibroblast Growth Factor, Type 1; RNA, Long Noncoding; Up-Regulation"
"Overexpression of CASC11 in ovarian squamous cell carcinoma mediates the development of cancer cell resistance to chemotherapy",2019,"LncRNA CASC11 promotes gastric cancer and colon cancer. Our study analyzed the role of CASC11 in ovarian squamous cell carcinoma (OSCC). In the present study we showed that plasma CASC11 was upregulated in OSCC, and the upregulation of CASC11 distinguished OSCC patients from control group. Plasma levels of CASC11 were further increased after chemotherapy. Treatment with oxaliplatin, tetraplatin, cisplatin, and carboplatin mediated the upregulation of CASC11 in cells of OSCC cell line. In addition, overexpression of CASC11 led to increased cancer cell viability under oxaliplatin, tetraplatin, cisplatin, and carboplatin treatment, while CASC11 siRNA silencing played an opposite role. Therefore, overexpression of CASC11 in OSCC mediated the development of cancer cell resistance to chemotherapy. ? 2019","carboplatin; cisplatin; long non coding CASC11; long untranslated RNA; oxaliplatin; small interfering RNA; tetraplatin; unclassified drug; carboplatin; cisplatin; long noncoding RNA CASC11, human; long untranslated RNA; oxaliplatin; platinum complex; tetraplatin; adult; aged; Article; blood level; cancer chemotherapy; cancer patient; cancer resistance; cell viability; controlled study; female; gene overexpression; gene silencing; human; human cell; major clinical study; ovarian carcinoma cell line; ovary carcinoma; priority journal; squamous cell carcinoma; squamous cell carcinoma cell line; upregulation; blood; case control study; drug resistance; gene expression regulation; genetics; middle aged; ovary tumor; prognosis; squamous cell carcinoma; tumor cell line; upregulation; Adult; Aged; Carboplatin; Carcinoma, Squamous Cell; Case-Control Studies; Cell Line, Tumor; Cisplatin; Drug Resistance, Neoplasm; Female; Gene Expression Regulation, Neoplastic; Humans; Middle Aged; Organoplatinum Compounds; Ovarian Neoplasms; Oxaliplatin; Prognosis; RNA, Long Noncoding; Up-Regulation"
"CD33 + CD14 + CD11b + HLA-DR ? monocytic myeloid-derived suppressor cells recruited and activated by CCR9/CCL25 are crucial for the pathogenic progression of endometriosis",2019,"Problem: Endometriosis (EM) is a chronic immunoinflammatory disease associated with an abnormal immunotolerant microenvironment. Myeloid-derived suppressor cells (MDSCs) are a heterogeneous population of immature myeloid cells that play a major role in immunosuppression in cancer, inflammation and other diseases. This paper aims to elucidate whether or not MDSCs are involved in regulating this microenvironment in EM and how this regulation occurs. Method of Study: Immunochemistry (IHC) and qPCR were conducted to measure CD11b and ARG1 expression in the ectopic endometrium samples from EM patients. CCL25 levels in EM PF and the expression of CCR9 on M-MDSCs were measured by ELISA. M-MDSC migration was determined towards rhCCL25, α-CCR9, α-CCL25 and EM PF through in vitro chemotaxis assay. CD33 + CD14 + CD11b + HLA-DR - M-MDSCs isolated from EM PBMCs were added to CD8 + T cells stimulated with α-CD3/α-CD28 antibody. After 72?hours of co-culture, proliferation was measured to rate the immunosuppressive function of M-MDSCs. Finally, levels of IL-10, GM-CSF and arginase activity in the cultured supernatants were detected. Results: IHC and qPCR results revealed higher CD11b and ARG1 expression in EM endometrium than normal endometrium. MDSCs accumulated in the EM microenvironment, in which M-MDSCs were the predominant type. CD33 + CD14 + CD11b + HLA-DR ? M-MDSCs expressed high CCR9 levels and were recruited through CCL25. M-MDSCs from EM PBMCs inhibited proliferation and activity in autologous T cells. rhCCL25 promoted IL-10 and GM-CSF secretion and arginase enzymatic activity in CD33 + CD14 + CD11b + HLA-DR ? M-MDSCs. Conclusion: CD33 + CD14 + CD11b + HLA-DR ? M-MDSCs recruited and activated by CCR9/CCL25 play a crucial role in the pathogenic progression of endometriosis, thus providing a potential target for EM treatment. ? 2018 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd","arginase; CD11b antigen; CD33 antigen; chemokine receptor CCR9; granulocyte macrophage colony stimulating factor; HLA DR antigen; interleukin 10; adult; Article; CD8+ T lymphocyte; cell migration; chemotaxis assay; coculture; controlled study; cytokine release; endometriosis; endometrium; enzyme activity; enzyme linked immunosorbent assay; female; flow cytometry; fluorescence; human; human tissue; immunochemistry; in vitro study; lymphocyte activation; lymphocyte proliferation; myeloid-derived suppressor cell; peripheral blood mononuclear cell; priority journal; protein expression; real time polymerase chain reaction; supernatant"
