作者,作者身分,"文獻名稱	",年份,施引文獻,連結,摘要,作者,索引關鍵字,EID
"Tangamornsuksan W., Kongkaew C., Scholfield C.N., Subongkot S., Lohitnavy M.",55866020600;18536454500;7005397079;8789755100;6602911215;,HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity: a systematic review and meta-analysis,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070340203&doi=10.1038%2fs41397-019-0092-2&partnerID=40&md5=36867785836984a6d06b2dde9dbe2df0,"Associations between HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity have been reported. To consolidate the results from all available reports in scientific databases, systematic review and meta-analysis techniques were used to quantify these associations. Studies investigating associations between HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity were systematically searched in PubMed, Human Genome Epidemiology Network, and the Cochrane Library. Primary outcomes were the associations between HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity. Overall odds ratios (ORs) with the corresponding 95%CIs were calculated using a random-effect model to determine the associations between HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity. A clear association between HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity was identified in our analyses. The summary OR was 6.23 (95%CI = 4.11–9.45). Similar associations were also found in the subgroup analyses by lapatinib treatment regimens. ORs were 10.04 (95%CI = 6.15–16.39), 8.65 (95%CI = 4.52–16.58), and 3.88 (95%CI = 2.20–6.82) in the lapatinib group, lapatinib + trastuzumab group, and lapatinib + chemotherapy or lapatinib + trastuzumab + chemotherapy group, respectively. Since HLA-DRB1*07:01 is associated with lapatinib-induced hepatotoxicity, genetic screening of HLA-DRB1*07:01 in breast cancer patients prior to lapatinib therapy is warranted for patient safety. In addition, further studies should define the risk of HLA-DRB1*07:01 and lapatinib-induced hepatotoxicity in specific ethnicities. ? 2019, Springer Nature Limited.",,alanine aminotransferase; antineoplastic agent; aspartate aminotransferase; carboplatin; HLA DRB1 antigen; lapatinib; paclitaxel; tenascin; trastuzumab; adjuvant therapy; alanine aminotransferase blood level; Article; aspartate aminotransferase blood level; breast cancer; disease association; gene linkage disequilibrium; human; meta analysis; odds ratio; priority journal; quantitative analysis; systematic review; toxic hepatitis,2-s2.0-85070340203
"Alsaleh M., Sithithaworn P., Khuntikeo N., Loilome W., Yongvanit P., Chamadol N., Hughes T., O'Connor T., Andrews R.H., Holmes E., Taylor-Robinson S.D.",57193206123;7003709740;6504532721;13607508400;6603446796;6506925623;57197717387;57210556593;7402135988;7201667063;7006906505;,Characterisation of the Urinary Metabolic Profile of Liver Fluke-Associated Cholangiocarcinoma,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070929880&doi=10.1016%2fj.jceh.2019.06.005&partnerID=40&md5=3e873eb9d816d6b74e70f7bb69df3baf,"Background: Human infection with Opisthorchis viverrini, a carcinogenic liver fluke inhabiting the biliary tree, is endemic in Southeast Asia. Chronic infection is associated with a fatal complication, cholangiocarcinoma (CCA), a late-presenting and aggressive malignancy. Currently, annual mortality rates from CCA mirror trends in incidence, due in part to limited availability of efficient prognostic and early diagnostic biomarkers. With ability to detect thousands of urinary metabolites using metabonomics, the urine metabolome holds great potential in providing an insight into system-level alterations in carcinogenesis and in identifying metabolic markers altered in response to disturbed homoeostasis. Methods: Global molecular profiling using reversed-phase ultraperformance liquid chromatography mass spectrometry was utilised to acquire the urinary spectral profile of 137 Thai subjects (48 at high risk of infection, 41 with O. viverrini infection, 34 periportal fibrosis and 14 CCA) from Khon Kaen, Thailand. Results: Multivariate statistical analysis identified perturbation in several molecular classes related to purine metabolism and lipid metabolism in the CCA urine metabolome. These markers mainly reflect changes in energy metabolism to support proliferation (increased fatty acid oxidation and purine recycling), DNA methylation and hepatic injury. Conclusions: Several metabolites of biological interest were discovered from this proof-of-principle dataset. Augmenting these findings is essential to accelerate the development of urinary metabolic markers in CCA. ? 2019 The Authors",bile duct cancer; mass spectrometry; metabonomics; Opisthorchis viverrini,"1 methylhypoxanthine; 2 naphthoic acid derivative; 2 trans,4 decadienoylcarnitine; 2,6 dimethylheptanoylcarnitine; 3 amino 2 naphthoic acid; 7 methylguanine; acylcarnitine; benzoic acid derivative; betaine derivative; butyrylcarnitine; carnitine derivative; citric acid; creatinine; glycocholic acid; hippuric acid; hypoxanthine; hypoxanthine derivative; isocitric acid; leucyl proline; levacecarnine; n methyluric acid; n sulfooxybenzoate; phenylalanine; proline; proline betaine; proline derivative; purine; unclassified drug; uric acid; uric acid derivative; valerylcarnitine; adult; aged; Article; bile duct carcinoma; cohort analysis; controlled study; disease association; DNA methylation; energy metabolism; fatty acid oxidation; female; human; lipid metabolism; liquid chromatography-mass spectrometry; liver injury; major clinical study; male; metabolomics; opisthorchiasis; priority journal; purine metabolism; reversed phase ultra performance liquid chromatography; Thailand; urinalysis",2-s2.0-85070929880
"Hess S.Y., Wessells K.R., Hinnouho G.-M., Barffour M.A., Sanchaisuriya K., Arnold C.D., Brown K.H., Larson C.P., Fucharoen S., Kounnavong S.",7102293821;22936372700;57205141152;55173845600;6603667939;57191261405;7404378873;57196889432;7103089593;6506174647;,Iron status and inherited haemoglobin disorders modify the effects of micronutrient powders on linear growth and morbidity among young Lao children in a double-blind randomised trial,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069519934&doi=10.1017%2fS0007114519001715&partnerID=40&md5=49cf71a024e8978d2e9ec6742c279b82,"Some studies found that providing micronutrient powder (MNP) causes adverse health outcomes, but modifying factors are unknown. We aimed to investigate whether Fe status and inherited Hb disorders (IHbD) modify the impact of MNP on growth and diarrhoea among young Lao children. In a double-blind controlled trial, 1704 children of age 6-23 months were randomised to daily MNP (with 6 mg Fe plus fourteen micronutrients) or placebo for about 36 weeks. IHbD, and baseline and final Hb, Fe status and anthropometrics were assessed. Caregivers provided weekly morbidity reports. At enrolment, 55·6 % were anaemic; only 39·3 % had no sign of clinically significant IHbD. MNP had no overall impact on growth and longitudinal diarrhoea prevalence. Baseline Hb modified the effect of MNP on length-for-age (LAZ) (P for interaction = 0·082). Among children who were initially non-anaemic, the final mean LAZ in the MNP group was slightly lower (-1·93 (95 % CI -1·88, -1·97)) v. placebo (-1·88 (95 % CI -1·83, -1·92)), and the opposite occurred among initially anaemic children (final mean LAZ -1·90 (95 % CI -1·86, -1·94) in MNP v. -1·92 (95 % CI -1·88, -1·96) in placebo). IHbD modified the effect on diarrhoea prevalence (P = 0·095). Among children with IHbD, the MNP group had higher diarrhoea prevalence (1·37 (95 % CI 1·17, 1·59) v. 1·21 (95 % CI 1·04, 1·41)), while it was lower among children without IHbD who received MNP (1·15 (95 % CI 0·95, 1·39) v. 1·37 (95 % CI 1·13, 1·64)). In conclusion, there was a small adverse effect of MNP on growth among non-anaemic children and on diarrhoea prevalence among children with IHbD. ? 2019 The Authors.",Anaemia; Diarrhoea; Growth; Inherited Hb disorder; Iron status; Micronutrient powder; Young children,alpha tocopherol; ascorbic acid; colecalciferol; copper sulfate; cyanocobalamin; ferrous fumarate; folic acid; gluconate zinc; hemoglobin; iron; nicotinic acid; potassium iodate; pyridoxine; retinol; riboflavin; selenium; thiamine; tocopherol; trace element; age; anemia; anthropometry; Article; body height; caregiver; child; child growth; controlled study; diarrhea; dietary supplement; double blind procedure; female; human; infant; inherited hemoglobin disorder; Laos; major clinical study; male; morbidity; powder; prevalence; protein defect; randomized controlled trial,2-s2.0-85069519934
"Thepha T., Marais D., Bell J., Muangpin S.",56063868200;55404771700;7404446415;57201470429;,Concept mapping to reach consensus on a 6-month exclusive breastfeeding strategy model to improve the rate in Northeast Thailand,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065794159&doi=10.1111%2fmcn.12823&partnerID=40&md5=58d047e3203f606571a1f95792d25491,"Background: In implementation research, it is essential to involve all stakeholders in the development of complex interventions to ensure that the proposed intervention strategy is relevant and acceptable to the target area and group. The aim of this study was to involve stakeholders in conceptualising, developing, and prioritising a feasible intervention strategy to improve the 6-month exclusive breastfeeding rate in North-east Thailand. Concept mapping was used in a purposive sample including health care volunteers, health care professionals, and community leaders. During the first meeting, stakeholders (n?=?22) expressed the generation of feasible interventions. During the second meeting, participants (n?=?21) were asked to individually rate the feasibility of each intervention and to group them into relevant categories to enable multidimensional scaling and hierarchical cluster analysis. The outputs of analysis included the intervention list, cluster list, point map, point rating map, cluster map, and cluster rating map. All of these were shared with stakeholders (n?=?17) during the third meeting to reach consensus on an intervention model. The final proposed intervention strategy included 15 feasible interventions in five clusters: health care services, community services, and education packages for parents, family members, and communities. These interventions were prioritised for implementation over a 3-year period. Once the feasibility of each intervention is established, the proposed model could be implemented and incorporated into local health policy. After assessing intervention effectiveness, each intervention could be scaled up to other middle-income countries to help improve overall maternal and child survival. ? 2019 John Wiley & Sons Ltd",6-month exclusive breastfeeding; concept mapping; intervention; North-east Thailand; policy,article; breast feeding; child; clinical article; cluster analysis; comparative effectiveness; concept mapping; consensus; education; feasibility study; female; health care policy; human; human experiment; human tissue; leadership; middle income country; multidimensional scaling; purposive sample; social welfare; Thailand; volunteer,2-s2.0-85065794159
"Phanitchat T., Zhao B., Haque U., Pientong C., Ekalaksananan T., Aromseree S., Thaewnongiew K., Fustec B., Bangs M.J., Alexander N., Overgaard H.J.",57188705659;57208838526;33567632200;6602945430;6603331630;56305839100;35331131800;57190378463;7007079698;7203015251;6602919911;,Spatial and temporal patterns of dengue incidence in northeastern Thailand 2006-2016,2019,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071427093&doi=10.1186%2fs12879-019-4379-3&partnerID=40&md5=1ce79631ebbf520cb1638f26df76c4f5,"Background: Dengue, a viral disease transmitted by Aedes mosquitoes, is an important public health concern throughout Thailand. Climate variables are potential predictors of dengue transmission. Associations between climate variables and dengue have usually been performed on large-scale first-level national administrative divisions, i.e. provinces. Here we analyze data on a finer spatial resolution in one province, which is often more relevant for effective disease control design. The objective of this study was to investigate the effect of seasonal variations, monthly climate variability, and to identify local clusters of symptomatic disease at the sub-district level based on reported dengue cases. Methods: Data on dengue cases were retrieved from the national communicable disease surveillance system in Thailand. Between 2006 and 2016, 15,167 cases were recorded in 199 sub-districts of Khon Kaen Province, northeastern Thailand. Descriptive analyses included demographic characteristics and temporal patterns of disease and climate variables. The association between monthly disease incidence and climate variations was analyzed at the sub-district level using Bayesian Poisson spatial regression. A hotspot analysis was used to assess the spatial patterns (clustered/dispersed/random) of dengue incidence. Results: Dengue was predominant in the 5-14 year-old age group (51.1%). However, over time, dengue incidence in the older age groups (> 15 years) gradually increased and was the most affected group in 2013. Dengue outbreaks coincide with the rainy season. In the spatial regression model, maximum temperature was associated with higher incidence. The hotspot analysis showed clustering of cases around the urbanized area of Khon Kaen city and in rural areas in the southwestern portion of the province. Conclusions: There was an increase in the number of reported dengue cases in older age groups over the study period. Dengue incidence was highly seasonal and positively associated with maximum ambient temperature. However, climatic variables did not explain all the spatial variation of dengue in the province. Further analyses are needed to clarify the detailed effects of urbanization and other potential environmental risk factors. These results provide useful information for ongoing prediction modeling and developing of dengue early warning systems to guide vector control operations. ? 2019 The Author(s).",Climate; Dengue; Rainfall; Seasonal; Temperature; Thailand,"rain; adolescent; adult; aged; Article; child; climate change; dengue; disease association; disease severity; environmental temperature; epidemic; female; groups by age; human; incidence; infant; major clinical study; male; middle aged; physical parameters; rural area; seasonal variation; sex difference; spatial pattern; symptomatology; temporal pattern; Thailand; urban area; animal; Bayes theorem; city; cluster analysis; dengue; incidence; preschool child; season; spatiotemporal analysis; temperature; Adolescent; Adult; Aged; Animals; Bayes Theorem; Child; Child, Preschool; Cities; Cluster Analysis; Dengue; Disease Outbreaks; Female; Humans; Incidence; Infant; Male; Middle Aged; Rain; Seasons; Spatio-Temporal Analysis; Temperature; Thailand",2-s2.0-85071427093
"Sribuhom T., Thummanant Y., Phusrisom S., Kukongviriyapan V., Tontapha S., Amornkitbamrung V., Yenjai C.",56442663700;57201251180;57201260922;6603352395;55097101000;10141558700;6507193514;,Styrenes from the Seeds of Atalantia monophylla,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070944817&doi=10.1021%2facs.jnatprod.9b00361&partnerID=40&md5=adc04815491a5369c49ac02c6307345d,"Four new dimeric styrenes, 1-4, were isolated from an EtOAc crude extract of the seeds of Atalantia monophylla. The biosynthetic pathway of 1 is proposed to involve a [2 + 2] cycloaddition, while 2-4 may be generated via a polar mechanism with a carbocation as the key intermediate. The structures of 1-4 were defined from spectroscopic analysis; experimental and calculated ECD spectra were used to characterize their absolute configurations. When tested against two different cancer cell lines, 1-4 were not determined to be cytotoxic (IC50 &gt; 10 μM). Copyright ? 2019 American Chemical Society and American Society of Pharmacognosy.",,"2,4,6 trimethoxybenzaldehyde; 2,6 dimethoxy 4h pyran 4 one; 3',4',5' trimethoxycinnamyl alcohol; 4,6 dimethoxy 2 hydroxyacetophenone; Atalantia monophylla extract; atalantrene A; atalantrene B; atalantrene C; atalantrene D; cytotoxic agent; plant extract; styrene derivative; unclassified drug; antineoplastic activity; Article; Atalantia monophylla; biosynthesis; controlled study; cycloaddition; cytotoxicity; drug isolation; drug structure; Hep-G2 cell line; hepatoma cell; human; human cell; IC50; KKU-M156 cell line; plant seed; Rutaceae; spectroscopy",2-s2.0-85070944817
"Thanathanee O., Laohapitakvorn S., Anutarapongpan O., Suwan-Apichon O., Bhoomibunchoo C.",28167991900;57210020836;55675249000;10739317500;36569996300;,Anterior Segment Optical Coherence Tomography Images in Microsporidial Keratoconjunctivitis,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069269504&doi=10.1097%2fICO.0000000000001994&partnerID=40&md5=f235e45997ec43f111ddc5757e8877d6,"Purpose:To describe the findings of anterior segment optical coherence tomography (AS-OCT) in patients with microsporidial keratoconjunctivitis.Methods:The observational study included 13 eyes from 13 patients. Slit-lamp photography and AS-OCT were performed using the Swept source OCT before corneal scraping. All cases were positive for Gram-chromotrope (modified trichrome) staining for Microsporidia spp.Results:Three significant AS-OCT findings were observed. First, hyperreflective dots were limited to the epithelial layers of the cornea, and second, there were no extensions into the stromal layer in all cases. Last, hyperreflective dots slightly raised above the epithelial surface were observed in most cases (12/13%, 92.3%).Conclusions:AS-OCT represents an alternative, noninvasive tool to diagnose microsporidial keratoconjunctivitis, especially if corneal scraping is not possible. ? 2019 Wolters Kluwer Health, Inc. All rights reserved.",anterior segment optical coherence tomography; corneal scraping; hyperreflective; microsporidial keratoconjunctivitis,"adult; anterior eye segment; anterior segment optical coherence tomography; Article; clinical article; female; human; male; Microsporidia; microsporidiosis; nummular keratitis; observational study; optical coherence tomography; photography; priority journal; slit lamp microscopy; slit lamp photography; staining; anterior eye segment; debridement; diagnostic imaging; fungal eye infection; isolation and purification; keratoconjunctivitis; microbiology; microsporidiosis; middle aged; optical coherence tomography; procedures; visual acuity; antiinfective agent; moxifloxacin; Adult; Anterior Eye Segment; Anti-Bacterial Agents; Debridement; Eye Infections, Fungal; Female; Humans; Keratoconjunctivitis; Male; Microsporidia; Microsporidiosis; Middle Aged; Moxifloxacin; Slit Lamp Microscopy; Tomography, Optical Coherence; Visual Acuity",2-s2.0-85069269504
"Prasopdee S., Thitapakorn V., Sathavornmanee T., Tesana S.",48561598000;56644868700;57193456674;6603925353;,"A comprehensive review of omics and host-parasite interplays studies, towards control of Opisthorchis viverrini infection for prevention of cholangiocarcinoma",2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065817559&doi=10.1016%2fj.actatropica.2019.05.011&partnerID=40&md5=6abea78e8bd215e513df8c05a473557a,"Opisthorchis viverrini infection, opisthorchiasis, is a food-borne trematodiasis that is the main cause of cholangiocarcinoma, a bile duct cancer, in the Lower Mekong sub-region of Lao PDR, Cambodia, Vietnam, and Thailand. Despite extensive research on opisthorchiasis, the eradication of this disease has yet to be achieved. One of the major reasons for this failure is due to the multi-host life cycle of the parasite, which requires complex medical and public health interventions to eradicate. Another reason is due to a lack of knowledge of not only the interactions between the parasite and the human immune system, but also the interactions between the parasite and its various hosts during its complicated life cycle. Recent advances in various high-throughput omics technologies has allowed for the identification of key biomolecules crucial to the processes of parasitic transmission, and the identification of novel drug and/or vaccine targets. In this paper, omics studies dealing with O. viverrini host-parasite biology will be reviewed. In particular, there will be a focus on the strategies O. viverrini uses to trigger, evade, and manipulate the host's defense systems. Recently-identified biological molecules with potential as targets for interventions will also be reviewed. The results obtained from these omics approaches to analyzing O. viverrini and host interactions will be of great importance in the future when developing effective and sustainable medical and public health models for the prevention and control of opisthorchiasis and opisthorchiasis-induced CCA. ? 2019",Cholangiocarcinoma; Food-borne trematode; Omics; Opisthorchis viverrini; Prevention and control,praziquantel; cancer; disease; disease control; flatworm; host-parasite interaction; immune system; life cycle; public health; bile duct carcinoma; drug development; gene function; genetic transcription; high throughput screening; host parasite interaction; host resistance; human; infection control; intermediate host; nonhuman; opisthorchiasis; parasite transmission; prevalence; proteomics; public health; Review; sensitivity and specificity; snail; transcriptomics; animal; bile duct cancer; bile duct carcinoma; genomics; metabolomics; opisthorchiasis; parasitology; Cambodia; Laos; Thailand; Viet Nam; Opisthorchis viverrini; Trematoda; Animals; Bile Duct Neoplasms; Cholangiocarcinoma; Genomics; Humans; Metabolomics; Opisthorchiasis; Proteomics,2-s2.0-85065817559
"Deenonpoe R., Prayong P., Thippamom N., Meephansan J., Na-Bangchang K.",55917322800;24504183000;24169817900;50861806200;7006266200;,Anti-inflammatory effect of naringin and sericin combination on human peripheral blood mononuclear cells (hPBMCs) from patient with psoriasis,2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068995668&doi=10.1186%2fs12906-019-2535-3&partnerID=40&md5=36da87d0c3af479a63b6c645c464f7e9,"Background: Several immunological pathways, particularly skin inflammation via various pro-inflammatory cytokines have been reported to be involved in the pathogenesis and clinical manifestations of psoriasis. The aim of the study was to investigate the potential role of naringin from Citrus maxima (Burm.) Merr and sericin from Bombyx mori combination in the treatment of psoriasis. Inhibitory effects on the expression of mRNA and the production of pro-inflammatory cytokines (TNF-α, IL-6, IL-23, and IL-12p40) were investigated. Methods: Human peripheral blood mononuclear cells (hPBMCs) were isolated from 10 healthy subjects and 10 patients with psoriasis. The hPBMCs from each group were exposed to naringin or sericin alone, and the combination of naringin and sericin. The expression levels of mRNA and the production of all cytokines were determined using quantitative RT-PCR and ELISA, respectively. Results: Naringin/sericin combination significantly decreased the expression of mRNA and the production of all pro-inflammatory cytokines in hPBMCs from patients with psoriasis. The potency of inhibitory activity was markedly higher than naringin or sericin alone. Conclusion: The activity of naringin/sericin combination on down-regulation of these pro-inflammatory cytokines suggested its potential clinical use in psoriasis as well as other inflammation-associated diseases. The combination might be used as a complementary therapy with conventional treatment in psoriasis to improve clinical efficacy and tolerability. ? 2019 The Author(s).",Anti-inflammatory; Cytokines; Immunomodulation; Naringin; Psoriasis; Sericin,"aurantiin; interleukin 12p40; interleukin 23; interleukin 6; messenger RNA; sericin; tumor necrosis factor; antiinflammatory agent; aurantiin; autacoid; cytokine; flavanone derivative; plant extract; sericin; adult; alternative medicine; antiinflammatory activity; Article; Bombyx mori; cell isolation; Citrus maxima; clinical article; controlled study; disease association; down regulation; drug efficacy; drug exposure; drug structure; drug tolerability; enzyme linked immunosorbent assay; female; gene expression; human; human cell; inflammation; male; monotherapy; peripheral blood mononuclear cell; protein analysis; psoriasis; pummelo; real time polymerase chain reaction; biosynthesis; chemistry; Citrus; combination drug therapy; drug effect; genetics; in vitro study; metabolism; middle aged; mononuclear cell; psoriasis; young adult; Adult; Anti-Inflammatory Agents; Citrus; Cytokines; Drug Therapy, Combination; Female; Flavanones; Humans; In Vitro Techniques; Inflammation Mediators; Leukocytes, Mononuclear; Male; Middle Aged; Plant Extracts; Psoriasis; Sericins; Young Adult",2-s2.0-85068995668
"Chotipanich C., Promteangtrong C., Kunawudhi A., Theerakulpisut D.",6507088884;56319386600;55227377100;57189693503;,"Appropriate use of F18-FDG PET/CT in oncology, cardiology, and neurology in thailand: Report and recommendations from the health intervention and technology assessment program",2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070801993&partnerID=40&md5=e2172a458d7ef461e74be8b0bc46becf,"Objective: Positron emission tomography/computed tomography (PET/CT) is currently one of the most important emerging imaging modalities. Due to its high cost, appropriate guidance for use of the modality should be tailored to the context of each country. The present review aimed to provide guidance for appropriate use of PET/CT in Thailand. Materials and Methods: Studies of PET/CT use in the top ten most prevalent cancers in Thailand and in Cardiology and Neurology between January 1, 2005 and March 31, 2015 were searched. Four nuclear medicine physicians summarized and synthesized the evidence regarding use of PET/CT in target conditions. Summarized evidence was presented to a multidisciplinary panel of experts, and recommendations for PET/CT use were made. Results: Recommendations regarding F18-FDG PET/CT use are presented in the present review. This information should help policy makers in deciding the indications that F18-FDG PET/CT should made reimbursable in the key health insurance schemes. Conclusion: The present study is the first published recommendation, from reviewed of the literatures, on the appropriate use of PET/CT in Thailand. This should help clinicians and healthcare policy makers in their decision regarding the use and benefit of PET/CT. ? Journal Of The Medical Association Of Thailand.",Appropriate use; Cancer; Diagnostic imaging; PET/CT; Positron emission tomography,cardiology; clinician; diagnostic imaging; health care policy; health insurance; human; neurology; nuclear medicine; oncology; positron emission tomography-computed tomography; review; Thailand,2-s2.0-85070801993
