"文獻名稱.","年份","摘要","索引關鍵字"
"Sulfuretin prevents obesity and metabolic diseases in diet induced obese mice",2019,"The global obesity epidemic and associated metabolic diseases require alternative biological targets for new therapeutic strategies. In this study, we show that a phytochemical sulfuretin suppressed adipocyte differentiation of preadipocytes and administration of sulfuretin to high fat diet-fed obese mice prevented obesity and increased insulin sensitivity. These effects were associated with a suppressed expression of inflammatory markers, induced expression of adiponectin, and increased levels of phosphorylated ERK and AKT. To elucidate the molecular mechanism of sulfuretin in adipocytes, we performed microarray analysis and identified activating transcription factor 3 (Atf3) as a sulfuretin-responsive gene. Sulfuretin elevated Atf3 mRNA and protein levels in white adipose tissue and adipocytes. Consistently, deficiency of Atf3 promoted lipid accumulation and the expression of adipocyte markers. Sulfuretin’s but not resveratrol’s anti-adipogenic effects were diminished in Atf3 deficient cells, indicating that Atf3 is an essential factor in the effects of sulfuretin. These results highlight the usefulness of sulfuretin as a new anti-obesity intervention for the prevention of obesity and its associated metabolic diseases. ? 2019 The Korean Society of Applied Pharmacology.","activating transcription factor 3; adiponectin; fatty acid binding protein 4; mitogen activated protein kinase; peroxisome proliferator activated receptor gamma; phytochemical; protein kinase B; sulfuretin; transcription factor 3; transcription factor Nrf2; unclassified drug; 3T3 cell line; adipocyte; adipogenesis; adipose tissue; animal cell; animal experiment; animal model; animal tissue; antiobesity activity; Article; body weight; C3H/10T1/2 clone 8 cell line; carbon nuclear magnetic resonance; cell differentiation; controlled study; diabetes mellitus; diet induced obesity; electrospray; female; food intake; gene expression; glucose blood level; histology; in vivo study; insulin sensitivity; lipid diet; lipid storage; liquid chromatography-mass spectrometry; male; metabolic disorder; microarray analysis; mouse; mRNA expression level; nonhuman; obesity; protein expression; protein expression level; proton nuclear magnetic resonance; rat; real time polymerase chain reaction; spectrophotometry; thin layer chromatography; total cholesterol level; Toxicodendron vernicifluum; triacylglycerol blood level; Western blotting"
"Clinical application of bone turnover markers in osteoporosis in Korea",2019,"Bone turnover markers (BTMs) have important role in the management of osteoporosis. Recently the clinical application of BTMs has achieved significant progress and measurement of BTMs give us better understanding of pathogenesis of osteoporosis. However, the use of BTMs is still insufficient in Korea. We summarized the available methods and standard interval of the BTMs in Korea. Also we reviewed published literatures on pre-analytical variability in the measurement of BTMs and provided recommendations for standardized sample handling and patient preparation for reducing those pre-analytical variabilities. The clinical application of BTMs in patients with chronic kidney disease who have a higher fracture risk than the general population is summarized. Copyright ? 2019 The Korean Society for Bone and Mineral Research.","alkaline phosphatase bone isoenzyme; amino terminal telopeptide; biological marker; carboxy terminal telopeptide; collagen type 1; deoxypyridinoline; osteocalcin; pyridinoline; bone remodeling; bone turnover; chronic kidney failure; fracture; high risk patient; human; Korea; ossification; osteolysis; osteoporosis; Review"
"Gene expression pathways across multiple tissues in antineutrophil cytoplasmic antibody-associated vasculitis reveal core pathways of disease pathology",2019,"Objective. To identify commonalities in gene expression data across all antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis (AAV) tissues thus far characterized. Methods. Gene expression data were collected from the 3 AAV tissues thus far characterized (orbit, peripheral leukocytes, and sinus brushings). These data were analyzed to identify commonly expressed genes and disease pathways. The pathways data were adjusted for multiple comparisons using a combined local false discovery rate, which estimates the probability of a false discovery of a given pathway in all 3 tissues analyzed. Results. Only 4 genes were upregulated in all 3 tissues - IL1RN, TLR2, SLC11A1, and MMP9. After multiple comparison adjustments, the network pathway analysis revealed 28 pathways associated with all 3 tissues. The most strongly associated pathway for all 3 tissues was the neutrophil degranulation pathway [multidimensional local false discovery (md-locfdr) = 1.05 × 10-12], followed by the osteoclast differentiation (md-locfdr = 3.8 × 10-05), cell surface interactions at the vascular wall (md-locfdr = 4.2 × 10-04), signaling by interleukins (md-locfdr = 6.1 × 10-04), and phagosome (md-locfdr = 0.003) pathways. There were no downregulated genes or pathways common to all 3 tissues. Conclusion. This analysis identified individual genes and pathways of disease common to all AAV tissues thus far characterized. The use of a network pathway analysis allowed us to identify pathologic mechanisms that were not readily apparent in the commonly expressed genes alone. Many of these pathways are consistent with current theories about infectious drivers and the crossroads of innate and adaptive immune mechanisms. In addition, this analysis highlights novel pathways, such as vessel wall interactions and platelet activation, which require further investigation. ? 2019 Journal of Rheumatology. All rights reserved.","cytokine; gelatinase B; natural resistance associated macrophage protein 1; toll like receptor 2; ANCA associated vasculitis; Article; blood vessel wall; cell differentiation; cell interaction; cell surface; controlled study; cranial sinus; gene; gene expression; gene identification; human; IL1RN gene; leukocyte; MMP9 gene; orbit; osteoclast; phagosome; priority journal; signal transduction; SLC11A1 gene; TLR2 gene; upregulation"
"Evolution of acute lacunar lesions in terms of size and shape: a PICASSO sub-study",2019,"The imaging definition of lacunar infarcts is variable, particularly regarding their size and the presence of cavitation. We investigated the changes of diameter and evolution pattern of acute lacunar infarcts, and the factors associated with the evolution pattern. Patients with acute single subcortical hemispheric or brainstem ischemic lesions of penetrating arterial territories were included. Maximal diameters on initial diffusion-weighted image (DWI) and follow-up fluid-attenuated inversion recovery image (FLAIR), which performed > 12 months after initial DWI, were semi-automatically measured. Clinical characteristics were compared according to evolution patterns on follow-up FLAIR, classified as cavitated, focal lesion without cavitation, and disappeared. Five hundred nine patients were included. Mean time to follow-up was 31.3 ± 13.7 months. Mean diameter of acute lacunar lesions decreased from 12.9 ± 4.4 to 8.5 ± 4.8?mm during follow-up. Lesions of 58.2% patients remained as cavitated, 18.3% as focal lesion without cavitation, and 23.6% disappeared. Initial NIHSS score (p = 0.005), diameter of initial lesion (p < 0.001), number of slices showing acute lesion on DWI (p < 0.001), progression of white matter lesion (p < 0.001), number of acute lesions involving gray matter (p = 0.008) and lesion location (p < 0.001) were different among three groups. After adjustment for covariates, diameter of the acute lesion, initial number of old lacunes, and anterior lesion location were associated with the appearance of cavitation. Initial lesion diameter and posterior lesion location were associated with the disappearance. We observed reduction of the acute lacunar lesion diameter in 86%. There were predictive factors of disappearance and cavitation of acute lacunar infarction. ? 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","adult; Article; brain infarction size; controlled study; diffusion weighted imaging; female; follow up; gray matter; human; lacunar stroke; major clinical study; male; middle aged; National Institutes of Health Stroke Scale; priority journal; prospective study; white matter lesion; aged; diagnostic imaging; disease exacerbation; lacunar stroke; nuclear magnetic resonance imaging; outcome assessment; pathology; procedures; randomized controlled trial; severity of illness index; fibrinolytic agent; Aged; Disease Progression; Female; Fibrinolytic Agents; Follow-Up Studies; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Outcome Assessment (Health Care); Severity of Illness Index; Stroke, Lacunar"
"Sequential emergence and wide spread of neutralization escape middle east respiratory syndrome coronavirus mutants, South Korea, 2015",2019,"The unexpectedly large outbreak of Middle East respiratory syndrome in South Korea in 2015 was initiated by an infected traveler and amplified by several “superspreading” events. Previously, we reported the emergence and spread of mutant Middle East respiratory syndrome coronavirus bearing spike mutations (I529T or D510G) with reduced affinity to human receptor CD26 during the outbreak. To assess the potential association of spike mutations with superspreading events, we collected virus genetic information reported during the outbreak and systemically analyzed the relationship of spike sequences and epidemiology. We found sequential emergence of the spike mutations in 2 superspreaders. In vivo virulence of the mutant viruses seems to decline in human patients, as assessed by fever duration in affected persons. In addition, neutralizing activity against these 2 mutant viruses in serum samples from mice immunized with wild-type spike antigen were gradually reduced, suggesting emergence and wide spread of neutralization escapers during the outbreak. ? 2019, Centers for Disease Control and Prevention (CDC). All rights reserved.","dipeptidyl peptidase IV; neutralizing antibody; transforming growth factor beta; virus spike protein; coronavirus spike glycoprotein; neutralizing antibody; adaptive immunity; adult; aged; animal experiment; animal model; antibody titer; Article; clinical article; disease severity; female; fever; gene mutation; genotype; human; hypotension; hypoxemia; immune response; male; middle aged; Middle East respiratory syndrome; Middle East respiratory syndrome coronavirus; mixed infection; mouse; natural killer cell; nonhuman; plaque assay; SARS coronavirus; sequence analysis; virus load; virus mutant; virus neutralization; virus replication; virus shedding; virus transmission; virus virulence; communicable disease; Coronavirus infection; epidemic; genetics; history; immunology; Middle East respiratory syndrome coronavirus; mutation; serodiagnosis; virology; Adult; Aged; Antibodies, Neutralizing; Communicable Diseases, Emerging; Coronavirus Infections; Disease Outbreaks; Female; Genotype; History, 21st Century; Humans; Male; Middle Aged; Middle East Respiratory Syndrome Coronavirus; Mutation; Neutralization Tests; Spike Glycoprotein, Coronavirus"
"Contribution of food groups to sodium and potassium intakes by their ratio in Korean adults",2019,"Background/Aims: Koreans have relatively high sodium intakes, and a higher sodium-to-potassium (Na/K) ratio is associated with increased mortality resulting from cardiovascular diseases. The purpose of this study was to analyze the dietary patterns and food groups that contribute to sodium and potassium intakes according to dietary Na/K ratio in Koreans. Methods: A 24-hour dietary recall was collected twice from 640 healthy adults (aged 19-69 years) in four Korean provinces. The subjects were divided into groups of Na/K<1 and Na/K?1, and their dietary pattern focused on sodium and potassium intakes and Na/K ratio of major food groups were analyzed and compared. Results: The average Na/K ratio of the subjects was 1.5; the highest ratio was in the twenties. Daily sodium and potassium intakes were significantly high in the Na/K?1 group and the Na/K<1 group, respectively. Sodium intake from grains, meat, fish, and seasonings of the Na/K?1 group and potassium intake from potatoes, beans, nuts, and fruits of the Na/K<1 group were significantly higher than the counterpart groups. Food groups with the lowest Na/K (0.1) were fruits, cooked rice, and beans, and a Na/K ratio greater than 10.0 included seasonings and salted seafood. The Na/K<1 group consumed more fruits and potatoes and the Na/K?1 group consumed more grains, beverages, meats, and seasonings. Conclusions: Dietary Na/K ratio of Koreans was significantly higher than Korean or WHO guidelines. Recommendation of reducing sodium intake from grains, meats, and seasonings and increasing potassium intake from fruits, potatoes, and beans may be suggested for lowering the Na/K ratio. ?Mattioli 1885.","potassium; sodium; adult; aged; Article; controlled study; dietary pattern; female; fish; grain; human; Korean (people); major clinical study; male; meat; metabolic ratio; middle aged; nut; potassium intake; potato; rice; sodium intake"
"Effectiveness and safety of electroacupuncture for poststroke patients with shoulder pain: Study protocol for a double-center, randomized, patient- and assessor-blinded, sham-controlled, parallel, clinical trial",2019,"Background: Practitioners of complementary and alternative medicine have suggested that acupuncture could alleviate poststroke shoulder pain, based on the clinical evidence. This study protocol is aimed at showing the effectiveness and safety of electroacupuncture therapy for stroke survivors with shoulder pain. Methods: After assessing their eligibility, 60 stroke survivors with shoulder pain will be enrolled from two traditional Korean medicine hospitals and randomly divided into either the verum or the sham electroacupuncture (EA) group with a 1:1 ratio. The participants will receive 9 sessions of EA procedures for 3 weeks. The verum EA consists of needling on 6 unilateral acupoints (LI4, LI15, TE14, SI9, SI11, and GB21) with electronic stimulation. A non-penetrating Park sham device and fake electronic stimulation will be used in the sham group on the same acupoints. Patients and outcome assessors will be blinded throughout the entire study. A visual analog scale will be used primarily for the evaluation, and pain rating scale, Fugl-Meyer assessment for upper extremity, modified Ashworth scale, manual muscle test, passive range of motion test, Korean version of a modified Barthel index, and Korean version of the Beck depression inventory will be also be measured. A blinding index will be assessed. For safety, adverse events will be recorded. Data will be statistically analyzed by two-sample t-test or Wilcoxon rank sum test for efficacy and a chi-squared test or Fisher's exact test for safety, at 5% of significance level. Discussion: We expect this double-center, randomized, sham-controlled, patient- and assessor-blinded parallel trial to explore the effectiveness and safety of EA therapy, compared with sham EA, for poststroke shoulder pain. Trial registration: https://clinicaltrials.gov/ct2/show/NCT03086863 ? 2019 The Author(s).","nonsteroid antiinflammatory agent; steroid; adult; Article; Barthel index; Beck Depression Inventory; brain hemorrhage; brain ischemia; clinical effectiveness; controlled study; daily life activity; electroacupuncture; electrostimulation; female; Fugl Meyer assessment; human; major clinical study; male; modified Ashworth scale; moxibustion; muscle strength; musculoskeletal system examination; pain assessment; pain intensity; patient safety; post-stroke depression; randomized controlled trial; range of motion; rating scale; shoulder pain; spasticity; treatment duration; treatment outcome; visual analog scale; procedures; shoulder pain; stroke rehabilitation; Electroacupuncture; Humans; Shoulder Pain; Stroke Rehabilitation; Treatment Outcome"
"Registered Nurses (RNs)’ knowledge sharing and decision-making: the mediating role of organizational trust",2019,"Aim: This study study aimed to investigate the effects of explicit and tacit knowledge sharing on clinical decision-making abilities and the mediating role of trust among registered nurses at Korean hospitals. Background: Decision-making abilities comprise a key area of nursing practice and link nurses’ perceptions with behaviours. Introduction: Tacit knowledge is embedded within an individual and cannot be expressed or transmitted to other people in a specific form. Over time, new nurses gradually gain experience and tacit knowledge and become experts. Trust, an organizational characteristic, may serve as a potential mediator in the association between knowledge sharing and decision-making abilities among nurses. However, few studies have investigated the mediatory role of trust in this association. Method: The data were collected from 210 nurses selected via random sampling. The research instrument in the model included Knowledge-Sharing Behavior, Trust, and Clinical Decision-Making in Nursing Scale. Structural equation modelling was used to analyse the collected data. Findings: The study findings showed that explicit knowledge sharing directly affects decision-making abilities, whereas tacit knowledge sharing is only associated with decision-making abilities when trust plays a mediating role. Discussion: A higher level of organizational trust can improve clinical decision-making abilities via tacit knowledge sharing. Conclusion: This study demonstrated that unlike explicit knowledge, which is shared more easily, tacit knowledge sharing does not directly lead to clinical decision-making abilities. A higher level of organizational trust leads to a stronger beneficial effect of tacit knowledge sharing on clinical decision-making abilities. Implications for nursing and health policy: These findings concerning the mediatory role of trust on the association between knowledge sharing and clinical decision-making abilities provide new knowledge that will allow nurses, managers, and researchers to support the clinical decision-making abilities of nurses. ? 2019 International Council of Nurses","article; capacity building; clinical decision making; health care policy; human; manager; mediator; nursing practice; perception; registered nurse; sampling; scientist; structural equation modeling; trust; cooperation; health personnel attitude; knowledge management; nursing staff; organization and management; organizational culture; psychology; public relations; trust; work engagement; Attitude of Health Personnel; Cooperative Behavior; Humans; Interprofessional Relations; Knowledge Management; Nursing Staff, Hospital; Organizational Culture; Trust; Work Engagement"
"A high neutrophil-to-lymphocyte ratio is associated with recovery from ramsay hunt syndrome",2019,"Background: Prediction of the severity and outcomes of Ramsay Hunt syndrome (RHS) is difficult. Objectives: The aim of this study was to evaluate the predictive power of the neutrophil-to-lymphocyte ratio (NLR) for the severity and outcomes of RHS. Material and Methods: From 2007 to 2017, a retrospective study of 102 hospitalized patients with RHS was conducted. The degree of paralysis was assessed by determining the House-Brackmann (H-B) grade. Obesity, hypertension, and diabetes mellitus were assessed, and the blood NLR and platelet-to-lymphocyte ratio were determined. The patients received steroids and antivirals, and were followed in the outpatient department at 1, 4, 12, and 24 weeks. Results: The H-B grade of the high-NLR group was significantly higher than that of the normal-NLR group (p = 0.039), and the probability of complete recovery was significantly lower in the high-NLR group (p = 0.048). Conclusions: Patients with RHS who have an elevated NLR have poor outcomes in terms of the H-B grade. Therefore, the NLR may be useful for evaluating the prognosis of patients with RHS. ? 2019 S. Karger AG, Basel.","antivirus agent; steroid; adult; Article; diabetes mellitus; disease severity; female; herpes zoster oticus; hospitalization; human; hypertension; major clinical study; male; middle aged; neutrophil lymphocyte ratio; obesity; outpatient department; platelet lymphocyte ratio; prediction; priority journal; prognosis; retrospective study"
"Predicting risk of type 2 diabetes mellitus in Korean adults aged 40–69 by integrating clinical and genetic factors",2019,"Aims: The purpose of our investigation was to identify the genetic and clinical risk factors of type 2 diabetes mellitus (T2DM) and to predict the incidence of T2DM in Korean adults aged 40–69 at follow-up intervals of 5, 7, and 10 years. Methods: Korean Genome and Epidemiology Study (KoGES) cohort data (n = 10,030) were used to develop T2DM prediction models. Both clinical-only and integrated (clinical factors + genetic factors) models were derived using the Cox proportional hazards model. Internal validation was performed to evaluate the prediction capabilities of the clinical and integrated models. Results: The clinical model included 10 selected clinical risk factors. The selected SNPs for the integrated model were rs9311835 in PTPRG, rs10975266 in RIC1, rs11057302 in TMED2, rs17154562 in ADAM12, and rs8038172 in CGNL1. For the clinical model, validated c-indices with time points of 5, 7, and 10 years were 0.744, 0.732, and 0.732, respectively. Slightly higher validated c-indices were observed for the integrated model at 0.747, 0.736, and 0.738, respectively. The p-values of the survival net reclassification improvement (NRI) for the SNP point-based score were statistically significant. Conclusions: Clinical and integrated models can be effectively used to predict the incidence of T2DM in Koreans. ? 2018","adult; aged; biological model; female; genetic marker; genetic predisposition; genetics; human; incidence; male; middle aged; non insulin dependent diabetes mellitus; phenotype; prognosis; risk assessment; risk factor; single nucleotide polymorphism; South Korea; time factor; Adult; Aged; Diabetes Mellitus, Type 2; Female; Genetic Markers; Genetic Predisposition to Disease; Humans; Incidence; Male; Middle Aged; Models, Genetic; Phenotype; Polymorphism, Single Nucleotide; Prognosis; Republic of Korea; Risk Assessment; Risk Factors; Time Factors"
